# Sector Screen, FIXED version. Transcribed 2 September 2026 from six screenshots supplied by Daniil.
# Source sheet title: "Priced Private Funding Rounds - Sector Screen".
# The sheet's own header line: 49 transactions | 47 populated multiples (46 non-excluded) |
#   8 ceiling multiples | 2 NOT FOUND.
# The sheet's own note: "Target 48 was not padded: Fuse has no public valuation and eFishery is excluded.
#   Part-year multiples are explicitly labelled and not annualised; Celsius remains calculated but excluded."
#
# D12 ROW ACCOUNTING against data/raw/2026-09-02_sector-screen.csv:
#   count in 51, count out 49, dropped 2, both named:
#     sheet_row 50, Alan, 9-May-2022      -> duplicate of sheet_row 27, Alan, 05-May-2022 (one round, four days apart)
#     sheet_row 40, BetterUp, 08-Oct-2021 -> duplicate of sheet_row 37, BetterUp, 2021-10-08 (one round, two date formats)
#   Both deletions were instructed by docs/sector-screen-fix-prompt-2sep.md rule 6. Nothing else was dropped.
#
# D11 SCHEMA NOTE, CLOSED 02-Sep-2026. The screenshots show columns A to AB and AG to AR. Columns
#   AC, AD, AE and AF are not transcribed. Daniil confirms they are hidden in the workbook
#   deliberately and are not needed here, so this file is complete for our purposes. The flag is
#   withdrawn; the gap is recorded rather than silently closed.
#
# sheet_row is the row number in Daniil's workbook, kept so every row can be traced back by name and position.
sheet_row,company_name,transaction_date,round_type,transaction_class,amount_raised_m,amount_currency,amount_raised_reported,premoney_valuation_m,postmoney_valuation_m,valuation_reference_m,valuation_currency,valuation_basis,transaction_value_m,transaction_value_currency,transaction_value_basis,metric_type,metric_value_m,metric_currency,metric_qualifier,metric_period_basis,multiple_denominator_m,denominator_currency,denominator_basis,implied_multiple_x,lead_investors,valuation_source_url,revenue_metric_source_url,denominator_converted,fx_rate_used,fx_rate_date,fx_rate_source,denominator_blank_reason,bound,period_months,forward_metric,excluded,excluded_reason,source_tier,multiple_type,transcription_note
16,Octopus Energy Group,27-Sep-2021,Strategic equity investment,Funding / priced private round,600.0,USD,Up to US$600m,,4600.0,4600.0,USD,Reported post-money,,,,REVENUE,2008.8,GBP,,FY ended 30-Apr-2021,2752.5,USD,FY ended 30-Apr-2021,1.7,Generation Investment Management; Origin Energy participated,https://octopus.energy/press/octopus-the-next-generation/,https://octopus.energy/press/octopus-energy-group-announces-results-for-fy2021/,2752.5,1.37020,27-Sep-2021,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-27_09_2021,,,,,,,1,REVENUE / ARR MULTIPLE,
17,Octopus Energy Group,7-May-2024,Existing-investor equity round,Funding / priced private round,370.0,USD,US$370m (~GBP300m),,9000.0,9000.0,USD,Reported post-money,,,,REVENUE,12540.0,GBP,,FY ended 30-Apr-2023,15677.5,USD,FY ended 30-Apr-2023,0.6,Generation Investment Management; CPP Investments,https://octopus.energy/press/Octopus-Energy-valuation-increases-to-9bn-following-further-commitments-from-existing-investors/,https://octopus.energy/documents/3860/A0659_Octopus_Energy_Group_Limited_AR_2023_prf16_ForPublication.pdf,15677.5,1.25020,7-May-2024,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-07_05_2024,,,,,,,1,REVENUE / ARR MULTIPLE,
18,Enpal,9-Jan-2023,Series D,Funding / priced private round,215.0,EUR,EUR215m,,2200.0,2200.0,EUR,Reported post-money,,,,REVENUE,400.0,EUR,>,FY2022,400.0,EUR,FY2022,5.5,TPG Rise Climate,https://uk.investing.com/news/stock-market-news/german-renewables-firm-enpal-hits-24-billion-valuation-with-new-funding-round-2875460,https://uk.investing.com/news/stock-market-news/german-renewables-firm-enpal-hits-24-billion-valuation-with-new-funding-round-2875460,,,,,,GTE,,,,,1,CEILING MULTIPLE - DENOMINATOR FLOOR,
19,Blockworks,09-May-2023,Funding round,Funding / priced private round,12.0,USD,12 USD,,135.0,135.0,USD,Reported financing / post-money valuation,,,,REVENUE,20.0,USD,>,FY2022,20.0,USD,FY2022,6.8,10T Holdings,https://blockworks.com/news/blockworks-raises-12m/,https://www.axios.com/2023/05/09/crypto-blockworks-raises-12m-135m-valuation,,,,,,GTE,,,,,1,CEILING MULTIPLE - DENOMINATOR FLOOR,
20,BlockFi,2021-03-11,Series D,Funding / priced private round,350.0,USD,USD 350m,,3000.0,3000.0,USD,Reported post-money,,,,REVENUE,50.0,USD,> ; monthly revenue,March 2021 month,50.0,USD,1-month reported denominator; not annualized,60.0,Bain Capital Ventures; partners of DST Global; Pomp Investments; Tiger Global,https://techcrunch.com/2021/03/11/blockfi-lands-a-350m-series-d-at-3b-valuation-for-its-fast-growing-crypto-lending-platform/,https://techcrunch.com/2021/03/11/blockfi-lands-a-350m-series-d-at-3b-valuation-for-its-fast-growing-crypto-lending-platform/,,,,,,GTE,1,,,,3,CEILING MULTIPLE - DENOMINATOR FLOOR,
21,Celsius Network,2021-10-12,Strategic growth investment,Funding / priced private round,400.0,USD,USD 400m,,3250.0,3250.0,USD,Reported post-money,,,,REVENUE,126.1,USD,,FY2020,126.1,USD,FY2020,25.8,WestCap; CDPQ,https://blockworks.co/news/celsius-valued-at-3-25b-after-400m-raise-amid-regulatory-headwinds,https://cointelegraph.com/news/celsius-network-valued-at-3-1b-following-independent-review,,,,,,,,,YES,Bankruptcy and fraud findings,1,REVENUE / ARR MULTIPLE,
22,MoonPay,2021-11-22,Series A,Funding / priced private round,555.0,USD,USD 555m,,3400.0,3400.0,USD,Reported post-money,,,,REVENUE,150.0,USD,,FY2021 / year-to-date at Nov-2021,150.0,USD,11-month reported denominator; not annualized,22.7,Tiger Global Management; Coatue,https://www.coindesk.com/business/2021/11/22/payments-infrastructure-firm-moonpay-raises-555m-at-a-34b-valuation,https://www.theblock.co/news/business/2021-11-22-moonpay-raise-124980,,,,,,,11,,,,1,NON-ANNUALIZED 11-MONTH PERIOD MULTIPLE,
23,Fireblocks,2022-01-27,Series E,Funding / priced private round,550.0,USD,USD 550m,,8000.0,8000.0,USD,Reported post-money,,,,REVENUE,50.0,USD,Reported range $50m-$100m; denominator uses floor only,FY2021,50.0,USD,Prior year / FY2021,160.0,Spark Capital; D1 Capital Partners,https://techcrunch.com/2022/01/27/crypto-infrastructure-company-fireblocks-nearly-quadruples-valuation-to-8b-in-six-months/,https://techcrunch.com/2022/01/27/crypto-infrastructure-company-fireblocks-nearly-quadruples-valuation-to-8b-in-six-months/,,,,,,GTE,,,,,3,CEILING MULTIPLE - DENOMINATOR FLOOR,
24,ConsenSys,2022-03-15,Series D,Funding / priced private round,450.0,USD,USD 450m,,7000.0,7000.0,USD,Reported post-money,,,,REVENUE,100.0,USD,"> ; ""nine figures""",FY2021,100.0,USD,FY2021,70.0,ParaFi Capital,https://consensys.io/blog/consensys-raises-450m-series-d-funding,https://techcrunch.com/2022/03/15/metamask-parent-company-consensys-raises-series-d-at-7b-valuation/,,,,,,GTE,,,,,3,CEILING MULTIPLE - DENOMINATOR FLOOR,
25,Thirty Madison,02-Jun-2021,Series C,Funding / priced private round,140.0,USD,US$140m,,1000.0,1000.0,USD,Reported post-money,,,,RUN_RATE,100.0,USD,>,Q1 2021 run-rate,100.0,USD,Q1 2021 run-rate,10.0,HealthQuest Capital,https://www.bloomberg.com/news/articles/2021-06-02/thirty-madison-vaults-to-unicorn-status-raises-140-million,https://www.bloomberg.com/news/articles/2021-06-02/thirty-madison-vaults-to-unicorn-status-raises-140-million,,,,,,GTE,,,,,3,CEILING MULTIPLE - DENOMINATOR FLOOR,
26,Cityblock Health,03-Sep-2021,Series D / late-stage round,Funding / priced private round,400.0,USD,US$400m,,5700.0,5700.0,USD,Reported post-money,,,,RUN_RATE,400.0,USD,Estimate / approx.,"FY2020 run-rate, most recent disclosed at round",400.0,USD,"FY2020 run-rate, most recent disclosed at round",14.3,SoftBank,https://www.statnews.com/2021/09/03/cityblock-health-series-d-valuation/,https://www.forbes.com/sites/katiejennings/2021/03/29/cityblock-health-gets-192-million-funding-boost-to-turbocharge-care-for-low-income-patients/,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
27,Alan,05-May-2022,Series E,Funding / priced private round,183.0,EUR,EUR183m,,2700.0,2700.0,EUR,Reported post-money,,,,ARR,182.0,EUR,,Q1 2022,182.0,EUR,Q1 2022,14.8,Teachers' Venture Growth,https://alan.com/en/blog/discover-alan/a/alan-2022-q1-letter-to-shareholders-x-series-e,https://alan.com/en/blog/discover-alan/a/alan-2022-q1-letter-to-shareholders-x-series-e,,,,,,,,,,,1,REVENUE / ARR MULTIPLE,
28,Devoted Health,08-Oct-2021,Series D,Funding / priced private round,1150.0,USD,US$1.15bn (US$1.23bn incl. expected additional),,12700.0,12700.0,USD,Reported post-money,,,,REVENUE,247.3,USD,,H1 2021,247.3,USD,6-month reported denominator; not annualized,51.4,Uprising; SoftBank Vision Fund 2,https://medcitynews.com/2021/10/devoted-health-raises-1-1b-sending-valuation-soaring-past-12b/,https://medcitynews.com/2021/10/devoted-health-raises-1-1b-sending-valuation-soaring-past-12b/,,,,,,,6,,,,1,NON-ANNUALIZED 6-MONTH PERIOD MULTIPLE,"amount_raised_reported cell truncated in the screenshot at ""expected additional"""
29,Doctolib,15-Mar-2022,Equity and debt financing,Funding / priced private round,500.0,EUR,EUR500m (c.EUR250m equity / EUR250m debt),,5800.0,5800.0,EUR,Reported post-money,,,,REVENUE,181.3,EUR,,FY2021,181.3,EUR,FY2021,32.0,Eurazeo; Bpifrance; General Atlantic,https://techcrunch.com/2022/03/15/healthcare-tech-platform-doctolib-reaches-6-4-billion-valuation/,https://scanfacture.fr/entreprise/doctolib-794598813,,,,,,,,,,,2,REVENUE / ARR MULTIPLE,
30,Virta Health,19-Apr-2021,Series E,Funding / priced private round,133.0,USD,US$133m,,2000.0,2000.0,USD,Reported post-money,,,,REVENUE,35.0,USD,Estimate / approx.,FY2021,35.0,USD,FY2021,57.1,Tiger Global Management,https://www.virtahealth.com/press/diabetes-reversal-leader-virta-health-raises-133m-series-e-to-take-type-2-diabetes-reversal-mainstream,https://sacra.com/c/virta-health/,,,,,,,,,,,4,REVENUE / ARR MULTIPLE,
31,Aledade,20-Jun-2023,Series F,Funding / priced private round,260.0,USD,US$260m,,3500.0,3500.0,USD,Reported post-money,,,,REVENUE,475.0,USD,>,FY2022,475.0,USD,FY2022,7.4,Lightspeed Venture Partners,https://finance.yahoo.com/news/healthcare-startup-aledade-valued-3-175105397.html,https://aledade.com/newsroom/aledade-news/aledade-secures-series-f,,,,,,GTE,,,,,1,CEILING MULTIPLE - DENOMINATOR FLOOR,
32,Ro,23-Mar-2021,Series D,Funding / priced private round,500.0,USD,US$500m,,5000.0,5000.0,USD,Reported post-money,,,,REVENUE,300.0,USD,Estimate / approx.,FY2021,300.0,USD,FY2021,16.7,"General Catalyst, FirstMark Capital and TQ Ventures",https://ro.co/press/ro-raises-500-million-in-series-d-funding/,https://sacra.com/c/ro/,,,,,,,,,,,4,REVENUE / ARR MULTIPLE,
33,upGrad,09-Aug-2021,Financing / unicorn round,Funding / priced private round,185.0,USD,185 USD,,1200.0,1200.0,USD,Reported financing / post-money valuation,,,,RUN_RATE,165.0,USD,,Annual revenue run-rate reported Apr-2021,165.0,USD,Annual revenue run-rate reported Apr-2021,7.3,Temasek; IFC; IIFL,https://techcrunch.com/2021/08/09/india-upgrad-enters-unicorn-club-with-185-million-fundraise/,https://www.newswire.ca/news-releases/upgrad-records-an-annual-revenue-run-rate-of-usd-165-million-881368229.html,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
34,LEAD School,12-Jan-2022,Series E,Funding / priced private round,100.0,USD,100 USD,,1100.0,1100.0,USD,Reported financing / post-money valuation,,,,REVENUE,600.0,INR,,FY2021,8.1,USD,Entering academic year 2022-23,135.3,WestBridge Capital; GSV Ventures,https://techcrunch.com/2022/01/12/lead-school-india-unicorn/,https://www.forbesindia.com/amp/article/take-one-big-story-of-the-day/lesson-plan-inside-lead-schools-strategy-for-quality-education-in-smalltown-india/81039/1,8.1,0.01355,12-Jan-2022,https://www.exchange-rates.org/exchange-rate-history/inr-usd-2022-01-12,,,,$80m annual revenue run-rate entering [truncated in screenshot],,,3,REVENUE / ARR MULTIPLE,"denominator_basis says ""Entering academic year 2022-23"" but metric_period_basis says FY2021; forward_metric cell truncated"
35,MasterClass,2021-05-13,Series F,Funding / priced private round,225.0,USD,USD 225m,,2750.0,2750.0,USD,Reported post-money,,,,REVENUE,100.0,USD,Estimate / approx.,FY2020,100.0,USD,FY2020,27.5,Fidelity Management & Research Company,https://forgeglobal.com/masterclass_stock/,https://forgeglobal.com/masterclass_stock/,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
36,Vedantu,2021-09-29,Series E,Funding / priced private round,100.0,USD,USD 100m,,1000.0,1000.0,USD,Reported post-money,,,,RUN_RATE,65.0,USD,,Current at Sep-2021,65.0,USD,Current at Sep-2021,15.4,ABC World Asia,https://economictimes.indiatimes.com/tech/startups/vedantu-joins-unicorn-club-after-100-million-funding-from-temasek-backed-abc-world-,https://economictimes.indiatimes.com/tech/startups/vedantu-joins-unicorn-club-after-100-million-funding-from-temasek-backed-abc-world-,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,both URLs truncated in the screenshot
37,BetterUp,2021-10-08,Series E,Funding / priced private round,300.0,USD,USD 300m,,4700.0,4700.0,USD,Reported post-money,,,,ARR,100.0,USD,,Reached Jul-2021,100.0,USD,Reached Jul-2021,47.0,Wellington Management; ICONIQ Growth; Lightspeed Venture Partners,https://www.betterup.com/press/series-e,https://www.betterup.com/press/series-e,,,,,,,,,,,1,REVENUE / ARR MULTIPLE,
38,Guild Education,2022-06-02,Series F,Funding / priced private round,175.0,USD,USD 175m,,4400.0,4400.0,USD,Reported post-money,,,,ARR,100.0,USD,,FY2020,100.0,USD,FY2020,44.0,Wellington Management,https://www.forbes.com/sites/jenamcgregor/2022/06/02/guild-education-reaches-44-billion-valuation-as-labor-market-demands-continue-and-a-downturn-threat-rises/,https://www.forbes.com/sites/jenamcgregor/2022/06/02/guild-education-reaches-44-billion-valuation-as-labor-market-demands-continue-and-a-downturn-threat-rises/,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
39,EGYM,05-Jul-2023,Series F,Funding / priced private round,107.0,EUR,EUR107m initial priced tranche (within EUR207m Series F),,600.0,600.0,EUR,Reported financing / post-money valuation,,,,REVENUE,130.0,USD,,FY2022 actual,119.8,EUR,FY2022 actual,5.0,Affinity Partners; Mayfair Equity Partners; Bayern Kapital,https://techcrunch.com/2023/07/05/egym-the-munich-based-smart-fitness-startup-raises-225m-from-jared-kushners-affinity-partners/,https://techcrunch.com/2023/07/05/egym-the-munich-based-smart-fitness-startup-raises-225m-from-jared-kushners-affinity-partners/,119.8,0.92123,05-Jul-2023,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-05_07_2023,,,,,,,3,REVENUE / ARR MULTIPLE,
40,Restore Hyper Wellness,14-Dec-2021,Growth equity,Funding / priced private round,140.0,USD,US$140m,,500.0,500.0,USD,Reported post-money,,,,REVENUE,32.0,USD,Estimate / approx.,FY2020 (latest company-reported at round),32.0,USD,FY2020 (latest company-reported at round),15.6,General Atlantic,https://insider.fitt.co/restore-raises-140m-for-hyper-wellness-centers/,https://www.restore.com/press,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
41,Oura,19-Dec-2024,Series D,Funding / priced private round,200.0,USD,US$200m,,5200.0,5200.0,USD,Reported post-money,,,,REVENUE - ESTIMATE,225.0,USD,Estimate / approx.; Forward / expected,FY2023 estimate,225.0,USD,FY2024 expected,23.1,Fidelity Management & Research Company; Dexcom,https://techcrunch.com/2024/12/19/oura-closes-200m-round-bringing-its-valuation-to-5-2b/,https://sacra.com/research/oura-at-225m/,,,,,,,,Approximately $500m current annualised,,,4,REVENUE / ARR MULTIPLE,metric_period_basis says FY2023 estimate but denominator_basis says FY2024 expected; contradiction
42,Athletic Greens (AG1),25-Jan-2022,Venture round,Funding / priced private round,115.0,USD,US$115m,,1315.0,1315.0,USD,Reported post-money / implied,,,,RUN_RATE,150.0,USD,Estimate / approx.; Calculated valuation,Early 2022,150.0,USD,Current annualised revenue run-rate,8.8,Alpha Wave Global,https://techcrunch.com/2022/01/25/athletic-greens-valued-at-1-2b-nutrition-drink/,https://techcrunch.com/2022/01/25/athletic-greens-valued-at-1-2b-nutrition-drink/,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
43,Noom,25-May-2021,Series F,Funding / priced private round,540.0,USD,US$540m,,3700.0,3700.0,USD,Reported post-money,,,,REVENUE,400.0,USD,,FY2020,400.0,USD,FY2020,9.3,Silver Lake,https://www.pymnts.com/news/investment-tracker/2021/digital-diet-platform-noom-notches-540m,https://www.pymnts.com/news/investment-tracker/2021/digital-diet-platform-noom-notches-540m,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
44,wefox,11-Jul-2022,Series D (equity and debt),Funding / priced private round,400.0,USD,US$400m,,4500.0,4500.0,USD,Reported post-money,,,,REVENUE,200.0,USD,,First four months of 2022,200.0,USD,4-month reported denominator; not annualised,22.5,Mubadala Investment Company,https://techcrunch.com/2022/07/11/wefox-grabs-400m-at-4-5b-valuation-to-buck-the-insurtech-downturn-trend/,https://techcrunch.com/2022/07/11/wefox-grabs-400m-at-4-5b-valuation-to-buck-the-insurtech-downturn-trend/,,,,,,,4,$600m FY2022 revenue guidance,,,3,NON-ANNUALIZED 4-MONTH PERIOD MULTIPLE,
45,The Zebra,12-Apr-2021,Series D,Funding / priced private round,150.0,USD,US$150m,,1000.0,1000.0,USD,Reported post-money,,,,RUN_RATE,150.0,USD,,March 2021 monthly revenue annualised,150.0,USD,March 2021 monthly revenue annualised,6.7,Hedosophia (reported; company did not name a lead),https://techcrunch.com/2021/04/12/austins-newest-unicorn-insurtech-the-zebra-raises-150m-after-doubling-revenue-in-2020/,https://techcrunch.com/2021/04/12/austins-newest-unicorn-insurtech-the-zebra-raises-150m-after-doubling-revenue-in-2020/,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
46,Alan,20-Sep-2024,Series F,Funding / priced private round,173.0,EUR,EUR173m,,4000.0,4000.0,EUR,Reported post-money,,,,ARR,450.0,EUR,,Expected FY2024 exit ARR,450.0,EUR,Expected FY2024 exit ARR,8.9,Belfius,https://sifted.eu/articles/alan-173m-series-f-news,https://techcrunch.com/2024/09/20/health-insurance-startup-alan-reaches-45-billion-valuation-with-new-funding-round/,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
47,Alan,25-Jun-2026,Series G,Funding / priced private round,480.0,EUR,EUR480m,,5500.0,5500.0,EUR,Reported post-money,,,,ARR,800.0,EUR,>,Current ARR at announcement,800.0,EUR,Current ARR at announcement,6.9,Prosus,https://alan.com/fr-fr/blog/tout-alan/a/alan-leve-480-millions-deuros-pour-faire-de-la-prevention-le-nouveau-standard-mondial-de-la-sante,https://alan.com/fr-fr/blog/tout-alan/a/alan-leve-480-millions-deuros-pour-faire-de-la-prevention-le-nouveau-standard-mondial-de-la-sante,,,,,,GTE,,,,,1,CEILING MULTIPLE - DENOMINATOR FLOOR,
48,wefox,31-May-2021,Series C,Funding / priced private round,650.0,USD,US$650m,,3000.0,3000.0,USD,Reported post-money,,,,REVENUE,140.0,USD,,FY2020,140.0,USD,FY2020,21.4,Target Global,https://techcrunch.com/2021/05/31/european-insurtech-startup-wefox-grabs-650-million-at-3-billion-valuation/,https://techcrunch.com/2021/05/31/european-insurtech-startup-wefox-grabs-650-million-at-3-billion-valuation/,,,,,,,,,,,3,REVENUE / ARR MULTIPLE,
