# Lending and Credit, priced private funding rounds. Transcribed 2 September 2026 from four
# screenshots supplied by Daniil. Addresses point 4 of docs/data-pull-prompts-2sep.md.
# Sheet title: "Lending and Credit - Priced Private Funding Rounds".
# Sheet header: "22 qualifying transactions | 1 Jan 2021-2 Sep 2026 | monetary values in reported
#   currency, millions". Sheet note: "Metrics preserve revenue, run-rate, loan-book/origination and
#   cumulative-volume definitions. Floor-on-floor observations are NM rather than exact multiples."
#
# READ docs/lending-screen-verdicts-2sep.md BEFORE LOADING ANY ROW. Only 7 of these 22 rows carry a
# periodic revenue or ARR denominator. The rest are cumulative-since-inception volume figures and are
# NOT revenue multiples.
#
# COLUMNS: the sheet's columns AC to AN are empty in every row, so no fx rate, fx date or fx source is
# recorded anywhere. Four rows convert currency (Konfio MXN, Monzo GBP, Zilch GBP, Billie EUR) and
# none of those conversions is reproducible from the file.
#
# Three implied-multiple cells could not be read from the screenshots and are marked UNREADABLE with
# the computed value in transcription_note. They are NOT filled in by guess.
sheet_row,company_name,transaction_date,round_type,transaction_class,amount_raised_m,amount_currency,amount_raised_reported,premoney_valuation_m,postmoney_valuation_m,valuation_reference_m,valuation_currency,valuation_basis,transaction_value_m,transaction_value_currency,transaction_value_basis,metric_type,metric_value_m,metric_currency,metric_qualifier,metric_period_basis,multiple_denominator_m,denominator_currency,denominator_basis,implied_multiple_x,lead_investors,valuation_source_url,revenue_metric_source_url,transcription_note
16,Zilch,2021-11-10,Series C,Funding / priced private round,110.0,USD,$110m,,,2000.0,USD,"Reported valuation, floor",,,,CUMULATIVE SALES / TRANSACTION VALUE,100.0,GBP,GTE,"From launch through announcement, 13 months",134.1,USD,"From launch through announcement, 13 months",UNREADABLE,Ventura Capital; Gauss Ventures; DMG Ventures and others,https://www.zilch.com/news/zilch-becomes-fastest-growing-unicorn-bnpl-in-europe/,https://www.zilch.com/news/zilch-becomes-fastest-growing-unicorn-bnpl-in-europe/,"Implied multiple cell could not be read. Floor valuation over floor denominator, so the sheet header note may mark it NM. 2000/134.1 computes to 14.9x. GBP 100m to USD 134.1m implies 1.341, no rate recorded. CONFIRM FROM THE SHEET."
17,Billie,2021-10-25,Series C,Funding / priced private round,100.0,USD,"100,000,000 USD",,640.0,640.0,USD,Post-money; EQ,,,,CUMULATIVE PURCHASES FINANCED,750.0,EUR,EQ,Since inception through May 2021,870.6,USD,Since inception through May 2021,0.74,Dawn Capital,https://techcrunch.com/2021/10/25/billie-a-buy-now-pay-later-specialist-for-the-b2b-market-raises-100m-on-a-640m-valuation/,https://techcrunch.com/2021/10/25/billie-a-buy-now-pay-later-specialist-for-the-b2b-market-raises-100m-on-a-640m-valuation/,"EUR 750m converted to USD 870.6m at an implied 1.1608. No fx rate, date or source recorded."
18,Klarna,2021-06-10,Private equity financing,Funding / priced private round,639.0,USD,$639m,,45600.0,45600.0,USD,Post-money,,,,FULL-YEAR REVENUE,1000.0,USD,GTE,FY2020 (12 months),1000.0,USD,FY2020 (12 months),<=45.60,SoftBank Vision Fund 2 (lead); Adit Ventures; Honeycomb Asset Management; WestCap; existing investors,https://ebs.publicnow.com/view/E72F7F44A6A3C9B68335EC815B2DD799D58D27FB,https://ebs.publicnow.com/view/E72F7F44A6A3C9B68335EC815B2DD799D58D27FB,
19,Pipe,2021-05-19,Venture round (commonly described as strategic equity financing; not formally lettered in source),Funding / priced private round,250.0,USD,"250,000,000 USD",,2000.0,2000.0,USD,Post-money; EQ,,,,TRADABLE ARR CONNECTED TO PLATFORM,1000.0,USD,GTE,Annual recurring revenue connected as of 2021-05-19,1000.0,USD,Annual recurring revenue connected as of 2021-05-19,<=2.00,Greenspring Associates,https://techcrunch.com/2021/05/19/pipe-raises-250m-at-a-2b-valuation/,https://techcrunch.com/2021/05/19/pipe-raises-250m-at-a-2b-valuation/,
20,Clearco (then Clearbanc),2021-04-20,Series C,Funding / priced private round,100.0,USD,"100,000,000 USD",,2000.0,2000.0,USD,"Post-money; LT / approximately (""almost"")",,,,CUMULATIVE CAPITAL INVESTED / ADVANCED,2000.0,USD,EQ,Since inception through 2021-04-20,2000.0,USD,Since inception through 2021-04-20,<1.00,Oak HC/FT,https://www.oakhcft.com/news/clearbanc-rebrands-to-clearco-announces-us-100m-series-c-funding,https://www.oakhcft.com/news/clearbanc-rebrands-to-clearco-announces-us-100m-series-c-funding,
21,Starling Bank,2021-03-08,Series D,Funding / priced private round,272.0,GBP,GBP272m,1100.0,,1100.0,GBP,Pre-money,,,,ANNUALISED REVENUE RUN-RATE,145.0,GBP,APPROX.,January 2021 annualised run-rate,145.0,GBP,Published annualised revenue run-rate,7.59,Fidelity Management & Research Company; Qatar Investment Authority; RPMI Railpen; Millennium Management,https://www.starlingbank.com/news/starling-announces-272m-funding-round-march-2021/,https://www.starlingbank.com/news/starling-announces-272m-funding-round-march-2021/,"PRE-MONEY, not post-money. The multiple 7.59x is struck on a pre-money valuation while every other priced row in this sheet uses post-money or a reference valuation."
22,Klarna,2021-03-01,Private equity financing,Funding / priced private round,1000.0,USD,"$1,000m",,31000.0,31000.0,USD,Post-money,,,,FULL-YEAR REVENUE,1000.0,USD,GTE,FY2020 (12 months),1000.0,USD,FY2020 (12 months),<=31.00,Unspecified new and existing investors; company said the round was oversubscribed,https://techcrunch.com/2021/03/01/daily-crunch-klarna-valued-at-31b/,https://techcrunch.com/2021/03/01/daily-crunch-klarna-valued-at-31b/,
23,Upgrade,16-Nov-2021,Series F,Funding / priced private round,280.0,USD,USD 280m,6000.0,,6000.0,USD,Pre-money,,,,CUMULATIVE CREDIT DELIVERED,10000.0,USD,GTE,Cumulative credit delivered since inception through 16-Nov-2021,10000.0,USD,Cumulative credit delivered since inception through 16-Nov-2021,<=0.60,Coatue Management; DST Global,https://www.upgrade.com/en-ca/press/releases/upgrade-raises-280-million-at-6-billion-valuation/,https://www.upgrade.com/en-ca/press/releases/upgrade-raises-280-million-at-6-billion-valuation/,"PRE-MONEY valuation, not post-money."
24,Tala,14-Oct-2021,Series E,Funding / priced private round,145.0,USD,USD 145m,,,800.0,USD,Reference valuation; Forbes reports company valued at roughly $800m after the round,,,,CREDIT DELIVERED,2700.0,USD,GTE,Cumulative credit delivered from launch through 14-Oct-2021; bound = GTE,2700.0,USD,Cumulative credit delivered from launch through 14-Oct-2021; bound = GTE,<=0.30,Upstart,https://www.forbes.com/sites/maggiemcgrath/2021/10/14/tala-raises-145-million-series-e-to-expand-account-and-crypto-capabilities/,https://tala.co/tala-series-e/,
25,Upgrade,11-Aug-2021,Series E,Funding / priced private round,105.0,USD,USD 105m,3325.0,,3325.0,USD,Pre-money,,,,CUMULATIVE CREDIT DELIVERED,7000.0,USD,GTE,Cumulative credit delivered since inception through 11-Aug-2021,7000.0,USD,Cumulative credit delivered since inception through 11-Aug-2021,<=0.48,Koch Disruptive Technologies,https://www.upgrade.com/press/releases/upgrade-closes-105-million-series-e-round-at-3-325-billion-valuation/,https://www.upgrade.com/press/releases/upgrade-closes-105-million-series-e-round-at-3-325-billion-valuation/,"PRE-MONEY valuation, not post-money."
26,Nubank,08-Jun-2021,Series G second extension,Funding / priced private round,750.0,USD,USD 750m extension (USD 1.15bn total Series G),,,30000.0,USD,Approximate reported valuation,,,,REVENUE,963.0,USD,EQ,FY2020 revenue as reported in same-day transaction coverage; retain source definition as reported,963.0,USD,FY2020 revenue as reported in same-day transaction coverage; retain source definition as reported,31.15,Berkshire Hathaway (USD 500m); Sands Capital; CPP Investments; MSA Capital; Sunley House; Verde Asset Management,https://building.nubank.com/investors-largest-private-capital-raise-in-latam/,https://techcrunch.com/2021/06/08/fintech-all-star-nubank-raises-a-750m-mega-round/,
27,Happy Money,08-Feb-2022,Series D-1,Funding / priced private round,50.0,USD,USD 50m,,,1100.0,USD,Approximate reported financing valuation; pre/post basis unspecified,,,,LOANS FUNDED,3700.0,USD,APPROX.,"Cumulative loans funded by lending partners through 31-Dec-2021; approximate / GTE if source says ""more than""",3700.0,USD,"Cumulative loans funded by lending partners through 31-Dec-2021; approximate / GTE if source says ""more than""",~0.30,Anthemis Group; CMFG Ventures,https://www.pymnts.com/news/investment-tracker/2022/lending-platform-happy-money-valued-at-1-1b/,https://www.pymnts.com/news/investment-tracker/2022/lending-platform-happy-money-valued-at-1-1b/,
