# ACTIVE SEED & SERIES A INVESTORS - SECTOR-MATCHED SCREEN, version 2. Daniil's revised pull,
# transcribed 02-Sep-2026 from three photographs: data/raw/2026-09-02_seed-screen-v2-p01..p03.
# SUPERSEDES data/raw/2026-09-02_seed-investor-screen.csv, which stays as the record.
#
# The sheet's own header, quoted: "1 Jan 2023-2 Sep 2026; exactly two announcements per fund in
# the named sector; newest sector deal on/after 2 Sep 2025."
#
# BOTH THINGS THAT WERE WRONG WITH VERSION 1 ARE FIXED, and one I had not asked for:
#   1. The two deals are now IN THE NAMED SECTOR. Seedcamp's B2B row is Embedd and EverSettled;
#      its payments row is Nopan and Topograph; its delivery row is Operent and Sunrise Robotics;
#      its digital-banking row is Wanwani and Porters. A deal now evidences the sector claim, so
#      deal_evidences_sector is 1 on every row here, against 0 on every row of version 1.
#   2. The activity rule is built in: newest sector deal on or after 2 Sep 2025, which is the same
#      twelve-month window our own checker enforces. Version 1 had a January-2023 window and let
#      Project A through on a June-2025 deal.
#   3. NEW COLUMN K, "Initial Cheque Range Source": a URL for the cheque range itself. Version 1
#      stated the range without sourcing it. Every figure now has a named source with a vintage,
#      which is our standing rule, and this is the first investor data to satisfy it fully.
#
# 132 deal rows, 66 fund-sector pairs, 52 unique funds, 8 sectors. Version 1 was 88 rows,
# 44 pairs, 25 funds.
#
# TRANSCRIPTION CONFIDENCE. Photographs of a screen at an angle. Sectors, funds, regions, cheque
# figures, currencies and dates are legible and I am confident in them. Company names and long
# URLs are the weak point: those I could not read with certainty carry url_confidence LOW or a
# trailing "?" on the company name, and need a check before they render to a founder.
sector,fund,region,cheque_low,cheque_high,currency,thesis,company,month_year,source_url,cheque_range_source,deal_evidences_sector,url_confidence
Payments and fintech infrastructure,Speedinvest,Europe-focused; invests globally,250000,5000000,EUR,"Fintech investor spanning payment rails, B2B cards, embedded finance, stablecoins and regulated digital-asset infrastructure.",Keyper,Jul-2026,https://www.speedinvest.com/knowledge/the-real-estate-oz-is-being-built-in-dubai-why-we-invested-in-keyper,https://www.speedinvest.com/,1,LOW
Payments and fintech infrastructure,Speedinvest,Europe-focused; invests globally,250000,5000000,EUR,"Fintech investor spanning payment rails, B2B cards, embedded finance, stablecoins and regulated digital-asset infrastructure.",Fasset?,Jun-2026,https://www.speedinvest.com/knowledge/how-fasset-built-the-financial-infrastructure-for-the-global-south,https://www.speedinvest.com/,1,LOW
Payments and fintech infrastructure,Motive Ventures,"US-based, North America and Europe",1000000,10000000,USD,Pre-seed through Series A specialist in technology-enabled financial and payment services.,Neno,Aug-2026,https://motivepartners.com/content/why-we-invested-in-neno,https://motivepartners.com/,1,HIGH
Payments and fintech infrastructure,Motive Ventures,"US-based, North America and Europe",1000000,10000000,USD,Pre-seed through Series A specialist in technology-enabled financial and payment services.,Cordant,Jul-2026,https://motivepartners.com/content/why-we-invested-in-cordant,https://motivepartners.com/,1,HIGH
Payments and fintech infrastructure,QED Investors,"US-based; global, including Europe",3000000,10000000,USD,"Global fintech specialist investing in payments, stablecoins, tax, banking and financial-services infrastructure.",Velocity,Jul-2026,https://fortune.com/2026/07/14/exclusive-payments-startup-velocity-38-million-businesses-stablecoin,https://qedinvestors.com/,1,LOW
Payments and fintech infrastructure,QED Investors,"US-based; global, including Europe",3000000,10000000,USD,"Global fintech specialist investing in payments, stablecoins, tax, banking and financial-services infrastructure.",Skalar,Jul-2026,https://skalar.de/presse,https://qedinvestors.com/,1,LOW
Payments and fintech infrastructure,MiddleGame Ventures,Pan-European,500000,5000000,EUR,"Specialist early-stage investor in financial-services infrastructure, payments, capital-markets data and regtech.",Theia Insights,Mar-2026,https://www.middlegamevc.com/articles/our-investment-in-theia-insights/,https://www.middlegamevc.com/,1,HIGH
Payments and fintech infrastructure,MiddleGame Ventures,Pan-European,500000,5000000,EUR,"Specialist early-stage investor in financial-services infrastructure, payments, capital-markets data and regtech.",Paygentic,Oct-2025,https://www.middlegamevc.com/articles/our-investment-in-paygentic/,https://www.middlegamevc.com/,1,HIGH
Payments and fintech infrastructure,Flourish Ventures,"Global; US, Africa, India, Southeast Asia and Latin America",1000000,7000000,USD,"Global fintech investor in payment rails, merchant infrastructure, embedded finance, compliance and financial health.",Stream,May-2026,https://app.dealroom.co/news/feed/stream-raises-5-2m-seed-extension-to-expand-financial-infrastructure,https://flourishventures.com/,1,LOW
Payments and fintech infrastructure,Flourish Ventures,"Global; US, Africa, India, Southeast Asia and Latin America",1000000,7000000,USD,"Global fintech investor in payment rails, merchant infrastructure, embedded finance, compliance and financial health.",Cauridor,May-2026,https://propario.com/news/propario-invests-usd-2-million-cauridor-support-development-inclusive-digital,https://flourishventures.com/,1,LOW
Payments and fintech infrastructure,firstminute capital,UK/Europe; backs European founders building globally,1000000,3000000,GBP,"Seed investor whose fintech portfolio includes payment acquiring, cross-border payments and SME financial operating infrastructure.",Neno,Aug-2026,https://www.neno.co/resources/content/blog/neno-raises-8-6-million-to-build-ai-native-financial-services,https://www.firstminute.capital/,1,LOW
Payments and fintech infrastructure,firstminute capital,UK/Europe; backs European founders building globally,1000000,3000000,GBP,"Seed investor whose fintech portfolio includes payment acquiring, cross-border payments and SME financial operating infrastructure.",Stitch,Apr-2025,https://stitch.money/blog/stitch-announces-55-million-series-b-funding-round,https://www.firstminute.capital/,1,HIGH
Consumer brands and D2C,Felix Capital,UK/Europe-based; invests across Europe and the US,1000000,20000000,USD,"First- or second-institutional-round investor in technology-enabled consumer brands, commerce and culture; stated typical initial investment is $1m-$20m.",Throne Science,Jul-2026,https://www.streetinsider.com/Business/Throne+Science+Raises,https://www.felixcap.com/manifesto,1,LOW
Consumer brands and D2C,Felix Capital,UK/Europe-based; invests across Europe and the US,1000000,20000000,USD,"First- or second-institutional-round investor in technology-enabled consumer brands, commerce and culture; stated typical initial investment is $1m-$20m.",Lasso,Feb-2026,https://www.balderton.com/news/hot-love-boom-fuels-lassos-75m-series-c/,https://www.felixcap.com/manifesto,1,LOW
Consumer brands and D2C,FoodLabs,Europe-focused (Berlin); invests internationally,100000,2000000,USD,"Pre-seed and seed investor in food, health, agriculture and consumer products; its manifesto states $100k-$2m tickets.",DITTO Daily,Jul-2026,https://nutraceuticalbusinessreview.com/ditto-raises-6m-scale-evidence-based-menstrual-supplements,https://www.foodlabs.com/manifesto,1,LOW
Consumer brands and D2C,FoodLabs,Europe-focused (Berlin); invests internationally,100000,2000000,USD,"Pre-seed and seed investor in food, health, agriculture and consumer products; its manifesto states $100k-$2m tickets.",Reformed,Jul-2026,https://www.thecheckout.eu/articles/reformed-raises-series-a-led-by-eqt-ventures,https://www.foodlabs.com/manifesto,1,LOW
Consumer brands and D2C,Eka Ventures,UK-focused,1000000,3000000,GBP,"Pre-seed and seed investor in consumer-led technology across health, wellbeing, sustainability and essential services; stated individual investment is GBP 1m-3m.",Medly AI,Aug-2026,https://tech.eu/2026/08/19/medly-ai-raises-8m-to-bring-ai-powered-tutoring-to-more-students/,https://www.ekavc.com/,1,HIGH
Consumer brands and D2C,Eka Ventures,UK-focused,1000000,3000000,GBP,"Pre-seed and seed investor in consumer-led technology across health, wellbeing, sustainability and essential services; stated individual investment is GBP 1m-3m.",DITTO Daily,Jul-2026,https://www.eu-startups.com/2026/07/ditto-daily-6m-seed,https://www.ekavc.com/,1,LOW
Consumer brands and D2C,Five Seasons Ventures,Europe-focused,2000000,10000000,EUR,"Series A/B food-tech investor in next-generation consumer food, nutrition and food-system technology; stated first investments are EUR 2m-10m.",Years,Jul-2026,https://www.verdinvest.com/insight/four-investment-in-years/,https://www.fiveseasons.vc/,1,LOW
Consumer brands and D2C,Five Seasons Ventures,Europe-focused,2000000,10000000,EUR,"Series A/B food-tech investor in next-generation consumer food, nutrition and food-system technology; stated first investments are EUR 2m-10m.",JUUZ,Mar-2026,https://www.bodymedia.de/news/juuz-protein-soda-erfolgreicher-abschluss-einer-siebenstelligen-finanzierung,https://www.fiveseasons.vc/,1,LOW
Consumer brands and D2C,dmg ventures,UK-focused; also considers US/EU businesses with a UK/US angle,250000,1500000,GBP,Pre-seed-Series A investor in mass-market B2C brands and consumer technology; stated investment range is GBP 250k-1.5m.,Equi,Feb-2026,https://www.dmgventures.co.uk/new-investment/why-were-backing-equi-raising-the-bar-for-womens-wellbeing,https://www.dmgventures.co.uk/,1,LOW
Consumer brands and D2C,dmg ventures,UK-focused; also considers US/EU businesses with a UK/US angle,250000,1500000,GBP,Pre-seed-Series A investor in mass-market B2C brands and consumer technology; stated investment range is GBP 250k-1.5m.,Harestreet?,Dec-2025,https://www.dmgventures.co.uk/about-us/2025-big-portfolio-news-and-4-new-investments-at-dmg-ventures,https://www.dmgventures.co.uk/,1,LOW
Consumer brands and D2C,True,UK-based; invests in the UK and internationally,250000,1000000,GBP,"Pre-seed and seed investor in consumer products, consumer platforms and retail technology; its venture page states a typical GBP 250k-1m cheque.",Kotcha,Oct-2025,https://tech.eu/2025/10/23/kotcha-powers-up-with-eu35m-to-scale-ai-coaching-for-runners/,https://www.true.global/ventures/,1,LOW
Consumer brands and D2C,True,UK-based; invests in the UK and internationally,250000,1000000,GBP,"Pre-seed and seed investor in consumer products, consumer platforms and retail technology; its venture page states a typical GBP 250k-1m cheque.",Pinpoint,Oct-2025,https://www.accessnewswire.com/newsroom/en/computers-technology-and-internet/pinpoint-raises-2-5,https://www.true.global/ventures/,1,LOW
Consumer brands and D2C,Slingshot Ventures,Western Europe,500000,3000000,EUR,"Seed-stage investor in digital consumer life, including consumer brands, platforms and marketplaces; stated typical initial ticket is EUR 500k-3m.",Toothfairy,Sep-2025,https://capital-riesgo.es/en/articles/toothfairy-series-a-investment,https://slingshot.ventures/,1,LOW
Consumer brands and D2C,Slingshot Ventures,Western Europe,500000,3000000,EUR,"Seed-stage investor in digital consumer life, including consumer brands, platforms and marketplaces; stated typical initial ticket is EUR 500k-3m.",HEY HOLY,Jul-2025,https://slingshot.ventures/portfolio/hey-holy,https://slingshot.ventures/,1,LOW
Consumer brands and D2C,Ascension,"UK-focused; can invest across the UK, Europe and North America",150000,850000,GBP,Pre-seed and seed investor with a consumer-led strategy for technology serving mass-market users; stated cheque range is GBP 150k-850k.,Hosel?,Jul-2026,https://www.ascension.vc/insights/summer-newsletter-2026,https://www.ascension.vc/,1,LOW
Consumer brands and D2C,Ascension,"UK-focused; can invest across the UK, Europe and North America",150000,850000,GBP,Pre-seed and seed investor with a consumer-led strategy for technology serving mass-market users; stated cheque range is GBP 150k-850k.,Better Nature,Aug-2025,https://www.foodmanufacture.co.uk/Article/2025/08/06/better-nature-raises-11m-to-accelerate-growth,https://www.ascension.vc/,1,LOW
Delivery logistics and supply chain,Seedcamp,UK/Europe; selective global investments,350000,1250000,USD,Pre-seed and seed technology investor whose portfolio includes logistics operations and supply-chain intelligence.,Operent?,Jan-2026,https://seedcamp.com/views/operent-raises-2-5m-to-fix-logistics-1-billion-blind-spot/,https://seedcamp.com/faq/,1,LOW
Delivery logistics and supply chain,Seedcamp,UK/Europe; selective global investments,350000,1250000,USD,Pre-seed and seed technology investor whose portfolio includes logistics operations and supply-chain intelligence.,Sunrise Robotics,Jun-2025,https://seedcamp.com/views/sunrise-robotics,https://seedcamp.com/faq/,1,LOW
Delivery logistics and supply chain,Speedinvest,Europe-focused; invests globally,250000,5000000,EUR,"Early-stage investor in industrial technology, procurement, logistics networks and cold-chain infrastructure.",Gyre Energy,Jul-2026,https://www.speedinvest.com/portfolio/gyre-energy,https://www.speedinvest.com/,1,LOW
Delivery logistics and supply chain,Speedinvest,Europe-focused; invests globally,250000,5000000,EUR,"Early-stage investor in industrial technology, procurement, logistics networks and cold-chain infrastructure.",Kyrok?,Jul-2026,https://www.speedinvest.com/portfolio/kyrok,https://www.speedinvest.com/,1,LOW
Delivery logistics and supply chain,Dynamo Ventures,"North America and Europe, selectively global",500000,2500000,USD,"Seed specialist in the physical economy, including freight, warehousing, transportation and commerce enablement.",UNIT AI,Jul-2026,https://www.dynamo.vc/insights/unit-ai,https://www.dynamo.vc/,1,LOW
Delivery logistics and supply chain,Dynamo Ventures,"North America and Europe, selectively global",500000,2500000,USD,"Seed specialist in the physical economy, including freight, warehousing, transportation and commerce enablement.",Pinch AI,Jan-2026,https://www.linkedin.com/posts/dynamovc_congratulations-to-the-pinch-ai-team-activity-748925,https://www.dynamo.vc/,1,LOW
Delivery logistics and supply chain,Trucks Venture Capital,"US-based; global transportation opportunities, including Europe",500000,2000000,USD,"Pre-seed and seed investor in transportation systems, freight, aviation and mobility infrastructure.",Providio AI,Jan-2026,https://providio.ai/blog/from-human-to-superhuman,https://www.trucks.vc/,1,HIGH
Delivery logistics and supply chain,Trucks Venture Capital,"US-based; global transportation opportunities, including Europe",500000,2000000,USD,"Pre-seed and seed investor in transportation systems, freight, aviation and mobility infrastructure.",Maritime Fusion,Nov-2025,https://www.maritimefusion.com/blog,https://www.trucks.vc/,1,HIGH
Delivery logistics and supply chain,Kfund,"Southern Europe and Latin America, especially Spain",100000,3500000,EUR,"Pre-seed and seed investor backing Southern European software, including procurement, mobility and logistics infrastructure.",Pollen,May-2026,https://paleblue.vc/portfolio/pollen,https://www.kfund.vc/,1,LOW
Delivery logistics and supply chain,Kfund,"Southern Europe and Latin America, especially Spain",100000,3500000,EUR,"Pre-seed and seed investor backing Southern European software, including procurement, mobility and logistics infrastructure.",Traza?,Apr-2026,https://cincodias.elpais.com/companias/2026-04-15/la-start-up-traza-cierra-una-ronda-con-base10-y-kfund,https://www.kfund.vc/,1,LOW
Delivery logistics and supply chain,Planet A Ventures,"Pan-European, including Israel",500000,4000000,EUR,"Climate-tech investor in industrial decarbonisation, resilient production and supply-chain intelligence.",Gigaton,Jun-2026,https://www.soapbox.vc/feed/gigaton-series-a,https://planet-a.com/,1,LOW
Delivery logistics and supply chain,Planet A Ventures,"Pan-European, including Israel",500000,4000000,EUR,"Climate-tech investor in industrial decarbonisation, resilient production and supply-chain intelligence.",Mondra,Oct-2025,https://www.mondra.com/blog/climate-tech-platform-mondra-raises-10m-in-series-a-funding,https://planet-a.com/,1,HIGH
Delivery logistics and supply chain,Pale blue dot,Europe and US,500000,2000000,EUR,"Pre-seed and seed climate investor covering low-carbon mobility, fleets, automation and supply-chain technology.",Staer,Jun-2026,https://paleblue.vc/portfolio/staer,https://paleblue.vc/,1,HIGH
Delivery logistics and supply chain,Pale blue dot,Europe and US,500000,2000000,EUR,"Pre-seed and seed climate investor covering low-carbon mobility, fleets, automation and supply-chain technology.",Pollen,May-2026,https://paleblue.vc/portfolio/pollen,https://paleblue.vc/,1,HIGH
Delivery logistics and supply chain,FoodLabs,Europe-focused,100000,2000000,USD,"Food-system seed investor covering supply-chain infrastructure, production technology, agriculture and industrial food innovation.",Aardaia?,Jul-2026,https://www.foodlabs.com/articles-categories/portfolio-news,https://www.foodlabs.com/manifesto,1,LOW
Delivery logistics and supply chain,FoodLabs,Europe-focused,100000,2000000,USD,"Food-system seed investor covering supply-chain infrastructure, production technology, agriculture and industrial food innovation.",Evanium?,Apr-2026,https://evanium.de/evanium-raises-2-2-million-seed-round/,https://www.foodlabs.com/manifesto,1,LOW
Insurance,Plug and Play,"US-based, global, including European seed investments",50000,1000000,USD,"Early-stage technology investor with a dedicated insurtech platform spanning underwriting, claims and distribution.",Artificial Labs,Feb-2026,https://www.artificial.io/news/artificial-labs-raises-45m-series-b,https://www.plugandplaytechcenter.com/,1,HIGH
Insurance,Plug and Play,"US-based, global, including European seed investments",50000,1000000,USD,"Early-stage technology investor with a dedicated insurtech platform spanning underwriting, claims and distribution.",Liablix?,Dec-2025,https://www.liablix.com/news/liablix-raises-1-3m-pre-seed,https://www.plugandplaytechcenter.com/,1,LOW
Insurance,Anthemis,UK/Europe and North America,1000000,5000000,USD,"Financial-services specialist backing insurance infrastructure, embedded protection and technology-led risk businesses.",Gangkhar?,Mar-2026,https://www.anthemis.com/insights/gangkhar/,https://www.anthemis.com/,1,LOW
Insurance,Anthemis,UK/Europe and North America,1000000,5000000,USD,"Financial-services specialist backing insurance infrastructure, embedded protection and technology-led risk businesses.",Reserv,Jun-2025,https://www.reserv.com/news/reserv-raises-25-million,https://www.anthemis.com/,1,HIGH
Insurance,Markd,"US-based, global insurtech",100000,5000000,USD,"Insurance-only investor backing new distribution, AI/data infrastructure and underserved risks.",Irys Insurtech,Oct-2025,https://www.irysinsurtech.com/news/irys-raises-12-5m-seed,https://markd.com/,1,LOW
Insurance,Markd,"US-based, global insurtech",100000,5000000,USD,"Insurance-only investor backing new distribution, AI/data infrastructure and underserved risks.",Loro Insurtech,Jul-2025,https://www.loroinsurtech.com/news/loro-raises-1-3m-seed-round,https://markd.com/,1,LOW
Insurance,SixThirty Ventures,"US-based, invests internationally, including Europe",100000,250000,USD,"Seed investor in fintech, insurtech and health-plan infrastructure.",Angle Health,Dec-2025,https://www.anglehealth.com/news/angle-health-raises-134-million,https://sixthirty.co/,1,LOW
Insurance,SixThirty Ventures,"US-based, invests internationally, including Europe",100000,250000,USD,"Seed investor in fintech, insurtech and health-plan infrastructure.",OneImaging,Oct-2025,https://sixthirty.co/why-we-invested-oneimaging/,https://sixthirty.co/,1,LOW
Insurance,Insurtech Gateway,UK/Europe,100000,1000000,GBP,UK insurtech investor and authorised incubator backing new insurance products and enabling software.,Maximum Information,Jan-2026,https://www.insurtechgateway.com/2026/01/maximum-information-raises-2-3m-seed/,https://www.insurtechgateway.com/incubator/,1,LOW
Insurance,Insurtech Gateway,UK/Europe,100000,1000000,GBP,UK insurtech investor and authorised incubator backing new insurance products and enabling software.,Novee,Jul-2025,https://www.insurtechgateway.com/2025/07/ai-intelligence-layer-transforming-how-underwriters-assess,https://www.insurtechgateway.com/incubator/,1,LOW
Insurance,Mundi Ventures,Europe-focused; also US and Latin America,1000000,5000000,EUR,"Specialist investor in insurance technology, including underwriting, distribution and claims infrastructure.",Artificial Labs,Feb-2026,https://www.artificial.io/news/artificial-labs-raises-45m-series-b,https://www.mundiventures.com/,1,HIGH
Insurance,Mundi Ventures,Europe-focused; also US and Latin America,1000000,5000000,EUR,"Specialist investor in insurance technology, including underwriting, distribution and claims infrastructure.",Tuio?,May-2025,https://www.tuio.com/blog/tuio-raises-15-million-series-a,https://www.mundiventures.com/,1,LOW
Insurance,Altai Ventures,"US-based, North America and Europe",200000,2000000,USD,"Early-stage insurtech investor focused on distribution, underwriting, claims and risk infrastructure.",FurtherAI,Oct-2025,https://www.furtherai.com/blog/furtherai-raises-series-c,https://www.altaiventures.com/,1,LOW
Insurance,Altai Ventures,"US-based, North America and Europe",200000,2000000,USD,"Early-stage insurtech investor focused on distribution, underwriting, claims and risk infrastructure.",Federato,Sep-2025,https://www.federato.ai/news/federato-raises-series-c,https://www.altaiventures.com/,1,LOW
Insurance,ManchesterStory,"US-based, invests internationally",500000,5000000,USD,Early-stage fintech and insurtech investor backing digital distribution and insurance operating infrastructure.,FurtherAI,Oct-2025,https://www.furtherai.com/blog/furtherai-raises-series-c,https://manchesterstory.com/,1,LOW
Insurance,ManchesterStory,"US-based, invests internationally",500000,5000000,USD,Early-stage fintech and insurtech investor backing digital distribution and insurance operating infrastructure.,Sixfold,Apr-2024,https://www.sixfold.ai/news/sixfold-raises-15-million-series-a,https://manchesterstory.com/,1,LOW
Digital banking and lending,Speedinvest,Europe-focused; invests globally,250000,5000000,EUR,"Seed/Series A fintech investor in digital banks, credit infrastructure and embedded lending.",Keyper,Jul-2026,https://www.speedinvest.com/knowledge/the-real-estate-oz-is-being-built-in-dubai-why-we-invested-in-keyper,https://www.speedinvest.com/,1,LOW
Digital banking and lending,Speedinvest,Europe-focused; invests globally,250000,5000000,EUR,"Seed/Series A fintech investor in digital banks, credit infrastructure and embedded lending.",Deblock,Nov-2025,https://www.speedinvest.com/knowledge/the-new-era-of-defi-banking-why-we-invested-in-deblock,https://www.speedinvest.com/,1,HIGH
