# RAW. Listed ecommerce, marketplaces, travel, classifieds, media and consumer brands, WITH GMV.
# S&P Capital IQ Pro screen, currency USD, as supplied by Daniil 30-Aug-2026. 74 names, rows 9-82.
# DO NOT EDIT. Derived working copy is data/peers-ecommerce.csv.
#
# THE FORWARD GMV FIGURES ARE DANIIL'S, NOT THE BROKERS'. His note, verbatim in substance: brokers
# do not usually publish GMV estimates, so he assumed GMV grows at the same rate as revenue in local
# currency, then built NTM GMV by pro-rating the 2026 figure at about 36% of the year remaining and
# the 2027 figure at about 64% of NTM. So:
#   gmv_cy0_musd     is the company's own reported figure where one exists
#   gmv_cy1/cy2/ntm  are DERIVED by applying revenue growth to that reported base
# Any EV/GMV multiple built on the forward columns therefore inherits a growth assumption. It is a
# reasonable one and it is not a broker estimate, and the reveal must never present it as though a
# third party forecast it. Company-reported GMV, with its exact definition, period and scope, is in
# data/gmv-disclosures.csv, which is the file to cite to a founder.
#
# GROWTH IS DEFINED DIFFERENTLY IN THIS PULL FROM THE SOFTWARE AND FINTECH PULLS OF THE SAME DAY.
# Here there are four revenue years, CY+0 to CY+3, and three growth columns:
#   revenue_growth_cagr_cy1_cy3_pct   TWO-YEAR CAGR FROM CY+1 TO CY+3. Verified by recomputation on
#                                     Amazon, JD, PDD, Sea and MercadoLibre.
#   revenue_growth_cy1_pct            CY+0 to CY+1
#   revenue_growth_cy2_pct            CY+1 to CY+2
# The software and fintech files carry a CY+0 to CY+2 CAGR. Both are two-year forward CAGRs but they
# are anchored a year apart, so they are close cousins and NOT the same measure. The loader takes
# the CY+1 to CY+3 figure here and the CY+0 to CY+2 figure there, and records which in g_basis so a
# comparison across the two can never be made silently.
#
# TWO ROWS LOOK WRONG ON THE SCREEN AND ARE TRANSCRIBED AS SHOWN RATHER THAN CORRECTED.
#   Autohome: local revenue jumps 6,452 to 729 between CY+0 and CY+1, which reads as a currency
#             switch in the source, and its enterprise value of $29m against a $2.6bn market cap
#             implies a very large net cash position. Growth of -89% is an artefact of the first.
#   CarMax:   revenue NTM and local CY+1 disagree slightly, 26,386 against 26,986.
# Both are flagged rather than fixed, because guessing at a source error is how a wrong number gets
# laundered into looking right.
company_name,exchange_ticker,market_cap_musd,enterprise_value_musd,gmv_cy0_musd,gmv_cy1_musd,gmv_cy2_musd,gmv_ntm_musd,revenue_cy1_musd,revenue_cy2_musd,revenue_ntm_musd,gross_profit_musd,ev_ntm_gmv_x,ev_ntm_revenue_x,ev_ntm_gp_x,revenue_local_cy0,revenue_local_cy1,revenue_local_cy2,revenue_local_cy3,revenue_growth_cagr_cy1_cy3_pct,revenue_growth_cy1_pct,revenue_growth_cy2_pct
Delivery Hero SE,XTRA:DHER,13060,16215,55621,61943,68220,65950,18279,20131,19461,4958,0.2,0.8,3.3,14060,15658,17244,18893,10,11,10
Meituan,SEHK:3690,66914,54020,,,,,59818,68056,65077,20167,,0.8,2.7,364855,402119,457502,514259,13,10,14
Eternal Limited,NSEI:ETERNAL,31518,31303,,,,,9017,13640,11968,4642,,2.6,6.7,429050,862716,1305057,1711459,41,101,51
Swiggy Limited,NSEI:SWIGGY,7695,6785,7670,10309,13211,12162,2961,3795,3433,1965,0.6,1.9,3.5,210798,283317,363090,432875,24,34,28
Maplebear Inc.,NASDAQGS:CART,11536,10685,37224,42243,46672,45071,4247,4692,4531,3317,0.2,2.4,3.2,3742,4247,4692,5152,10,13,10
Booking Holdings Inc.,NASDAQGS:BKNG,157504,160918,186107,202292,221314,214435,29258,32009,31014,,0.8,5.2,,26917,29258,32009,34629,9,9,9
"Expedia Group, Inc.",NASDAQGS:EXPE,38602,37725,119590,131514,140860,137480,16202,17353,16937,15324,0.3,2.2,2.5,14733,16202,17353,18650,7,10,7
"Airbnb, Inc.",NASDAQGS:ABNB,110429,100856,91273,105524,117418,113117,14152,15747,15171,12618,0.9,6.6,8.0,12241,14152,15747,17452,11,16,11
"Tripadvisor, Inc.",NASDAQGS:TRIP,1172,1197,4700,3935,4095,4037,1583,1647,1624,1500,0.3,0.7,0.8,1891,1583,1647,1665,3,-16,4
Trip.com Group Limited,NASDAQGS:TCOM,29036,22068,,,,,10041,11195,10778,8586,,2.0,2.6,56005,67497,75260,82983,11,21,12
trivago N.V.,NASDAQGS:TRVG,382,239,,,,,738,809,784,752,,0.3,0.3,549,633,693,766,10,15,10
MakeMyTrip Limited,NASDAQGS:MMYT,5687,6355,10391,13455,14934,14399,1192,1323,1275,936,0.4,5.0,6.8,920,1192,1323,1519,13,29,11
"CarGurus, Inc.",NASDAQGS:CARG,3282,3345,,,,,1014,1105,1072,990,,3.1,3.4,907,1014,1105,1187,8,12,9
Cars.com Inc.,NYSE:CARS,654,1068,,,,,730,748,741,618,,1.4,1.7,709,730,748,766,2,3,2
Autotrader Group plc,LSE:AUTO,5835,6028,,,,,876,920,904,,,6.7,,620,643,675,706,5,4,5
Autohome Inc.,NYSE:ATHM,2572,29,,,,,729,766,752,568,,0.0,0.1,6452,729,766,757,2,-89,5
Carvana Co.,NYSE:CVNA,50329,54004,,,,,28899,35944,33396,6335,,1.6,8.5,20322,28899,35944,44531,24,42,24
ACV Auctions Inc.,NASDAQGS:ACVA,1262,1269,10400,11613,12926,12451,848,944,909,459,0.1,1.4,2.8,760,848,944,1081,13,12,11
Opendoor Technologies Inc.,NASDAQGS:OPEN,3428,4476,,,,,3933,7457,6182,579,,0.7,7.7,4371,3933,7457,9314,54,-10,90
"CarMax, Inc.",NYSE:KMX,8817,27517,,,,,26386,27333,27207,2809,,1.0,9.8,25938,26986,27333,28236,2,4,1
"OPENLANE, Inc.",NYSE:OPLN,4101,6384,28800,32582,35193,34248,2189,2364,2300,1001,0.2,2.8,6.4,1935,2189,2364,2561,8,13,8
"Zillow Group, Inc.",NASDAQGS:Z,8111,7971,,,,,2948,3298,3171,2316,,2.5,3.4,2533,2948,3298,3681,12,16,12
Rightmove plc,LSE:RMV,5151,5112,,,,,620,670,652,319,,7.8,16.0,425,455,491,533,8,7,8
Scout24 SE,XTRA:G24,6264,7005,,,,,892,991,955,899,,7.3,7.8,650,764,849,925,10,18,11
REA Group Limited,ASX:REA,16496,16057,,,,,1316,1418,1381,1071,,11.6,15.0,1957,1836,1978,2183,9,-6,8
Hemnet Group AB (publ),OM:HEM,935,1006,,,,,144,178,166,110,,6.1,9.1,1527,1361,1684,1894,18,-11,24
"CoStar Group, Inc.",NASDAQGS:CSGP,13072,12974,,,,,3736,4126,3985,3141,,3.3,4.1,3247,3736,4126,4614,11,15,10
Upwork Inc.,NASDAQGS:UPWK,1075,840,4028,3795,3767,3777,742,737,739,563,0.2,1.1,1.5,788,742,737,786,3,-6,-1
Fiverr International Ltd.,NYSE:FVRR,331,25,1073,910,794,836,365,319,336,284,0.0,0.1,0.1,431,365,319,331,-5,-15,-13
Angi Inc.,NASDAQGS:ANGI,200,433,,,,,955,946,949,907,,0.5,0.5,1031,955,946,994,2,-7,-1
SEEK Limited,ASX:SEK,3670,3292,,,,,911,946,933,927,,3.5,3.5,1207,1270,1319,1447,7,5,4
Info Edge (India) Limited,NSEI:NAUKRI,9140,8942,,,,,350,397,380,228,,23.5,39.2,31654,33506,37966,43356,14,6,13
MONY Group plc,LSE:MONY,1444,1501,,,,,617,636,630,403,,2.4,3.7,446,453,467,484,3,1,3
"Match Group, Inc.",NASDAQGS:MTCH,9382,12466,,,,,3480,3619,3568,2700,,3.5,4.6,3487,3480,3619,3828,5,0,4
Bumble Inc.,NASDAQGS:BMBL,370,776,,,,,834,806,816,602,,1.0,1.3,966,834,806,808,-2,-14,-3
Grindr Inc.,NYSE:GRND,2699,3079,,,,,543,636,602,451,,5.1,6.8,440,543,636,743,17,23,17
"Netflix, Inc.",NASDAQGS:NFLX,331408,338935,,,,,51221,57006,54914,27884,,6.2,12.2,45183,51221,57006,62807,11,13,11
Spotify Technology S.A.,NYSE:SPOT,109724,102277,,,,,22807,26041,24871,8272,,4.1,12.4,17186,19536,22306,25323,14,14,14
"Duolingo, Inc.",NASDAQGS:DUOL,6837,5609,,,,,1207,1365,1308,936,,4.3,6.0,1038,1207,1365,1534,13,16,13
The New York Times Company,NYSE:NYT,10595,9378,,,,,3110,3323,3246,,,2.9,,2517,3110,3323,3520,6,24,7
Roblox Corporation,NYSE:RBLX,27411,26210,6788,9561,10822,10366,6888,7796,7468,6010,2.5,3.5,4.4,4891,6888,7796,9171,15,41,13
"Roku, Inc.",NASDAQGS:ROKU,23375,21291,,,,,5623,6306,6059,2768,,3.5,7.7,4737,5623,6306,7076,12,19,12
"Coursera, Inc.",NYSE:COUR,1586,614,,,,,1236,1507,1409,863,,0.4,0.7,758,1236,1507,1560,12,63,22
"Chegg, Inc.",NYSE:CHGG,91,69,,,,,198,146,165,30,,0.4,0.4,377,198,146,,-26,-47,-26
"Chewy, Inc.",NYSE:CHWY,9834,9838,,,,,13489,14434,14092,4230,,0.7,2.3,12602,13489,14434,15389,7,7,7
Wayfair Inc.,NYSE:W,13905,16278,,,,,13416,14398,14043,4200,,1.2,3.9,12457,13416,14398,15490,7,8,7
"Hims & Hers Health, Inc.",NYSE:HIMS,7881,8587,,,,,3205,4004,3715,2459,,2.3,3.5,2348,3205,4004,4562,19,37,25
Warby Parker Inc.,NYSE:WRBY,3392,3350,,,,,971,1134,1075,585,,3.1,5.7,872,971,1134,1545,26,11,17
"Revolve Group, Inc.",NYSE:RVLV,1689,1410,,,,,1389,1514,1469,793,,1.0,1.8,1226,1389,1514,1622,8,13,9
"The RealReal, Inc.",NASDAQGS:REAL,1353,1697,2130,2446,2716,2618,796,883,852,635,0.6,2.0,2.7,693,796,883,982,11,15,11
On Holding AG,NYSE:ONON,10033,9195,,,,,4385,5203,4907,3189,,1.9,2.9,3014,3514,4170,5030,20,17,19
"e.l.f. Beauty, Inc.",NYSE:ELF,6015,6600,,,,,1927,2088,2030,1486,,3.3,4.4,1520,1927,2088,2235,8,27,8
"FIGS, Inc.",NYSE:FIGS,2439,2200,,,,,761,821,799,554,,2.8,4.0,631,761,821,873,7,21,8
"BARK, Inc.",NYSE:BARK,92,112,,,,,340,340,340,216,,0.3,0.5,424,340,340,372,5,-20,0
"YETI Holdings, Inc.",NYSE:YETI,3194,3387,,,,,2011,2156,2103,1223,,1.6,2.8,1868,2011,2156,2289,7,8,7
Similarweb Ltd.,NYSE:SMWB,727,699,,,,,316,351,339,274,,2.1,2.6,283,316,351,395,12,12,11
ZoomInfo Technologies Inc.,NASDAQGS:GTM,1156,2521,,,,,1212,1183,1194,1032,,2.1,2.4,1250,1212,1183,1206,0,-3,-2
