# LISTED FULL REFRESH, 1-Sep-2026. Transcribed by Opus from Daniil's screenshots in the session they
# arrived. The source workbook is in another sandbox and cannot be exported, so this is the only
# transfer route available. Daniil recalculated fiscal-year figures and calendarised them by hand,
# and added the broker estimate count for FY+1 revenue.
# na = n.a. in the sheet. nm = n.m. HIDDEN = the cell was truncated by column width and unreadable.
# BROKEN = the sheet itself shows #DIV/0! or #N/A.
#
# TWO CORRECTIONS FROM DANIIL, 1-Sep, applied here.
# 1. TSE:9418 U-NEXT gross profit is 955, not the 355 I first read. It now ties: 2155/955 = 2.3x,
#    which is the multiple the sheet shows. This was the single discrepancy the check could not
#    explain by rounding, and it is closed.
# 2. NASDAQ:MELI and NASDAQGS:MELI are NOT a duplicate to be collapsed. Same enterprise value,
#    two different volume denominators: GMV of 65,037 on the commerce row and TPV of 277,823 on
#    the payments row. MercadoLibre is therefore two comparables, and AV/TPV is to be calculated
#    separately from AV/GMV. Recorded on the tracker as an open build item.
#    The other six repeated tickers ARE true duplicates and collapse on the normalised symbol:
#    GigaCloud, Freightos, Kanzhun, LegalZoom, Copart, Xometry.
ticker,company_name,year_end,calendarization,currency,fx_usd_per_lcy,balance_sheet_driven,market_cap_musd,price_per_share,eqv_av_bridge_musd,av_musd,n_estimates,gmv_cy0,gmv_cy1,gmv_cy2,gmv_ntm,revenue_ntm_musd,gross_profit_musd,net_income_musd,bvps,av_gmv_pct,av_ntm_revenue_x,av_ntm_gp_x,pe_x,pbv_x,growth_cy1_pct,growth_cy2_pct,growth_cy3_pct,cagr_cy1_cy3_pct,ni_growth_cy2_pct
NYSE:FICO,Fair Isaac Corporation,30-Sep-25,-0.25,USD,1.00,0,23837,1104,5350,29186,22,na,na,na,na,2869,2484,1148,na,na,10.2,11.7,20.8,na,23.6,13.5,12.3,12.9,16.5
NASDAQGS:FSLY,Fastly Inc.,31-Dec-25,0.00,USD,1.00,0,3309,21,61,3369,12,na,na,na,na,800,522,105,na,na,4.2,6.5,31.6,na,18.7,12.0,11.2,11.6,17.3
NYSE:FIG,Figma Inc.,31-Dec-25,0.00,USD,1.00,0,14498,27,-1599,12898,13,na,na,na,na,1703,1390,183,na,na,7.6,9.3,79.0,na,39.2,23.8,23.7,23.8,27.7
ASX:FCL,FINEOS Corporation Holdings,31-Dec-25,0.00,EUR,1.16,0,533,2,-41,492,6,na,na,na,na,181,137,10,na,na,2.7,3.6,54.2,na,7.7,7.5,7.4,7.5,69.9
NASDAQGM:FIVN,Five9 Inc.,31-Dec-25,0.00,USD,1.00,0,2543,34,189,2732,21,na,na,na,na,1351,861,281,na,na,2.0,3.2,9.0,na,10.3,9.8,9.7,9.8,19.7
NASDAQGS:FTNT,Fortinet Inc.,31-Dec-25,0.00,USD,1.00,0,118752,162,-3508,115243,41,na,na,na,na,8724,7005,2736,na,na,13.2,16.5,43.4,na,19.4,11.1,11.4,11.3,10.1
NASDAQGS:FRSH,Freshworks Inc.,31-Dec-25,0.00,USD,1.00,0,3512,13,-630,2882,17,na,na,na,na,1057,908,210,na,na,2.7,3.2,16.7,na,15.0,14.2,15.6,14.9,22.9
LSE:GBG,GB Group plc,31-Mar-26,0.25,GBP,1.35,0,495,2,109,604,10,na,na,na,na,404,283,50,na,na,1.5,2.1,9.9,na,2.1,4.2,6.2,5.2,264.0
NASDAQGS:GEN,Gen Digital Inc.,03-Apr-26,0.26,USD,1.00,0,17970,30,7643,25613,10,na,na,na,na,5567,4568,1789,na,na,4.6,5.6,10.0,na,12.4,7.1,5.4,6.3,22.9
NASDAQGS:GTLB,GitLab Inc.,31-Jan-26,0.08,USD,1.00,0,7616,45,-1311,6304,27,na,na,na,na,1219,1050,151,na,na,5.2,6.0,50.5,na,17.5,15.7,15.5,15.6,39.7
NYSE:GDDY,GoDaddy Inc.,31-Dec-25,0.00,USD,1.00,0,12734,101,2639,15373,17,na,na,na,na,5422,3458,1314,na,na,2.8,4.4,9.7,na,5.8,5.3,5.0,5.1,6.6
NYSE:GWRE,Guidewire Software Inc.,31-Jul-25,-0.42,USD,1.00,0,16742,201,-45,16697,17,na,na,na,na,1730,1161,364,na,na,9.7,14.4,46.0,na,19.2,15.8,15.1,15.5,21.5
NYSE:HUBS,HubSpot Inc.,31-Dec-25,0.00,USD,1.00,0,12522,251,-1115,11407,28,na,na,na,na,4035,3402,763,na,na,2.8,3.4,16.4,na,17.7,14.2,13.8,14.0,21.7
NASDAQGS:IIIV,i3 Verticals Inc.,30-Sep-25,-0.25,USD,1.00,0,288,16,236,524,4,na,na,na,na,228,158,34,na,na,2.3,3.3,8.5,na,2.9,5.5,6.9,6.2,4.7
XTRA:1INN,innoscripta SE,31-Dec-25,0.00,EUR,1.16,0,927,93,-21,906,2,na,na,na,na,207,198,79,na,na,4.4,4.6,11.8,na,42.0,32.6,22.3,27.3,32.1
NASDAQGS:INTA,Intapp Inc.,30-Jun-26,0.50,USD,1.00,0,3230,42,-140,3090,9,na,na,na,na,679,537,111,na,na,4.6,5.8,29.0,na,14.3,14.7,16.1,15.4,232.0
NASDAQGS:INTU,Intuit Inc.,31-Jul-26,0.58,USD,1.00,0,94351,345,1136,95487,32,225000,251466,274883,267120,23651,19239,6479,na,35.7,4.0,5.0,14.6,na,11.8,9.3,9.9,9.6,28.3
XTRA:IOS,IONOS Group SE,31-Dec-25,0.00,EUR,1.16,0,5370,40,962,6332,13,na,na,na,na,1735,1141,340,na,na,3.6,5.5,15.8,na,7.1,9.1,8.8,9.0,17.0
XTRA:IVU,IVU Traffic Technologies AG,31-Dec-25,0.00,EUR,1.16,0,507,29,-66,440,2,na,na,na,na,198,160,20,na,na,2.2,2.8,25.8,na,6.7,8.9,9.0,9.0,15.7
NASDAQGS:FROG,JFrog Ltd.,31-Dec-25,0.00,USD,1.00,0,11317,92,-810,10507,23,na,na,na,na,729,601,145,na,na,14.4,17.5,77.9,na,22.4,17.9,19.2,18.6,22.3
TSX:KXS,Kinaxis Inc.,31-Dec-25,0.00,USD,1.00,0,3403,125,-266,3137,9,na,na,na,na,692,465,138,na,na,4.5,6.8,24.7,na,16.6,12.6,14.2,13.4,13.2
NYSE:KVYO,Klaviyo Inc.,31-Dec-25,0.00,USD,1.00,0,5877,21,-719,5158,21,na,na,na,na,1731,1256,283,na,na,3.0,4.1,20.8,na,24.1,19.6,19.4,19.5,25.2
ENXTPA:LSS,Lectra SA,31-Dec-25,0.00,EUR,1.16,0,954,26,103,1057,5,na,na,na,na,597,443,43,na,na,1.8,2.4,22.2,na,-2.2,5.9,6.2,6.1,27.7
ASX:360,Life360 Inc.,31-Dec-25,0.00,USD,1.00,0,3528,14,-153,3374,13,na,na,na,na,773,606,156,na,na,4.4,5.6,22.5,na,37.5,22.2,17.6,19.9,30.4
TSX:LSPD,Lightspeed Commerce Inc.,31-Mar-26,0.25,USD,1.00,0,1315,10,-352,963,11,98100,103432,113911,110437,1339,610,86,na,0.9,0.7,1.6,15.4,na,5.4,10.1,11.5,10.8,299.2
NYSE:RAMP,LiveRamp Holdings Inc.,31-Mar-26,0.25,USD,1.00,0,2299,38,-338,1961,5,na,na,na,na,926,677,191,na,na,2.1,2.9,12.1,na,9.5,9.3,6.2,7.7,15.8
TSXV:LMN,Lumine Group Inc.,31-Dec-25,0.00,USD,1.00,0,4432,18,78,4510,0,na,na,na,na,1195,0,278,na,na,3.8,na,15.9,na,35.7,22.5,22.5,22.5,38.9
NASDAQGS:MANH,Manhattan Associates Inc.,31-Dec-25,0.00,USD,1.00,0,12606,216,-132,12474,12,na,na,na,na,1232,746,347,na,na,10.1,16.7,36.3,na,7.7,8.6,8.8,8.7,10.0
XTRA:MUM,Mensch und Maschine Software SE,31-Dec-25,0.00,EUR,1.16,0,688,42,54,742,5,na,na,na,na,316,239,45,na,na,2.3,3.1,15.2,na,8.2,8.2,8.4,8.3,14.4
NASDAQGS:MSFT,Microsoft Corporation,30-Jun-26,0.50,USD,1.00,0,3720347,501,44470,3764817,51,na,na,na,na,406747,269022,154320,na,na,9.3,14.0,24.1,na,17.8,18.7,20.5,19.6,14.8
NASDAQCM:MITK,Mitek Systems Inc.,30-Sep-25,-0.25,USD,1.00,0,805,18,-44,761,5,na,na,na,na,213,175,59,na,na,3.6,4.4,13.6,na,9.5,8.2,8.2,8.2,5.3
NASDAQGM:MDB,MongoDB Inc.,31-Jan-26,0.08,USD,1.00,0,34924,434,-2369,32556,43,na,na,na,na,3264,2435,590,na,na,10.0,13.4,59.2,na,20.0,18.2,19.0,18.6,34.6
NYSE:NABL,N-able Inc.,31-Dec-25,0.00,USD,1.00,0,722,4,321,1042,6,na,na,na,na,563,452,80,na,na,1.9,2.3,9.0,na,5.7,6.2,6.2,6.2,12.9
NASDAQGS:NCNO,nCino Inc.,31-Jan-26,0.08,USD,1.00,0,2358,22,271,2629,14,na,na,na,na,678,468,152,na,na,3.9,5.6,15.6,na,8.7,8.5,8.7,8.6,29.5
NYSE:VYX,NCR Voyix Corporation,31-Dec-25,0.00,USD,1.00,0,1207,9,1075,2282,4,na,na,na,na,2180,683,150,na,na,1.0,3.3,8.0,na,-18.2,-1.3,1.4,0.1,13.3
XTRA:NEM,Nemetschek SE,31-Dec-25,0.00,EUR,1.16,0,9091,79,183,9274,16,na,na,na,na,1875,1752,361,na,na,4.9,5.3,25.2,na,19.3,20.7,13.7,17.2,27.3
NASDAQGS:NTSK,Netskope Inc.,31-Jan-26,0.08,USD,1.00,0,5675,14,-357,5319,18,na,na,na,na,993,774,-45,na,na,5.4,6.9,nm,na,24.8,21.7,20.2,21.0,nm
NASDAQGS:NTNX,Nutanix Inc.,31-Jul-26,0.58,USD,1.00,0,18028,67,-843,17185,18,na,na,na,na,3269,2870,874,na,na,5.3,6.0,20.6,na,12.6,13.1,14.1,13.6,-37.2
NASDAQGS:OKTA,Okta Inc.,31-Jan-26,0.08,USD,1.00,0,29095,166,-2246,26849,44,na,na,na,na,3413,2801,764,na,na,7.9,9.6,38.1,na,10.6,10.0,10.4,10.2,17.9
NASDAQCM:OSPN,OneSpan Inc.,31-Dec-25,0.00,USD,1.00,0,585,16,-31,554,5,na,na,na,na,254,187,49,na,na,2.2,3.0,11.9,na,2.9,2.4,2.8,2.6,5.3
NYSE:OOMA,Ooma Inc.,31-Jan-26,0.08,USD,1.00,0,601,22,39,640,7,na,na,na,na,341,217,42,na,na,1.9,2.9,14.4,na,20.5,6.0,7.1,6.6,19.8
NASDAQGS:OTEX,Open Text Corporation,30-Jun-26,0.50,USD,1.00,0,5659,24,4902,10561,11,na,na,na,na,5204,3989,928,na,na,2.0,2.6,6.1,na,-0.1,0.0,1.7,0.8,23.9
NASDAQGS:OPRA,Opera Limited,31-Dec-25,0.00,USD,1.00,0,1669,19,-143,1526,7,na,na,na,na,816,497,146,na,na,1.9,3.1,11.4,na,20.4,15.3,14.1,14.7,21.2
NYSE:ORCL,Oracle Corporation,31-May-26,0.42,USD,1.00,0,407068,141,136086,543154,39,na,na,na,na,102420,59166,26548,na,na,5.3,9.2,15.3,na,26.9,41.5,41.7,41.6,38.1
NYSE:PD,PagerDuty Inc.,31-Jan-26,0.08,USD,1.00,0,1093,14,-42,1051,9,na,na,na,na,500,426,115,na,na,2.1,2.5,9.5,na,0.7,1.9,-0.5,0.7,2.0
NASDAQGS:PLTR,Palantir Technologies Inc.,31-Dec-25,0.00,USD,1.00,0,432358,180,-9087,423271,27,na,na,na,na,10854,9356,5368,na,na,39.0,45.2,80.6,na,83.0,48.7,45.2,47.0,45.6
NASDAQGS:PANW,Palo Alto Networks Inc.,31-Jul-26,0.58,USD,1.00,0,295103,362,-981,294122,53,na,na,na,na,16181,12349,4240,na,na,18.2,23.8,69.6,na,31.5,15.5,15.1,15.3,20.2
NYSE:PAR,PAR Technology Corporation,31-Dec-25,0.00,USD,1.00,0,769,19,354,1122,8,na,na,na,na,555,255,43,na,na,2.0,4.4,17.8,na,14.2,9.9,10.1,10.0,47.9
NASDAQGS:PEGA,Pegasystems Inc.,31-Dec-25,0.00,USD,1.00,0,6030,37,-290,5740,11,na,na,na,na,1998,1551,437,na,na,2.9,3.7,13.8,na,7.3,9.9,8.7,9.3,4.2
OB:PEXIP,Pexip Holding ASA,31-Dec-25,0.00,USD,1.00,0,839,8,-41,798,4,na,na,na,na,157,143,39,na,na,5.1,5.6,21.8,na,18.1,13.3,12.5,12.9,20.0
LSE:PINE,Pinewood Technologies Group PLC,31-Dec-25,0.00,GBP,1.35,0,701,6,-44,658,2,na,na,na,na,107,93,21,na,na,6.1,7.1,33.7,na,39.8,60.2,44.5,52.2,89.1
ENXTPA:PLNW,Planisware SAS,31-Dec-25,0.00,EUR,1.16,0,1995,29,-213,1782,9,na,na,na,na,280,208,76,na,na,6.4,8.6,26.3,na,12.3,13.1,12.9,13.0,13.7
NYSE:PCOR,Procore Technologies Inc.,31-Dec-25,0.00,USD,1.00,0,9172,60,-588,8584,23,na,na,na,na,1647,1380,342,na,na,5.2,6.2,26.8,na,14.5,13.2,13.8,13.5,44.0
NASDAQGS:PRGS,Progress Software Corporation,30-Nov-25,-0.08,USD,1.00,0,1855,45,1224,3078,5,na,na,na,na,1003,812,262,na,na,3.1,3.8,7.1,na,1.8,1.0,1.2,1.1,1.4
XTRA:PSAN,PSI Software SE,31-Dec-25,0.00,EUR,1.16,0,814,52,75,888,4,na,na,na,na,385,341,27,na,na,2.3,2.6,29.7,na,8.8,10.5,9.9,10.2,312.8
NASDAQGS:PTC,PTC Inc.,30-Sep-25,-0.25,USD,1.00,0,16581,153,1256,17837,21,na,na,na,na,2894,2454,1002,na,na,6.2,7.3,16.5,na,1.2,6.8,8.1,7.5,5.8
NYSE:QTWO,Q2 Holdings Inc.,31-Dec-25,0.00,USD,1.00,0,3985,64,-65,3920,12,4000000,4453161,4904616,4754956,945,593,212,na,0.1,4.1,6.6,18.8,na,11.3,10.1,10.7,10.4,16.1
HLSE:QTCOM,Qt Group Oyj,31-Dec-25,0.00,EUR,1.16,0,1040,41,96,1136,5,na,na,na,na,293,283,41,na,na,3.9,4.0,25.6,na,11.4,7.3,8.2,7.7,56.2
ATSE:QLCO,Qualco Group S.A.,31-Dec-25,0.00,EUR,1.16,0,472,7,38,510,3,na,na,na,na,310,140,11,na,na,1.6,3.6,44.1,na,15.0,11.5,12.5,12.0,81.7
NASDAQGS:QLYS,Qualys Inc.,31-Dec-25,0.00,USD,1.00,0,6124,177,-650,5474,19,na,na,na,na,774,654,286,na,na,7.1,8.4,21.4,na,9.9,8.0,7.7,7.8,6.3
NASDAQGM:RPD,Rapid7 Inc.,31-Dec-25,0.00,USD,1.00,0,809,12,259,1069,22,na,na,na,na,833,599,147,na,na,1.3,1.8,5.5,na,-2.4,-1.1,1.2,0.0,5.3
NASDAQCM:RDVT,Red Violet Inc.,31-Dec-25,0.00,USD,1.00,0,1213,76,-47,1165,2,na,na,na,na,116,95,28,na,na,10.0,12.2,43.3,na,18.0,13.3,13.3,13.3,14.5
NASDAQGM:RZLV,Rezolve AI PLC,31-Dec-25,0.00,USD,1.00,0,953,2,41,994,6,na,na,na,na,482,324,-43,na,na,2.1,3.1,nm,na,664.3,52.0,52.0,52.0,nm
NASDAQGM:RMNI,Rimini Street Inc.,31-Dec-25,0.00,USD,1.00,0,485,5,-57,428,3,na,na,na,na,459,280,42,na,na,0.9,1.5,11.6,na,4.9,5.6,5.6,5.6,35.1
