investor_key,investor_name,house_type,layer,geographies,stage_bands,first_cheque_low_m,first_cheque_high_m,cheque_currency,thesis_one_liner,cheque_range_source,screening_categories,subsectors,recent_deal_1_company,recent_deal_1_date,recent_deal_1_source_url,recent_deal_2_company,recent_deal_2_date,recent_deal_2_source_url,last_verified,provenance,geographies_source,deal_note
10x-founders,10x Founders,VC,CALLABLE,Europe and the US,Pre-seed; Seed; Series A,0.5,2.5,EUR,Great founders build great things: a network-powered early-stage investor backing ambitious founders in Europe and the US.,https://www.10xfounders.com/about,Online Learning; Consumer & Prosumer Software,generalist; network-powered early stage,Songscription,2025-11,https://www.songscription.ai/blog/seed-funding-announcement,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. 10xfounders.com, 10xfounders.com/about, Songscription blog, Emerge blog.",https://www.10xfounders.com/about,"Songscription's own post, 13-Nov-2025: 'Songscription has raised a $5M round led by Reach Capital' with Emerge Capital, 10x Founders and Dent Capital; a subscription tool for learners and musicians. 10xfounders.com/about: 'Our fund specializes in Pre-Seed, Seed, and Series A investments with initial check sizes ranging from EUR500k to EUR2.5m.'"
specialist-vc,Specialist VC,Micro VC,CALLABLE,"founders from Estonia, Latvia, Lithuania, Finland and Ukraine",Pre-seed; Seed; Series A,0.25,3,EUR,"We mainly invest in B2B, SaaS, fintech, platforms, software enabled hardware and deep tech, but we don't limit ourselves to those areas.",https://specialist.vc/,Consumer & Prosumer Software; Online Learning,B2B; SaaS; fintech; platforms,Vocal Image,2025-09,https://www.frenchweb.fr/vocal-image-leve-33-millions-deuros-pour-ameliorer-la-prise-de-parole-en-public-grace-a-lia/456791,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. specialist.vc, specialist.vc/portfolio/, FrenchWeb, educapitalvc.com/news.",https://specialist.vc/,"FrenchWeb, 2-Sep-2025: 'Vocal Image a annonce une levee de 3,3 millions d'euros en seed. Le tour a ete mene par Educapital, avec la participation de Specialist VC et Generations Fund.' Vocal Image is a consumer voice-coaching app with about 50,000 paying users, listed on specialist.vc/portfolio. specialist.vc: 'Main focus Pre-seed to Series A', 'Ticket size EUR0 to 3m', typical starting ticket EUR250k."
white-star-capital,White Star Capital,VC,CALLABLE,"London, New York, Montreal, Paris, Toronto, Guernsey, Berlin, Milan, and Abu Dhabi",Seed; Series A; Series B,,,USD,"A global multi-stage technology investment firm backing exceptional entrepreneurs building ambitious, international businesses, from Seed through Series B.",NOT PUBLISHED,Online Learning; Consumer & Prosumer Software,"technology; consumer (Butternut Box, FINN, Freshly); digital assets",MyEdSpace,2025-09,https://www.eu-startups.com/2025/09/british-edtech-platform-myedspace-raises-e12-8-million-as-it-prepares-for-us-expansion/,MyEdSpace,2025-09,https://emergecapital.vc/myedspace-raises-15m-series-a-to-stream-the-worlds-best-teachers-to-every-student/,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. whitestarcapital.com, whitestarcapital.com/news, EU-Startups and Emerge MyEdSpace posts.",https://www.whitestarcapital.com/,"EU-Startups, 29-Sep-2025: MyEdSpace Series A, EUR12.8m ($15m): 'The round was led by White Star Capital with participation from Educapital, Emerge, Active Partners and Coalition Capital.' Emerge's own post the same day: students at home pay per hour, 'from just GBP5 an hour'. whitestarcapital.com/news: 'backs founders from Seed through Series B'; Fund IV targets Series A to B with a separate North American Seed Fund. No cheque published."
trilogy-equity-partners,Trilogy Equity Partners,VC,CALLABLE,"Pacific Northwest: Seattle, Bellevue, and the broader Washington, Oregon, and British Columbia region",Pre-seed; Seed; Series A,2,6,USD,Early-stage technology companies rooted in the Pacific Northwest; our sweet spot is leading fundraising rounds.,https://www.trilogyequity.com/about/,Online Learning; Consumer & Prosumer Software,"early-stage technology; Pacific Northwest; learning (Educative, Maximal Learning, BrightCanary in portfolio)",Wild Zebra,2026-08,https://www.geekwire.com/2026/this-startup-just-raised-6m-for-an-ai-tutor-that-helps-kids-figure-it-out-themselves/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. trilogyequity.com, /about/, /portfolio/, GeekWire Wild Zebra article.",https://www.trilogyequity.com/about/,"GeekWire, 6-Aug-2026: Wild Zebra, an AI maths and reading tutor that families buy at $48 a month per child (and schools through E3n), raised $6m: 'The oversubscribed seed round was led by Bellevue, Wash.-based Trilogy Equity Partners, with participation from Tetherpoint Capital and angel investors'. trilogyequity.com/about: 'Most of the time, this is at the Seed stage although at times we will also invest at Pre-Seed or Series A' and 'our initial investment will range from $2 to $6 million'."
correlation-ventures,Correlation Ventures,VC,EVIDENCE,U.S.-headquartered companies only,Seed; Series A; Series B,0.1,4,USD,Sector-agnostic co-investor that fills out venture-led rounds with decisions in days.,https://correlationvc.com/approach/,Consumer & Prosumer Software,sector-agnostic co-investment,Fambot,2026-09,https://techcrunch.com/2026/09/01/fambot-introduces-an-ai-chief-of-staff-for-families/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. correlationvc.com, /faqs/, /approach/, TechCrunch Fambot article.",https://correlationvc.com/faqs/,"TechCrunch, 1-Sep-2026: Fambot, a consumer AI assistant for family logistics, 'is backed by $3.5 million in pre-seed funding, co-led by NextView Ventures and Baukunst, with participation from Correlation Ventures, Karman Ventures, and Founders Network'. EVIDENCE, NOT CALLABLE, on its own FAQ: it requires that 'at least one other venture capital firm is also making their first investment into the company' and 'We normally won't be the largest new investor in a syndicate'. Cheque from correlationvc.com/approach: 'Flexible check size from $100,000 to $4 million.'"
karman-ventures,Karman Ventures,VC,EVIDENCE,,Pre-seed; Seed; Series A; Series B,,,USD,A multi-stage venture firm investing from pre-seed to pre-IPO.,NOT PUBLISHED,Consumer & Prosumer Software,defence; industrial; AI,Fambot,2026-09,https://techcrunch.com/2026/09/01/fambot-introduces-an-ai-chief-of-staff-for-families/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. karman.vc, TechCrunch Fambot article.",NOT PUBLISHED,"TechCrunch, 1-Sep-2026: Fambot, a consumer AI assistant for family logistics, 'is backed by $3.5 million in pre-seed funding, co-led by NextView Ventures and Baukunst, with participation from Correlation Ventures, Karman Ventures, and Founders Network'. EVIDENCE: lead role not stated anywhere, the portfolio on karman.vc is defence and deep tech (Anduril, Hadrian, Crusoe), and Fambot is not on its site. A one-off consumer participation is not a call list entry."
raga-partners,Raga Partners,Family office,EVIDENCE,,,,,USD,,NOT PUBLISHED,Consumer & Prosumer Software,,Joy (Joy Parenting Club),2025-11,https://magnifyvc.medium.com/ai-parenting-app-joy-raises-14m-to-redefine-family-support-a44446270d5c,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. ragapartners.com, Magnify Medium post.",NOT PUBLISHED,"Magnify Ventures' post, 14-Nov-2025: 'Joy Parenting Club, a San Francisco-based startup, has raised a $14 million Series A, co-led by Raga Partners and Forerunner Ventures'; a consumer parenting app at $12 a month. EVIDENCE: ragapartners.com publishes no stage, cheque, portfolio or thesis and reads as a registered adviser, so first-cheque practice cannot be confirmed. House type is a best reading, unconfirmed."
otherwise-fund,Otherwise Fund,VC,EVIDENCE,,,,,USD,Otherwise is a network of founders investing in founders.,NOT PUBLISHED,Consumer & Prosumer Software,,Marker,2026-07,https://pulse2.com/marker-raises-13-million-seed-funding-to-build-an-ai-native-word-processor/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. otherwisefund.com, Pulse 2.0 Marker article.",NOT PUBLISHED,"Pulse 2.0, 10-Jul-2026: Marker's $13m seed led by Index Ventures 'includes participation from LocalGlobe, Betaworks, Radical Ventures, Tiny VC and Otherwise Fund'. EVIDENCE: otherwisefund.com carries a tagline only and otherwise.fund refused connections, so stage, cheque and geography are unverified. Promote if the site is read."
offline-ventures,Offline Ventures,VC,EVIDENCE,,,,,USD,A venture fund and studio for founders who seek to build differently.,NOT PUBLISHED,Online Learning; Consumer & Prosumer Software,,Oboe,2025-09,https://techcrunch.com/2025/09/10/after-selling-to-spotify-anchors-co-founders-are-back-with-oboe-an-ai-powered-app-for-learning/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. offline.vc, TechCrunch Oboe article.",NOT PUBLISHED,"TechCrunch, 10-Sep-2025: Oboe's $4m seed led by Eniac 'also includes investment from Haystack, Factorial Capital, Homebrew, Offline Ventures'. EVIDENCE: offline.vc renders only its meta description, so stage, cheque and lead practice are unverified."
triple-point-ventures,Triple Point Ventures,VC,EVIDENCE,UK footprint,Pre-seed; Seed,,5,GBP,Backing bold founders from day one; we like to lead rounds with tickets up to GBP5m.,https://www.triplepoint.vc/,Consumer & Prosumer Software,health; fintech; data and AI; education,Lateral,2026-02,https://www.triplepoint.vc/news/backing-lateral-health-financial-services-for-the-60/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. triplepoint.vc, /news, /portfolio.",https://www.triplepoint.vc/,"Triple Point's own post, 3-Feb-2026: 'Lateral has raised a GBP2.5m inception round to build the health and financial services platform for the 60+ mass affluent demographic', Triple Point alongside Augmentum and Tiny.vc. EVIDENCE, NOT CALLABLE: Lateral sells a private medical insurance product to consumers, not a software app, so the deal does not meet the named-consumer-app test; the house itself is a real UK pre-seed and seed lead with Education among its stated sectors. Promote the day it leads a consumer app or learning round."
seek-investments,Seek Investments,Corporate VC,EVIDENCE,invest globally in high growth businesses,,,,AUD,Technology-enabled growth companies across work and learning.,NOT PUBLISHED,Online Learning,edtech; online education; HR software,Gizmo,2026-04,https://techcrunch.com/2026/04/15/ai-learning-app-gizmo-levels-up-with-13m-users-and-a-22m-investment/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. seekinvestments.com, TechCrunch Gizmo article.",https://www.seekinvestments.com/,"TechCrunch, 15-Apr-2026, Gizmo $22m Series A: 'led by Shine Capital, with participation from Ada Ventures, Seek Investments, GSV, and NFX'. EVIDENCE: an A$2bn growth fund with no first-cheque stage published."
endeavor-catalyst,Endeavor Catalyst,VC,EVIDENCE,35+ markets,,,,USD,Set up to invest exclusively in Endeavor Entrepreneur-led companies.,NOT PUBLISHED,Online Learning; Consumer & Prosumer Software,Endeavor Entrepreneur companies,Headway Inc,2026-01,https://tech.eu/2026/01/15/edtech-platform-headway-inc-secures-series-a-extension-with-backing-from-endeavor-catalyst/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. endeavor.org/catalyst/, tech.eu Headway article.",https://endeavor.org/catalyst/,"tech.eu, 15-Jan-2026: Headway Inc, gamified self-growth learning apps for adults with over 160 million users, closed 'the second tranche of its first external funding round, with Endeavor Catalyst participating and investing above its typical check size.' EVIDENCE: a co-investment vehicle restricted to Endeavor entrepreneurs, not callable cold."
forsvc,ForsVC,Micro VC,EVIDENCE,"game companies based in Belgium, The Netherlands, France, and Germany",,0.15,1.5,EUR,"We invest in the full gaming ecosystem, from game development studios to game technology companies, publishers and services.",https://www.fors.vc/,Consumer & Prosumer Software; Online Learning,game studios; game technology; game publishers; game services,Artwod,2026-08,https://www.eu-startups.com/2026/08/belgian-creative-learning-platform-artwod-raises-e1-1-million-to-launch-creators-marketplace/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. fors.vc, EU-Startups Artwod article.",https://www.fors.vc/,"EU-Startups, 20-Aug-2026: Artwod, a guided learning community for visual artists, raised a EUR1.1m seed: 'The round was raised with participation from Airbridge Equity Partners and ForsVC.' fors.vc: 'We invest tickets of EUR150k up to EUR1.5m.' EVIDENCE: a games-only thesis in four countries; the learning deal is an outlier."
3ts-capital-partners,3TS Capital Partners,VC,EVIDENCE,"European tech, CEE and DACH",,,,EUR,Lead and co-lead growth rounds in high-growth European technology SMEs.,NOT PUBLISHED,Online Learning,SaaS; fintech; cybersecurity; IoT,BOOKR Kids,2026-08,https://www.eu-startups.com/2026/08/hungarys-bookr-kids-closes-e6-1-million-series-a-for-global-edtech-expansion/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. 3tscapital.com, EU-Startups BOOKR article.",https://www.3tscapital.com/,"EU-Startups, 25-Aug-2026: BOOKR Kids EUR6.1m Series A led by 'TCEE Fund IV, advised by 3TS Capital Partners'; 600,000 paying students across 3,000 schools, so mostly school-paid. EVIDENCE: a self-described growth investor and a school-sold product."
