# ACTIVE SEED & SERIES A INVESTOR SCREEN, Daniil's pull, transcribed 02-Sep-2026 from three
# photographs of the workbook: data/raw/2026-09-02_seed-investor-screen-p01..p03.
#
# EVERY COLUMN OF THE SOURCE IS HERE, including the ones this task did not strictly need. That is
# durability rule 11, adopted this morning after the last two source columns were dropped twice.
# Source columns A to J: Sector, Fund, Region, Initial Cheque Low, Initial Cheque High, Currency,
# Thesis, Company, Month-Year, Source URL. All ten are below.
#
# THE SCREEN'S OWN RULES, from its Read Me tab, quoted:
#   Scope        "Announcements from 1 January 2023 through 2 September 2026."
#   Method       "One row per deal; two latest attributable announcements per included fund.
#                 Sector lists are non-exclusive."
#   Strict gate  "Funds lacking a bounded, fund-stated initial-cheque range or two eligible
#                 announcements were excluded."
#   Short lists  "Several sectors contain fewer than eight funds because the evidence rules were
#                 not relaxed."
#   US funds     "The Region column explicitly identifies US-based funds that invest into Europe."
#   Cheque low   "The minimum amount the fund says it typically invests when first backing a new
#                 portfolio company."
#   Cheque high  "The maximum amount the fund says it typically invests in that first investment."
#   Important    "These figures describe the investor's own cheque, not the startup's total
#                 financing round and not capital reserved for later follow-on investments."
#
# That gate is stricter than ours and it is the right one. A fund-STATED cheque range is exactly
# what our own promoted growth houses cannot supply, which is why they carry round size instead.
#
# WHAT TO KNOW BEFORE USING IT, three things the structure implies:
#
# 1. THE TWO DEALS ARE PER FUND, NOT PER SECTOR. Seedcamp appears in six sectors and carries the
#    same two deals in all six: Embedd and EverSettled. So a deal evidences that the fund is
#    ACTIVE; it does not evidence the sector claim beside it. The sector comes from the fund's
#    stated thesis. Honest, and it must be labelled that way on a card.
# 2. SEVEN FUNDS' DEALS POINT AT AN INDEX PAGE rather than the announcement: Pale Blue Dot,
#    Nina Capital, Heal Capital, FoodLabs, Project A, and single rows for Skalar and Cordant.
#    Under our own sourcing rule a link must land on the statement it supports. Marked
#    source_is_index = 1 below; they are usable but weaker than the rest.
# 3. CHEQUE SIZE SPANS FAR MORE THAN SEED. Eos Ventures starts at 7m and Dawn at 10m; Playfair and
#    FoodLabs start at 100k. A hundredfold range in one list, which is precisely why the cheque
#    column is the thing that decides whether a founder should call.
#
# TRANSCRIPTION CONFIDENCE. These are photographs of a screen, not exports. Fund names, regions,
# cheque figures, currencies, companies and dates are legible and I am confident in them. Some
# URLs are long and small; the ones I am not certain of carry url_confidence = LOW and should be
# checked before they render to a founder. Everything else is HIGH.
sector,fund,region,cheque_low,cheque_high,currency,thesis,company,month_year,source_url,source_is_index,url_confidence
B2B software and AI tooling,Playfair Capital,"UK / Europe (London; UK and Europe)",100000,1500000,GBP,"Pre-seed investor in technical founders across B2B software, AI and deep tech, with follow-on through Series A.",Zerolook,Aug-2026,https://www.playfair.vc/content.php?p=why-we-invested-in-zerolook,0,LOW
B2B software and AI tooling,Playfair Capital,"UK / Europe (London; UK and Europe)",100000,1500000,GBP,"Pre-seed investor in technical founders across B2B software, AI and deep tech, with follow-on through Series A.",Exclaim Robotics,Aug-2026,https://www.playfair.vc/content.php?p=why-we-invested-in-exclaim-robotics,0,LOW
Payments and fintech infrastructure,Outward VC,UK and Europe,250000,2500000,GBP,"Early-stage technology for complex regulated industries, especially fintech and adjacent financial-services software.",Infrawatch,May-2026,https://outwardvc.com/articles/why-we-invested-in-infrawatch/,0,HIGH
Payments and fintech infrastructure,Outward VC,UK and Europe,250000,2500000,GBP,"Early-stage technology for complex regulated industries, especially fintech and adjacent financial-services software.",Steward,Mar-2026,https://outwardvc.com/articles/why-we-invested-in-steward/,0,HIGH
Payments and fintech infrastructure,Seedcamp,Europe-focused / global network,350000,1250000,USD,"First institutional backer from pre-product through post-launch across European technology, including financial infrastructure.",Embedd,Aug-2026,https://seedcamp.com/views/embedd-raises-2-7m-to-cut-chip-integration-time-by-6x/,0,HIGH
Payments and fintech infrastructure,Seedcamp,Europe-focused / global network,350000,1250000,USD,"First institutional backer from pre-product through post-launch across European technology, including financial infrastructure.",EverSettled,Jul-2026,https://seedcamp.com/views/eversettled-raises-5m-to-automate-the-painful-process-of-probate/,0,HIGH
Payments and fintech infrastructure,Speedinvest,"Europe-focused, invests globally",250000,5000000,EUR,"Pre-seed and seed investor; dedicated Fintech & DeFi team covers banking, payments, digital assets and lending.",Kesper,Jul-2026,https://www.speedinvest.com/portfolio/kesper,0,HIGH
Payments and fintech infrastructure,Speedinvest,"Europe-focused, invests globally",250000,5000000,EUR,"Pre-seed and seed investor; dedicated Fintech & DeFi team covers banking, payments, digital assets and lending.",onepot,Jul-2026,https://www.speedinvest.com/knowledge/morning-coffee-with-andrei-co-founder-of-onepot,0,HIGH
Payments and fintech infrastructure,Motive Ventures,"US-based, invests North America and Europe",1000000,10000000,USD,"Pre-seed to Series A fintech and tech-enabled financial services across payments, banking, capital markets, insurance and data.",Cordant,Jul-2026,https://cordant.ai/newsroom,1,HIGH
Payments and fintech infrastructure,Motive Ventures,"US-based, invests North America and Europe",1000000,10000000,USD,"Pre-seed to Series A fintech and tech-enabled financial services across payments, banking, capital markets, insurance and data.",Neno,Jun-2026,https://motivepartners.com/content/why-we-invested-in-neno,0,HIGH
Payments and fintech infrastructure,BlackFin Tech (Venture II),Europe-focused,3000000,30000000,USD,"Series A-C European fintech, insurtech and regtech, generally post-product-market-fit.",Cryptio,Mar-2026,https://www.theblock.co/amp/post/393007/cryptio-secures-45-million-series-b-to-scale-financial-infrastructure-for-digital-assets,0,HIGH
Payments and fintech infrastructure,BlackFin Tech (Venture II),Europe-focused,3000000,30000000,USD,"Series A-C European fintech, insurtech and regtech, generally post-product-market-fit.",TransFICC,Sep-2025,https://transficc.com/news/popular/p2,1,LOW
Payments and fintech infrastructure,QED Investors,"US-based, invests globally including Europe",3000000,10000000,USD,"Fintech specialist from pre-seed through growth, with strong seed/Series A activity in payments and financial infrastructure.",Velocity,Jul-2026,https://qedinvestors.com/blog/why-qed-invested-in-velocity,0,HIGH
Payments and fintech infrastructure,QED Investors,"US-based, invests globally including Europe",3000000,10000000,USD,"Fintech specialist from pre-seed through growth, with strong seed/Series A activity in payments and financial infrastructure.",Skalar,Jul-2026,https://skalar.de/presse,1,LOW
Digital banking and lending,Seedcamp,UK/Europe (European-first; seed investor),350000,1250000,USD,"Pre-seed and seed technology investor; fintech is a core area, including banking and financial-services infrastructure.",Embedd,Aug-2026,https://seedcamp.com/views/embedd-raises-2-7m-to-cut-chip-integration-time-by-6x/,0,HIGH
Digital banking and lending,Seedcamp,UK/Europe (European-first; seed investor),350000,1250000,USD,"Pre-seed and seed technology investor; fintech is a core area, including banking and financial-services infrastructure.",EverSettled,Jul-2026,https://seedcamp.com/views/eversettled-raises-5m-to-automate-the-painful-process-of-probate/,0,HIGH
Digital banking and lending,Outward VC,"UK (primarily UK at entry, also describes UK/European focus)",250000,2500000,GBP,"Pre-Series A investor in fintech and connected sectors, including banking, lending, payments, insurance, data and AI.",Infrawatch,May-2026,https://outwardvc.com/articles/why-we-invested-in-infrawatch/,0,HIGH
Digital banking and lending,Outward VC,"UK (primarily UK at entry, also describes UK/European focus)",250000,2500000,GBP,"Pre-Series A investor in fintech and connected sectors, including banking, lending, payments, insurance, data and AI.",Steward,Mar-2026,https://outwardvc.com/articles/why-we-invested-in-steward/,0,HIGH
Digital banking and lending,MiddleGame Ventures,Europe / pan-European,500000,5000000,EUR,"Seed-to-Series B fintech and adjacent financial-services software, including AI, cybersecurity and deep tech.",Theia Insights,Mar-2026,https://www.middlegamevc.com/articles/our-investment-in-theia-insights/,0,HIGH
Digital banking and lending,MiddleGame Ventures,Europe / pan-European,500000,5000000,EUR,"Seed-to-Series B fintech and adjacent financial-services software, including AI, cybersecurity and deep tech.",Paygentic,Oct-2025,https://www.middlegamevc.com/articles/our-investment-in-paygentic/,0,HIGH
Marketplaces,Seedcamp,"UK / Europe (London; Europe-first, now also US)",350000,1250000,USD,"Generalist pre-seed/seed investor with a long record in online marketplaces, platforms and network-effect businesses.",Embedd,Aug-2026,https://seedcamp.com/views/embedd-raises-2-7m-to-cut-chip-integration-time-by-6x/,0,HIGH
Marketplaces,Seedcamp,"UK / Europe (London; Europe-first, now also US)",350000,1250000,USD,"Generalist pre-seed/seed investor with a long record in online marketplaces, platforms and network-effect businesses.",EverSettled,Jul-2026,https://seedcamp.com/views/eversettled-raises-5m-to-automate-the-painful-process-of-probate/,0,HIGH
Marketplaces,Cherry Ventures,"Europe (Berlin; Europe-focused)",2000000,7000000,EUR,"Pre-seed-Series A investor across software and consumer, including digital marketplaces and commerce platforms.",Entire,Jul-2026,https://cherry.vc/news/the-fourth-generation-of-version-control,0,HIGH
Marketplaces,Cherry Ventures,"Europe (Berlin; Europe-focused)",2000000,7000000,EUR,"Pre-seed-Series A investor across software and consumer, including digital marketplaces and commerce platforms.",Zaro,Jun-2026,https://www.cherry.vc/news/shared-memory-for-ai-agents,0,HIGH
Marketplaces,Playfair Capital,"UK / Europe (London; UK and Europe)",100000,1500000,GBP,Technical pre-seed investor that backs software-enabled platforms and marketplace models alongside AI and deep tech.,Zerolook,Aug-2026,https://www.playfair.vc/content.php?p=why-we-invested-in-zerolook,0,LOW
Marketplaces,Playfair Capital,"UK / Europe (London; UK and Europe)",100000,1500000,GBP,Technical pre-seed investor that backs software-enabled platforms and marketplace models alongside AI and deep tech.,Exclaim Robotics,Aug-2026,https://www.playfair.vc/content.php?p=why-we-invested-in-exclaim-robotics,0,LOW
Marketplaces,Felix Capital,"UK / Europe (London; Europe and North America)",1000000,20000000,USD,"Investor at the intersection of technology and creativity, focused on digital lifestyle, commerce, marketplaces and enabling software.",Medly AI,Aug-2026,https://www.linkedin.com/posts/felix-capital_ai-edtech-education-activity-7495776130184961444-cOtB,0,LOW
Marketplaces,Felix Capital,"UK / Europe (London; Europe and North America)",1000000,20000000,USD,"Investor at the intersection of technology and creativity, focused on digital lifestyle, commerce, marketplaces and enabling software.",Intropy,Jul-2026,https://intropy.ai/news-seed-funding,0,LOW
Marketplaces,HV Capital,"Europe (Germany; European focus)",500000,10000000,EUR,"Multi-stage European investor with extensive marketplace, consumer internet and platform experience.",Flip,Aug-2026,https://tech.eu/2026/08/19/flip-raises-25m-to-expand-ai-platform-for-frontline-workers/,0,HIGH
Marketplaces,HV Capital,"Europe (Germany; European focus)",500000,10000000,EUR,"Multi-stage European investor with extensive marketplace, consumer internet and platform experience.",Ore Energy,May-2026,https://www.newswire.com/news/ore-energy-raises-43-million-to-unlock-renewable-baseload-power-for-the-ai-era,0,HIGH
Marketplaces,Northzone,"Europe + US (Stockholm/London/New York; explicitly both regions)",1000000,50000000,USD,"Multi-stage investor in consumer, marketplace, fintech and software businesses across Europe and the US.",Blitzy,May-2026,https://northzone.com/insights/partnering-with-blitzy-to-scale-autonomous-software-development-for-the-enterprise,0,HIGH
Marketplaces,Northzone,"Europe + US (Stockholm/London/New York; explicitly both regions)",1000000,50000000,USD,"Multi-stage investor in consumer, marketplace, fintech and software businesses across Europe and the US.",OpenFX,Apr-2026,https://northzone.com/insights/partnering-with-openfx-rewiring-the-200-trillion-global-cross-border-payments-market,0,HIGH
Marketplaces,firstminute capital,"UK / Europe (London, first institutional cheque for European founders)",1000000,3000000,GBP,"Sector-agnostic seed investor in European founders, including marketplaces, commerce platforms and network businesses.",Neno,Aug-2026,https://www.neno.com/resources/content/blog/neno-raises-8-6-million-to-build-ai-native-financial-services-for-europe-s-smes,0,LOW
Marketplaces,firstminute capital,"UK / Europe (London, first institutional cheque for European founders)",1000000,3000000,GBP,"Sector-agnostic seed investor in European founders, including marketplaces, commerce platforms and network businesses.",Reimagine Robotics,Aug-2026,https://www.linkedin.com/posts/firstminute-capital_reimagine-robotics-is-building-robots-that-activity-7490368424262471680,0,LOW
Consumer brands and D2C,Felix Capital,"UK / Europe-based, invests across Europe and the US",1000000,20000000,USD,"Backs the creative class at the first or second institutional round: technology-enabled consumer brands, commerce, culture and related platforms.",Medly AI,Aug-2026,https://www.linkedin.com/posts/felix-capital_ai-edtech-education-activity-7495776130184961444-cOtB,0,LOW
Consumer brands and D2C,Felix Capital,"UK / Europe-based, invests across Europe and the US",1000000,20000000,USD,"Backs the creative class at the first or second institutional round: technology-enabled consumer brands, commerce, culture and related platforms.",Intropy,Jul-2026,https://intropy.ai/news-seed-funding,0,LOW
Delivery logistics and supply chain,Pale Blue Dot,Europe and US,500000,2000000,EUR,"Pre-seed/seed climate investor across software and hardware, including low-emission logistics, fleet electrification, route optimisation and supply-chain decarbonisation.",Distill,Jul-2026,https://paleblue.vc/blog,1,HIGH
Delivery logistics and supply chain,Pale Blue Dot,Europe and US,500000,2000000,EUR,"Pre-seed/seed climate investor across software and hardware, including low-emission logistics, fleet electrification, route optimisation and supply-chain decarbonisation.",Staer,Jun-2026,https://paleblue.vc/blog,1,HIGH
Delivery logistics and supply chain,Seedcamp,UK/Europe (European-first; selective global),350000,1250000,USD,Pre-seed/seed technology investor active in logistics automation and transport-spend infrastructure.,Embedd,Aug-2026,https://seedcamp.com/views/embedd-raises-2-7m-to-cut-chip-integration-time-by-6x/,0,HIGH
Delivery logistics and supply chain,Seedcamp,UK/Europe (European-first; selective global),350000,1250000,USD,Pre-seed/seed technology investor active in logistics automation and transport-spend infrastructure.,EverSettled,Jul-2026,https://seedcamp.com/views/eversettled-raises-5m-to-automate-the-painful-process-of-probate/,0,HIGH
Delivery logistics and supply chain,Speedinvest,Europe and beyond,250000,5000000,EUR,"Inception-to-seed technology investor with stated exposure to supply-chain software, freight forwarding, warehouse automation, e-commerce logistics and fleet management.",Kesper,Jul-2026,https://www.speedinvest.com/portfolio/kesper,0,HIGH
Delivery logistics and supply chain,Speedinvest,Europe and beyond,250000,5000000,EUR,"Inception-to-seed technology investor with stated exposure to supply-chain software, freight forwarding, warehouse automation, e-commerce logistics and fleet management.",onepot,Jul-2026,https://www.speedinvest.com/knowledge/morning-coffee-with-andrei-co-founder-of-onepot,0,HIGH
Healthcare and digital health,Nina Capital,"Pan-European; also US, Israel, Canada and Australia",200000,1500000,EUR,"Pre-seed through seed, with selective Series A investments in healthcare technology and digital health.",Woodway Assurance,Jul-2026,https://www.ninacapital.news,1,LOW
Healthcare and digital health,Nina Capital,"Pan-European; also US, Israel, Canada and Australia",200000,1500000,EUR,"Pre-seed through seed, with selective Series A investments in healthcare technology and digital health.",Biobase,Jul-2026,https://www.ninacapital.news,1,LOW
Healthcare and digital health,Seedcamp,UK/Europe (European-first; invests globally selectively),350000,1250000,USD,"Pre-seed and seed technology investor whose healthcare activity spans digital care, clinical AI and life-science tooling.",Embedd,Aug-2026,https://seedcamp.com/views/embedd-raises-2-7m-to-cut-chip-integration-time-by-6x/,0,HIGH
Healthcare and digital health,Seedcamp,UK/Europe (European-first; invests globally selectively),350000,1250000,USD,"Pre-seed and seed technology investor whose healthcare activity spans digital care, clinical AI and life-science tooling.",EverSettled,Jul-2026,https://seedcamp.com/views/eversettled-raises-5m-to-automate-the-painful-process-of-probate/,0,HIGH
Healthcare and digital health,Speedinvest,Europe and beyond,250000,5000000,EUR,"Inception-to-seed investor with a dedicated Health & Bio team spanning health tech, biocomputing, AI and life sciences.",Kesper,Jul-2026,https://www.speedinvest.com/portfolio/kesper,0,HIGH
Healthcare and digital health,Speedinvest,Europe and beyond,250000,5000000,EUR,"Inception-to-seed investor with a dedicated Health & Bio team spanning health tech, biocomputing, AI and life sciences.",onepot,Jul-2026,https://www.speedinvest.com/knowledge/morning-coffee-with-andrei-co-founder-of-onepot,0,HIGH
Insurance,Outward VC,"UK (primarily UK at entry, also describes UK/European focus)",250000,2500000,GBP,"Pre-Series A fintech investor explicitly covering insurance alongside banking, lending, payments, data and AI.",Infrawatch,May-2026,https://outwardvc.com/articles/why-we-invested-in-infrawatch/,0,HIGH
Insurance,Outward VC,"UK (primarily UK at entry, also describes UK/European focus)",250000,2500000,GBP,"Pre-Series A fintech investor explicitly covering insurance alongside banking, lending, payments, data and AI.",Steward,Mar-2026,https://outwardvc.com/articles/why-we-invested-in-steward/,0,HIGH
Insurance,Speedinvest,Europe and beyond,250000,5000000,EUR,Inception-to-seed technology investor whose fintech strategy explicitly includes transforming insurance.,Kesper,Jul-2026,https://www.speedinvest.com/portfolio/kesper,0,HIGH
Insurance,Speedinvest,Europe and beyond,250000,5000000,EUR,Inception-to-seed technology investor whose fintech strategy explicitly includes transforming insurance.,onepot,Jul-2026,https://www.speedinvest.com/knowledge/morning-coffee-with-andrei-co-founder-of-onepot,0,HIGH
B2B software and AI tooling,Notion Capital,Europe-focused (UK-based),1000000,8000000,EUR,Series A-focused investor in European B2B SaaS and cloud software.,Kraken,Jul-2026,https://www.notioncapital.com/resources/why-we-invested-in-kraken,0,HIGH
B2B software and AI tooling,Notion Capital,Europe-focused (UK-based),1000000,8000000,EUR,Series A-focused investor in European B2B SaaS and cloud software.,Pivot,May-2026,https://www.notioncapital.com/resources/why-we-invested-in-pivot,0,HIGH
B2B software and AI tooling,Hoxton Ventures,Europe-focused (UK-based),250000,10000000,USD,"Pre-seed/seed investor backing category-creating technology, enterprise software and AI.",Mubit,Apr-2026,https://hoxtonventures.com/portfolio/mubit,0,HIGH
B2B software and AI tooling,Hoxton Ventures,Europe-focused (UK-based),250000,10000000,USD,"Pre-seed/seed investor backing category-creating technology, enterprise software and AI.",Prefrontal,Feb-2026,https://hoxtonventures.com/portfolio/prefrontal,0,HIGH
B2B software and AI tooling,Project A,Europe-focused (Germany-based),1000000,10000000,USD,"Early-stage investor in software-enabled technology, AI, fintech and supply-chain applications.",Pactum,Jun-2025,https://insights.project-a.com/topics/investment/,1,HIGH
B2B software and AI tooling,Project A,Europe-focused (Germany-based),1000000,10000000,USD,"Early-stage investor in software-enabled technology, AI, fintech and supply-chain applications.",Atmen,Jun-2025,https://insights.project-a.com/why-we-invested-in-atmen-powering-the-next-decade-of-european-industrial-resilience/,0,HIGH
Marketplaces,Hoxton Ventures,Europe-focused (UK-based),250000,10000000,USD,Generalist pre-seed/seed investor with marketplace and commerce exposure.,Mubit,Apr-2026,https://hoxtonventures.com/portfolio/mubit,0,HIGH
Marketplaces,Hoxton Ventures,Europe-focused (UK-based),250000,10000000,USD,Generalist pre-seed/seed investor with marketplace and commerce exposure.,Prefrontal,Feb-2026,https://hoxtonventures.com/portfolio/prefrontal,0,HIGH
Marketplaces,Project A,Europe-focused (Germany-based),1000000,10000000,USD,Broad digital-company investor with marketplace and platform exposure.,Pactum,Jun-2025,https://insights.project-a.com/topics/investment/,1,HIGH
Marketplaces,Project A,Europe-focused (Germany-based),1000000,10000000,USD,Broad digital-company investor with marketplace and platform exposure.,Atmen,Jun-2025,https://insights.project-a.com/why-we-invested-in-atmen-powering-the-next-decade-of-european-industrial-resilience/,0,HIGH
Payments and fintech infrastructure,Eos Ventures,UK/Europe and North America,7000000,10000000,USD,Specialist Series A investor in insurance and financial-services technology.,Sidekick,Feb-2026,https://eosvc.com/eos-ventures-leads-8m-investment-in-sidekick-to-modernize-wealth-management-for-professionals/,0,HIGH
Payments and fintech infrastructure,Eos Ventures,UK/Europe and North America,7000000,10000000,USD,Specialist Series A investor in insurance and financial-services technology.,Osigu,Aug-2025,https://eosvc.com/eos-ventures-leads-10m-investment-in-osigu-to-transform-healthcare-payments-in-latin-america/,0,HIGH
Digital banking and lending,Eos Ventures,UK/Europe and North America,7000000,10000000,USD,Series A financial-services investor including wealth and payments infrastructure.,Sidekick,Feb-2026,https://eosvc.com/eos-ventures-leads-8m-investment-in-sidekick-to-modernize-wealth-management-for-professionals/,0,HIGH
Digital banking and lending,Eos Ventures,UK/Europe and North America,7000000,10000000,USD,Series A financial-services investor including wealth and payments infrastructure.,Osigu,Aug-2025,https://eosvc.com/eos-ventures-leads-10m-investment-in-osigu-to-transform-healthcare-payments-in-latin-america/,0,HIGH
Insurance,Eos Ventures,UK/Europe and North America,7000000,10000000,USD,Specialist Series A investor in insurance and financial-services technology.,Sidekick,Feb-2026,https://eosvc.com/eos-ventures-leads-8m-investment-in-sidekick-to-modernize-wealth-management-for-professionals/,0,HIGH
Insurance,Eos Ventures,UK/Europe and North America,7000000,10000000,USD,Specialist Series A investor in insurance and financial-services technology.,Osigu,Aug-2025,https://eosvc.com/eos-ventures-leads-10m-investment-in-osigu-to-transform-healthcare-payments-in-latin-america/,0,HIGH
Consumer brands and D2C,FoodLabs,"Europe-focused, invests internationally",100000,2000000,USD,"Pre-seed/seed investor in food, health, consumer products and enabling technology.",DITTO Daily,Jul-2026,https://www.foodlabs.com/articles-categories/portfolio-news,1,HIGH
Consumer brands and D2C,FoodLabs,"Europe-focused, invests internationally",100000,2000000,USD,"Pre-seed/seed investor in food, health, consumer products and enabling technology.",Reformed,Jul-2026,https://www.foodlabs.com/articles-categories/portfolio-news,1,HIGH
Consumer brands and D2C,Eka Ventures,UK-focused,1000000,3000000,GBP,"Consumer-led technology across health, wellbeing, sustainability and essential services.",Medly AI,Aug-2026,https://tech.eu/2026/08/19/medly-ai-raises-8m-to-bring-ai-powered-tutoring-to-more-students/,0,HIGH
Consumer brands and D2C,Eka Ventures,UK-focused,1000000,3000000,GBP,"Consumer-led technology across health, wellbeing, sustainability and essential services.",DITTO Daily,Jul-2026,https://www.eu-startups.com/2026/07/ditto-raises-e5-2-million-to-tackle-menstrual-health-gaps-with-research-and-targeted-supplements/,0,HIGH
Delivery logistics and supply chain,FoodLabs,"Europe-focused, invests internationally",100000,2000000,USD,Food and agriculture investor covering supply-chain infrastructure and resilience.,DITTO Daily,Jul-2026,https://www.foodlabs.com/articles-categories/portfolio-news,1,HIGH
Delivery logistics and supply chain,FoodLabs,"Europe-focused, invests internationally",100000,2000000,USD,Food and agriculture investor covering supply-chain infrastructure and resilience.,Reformed,Jul-2026,https://www.foodlabs.com/articles-categories/portfolio-news,1,HIGH
Healthcare and digital health,Heal Capital,Europe-focused,500000,5000000,EUR,"Pre-seed-Series A healthtech across care delivery, clinical software and diagnostics.",Tokura,Jun-2026,https://www.healcapital.com/insights/page/2,1,HIGH
Healthcare and digital health,Heal Capital,Europe-focused,500000,5000000,EUR,"Pre-seed-Series A healthtech across care delivery, clinical software and diagnostics.",Ditto,May-2026,https://www.healcapital.com/insights/page/2,1,HIGH
Healthcare and digital health,Eka Ventures,UK-focused,1000000,3000000,GBP,Consumer-led technology investor with a major health and wellbeing focus.,Medly AI,Aug-2026,https://tech.eu/2026/08/19/medly-ai-raises-8m-to-bring-ai-powered-tutoring-to-more-students/,0,HIGH
