# LATEST ANNUAL COMPANY-REPORTED GMV AND TRANSACTION-VALUE METRICS.
# Supplied by Daniil 30-Aug-2026 as screenshots of a research sheet answering the outstanding
# volume-metrics list in docs/sourcing-volume-metrics.md. Transcribed the same session.
#
# HOW TO READ THE STATUS COLUMN. Disclosed means the issuer itself publishes a monetary gross
# transaction figure and the sheet carries its exact words. Not disclosed means the issuer reports
# revenue and often unit volumes (parcels, shipments, tonnes, subscribers) but never a monetary
# gross figure. Excluded means the business model does not have one to report: a first-party
# retailer, a carrier moving other people's goods, a subscription seller. Excluded is a CONCLUSION,
# not a gap, and those names should never come back onto the sourcing list.
#
# metric_category separates CORE GMV (the marketplace's own transaction value, the number a founder
# in that model would quote) from ADJACENT GROSS VOLUME (a payments or lending throughput figure
# that is a real disclosure but is not GMV and must not be pooled with GMV multiples).
company_name,exchange_ticker,status,metric_category,issuer_metric_name,fiscal_period,reported_value,scale_unit,currency,value_usd_musd,scope,exact_wording,source_url
"Credit Saison Co., Ltd.",TSE:8253,DISCLOSED,ADJACENT_GROSS_VOLUME,Card shopping transaction volume,FY ended 31-Mar-2026,6186000,JPY m,JPY,,Consolidated card shopping,"6.186tn yen shopping transaction volume.",https://corporate.saisoncard.co.jp/vr_html/ir/data/jp/t0odga00000006dw.pdf
Humm Group Limited,ASX:HUM,DISCLOSED,ADJACENT_GROSS_VOLUME,Transaction volume - total hummgroup,FY ended 30-Jun-2025,3911.9,AUD m,AUD,,Continuing products,"A$3,911.9m total transaction volume across Commercial and Consumer Finance.",https://investorpa.com/announcement/258823/
"U-NEXT HOLDINGS Co.,Ltd.",TSE:9418,DISCLOSED,ADJACENT_GROSS_VOLUME,Cashless service GMV,FY ended 31-Aug-2025,764.8,JPY bn,JPY,,Financial segment,"Cashless-service GMV of 764.8bn yen.",https://www.unext-hd.co.jp/ir/archive/pdf/2025/202508_annual.pdf
"Priority Technology Holdings, Inc.",NASDAQ:PRTH,DISCLOSED,ADJACENT_GROSS_VOLUME,Total card processing dollar value,FY ended 31-Dec-2025,72373.8,USD m,USD,72373.8,Merchant Solutions,"Total card processing dollar value of $72,373.8m.",https://ir.prioritycommerce.com/static-files/77216894-eb7e-435b-a8a5-d328986e92a4
"Usio, Inc.",NASDAQ:USIO,DISCLOSED,ADJACENT_GROSS_VOLUME,Total dollars processed for all payment types,FY ended 31-Dec-2025,8.4,USD bn,USD,8400,Company-wide,"In 2025, we processed $8.4 billion for all payment types.",https://www.sec.gov/Archives/edgar/data/1088034/000143774926008833/usio20251231_10k.htm
"Phreesia, Inc.",NYSE:PHR,DISCLOSED,ADJACENT_GROSS_VOLUME,Patient payment volume,FY ended 31-Jan-2026,4873,USD m,USD,4873,Payment platform,"Total dollar volume between healthcare clients and patients using the payment platform.",https://www.sec.gov/Archives/edgar/data/1412408/000141240826000079/phr-20260131.htm
WEX Inc.,NYSE:WEX,DISCLOSED,ADJACENT_GROSS_VOLUME,Total volume - Corporate Payments,Twelve months ended 31-Dec-2025,147785.7,USD m,USD,147785.7,Corporate Payments,"Purchases on WEX-issued accounts plus purchases issued by others using a WEX platform.",https://www.sec.gov/Archives/edgar/data/1309108/000130910826000130/wex-20251231.htm
"Cass Information Systems, Inc.",NASDAQ:CASS,DISCLOSED,ADJACENT_GROSS_VOLUME,Transportation dollar volume,FY ended 31-Dec-2025,36447.471,USD m,USD,36447.471,Transportation component only,"Transportation dollar volume $36,447.471m; separate facility expense dollar volume $23,256.090m; no issuer consolidated total.",https://ir.cassinfo.com/static-files/4e7edebb-2f4a-4b45-a8c1-b2db2dce9284
Nayax Ltd.,NASDAQ:NYAX,DISCLOSED,ADJACENT_GROSS_VOLUME,Total transaction value,FY ended 31-Dec-2025,6.449,USD bn,USD,6449,Platform-wide,"FY2025 total transaction value of $6.449bn.",https://www.sec.gov/Archives/edgar/data/1901279/000117891326000780/exhibit_99-1.htm
Worldline SA,ENXTPA:WLN,DISCLOSED,ADJACENT_GROSS_VOLUME,Acquiring Merchant Sales Value (MSV),Annual scale disclosed in universal registration document,500,EUR bn,EUR,,Merchant acquiring,"Worldline processes 500 billion euro in acquiring Merchant Sales Value.",https://worldline.com/shared/documents/legal/universal-registration-document/worldline-urd-2025-en.pdf
PayPoint plc,LSE:PAY,DISCLOSED,ADJACENT_GROSS_VOLUME,Card Services transaction value,FY ended 31-Mar-2026,6439,GBP m,GBP,,Card Services,"6,439m pounds: Handepay SME partners 4,360m plus PayPoint retailer partners 2,079m.",https://www.paypoint.com/investors/regulatory-announcements/
"Digital Garage, Inc.",TSE:4819,DISCLOSED,ADJACENT_GROSS_VOLUME,Payment transaction volume,FY ended 31-Mar-2026,9.1,JPY tn,JPY,,Payments segment,"9.1tn yen covering online and offline payments.",https://ir.garage.co.jp/en/investors/overview/
"BASE,Inc.",TSE:4477,DISCLOSED,ADJACENT_GROSS_VOLUME,Group GMV,FY ended 31-Dec-2025,430459,JPY m,JPY,,"Group, mixed","430,459m yen: BASE 169,918m, PAY.JP 229,427m and Estore Shopserve 31,113m.",https://www2.jpx.co.jp/disc/44770/140120260212556968.pdf
AvenuesAI Limited,NSEI:CCAVENUE,DISCLOSED,ADJACENT_GROSS_VOLUME,Payments TPV,FY ended 31-Mar-2026,5038,INR bn,INR,,"CCAvenue, BillAvenue","Payments TPV of 5,038bn rupees.",https://www.avenues.info/
Fawry for Banking Technology and Electronic Payments,CASE:FWRY,DISCLOSED,ADJACENT_GROSS_VOLUME,Total throughput value,FY ended 31-Dec-2025,943632.7,EGP m,EGP,,Company-wide,"Total throughput value EGP943,632.7m; 2.078bn transactions.",https://www.fawry.com/financials-and-earning-releases/
"Copart, Inc.",NASDAQGS:CPRT,NOT_DISCLOSED,,,FY2025 ended 31-Jul,,,,,,"Latest 10-K reports service revenue and vehicle-sales revenue but does not quantify the gross value of vehicles sold through auctions.",https://www.sec.gov/Archives/edgar/data/900075/000162828025042946/cprt-20250731.htm
"Xometry, Inc.",NASDAQGS:XMTR,NOT_DISCLOSED,,,FY2025 ended 31-Dec,,,,,,"Latest annual filing reports marketplace revenue, not the gross value paid by customers.",https://investors.xometry.com/node/12126/html
AUTO1 Group SE,XTRA:AG1,NOT_DISCLOSED,,,FY2025 ended 31-Dec,,,,,,"Latest results disclose group revenue and vehicles sold, not a separately defined GMV.",https://www.auto1-group.com/press/pressrelease/auto1-group-achieves-record-breaking-2025-results/
hipages Group Holdings Limited,ASX:HPG,NOT_DISCLOSED,,,FY2025 ended 30-Jun,,,,,,"Latest report discloses connections, subscription tradies, MRR and revenue; it does not quantify consolidated GMV.",https://announcements.asx.com.au/asxpdf/20250822/pdf/06n5s3y9lqpx9j.pdf
IndiaMART InterMESH Limited,NSEI:INDIAMART,NOT_DISCLOSED,,,FY2025 ended 31-Mar,,,,,,"Lead-generation and subscription marketplace; transactions complete between buyers and suppliers and annual materials do not report a transaction value.",https://www.indiamart.com/
"Full Truck Alliance Co. Ltd.",NYSE:YMM,NOT_DISCLOSED,,,FY2025 ended 31-Dec,,,,,,"Digital freight marketplace; FY2025 release reports fulfilled orders and revenue but does not quantify full-year GTV.",https://zto.investorroom.com/annual-reports
KLN Logistics Group Limited,SEHK:636,NOT_DISCLOSED,,,FY2025,,,,,,"No GMV or gross transaction-value metric in the FY2025 annual-results presentation.",https://www.kln.com/media/3nl115k4/kln-2025-annual-results-presentation.pdf
Sinotrans Limited,SEHK:598,NOT_DISCLOSED,,,FY2025,,,,,,"Report discloses platform volume in TEUs but not gross value of goods transacted.",https://stockmc.xueqiu.com/202603/601598_20260331_70MF.pdf
Blue Dart Express Limited,NSEI:BLUEDART,NOT_DISCLOSED,,,FY ended Mar-2026,,,,,,"No GMV disclosed.",https://financialfilings.com/filings/blue-dart-express-ltd/annual-report/2026/58065970/
Container Corporation of India Limited,NSEI:CONCOR,NOT_DISCLOSED,,,FY ended Mar-2026,,,,,,"No GMV disclosed.",https://nsearchives.nseindia.com/corporate/CONCOR_25052026192500_SCONCOR_SE_25052026.pdf
Snowman Logistics Limited,NSEI:SNOWMAN,NOT_DISCLOSED,,,FY ended Mar-2026,,,,,,"No company GMV disclosed.",
Lindsay Australia Limited,ASX:LAU,NOT_DISCLOSED,,,FY ended Jun-2025,,,,,,"GMV and gross merchandise do not appear in the annual report.",https://api.marketindex.com.au/api/v1/announcements/XASX
JSL S.A.,BOVESPA:JSLG3,NOT_DISCLOSED,,,FY2025,,,,,,"No GMV disclosed.",
Tegma Gestao Logistica S.A.,BOVESPA:TGMA3,NOT_DISCLOSED,,,FY2025,,,,,,"No GMV disclosed.",https://ri.tegma.com.br/a-companhia/nossos-negocios/
"Grupo Traxion, S.A.B. de C.V.",BMV:TRAXION A,NOT_DISCLOSED,,,FY2025,,,,,,"No GMV disclosed.",https://www.bmv.com.mx/es/Grupo_BMV/InfoFinanciera/TRAXION-32708
Reysas Tasimacilik ve Lojistik Ticaret A.S.,IBSE:RYSAS,NOT_DISCLOSED,,,FY2025,,,,,,"No GMV disclosed.",https://www.kap.org.tr/tr/sirket-finansal-bilgileri/1415-reysas-tasimacilik-ve-lojistik-ticaret-a-s
Credit Acceptance Corporation,NASDAQ:CACC,NOT_DISCLOSED,,,Year ended Dec-2025,,,,,,"No GMV disclosed.",https://www.sec.gov/Archives/edgar/data/885550/000088555026000047/cacc-20251231.htm
OppFi Inc.,NYSE:OPFI,NOT_DISCLOSED,,,Year ended Dec-2025,,,,,,"No qualifying GMV or transaction-value metric.",https://www.sec.gov/Archives/edgar/data/1818502/000119312526187456/d55216dars.pdf
Atlanticus Holdings Corporation,NASDAQ:ATLC,NOT_DISCLOSED,,,Year ended Dec-2025,,,,,,"Annual gross purchase-volume total not directly disclosed in evidence reviewed.",
Pagaya Technologies Ltd.,NASDAQ:PGY,EXCLUDED,,,Year ended Dec-2025,,,,,,"Network Volume is the gross dollar value of assets originated by partners and SFR services, not a marketplace transaction value.",https://www.sec.gov/Archives/edgar/data/1883085/000188308526000011/pgya-20251231.htm
"PennyMac Financial Services, Inc.",NYSE:PFSI,EXCLUDED,,,Year ended Dec-2025,,,,,,"No qualifying GMV.",https://www.sec.gov/Archives/edgar/data/1745916/000110465926018142/pfsi-20251231x10k.htm
S&U plc,LSE:SUS,NOT_DISCLOSED,,,Year ended Jan-2025,,,,,,"No monetary gross transaction-value metric.",
Close Brothers Group plc,LSE:CBG,NOT_DISCLOSED,,,Year ended Jul-2025,,,,,,"No payment-volume or GMV metric disclosed.",https://financialfilings.com/filings/close-bros-group-plc/annual-report/2025/8794781/
Paragon Banking Group PLC,LSE:PAG,NOT_DISCLOSED,,,Year ended Sep-2025,,,,,,"No company gross transaction-value metric.",https://financialfilings.com/filings/paragon-banking-group-plc/annual-report/2026/13265085/
Multitude AG,XTRA:MULT,NOT_DISCLOSED,,,FY2025,,,,,,"No consolidated annual transaction-volume figure.",https://www.multitude.com/
Banca IFIS S.p.A.,BIT:IF,NOT_DISCLOSED,,,FY2025,,,,,,"No company gross transaction-value metric identified.",
Resurs Bank AB (publ),OM:RESURS,EXCLUDED,,,FY2025,,,,,,"Business volume is deposits plus lending and leases at parent, not transaction value.",https://www.resursbank.se/
Latitude Group Holdings Limited,ASX:LFS,EXCLUDED,,,Year ended Dec-2025,,,,,,"New transaction volume A$9.1bn combines credit-card purchase volume and loan originations, so it is not a clean payments TPV.",https://investorpa.com/
"AMN Healthcare Services, Inc.",NYSE:AMN,NOT_DISCLOSED,,,Year ended Dec-2025,,,,,,"No GMV or analogous gross transaction-value metric identified in the latest Form 10-K.",
Robert Walters plc,LSE:RWA,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports revenue and net fee income; no GMV or GTV.",https://www.robertwaltersgroup.com/investors/annual-reports.html
Hays plc,LSE:HAS,NOT_DISCLOSED,,,FY2026,,,,,,"Annual disclosure reports turnover and net fees; no GMV or GTV.",https://www.haysplc.com/investors/results-centre
Elders Limited,ASX:ELD,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports sales revenue and agency commissions; no annual GMV or GTV.",https://elders.com.au/about-us/investors/annual-reports/
Costco Wholesale Corporation,NASDAQ:COST,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports net sales and membership fees, not GMV.",https://investor.costco.com/financials/annual-reports-and-proxy-statements/default.aspx
"BJ's Wholesale Club Holdings, Inc.",NYSE:BJ,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports net sales and membership fees, not GMV.",https://investors.bjs.com/sec-filings/default.aspx
"PriceSmart, Inc.",NASDAQ:PSMT,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports net merchandise sales and membership income, not GMV.",https://investors.pricesmart.com/financial-information/sec-filings
"Planet Fitness, Inc.",NYSE:PLNT,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports revenue, system-wide sales and members; system-wide sales are franchisee sales, not a marketplace GMV KPI.",https://investor.planetfitness.com/financial-information/sec-filings
"Life Time Group Holdings, Inc.",NYSE:LTH,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports revenue and memberships; no GMV or GTV.",https://ir.lifetime.life/financial-information/sec-filings
"Trupanion, Inc.",NASDAQ:TRUP,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports revenue, subscription metrics and veterinary invoice counts; no GMV or GTV.",https://investors.trupanion.com/financial-information/sec-filings
"Frontdoor, Inc.",NASDAQ:FTDR,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports revenue and home-service-plan KPIs; no GMV or GTV.",https://www.sec.gov/Archives/edgar/data/1727263/
ADT Inc.,NYSE:ADT,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports revenue and recurring monthly revenue; no GMV or GTV.",https://investor.adt.com/financials/sec-filings/default.aspx
"Arlo Technologies, Inc.",NYSE:ARLO,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports product and subscription revenue; no GMV or GTV.",https://investor.arlo.com/financial-information/sec-filings
FuboTV Inc.,NYSE:FUBO,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports revenue and subscribers; no GMV or GTV.",https://ir.fubo.tv/financials/sec-filings/default.aspx
CuriosityStream Inc.,NASDAQ:CURI,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports revenue and subscribers; no GMV or GTV.",https://investors.curiositystream.com/financial-information/sec-filings
"WW International, Inc.",NASDAQ:WW,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports subscription revenue and subscribers; no GMV or GTV.",https://corporate.ww.com/investors/sec-filings/default.aspx
"LifeMD, Inc.",NASDAQ:LFMD,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports telehealth and WorkSimpli revenue; no GMV or GTV.",https://ir.lifemd.com/financial-information/sec-filings
"Rollins, Inc.",NYSE:ROL,NOT_DISCLOSED,,,FY2025,,,,,,"10-K reports service revenue; no GMV or GTV.",https://investors.rollins.com/financial-information/sec-filings/default.aspx
"Peloton Interactive, Inc.",NASDAQ:PTON,NOT_DISCLOSED,,,FY2026,,,,,,"Annual report reports subscription and connected-fitness revenue; no GMV or GTV.",https://investor.onepeloton.com/financial-information/sec-filings
Nerdy Inc.,NYSE:NRDY,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports revenue and sessions; no annual GMV or GTV.",https://www.nerdy.com/investors/financials/sec-filings
Basic-Fit N.V.,ENXTAM:BFIT,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports revenue, clubs and memberships; no GMV or GTV.",https://corporate.basic-fit.com/investors/annual-reports
The Gym Group plc,LSE:GYM,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports revenue and members; no GMV or GTV.",https://www.tggplc.com/investors/results-reports-presentations/
Naked Wines plc,AIM:WINE,NOT_DISCLOSED,,,FY2026,,,,,,"Results report revenue and total sales, not a distinct GMV or gross transaction-value measure.",https://www.nakedwines.com/
Pets at Home Group Plc,LSE:PETS,NOT_DISCLOSED,,,FY2026,,,,,,"Report does not use GMV or GTV; Group Consumer Revenue combines statutory revenue with gross JV practice consumer sales.",https://data.fca.org.uk/artefacts/NSM/DirectUpload/NI-000146412.pdf
Deezer S.A.,ENXTPA:DEEZR,NOT_DISCLOSED,,,FY2025,,,,,,"Universal registration document reports revenue and subscribers; no GMV or GTV.",https://www.deezer-investors.com/financial-information/
Viaplay Group AB (publ),OM:VPLAY B,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports revenue and subscribers; no GMV or GTV.",https://www.viaplaygroup.com/investors/financial-reports
Cookpad Inc.,TSE:2193,NOT_DISCLOSED,,,FY2025,,,,,,"Annual disclosure reports revenue and user metrics; no GMV or GTV.",https://info.cookpad.com/en/ir/
"CURVES HOLDINGS Co., Ltd.",TSE:7085,NOT_DISCLOSED,,,FY2025,,,,,,"Annual disclosure reports revenue and member and store metrics; no GMV or GTV.",https://www.curvesholdings.co.jp/ir/
JustSystems Corporation,TSE:4686,NOT_DISCLOSED,,,FY2026,,,,,,"Annual disclosure reports software revenue; no GMV or GTV.",https://www.justsystems.com/jp/ir/
Viva Leisure Limited,ASX:VVA,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports revenue, locations and members; no GMV or GTV.",https://www.vivaleisure.com.au/investor-centre/
Aussie Broadband Limited,ASX:ABB,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports telecommunications revenue and connections; no GMV or GTV.",https://www.aussiebroadband.com.au/investor-centre/
Matrimony.com Limited,NSEI:MATRIMONY,NOT_DISCLOSED,,,FY2026,,,,,,"Reporting uses billings and revenue, not GMV or GTV.",https://www.matrimony.com/investors/
Repay Holdings Corporation,NASDAQ:RPAY,NOT_DISCLOSED,,,FY2025,,,,,,"10-K refers to payment volume qualitatively but provides no annual dollar amount.",https://www.sec.gov/Archives/edgar/data/1720592/000119312526038518/
"Pathward Financial, Inc.",NASDAQ:CASH,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report does not disclose consolidated dollar payment volume or TPV.",https://www.pathwardfinancial.com/investor-relations/financial-information/sec-filings/default.aspx
"Paymentus Holdings, Inc.",NYSE:PAY,NOT_DISCLOSED,,,FY2025,,,,,,"10-K discloses approximately 724m payments, but not their aggregate dollar value.",https://www.sec.gov/Archives/edgar/data/1841156/000119312526064510/pay-20251231.htm
Waystar Holding Corp.,NASDAQ:WAY,EXCLUDED,,,FY2025,,,,,,"Report says more than $2.4 trillion in gross claims volume. Claims volume is not payments volume, and more than is a threshold, so the figure is a floor.",https://www.sec.gov/Archives/edgar/data/1990354/000199035426000011/way-20251231.htm
NCR Atleos Corporation,NYSE:NATL,NOT_DISCLOSED,,,FY2025,,,,,,"10-K discusses ATM and payment transactions and revenue but not underlying dollar value.",https://www.sec.gov/Archives/edgar/data/1974138/000162828026012576/natl-20251231.htm
"Diebold Nixdorf, Incorporated",NYSE:DBD,NOT_DISCLOSED,,,FY2025,,,,,,"10-K does not report dollar payment volume or a transaction-value KPI.",https://www.sec.gov/Archives/edgar/data/28823/000002882326000008/dbd-20251231.htm
PAX Global Technology Limited,SEHK:327,NOT_DISCLOSED,,,FY2025,,,,,,"Annual report reports terminal and solutions revenue and connected terminals, not underlying TPV.",https://www.pax.us/about-us/press-room/pax-2025-annual-results/
Zaggle Prepaid Ocean Services Limited,NSEI:ZAGGLE,NOT_DISCLOSED,,,FY2026,,,,,,"Investor presentation references GTV and spends but does not state a consolidated annual rupee value processed.",https://ir.zaggle.in/wp-content/uploads/2026/05/zaggle-investor-presentation-Q4FY26.pdf
"Kanzhun Limited",NASDAQGS:BZ,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"ZipRecruiter, Inc.",NYSE:ZIP,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"Visional, Inc.",TSE:4194,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"Infomart Corporation",TSE:2492,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"Bengo4.com,Inc.",TSE:6027,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"Medley, Inc.",TSE:4480,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"SMS Co., Ltd.",TSE:2175,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"DIP Corporation",TSE:2379,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"en Inc.",TSE:4849,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"LegalZoom.com, Inc.",NASDAQGS:LZ,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"DHI Group, Inc.",NYSE:DHX,EXCLUDED,,,,,,,,,"Recruitment, listings or subscription platform: monetised by subscription, advertising or performance fees, so no gross transaction value passes through the issuer.",
"MonotaRO Co., Ltd.",TSE:3064,EXCLUDED,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",
"Ocado Group plc",LSE:OCDO,EXCLUDED,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",
"Oisix ra daichi Inc.",TSE:3182,EXCLUDED,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",
"HelloFresh SE",XTRA:HFG,EXCLUDED,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",
"Rent the Runway, Inc.",NASDAQGM:RENT,EXCLUDED,,,,,,,,,"First-party seller: buys and resells its own inventory, so net sales already ARE the transaction value and there is no third-party GMV.",
"Delhivery Limited",NSEI:DELHIVERY,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"InPost S.A.",ENXTAM:INPST,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"J&T Global Express Limited",SEHK:1519,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"ZTO Express (Cayman) Inc.",NYSE:ZTO,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
"S.F. Holding Co., Ltd.",SZSE:002352,EXCLUDED,,,,,,,,,"Carrier or logistics operator: moves other people's goods and reports parcels, tonnes or shipments. The merchandise value is never the issuer's to report.",
