# EVERY private round, with the announcement URL, for the user-count sweep of 3-Sep-2026.
# Daniil: "How many private round records do we have currently? Did we check for each of
# them the number of users at announcement?" We had checked eight. This is all of them.
tid,key,company,date,post,existing_metric,url
away-2019-05,away,Away,May-19,1400.0,,prnewswire.com/news-releases/away-is-valued-at-1-4-billion-after-a-series-d-investment-of-100-million-300850285.html
back-market-2022-01,back-market,Back Market,Jan-22,5700.0,,backmarket.reportablenews.com/pr/back-market-the-renewed-electronics-marketplace-raises-510-million-and-is-now-valued-at-5-7-billion
better-2021-05,better,Better.com,May-21,7700.0,,https://www.businesswire.com/news/home/20210511005602/en/
betterup-2021-10,betterup,BetterUp,Oct-21,4700.0,,https://www.betterup.com/press/series-e
billie-2021-10,billie,Billie,Oct-21,640.0,,https://techcrunch.com/2021/10/25/billie-a-buy-now-pay-later-specialist-for-the-b2b-market-raises-100m-on-a-640m-valuation/
blockfi-2021-03,blockfi,BlockFi,Mar-21,3000.0,,https://techcrunch.com/2021/03/11/blockfi-lands-a-350m-series-d-at-3b-valuation-for-its-fast-growing-crypto-lending-platform/
blockchaincom-2022-03,blockchaincom,Blockchain.com,Mar-22,14000.0,,https://techcrunch.com/2022/03/30/blockchain-com-raises-at-14b-valuation/
blockworks-2023-05,blockworks,Blockworks,May-23,135.0,,https://blockworks.com/news/blockworks-raises-12m/
brex-2022-01,brex,Brex,Jan-22,12300.0,,https://techcrunch.com/2022/01/11/brex-confirms-12-3b-valuation-hires-meta-exec-to-serve-as-its-chief-product-officer/
brex-2021-10,brex,Brex,Oct-21,7400.0,,https://www.brex.com/journal/series-d
bright-data-2017-08,bright-data,Bright Data (Luminati),Aug-17,200.0,,https://www.emkcapital.com/news/emk-acquires-luminati-the-worlds-largest-ip-proxy-network-which-brings-transparency-to-the-internet
buffer-2014-10,buffer,Buffer,Oct-14,60.0,,https://buffer.com/resources/raising-3-5m-funding-valuation-term-sheet/
calendly-2021-01,calendly,Calendly,Jan-21,3000.0,,https://techcrunch.com/2021/01/26/how-atlantas-calendly-turned-a-scheduling-nightmare-into-a-3b-startup/
calm-2020-12,calm,Calm,Dec-20,2000.0,PAID_SUBSCRIBERS,https://www.globenewswire.com/news-release/2020/12/08/2141185/0/en/Calm-Hits-2-Billion-Valuation-Expands-into-Wellness-at-Work.html
calm-2019-02,calm,Calm,Feb-19,1000.0,,https://www.globenewswire.com/news-release/2019/02/06/1711311/0/en/Calm-Raises-88M-Becomes-First-Mental-Health-Unicorn.html
calm-2019-07,calm,Calm,Jul-19,1000.0,,https://www.cnbc.com/2019/07/01/calm-raises-27-million-at-1-billion-valuation.html
canva-2024-05,canva,Canva,Apr-24,26000.0,,https://www.forbes.com/sites/alexkonrad/2024/05/23/canva-new-tools-cozy-up-corporations/
canva-2025-08,canva,Canva,Aug-25,42000.0,,https://finance.yahoo.com/news/canva-begins-employee-stock-sale-034229058.html
carta-2021-08,carta,Carta,Aug-21,7400.0,,https://carta.com/blog/series-g/
cato-networks-2023-09,cato-networks,Cato Networks,Sep-23,3000.0,,https://www.catonetworks.com/news/cato-networks-raises-238m-in-equity-investment-at-over-3b-valuation/
celonis-2022-08,celonis,Celonis,Aug-22,13000.0,,https://www.celonis.com/press/celonis-secures-1-billion-in-additional-funds
chainalysis-2021-06,chainalysis,Chainalysis,Jun-21,4200.0,,https://www.chainalysis.com/blog/series-e/
chainalysis-2022-05,chainalysis,Chainalysis,May-22,8600.0,,https://www.chainalysis.com/blog/series-f/
checkoutcom-2023-12,checkoutcom,Checkout.com,Dec-23,9400.0,,https://sifted.eu/articles/checkout-com-300m-losses-2023
chime-2024-04,chime,Chime,Apr-24,16000.0,,https://www.forbes.com/sites/jeffkauflin/2024/05/03/exclusive-the-inside-story-of-chime-americas-biggest-digital-bank/
chime-2021-08,chime,Chime,Aug-21,25000.0,,https://techcrunch.com/2021/08/13/chime-raises-750m-at-a-25b-valuation/
cityblock-health-2021-09,cityblock-health,Cityblock Health,Sep-21,5700.0,,https://www.statnews.com/2021/09/03/cityblock-health-series-d-valuation/
clay-2026-01,clay,Clay,Jan-26,5000.0,,https://www.businesswire.com/news/home/20260128514638/en/Clay-Announces-Second-Employee-Tender-Offer-in-Nine-Months-at-a-%245B-Valuation
clearco-2021-04,clearco,Clearco,Apr-21,2000.0,CAPITAL DEPLOYED / ADVANCES,https://techcrunch.com/2021/04/20/clearbanc-rebrands-as-clearco-gets-a-350m-valuation-boost
clearco-2021-07,clearco,Clearco,Jul-21,2000.0,LOANS_ORIGINATED,https://techcrunch.com/2021/07/08/clearco-gets-the-softbank-stamp-of-approval-in-new-215m-round
clio-2024-07,clio,Clio,Jul-24,3000.0,,https://techcrunch.com/2024/07/23/clio-raises-900m-at-a-3b-valuation-plans-to-double-down-on-ai-and-fintech/
coalition-2022-07,coalition,Coalition,Jul-22,5000.0,GROSS_WRITTEN_PREMIUM,https://www.coalitioninc.com/announcements/series-f
cohere-2023-06,cohere,Cohere,Jun-23,2100.0,,https://techcrunch.com/2023/06/08/ai-startup-cohere-now-valued-at-over-2-1b-raises-270m/
commerceiq-2022-03,commerceiq,CommerceIQ,Mar-22,1000.0,,techcrunch.com/2022/03/21/commerceiq-e-commerce-infrastructure/
consensys-2022-03,consensys,ConsenSys,Mar-22,7000.0,,https://consensys.io/blog/consensys-raises-450m-series-d-funding
contentsquare-2022-07,contentsquare,Contentsquare,Jul-22,5600.0,,https://contentsquare.com/press/contentsquare-raises-600-million/
creditas-2020-12,creditas,Creditas,Dec-20,1750.0,,https://www.creditas.com/ir/non-regulatory/creditas-announces-ususd255-million-series-e/
creditas-2025-12,creditas,Creditas,Dec-25,3300.0,,https://www.creditas.com/ir/regulatory/creditas-concludes-acquisition-of-bank-andbank-brasil-and-finalizes-initial/
creditas-2022-01,creditas,Creditas,Jan-22,4800.0,,https://www.creditas.com/ir/non-regulatory/creditas-announces-usd-260-million-series-f-fundraising-round/
creditas-2022-07,creditas,Creditas,Jul-22,4800.0,,https://www.creditas.com/ir/non-regulatory/andbank-and-creditas-sign-strategic-partnership-in-brazil/
cyera-2024-04,cyera,Cyera,Apr-24,1400.0,,https://www.cyera.com/press-releases/data-security-leader-cyera-raises-300-million-at-1-4-billion-valuation
databricks-2023-09,databricks,Databricks,Sep-23,43000.0,,https://www.axios.com/2023/09/14/databricks-43-billion-ai-nvidia
dehaat-2022-10,dehaat,DeHaat,Oct-22,695.0,,https://www.moneycontrol.com/news/business/startup/agritech-startup-dehaat-raises-46-mn-led-by-sofina-ventures-at-695-mn-valuation-9370681.html
decagon-2026-01,decagon,Decagon,Jan-26,4500.0,,https://decagon.ai/blog/series-d-announcement
deel-2022-05,deel,Deel,May-22,12000.0,,https://www.deel.com/blog/series-d-extension/
deel-2025-10,deel,Deel,Oct-25,17300.0,,https://www.deel.com/blog/new-investment-valuation/
deezer-2018-08,deezer,Deezer,Aug-18,1000.0,,https://newsroom-deezer.com/2018/08/deezer-raises-e160-million-from-new-and-existing-investors-in-private-placement-and-enters-into-exclusive-distribution-agreement-with-rotana/
delhivery-2021-05,delhivery,Delhivery,May-21,3000.0,,https://entrackr.com/2021/05/exclusive-ipo-bound-delhivery-raises-277-mn-led-by-fidelity/
devoted-health-2021-10,devoted-health,Devoted Health,Oct-21,12700.0,,https://medcitynews.com/2021/10/devoted-health-raises-1-1b-sending-valuation-soaring-past-12b/
discord-2021-09,discord,Discord,Sep-21,15000.0,,https://www.investing.com/news/stock-market-news/chat-app-discord-raises-500-million-in-new-funding-2617713
docker-2022-03,docker,Docker,Mar-22,2100.0,,https://www.docker.com/blog/docker-series-c/
doctolib-2022-03,doctolib,Doctolib,Mar-22,5800.0,,https://techcrunch.com/2022/03/15/healthcare-tech-platform-doctolib-reaches-6-4-billion-valuation/
dream-sports-2021-11,dream-sports,Dream Sports,Nov-21,8000.0,,https://economictimes.indiatimes.com/tech/startups/dream-sports-bags-840-million-in-new-funding-at-8-billion-valuation/articleshow/87892001.cms
egym-2023-07,egym,EGYM,Jul-23,600.0,,https://techcrunch.com/2023/07/05/egym-the-munich-based-smart-fitness-startup-raises-225m-from-jared-kushners-affinity-partners/
elasticrun-2022-02,elasticrun,ElasticRun,Feb-22,1500.0,,https://www.business-standard.com/article/companies/b2b-e-commerce-startup-elasticrun-raises-330-mn-at-1-5-bn-valuation-122021700710_1.html
elevenlabs-2025-01,elevenlabs,ElevenLabs,Jan-25,3300.0,,https://elevenlabs.io/blog/series-c
enpal-2023-01,enpal,Enpal,Jan-23,2200.0,,https://uk.investing.com/news/stock-market-news/german-renewables-firm-enpal-hits-24-billion-valuation-with-new-funding-round-2875460
epic-games-2021-04,epic-games,Epic Games,Apr-21,28700.0,,https://www.epicgames.com/site/news/announcing-a-1-billion-funding-round-to-support-epics-long-term-vision-for-the-metaverse
epic-games-2022-04,epic-games,Epic Games,Apr-22,31500.0,,https://www.epicgames.com/site/news/sony-and-kirkbi-invest-in-epic-games-to-build-the-future-of-digital-entertainment?lang=en-US
fabric-2022-02,fabric,Fabric,Feb-22,1500.0,,fabric.inc/press/headless-commerce-leader-fabric-announces-140-million-series-c-funding-led-by-softbank
factorial-2022-10,factorial,Factorial,Oct-22,1000.0,,https://techcrunch.com/2022/10/11/factorial-raises-120m-at-a-1b-valuation-for-its-hr-software-for-smbs/
faire-2021-11,faire,Faire,Nov-21,12400.0,annual volume at announcement (> threshold),businesswire.com/news/home/20211116005386/en/Faire-Valuation-Grows-to-%2412.4-Billion-With-%24400-Million-Series-G-Funding-Round-Co-Led-by-Durable-Capital-Partners-LP
faire-2025-11,faire,Faire,Nov-25,5200.0,FY2025 GMV forecast,faire.com/news/2025-11-17-faire-announces-tender-offer
figma-2024-05,figma,Figma,Jul-24,12500.0,,https://www.axios.com/2024/05/16/figma-tender-12-billion
fireblocks-2022-01,fireblocks,Fireblocks,Jan-22,8000.0,,https://www.fireblocks.com/blog/series-e/
fireblocks-2021-07,fireblocks,Fireblocks,Jul-21,2000.0,,https://www.fireblocks.com/blog/series-d/
flink-2024-09,flink,Flink,Sep-24,1000.0,,https://techcrunch.com/2024/09/16/flink-the-quick-commerce-startup-raises-another-150m-at-a-valuation-of-just-under-1b/
flipkart-2021-07,flipkart,Flipkart,Jul-21,37600.0,,corporate.walmart.com/news/2021/07/12/flipkart-raises-us-3-6-billion-in-funding-to-accelerate-the-growth-of-the-consumer-internet-ecosystem-in-india
flipkart-2023-07,flipkart,Flipkart,Jul-23,35000.0,,techcrunch.com/2023/07/30/walmart-flipkart-tiger-global/
flohealth-2021-09,flohealth,Flo Health,Sep-21,800.0,PAID_SUBSCRIBERS,https://www.globenewswire.com/7/news-release/2021/09/09/2294372/0/en/Flo-Announces-50-Million-Series-B-Funding-Round-Bringing-Company-to-800M-Valuation.html
floqast-2024-04,floqast,FloQast,Apr-24,1600.0,,https://www.floqast.com/press-releases/floqast-secures-100-million-in-series-e-funding-achieving-1-6-billion-valuation
fundbox-2021-11,fundbox,Fundbox,Nov-21,1100.0,,https://www.globenewswire.com/news-release/2021/11/30/2343283/0/en/Fundbox-Closes-100M-Series-D-Fueled-by-Record-Growth.html
goat-group-2021-06,goat-group,GOAT Group,Jun-21,3700.0,LTM GMV to announcement,prnewswire.com/news-releases/goat-group-valuation-more-than-doubles-to-3-7-billion-after-closing-series-f-funding-round-of-195-million-301319298.html
gamma-2025-11,gamma,Gamma,Nov-25,2100.0,,https://www.businesswire.com/news/home/20251110805751/en/Gamma-Surpasses-$100M-ARR-Raises-at-$2.1B-Valuation-as-It-Replaces-PowerPoint-for-the-AI-Era
glean-2025-06,glean,Glean,Jun-25,7200.0,,https://www.glean.com/press/glean-raises-150m-series-f-at-7-2b-valuation-to-accelerate-enterprise-ai-agent-innovation-globally
glossier-2021-07,glossier,Glossier,Jul-21,1800.0,,beautymatter.com/articles/glossier-raises-80-million-series-e
glossier-2019-03,glossier,Glossier,Mar-19,1200.0,,prnewswire.com/news-releases/glossier-inc-raises-100-million-to-build-the-future-beauty-company-300814345.html
glovo-2021-12,glovo,Glovo,Dec-21,2300.0,,https://www.deliveryhero.com/newsroom/tech-champions-join-forces/
gocardless-2022-02,gocardless,GoCardless,Feb-22,2100.0,Payment volume,https://gocardless.com/blog/series-g/
gong-2021-06,gong,Gong,Jun-21,7250.0,,https://www.gong.io/press/gong-raises-250-million-in-series-e-funding-at-7-25-billion-valuation
gong-2025-11,gong,Gong,Nov-25,4500.0,,https://www.calcalistech.com/ctechnews/article/r1sdmq00ebx
gopuff-2021-07,gopuff,Gopuff,Jul-21,15000.0,,https://techcrunch.com/2021/07/30/gopuff-confirms-new-1b-cash-injection-at-a-15b-valuation-to-expand-its-instant-grocery-delivery-service/
gorgias-2022-08,gorgias,Gorgias,Aug-22,710.0,,techcrunch.com/2022/08/15/gorgias-valuation-710m-series-c-e-commerce-customer-support/
gorillas-2021-10,gorillas,Gorillas,Oct-21,3100.0,,https://www.cnbc.com/2021/10/19/delivery-hero-leads-1-billion-investment-in-grocery-start-up-gorillas.html
guesty-2024-04,guesty,Guesty,Apr-24,900.0,GMV,https://techcrunch.com/2024/04/10/guesty-snaps-up-130m-at-900m-valuation-to-help-property-managers-list-on-airbnb-and-beyond/
guild-education-2022-06,guild-education,Guild Education,Jun-22,4400.0,,https://www.forbes.com/sites/jenamcgregor/2022/06/02/guild-education-reaches-44-billion-valuation-as-labor-market-demands-continue-and-a-downturn-threat-rises/
happy-money-2022-02,happy-money,Happy Money,Feb-22,1100.0,,https://www.pymnts.com/news/investment-tracker/2022/lending-platform-happy-money-valued-at-1-1b/
harrys-2021-03,harrys,Harry's,Mar-21,1700.0,,forbes.com/sites/stevenbertoni/2021/03/31/exclusive-harrys-raises-a-155-million-series-e--at-17-billion-a-year-after-the-ftc-blocked-its-billion-dollar-sale-to-edgewell/
harvey-2025-06,harvey,Harvey,Jun-25,5000.0,,https://www.harvey.ai/blog/harvey-raises-series-e
hibob-2023-09,hibob,HiBob,Sep-23,2700.0,,https://www.hibob.com/news/mid-market-hr-tech-leader-hibob-adds-150m-in-new-round-of-funding-to-support-continued-expansion/
hopper-2022-02,hopper,Hopper,Feb-22,5000.0,,https://techcrunch.com/2022/02/03/hopper/
huel-2022-11,huel,Huel,Nov-22,560.0,,highlandeurope.com/huel-closes-24-million-funding-round-led-by-highland-europe/
huntress-2024-06,huntress,Huntress,Jun-24,1550.0,,https://www.huntress.com/press-release/150m-boost-for-huntress-powers-new-products
incrediblehealth-2022-08,incrediblehealth,Incredible Health,Aug-22,1650.0,,https://www.forbes.com/sites/maggiemcgrath/2022/08/17/dr-iman-abuzeid-leads-incredible-health-to-unicorn-status-with-80-million-series-b/
invisible-technologies-2025-09,invisible-technologies,Invisible Technologies,Sep-25,2000.0,,https://invisibletech.ai/blog/invisible-technologies-raises-100-million
jasper-2022-10,jasper,Jasper,Oct-22,1500.0,,https://www.prnewswire.com/news-releases/jasper-announces-125m-series-a-funding-round-bringing-total-valuation-to-1-5b-and-launches-new-browser-extension-301651733.html
jobandtalent-2021-12,jobandtalent,Jobandtalent,Dec-21,2350.0,,https://www.kinnevik.com/investor-relations/press-releases/2021/kinnevik-invests-usd-115-million-in-jobandtalent-the-worlds-
klarna-2022-07,klarna,Klarna,Jul-22,6700.0,,https://www.prnewswire.com/news-releases/klarna-closes-major-financing-round-during-worst-stock-downturn-in-50-years-301583680.html
klarna-2021-06,klarna,Klarna,Jun-21,45600.0,GMV,https://www.prnewswire.com/news-releases/klarna-secures-additional-funding-as-consumers-demand-smarter-alternatives-to-shop-bank--pay-301310118.html
klarna-2021-03,klarna,Klarna,Mar-21,31000.0,GMV,https://techcrunch.com/2021/03/01/daily-crunch-klarna-valued-at-31b/
klaviyo-2021-05,klaviyo,Klaviyo,May-21,9470.0,,sec.gov/Archives/edgar/data/1835830/000162828023030618/klaviyoincs-1.htm
konfio-2021-09,konfio,Konfio,Sep-21,1300.0,,https://konfio.another.co/konfio-completa-ronda-de-inversion-por-235-millones-de-dolares-con-una-valuacion-de-1300-mdd
kriya-2025-10,kriya,Kriya,Oct-25,7.5,,https://www.allica.bank/hubfs/pdf/allica-bank_annual-report-2025.pdf
lead-school-2022-01,lead-school,LEAD School,Jan-22,1100.0,,https://techcrunch.com/2022/01/12/lead-school-india-unicorn/
langchain-2025-10,langchain,LangChain,Oct-25,1250.0,,https://www.langchain.com/blog/series-b
liquid-death-2024-03,liquid-death,Liquid Death,Mar-24,1400.0,FY2023 retail scanned sales through registers (SPINS),businesswire.com/news/home/20240310837019/en/Liquid-Death-closes-67-million-in-strategic-financing-including-top-distributors-at-1.4-billion-valuation
liquid-death-2022-10,liquid-death,Liquid Death,Oct-22,700.0,,bevnet.com/news/2022/liquid-death-closes-70m-raise-as-water-brand-explores-ipo/
loadsmart-2022-02,loadsmart,Loadsmart,Feb-22,1300.0,,https://blog.loadsmart.com/2022/02/01/loadsmart-raises-200-million-in-series-d-financing-reaching-1-3-billion-valuation
loadsmart-2020-11,loadsmart,Loadsmart,Nov-20,400.0,,https://blog.loadsmart.com/2020/11/20/news-digital-freight-platform-loadsmart-raises-90m-in-series-c-funding-round-led-by-blackrocks-managed-funds
loft-2021-03,loft,Loft,Mar-21,2200.0,,https://techcrunch.com/2021/03/23/real-estate-platform-loft-raises-425m-at-a-2-2b-valuation-in-one-of-brazils-largest-venture-rounds/
loop-returns-2021-07,loop-returns,Loop Returns,Jul-21,340.0,,techcrunch.com/2021/07/21/loop-returns-locks-in-65-million-series-b-led-by-crv/
lovable-2025-12,lovable,Lovable,Dec-25,6600.0,,https://lovable.dev/blog/series-b
mnt-halan-2023-02,mnt-halan,MNT-Halan,Feb-23,1000.0,,https://ent.news/2023/2/MNT-Halan-Funding-230201-FINAL-FOR-IMMEDIATE-RELEASE.pdf
mailchimp-2021-09,mailchimp,Mailchimp,Sep-21,12000.0,,https://investors.intuit.com/news-events/press-releases/detail/162/intuit-to-acquire-mailchimp
mambu-2021-12,mambu,Mambu,Dec-21,5500.0,,https://www.mambu.com/press/mambu-raises-eur235m-series-e
marqeta-2019-05,marqeta,Marqeta,May-19,2000.0,,https://techcrunch.com/2019/05/21/payment-card-startup-marqeta-confirms-260m-round-at-close-to-2b-valuation/
marqeta-2020-05,marqeta,Marqeta,May-20,4300.0,,https://www.marqeta.com/blog/marqeta-raises-150-million-in-new-capital
masterclass-2021-05,masterclass,MasterClass,May-21,2750.0,,https://forgeglobal.com/masterclass_stock/
meesho-2024-05,meesho,Meesho,May-24,3900.0,,techcrunch.com/2024/05/10/meesho-an-indian-social-commerce-with-150m-transacting-users-secures-275m-in-new-funding
meesho-2021-09,meesho,Meesho,Sep-21,4900.0,,techcrunch.com/2021/09/29/meesho-india-social-commerce-raises-570-million/
mercury-2025-03,mercury,Mercury,Mar-25,3500.0,,https://mercury.com/blog/series-c
mews-2026-01,mews,Mews,Jan-26,2500.0,,https://www.prnewswire.com/news-releases/mews-secures-300-million-investment-to-cement-position-as-worlds-leading-hospitality-operating-system-302668120.html
mews-2024-03,mews,Mews,Mar-24,1200.0,,https://www.kinnevik.com/investor-relations/press-releases/2024/kinnevik-leads-funding-round-in-mews/
mirakl-2021-09,mirakl,Mirakl,Sep-21,3500.0,,mirakl.com/news/mirakl-announces-555-million-series-e-funding-2/
miro-2022-01,miro,Miro,Jan-22,17500.0,,https://miro.com/newsroom/miro-raises-400-million-in-series-c-financing/
mollie-2021-06,mollie,Mollie,Jun-21,6500.0,,https://www.mollie.com/news/mollie-raises-800-million
mollie-2020-09,mollie,Mollie,Sep-20,1000.0,PAYMENT_VOLUME,https://techcrunch.com/2020/09/07/dutch-payments-startup-mollie-raises-106m-at-1b-valuation
monzo-2024-05,monzo,Monzo,May-24,5200.0,,https://monzo.com/blog/monzo-funding-2024
monzo-2021-12,monzo,Monzo Bank,Dec-21,4500.0,,https://www.lse.co.uk/news/monzo-valuation-jumps-to-45-billion-after-fresh-funding-round-wj8vl4utb7jp8lg.html
moonpay-2021-11,moonpay,MoonPay,Nov-21,3400.0,,https://www.moonpay.com/newsroom/series-a
n26-2021-10,n26,N26,Oct-21,9000.0,,https://n26.com/en-eu/press/press-release/n26-raises-more-than-900-million
ninjacart-2021-12,ninjacart,Ninjacart,Dec-21,700.0,,https://www.cbinsights.com/company/ninjacart/financials
noom-2021-05,noom,Noom,May-21,3700.0,,https://www.pymnts.com/news/investment-tracker/2021/digital-diet-platform-noom-notches-540m
notion-2026-01,notion,Notion,Jan-26,11000.0,,https://www.notion.com/blog/gic-sequoia-index-purchase-notion-shares
nubank-2021-06,nubank,Nubank,Jun-21,30000.0,,https://building.nubank.com/investors-largest-private-capital-raise-in-latam/
olipop-2025-02,olipop,OLIPOP,Feb-25,1850.0,,nbcnews.com/business/business-news/prebiotic-soda-brand-olipop-valued-1point85-billion-latest-funding-rcna191894
octopus-energy-group-2021-12,octopus-energy-group,Octopus Energy Group,Dec-21,5000.0,,https://octopus.energy/press/octopus-energy-group-and-cpp-investments-announce-strategic-partnership/
octopus-energy-group-2023-12,octopus-energy-group,Octopus Energy Group,Dec-23,7800.0,,https://octopus.energy/press/800-million-dollar-investment-to-accelerate-Octopus-Energy-global-clean-energy-growth/
octopus-energy-group-2022-07,octopus-energy-group,Octopus Energy Group,Jul-22,5000.0,,https://octopus.energy/press/octopus-energy-group-completes-fundraise-with-existing-investors-totalling-us550m/
octopus-energy-group-2024-05,octopus-energy-group,Octopus Energy Group,May-24,9000.0,,https://octopus.energy/press/Octopus-Energy-valuation-increases-to-9bn-following-further-commitments-from-existing-investors/
octopus-energy-group-2021-09,octopus-energy-group,Octopus Energy Group,Sep-21,4600.0,,https://octopus.energy/press/octopus-the-next-generation/
olivejune-2024-12,olivejune,Olive & June,Dec-24,240.0,,https://investor.helenoftroy.com/press-releases/press-release-details/2024/Helen-of-Troy-Completes-Acquisition-of-Olive--June-LLC/default.aspx
onetrust-2023-07,onetrust,OneTrust,Jul-23,4500.0,,https://techcrunch.com/2023/07/24/onetrust-raises-150m-at-a-4-5b-valuation/
openai-2025-03,openai,OpenAI,Mar-25,300000.0,,https://openai.com/index/march-funding-updates/
oura-2024-12,oura,Oura,Dec-24,5200.0,,https://techcrunch.com/2024/12/19/oura-closes-200m-round-bringing-its-valuation-to-5-2b/
outreach-2021-06,outreach,Outreach,Jun-21,4400.0,,https://www.prnewswire.com/news-releases/outreach-closes-200-million-round-4-4-billion-valuation-for-sales-engagement-category-leader-301304239.html
oxylabs-2026-07,oxylabs,Oxylabs,Jul-26,3600.0,,https://www.globenewswire.com/news-release/2026/07/09/3324811/0/en/oxylabs-announces-130-million-investment-from-warburg-pincus.html
packable-2021-09,packable,Packable,Sep-21,1550.0,,https://www.sec.gov/Archives/edgar/data/1828817/000114036121030752/brhc10028753_ex99-1.htm
patreon-2021-04,patreon,Patreon,Apr-21,4000.0,,https://news.patreon.com/articles/the-second-renaissance-is-here
payfit-2022-01,payfit,PayFit,Jan-22,2059.3,,https://techcrunch.com/2022/01/06/payfit-raises-289-million-for-its-payroll-and-hr-solution/
perplexity-2024-12,perplexity,Perplexity,Dec-24,9000.0,,https://www.bloomberg.com/news/articles/2024-12-18/ai-startup-perplexity-closes-funding-round-at-9-billion-value
