# PRIVATE ROUNDS WITH FULL SOURCE URLs. Supplied by Daniil 31-Aug-2026 as screenshots of three
# workbook tabs, transcribed the same session before anything was built on it.
#
# TABS: "Strict Private Financing Valuation Comparables" (the blue sheet, full evidence detail),
# "Private Fintech Financing Transactions" (as of 23-Aug-2026) and "Private E-commerce and D2C
# Transactions" (as of 24-Aug-2026).
#
# quality_classification IS DANIIL'S OWN COLUMN and it is the ruling on how a row may be used.
# CORE means it may price. SUPPLEMENTAL means it is context and must stay out of any median.
#
# comparator carries the inequality EXACTLY as the workbook states it. A bound is information:
# "<" means the denominator was a floor so the multiple is a ceiling. Never strip it.
company,transaction_date,round_type,capital_raised_musd,valuation_musd,valuation_ccy,valuation_basis,implied_post_musd,metric_type,exact_metric_wording,metric_value,metric_ccy,exact_period,basis_classification,publication_timing,numeric_multiple,comparator,displayed_multiple,quality_classification,methodology,investors,round_source_url,metric_source_url,round_publisher_date,metric_publisher_date,additional_url
Creditas,2020-12-18,Series E,255.0,1750.0,USD,POST money,,Revenue (annualized),"R$78.8m / approximately US$14m Q3 revenue; analyst-annualized to approximately US$56m",78.800,BRL,"Q3 2020, quarter ended 30-Sep-2020","Company revenue; gross/net not stated; analyst annualization x4","Disclosed at pricing; closed quarter",31.2500,~,~31.25x,SUPPLEMENTAL,"R$30.4m was September-only, not Q3 revenue. Multiple = US$1,750m / (~US$14m x 4). Annualization is analyst-derived.",LGT Lightstone (lead); Tarsadia; e.ventures; Wellington; Sunley House; Advent; SoftBank; VEF; Kaszek; Amadeus,https://www.creditas.com/ir/non-regulatory/creditas-announces-ususd255-million-series-e/,https://www.creditas.com/ir/regulatory/creditas-financial-results-q3-2020/,Creditas / 18-Dec-2020,Creditas / 18-Dec-2020,
Loadsmart,2020-11-20,Series C,90.0,400.0,USD,"Approximate reported valuation; PRE/POST unconfirmed",,Projected revenue,"Expected 2020 revenue above $100 million",100.000,USD,Projected FY2020 at pricing,"Revenue floor; gross/net undisclosed; freight pass-through may be included","Explicit forward FY2020 estimate public at pricing",4.0000,<~,<~4.0x,CORE,"Forward FY2020 estimate accepted because explicitly public at pricing. Both inputs approximate/threshold; valuation basis unconfirmed.",BlackRock-managed funds (lead); TFI International; Maersk; existing investors,https://blog.loadsmart.com/2020/11/20/news-digital-freight-platform-loadsmart-raises-90m-in-series-c-funding-round-led-by-blackrocks-managed-funds,https://www.freightwaves.com/news/analysis-what-greenbriar-and-blackrocks-digital-freight-brokerage-deals-mean,Loadsmart / 20-Nov-2020; VentureBeat / 20-Nov-2020,FreightWaves / contemporaneous,https://venturebeat.com/ai/loadsmart-raises-90-million-for-ai-that-matches-shippers-with-truck-transportation
Marqeta,2020-05-28,Growth equity / Series E-1 preferred,150.0,4300.0,USD,"Reported valuation; PRE/POST unconfirmed",,Estimated revenue,"More than / exceeded US$300m estimated revenue",300.000,USD,FY2019,"Third-party estimate; gross/net basis unknown; conflicts with later audited net revenue","Published at pricing; FY2019 closed",14.3333,<,<14.3x,SUPPLEMENTAL,"Floor denominator makes multiple a ceiling. Later audited FY2019 net revenue of US$143.267m conflicts materially but was disclosed around IPO and is not back-applied; reconciliation undisclosed. US$150m announced; later S-1 reports US$175m gross.",Unnamed U.S. institutional investor; Capital Group attribution reported but unconfirmed,https://www.marqeta.com/blog/marqeta-raises-150-million-in-new-capital,https://www.forbes.com/sites/jeffkauflin/2020/05/28/payments-startup-marqeta-more-than-doubles-valuation-to-43-billion/,Marqeta / 28-May-2020; Reuters / 28-May-2020,Forbes / 28-May-2020,
Marqeta,2019-05-21,Series E,260.0,2000.0,USD,"POST money reported; approximate (close to / nearly)",,Estimated revenue,"Approaching $150 million estimated revenue",150.000,USD,FY2018,"Third-party estimate ceiling; gross/net basis unknown","Published 26-Mar-2019, before pricing; FY2018 closed",13.3333,~,~13.3x indicative,SUPPLEMENTAL,"Both numerator and denominator are approximate. Per audit, no strict lower bound; ~13.3x indicative only. Later FY2019 actuals excluded.",Coatue Management (lead); Vitruvian Partners; existing investors,https://techcrunch.com/2019/05/21/payment-card-startup-marqeta-confirms-260m-round-at-close-to-2b-valuation/,https://www.forbes.com/sites/jeffkauflin/2019/03/26/it-took-three-tries-but-this-entrepreneur-transformed-his-struggling-startup-into-a-2b-unicorn/,TechCrunch / 21-May-2019,Forbes / 26-Mar-2019,
Gopuff,2021-07-30,Primary financing,1000.0,15000.0,USD,$15.0bn post-money,,Revenue,"2020 revenue was approximately $340 million.",340.000,USD,FY2020,"Contemporaneous press reported","At transaction",44.1200,~,~44.12x,CORE,"Historical revenue available at financing.",Blackstone; Guggenheim; Hedosophia; MSD; Adage; Fidelity,https://techcrunch.com/2021/07/30/gopuff-confirms-new-1b-cash-injection-at-a-15b-valuation-to-expand-its-instant-grocery-delivery-service/,https://techcrunch.com/2021/07/30/gopuff-confirms-new-1b-cash-injection-at-a-15b-valuation-to-expand-its-instant-grocery-delivery-service/,TechCrunch / 30-Jul-2021,TechCrunch / 30-Jul-2021,
Patreon,2021-04-07,Series F,155.0,4000.0,USD,$4.0bn post-money,,Annualized revenue,"recently surpassed $100 million in annualized revenue",100.000,USD,Pre-pricing metric published 2021-01-20,"Contemporaneous press threshold","Published before pricing",40.0000,<,<40.00x,CORE,"Denominator floor; annualized revenue.",Tiger Global; existing/new investors,https://news.patreon.com/articles/the-second-renaissance-is-here,https://www.theinformation.com/articles/patreon-considers-public-listing-as-soon-as-this-year/,Patreon / 2021,The Information / 20-Jan-2021,
Airwallex,2025-12-01,Series G,330.0,8000.0,USD,Disclosed,,Annualized revenue (> threshold),"annualized revenue above US$1bn",1000.000,USD,At round,"Disclosed by company","Disclosed at pricing",8.0000,<,8.0x maximum,CORE,"Uses $1bn threshold; multiple is a maximum.",Addition; Square Peg; DST Global; Lone Pine; Salesforce Ventures,https://www.airwallex.com/newsroom/airwallex-series-g,https://www.airwallex.com/newsroom/airwallex-series-g,Airwallex / Dec-2025,Airwallex / Dec-2025,
Airwallex,2025-05-01,Series F incl. secondary,300.0,6200.0,USD,Disclosed,,Annualized revenue,"annualized revenue approximately US$900m",900.000,USD,At round,"Reported estimate","Disclosed at pricing",6.9000,~,6.9x,SUPPLEMENTAL,"Includes approximately $150mm secondary; annualized revenue proxy.",Square Peg; DST Global; Lone Pine; Blackbird; Airtree,https://www.airwallex.com/newsroom/airwallex-raises-300m-series-f,https://www.airwallex.com/newsroom/airwallex-raises-300m-series-f,Airwallex / May-2025,Airwallex / May-2025,
Zepz,2024-10-01,Late-stage financing,267.0,3000.0,USD,Reported estimate,,Revenue,"revenue approximately US$478m",478.000,USD,At round,"Industry estimate","Reported around round",6.3000,~,6.3x,SUPPLEMENTAL,"Valuation and revenue based on market reporting; lower confidence.",Accel; TCV; IFC; Leapfrog; Coller Capital,https://news.bloomberglaw.com/private-equity/accel-tcv-and-world-bank-support-zepzs-267-million-fundraise,https://news.bloomberglaw.com/private-equity/accel-tcv-and-world-bank-support-zepzs-267-million-fundraise,Bloomberg Law / Oct-2024,Bloomberg Law / Oct-2024,
Airwallex,2022-10-01,Series E2,100.0,5500.0,USD,Disclosed,,Annualized revenue,"annualized revenue approximately US$200m",200.000,USD,At round,"Reported estimate","Disclosed at pricing",27.5000,~,27.5x,SUPPLEMENTAL,"Annualized revenue estimate; mixed software and payments revenue.",Square Peg; Tencent; Sequoia China; Lone Pine; 1835i,https://www.airwallex.com/newsroom/airwallex-raises-us100-million-series-e2,https://www.airwallex.com/newsroom/airwallex-raises-us100-million-series-e2,Airwallex / Oct-2022,Airwallex / Oct-2022,
Airwallex,2021-09-01,Series E,200.0,4000.0,USD,Disclosed,,Annualized revenue,"annualized revenue approximately US$100m",100.000,USD,At round,"Third-party estimate","Estimate around financing",40.0000,~,40.0x,SUPPLEMENTAL,"Revenue estimate around financing.",Lone Pine; 1835i; Tencent; Sequoia China; Square Peg,https://www.airwallex.com/newsroom/series-e,https://www.airwallex.com/newsroom/series-e,Airwallex / Sep-2021,Airwallex / Sep-2021,
AG1,2022-01-01,Growth financing,115.0,1200.0,USD,Reported,,Annual revenue,"annual revenue approximately US$600m",600.000,USD,At round,"Third-party estimate","Estimate around financing",2.0000,~,2.0x,SUPPLEMENTAL,"Revenue estimate / annualized sales.",Alpha Wave; SC.Holdings; Mark Vadon,https://www.athleticgreens.com/blog/funding,https://www.athleticgreens.com/blog/funding,Athletic Greens / Jan-2022,Athletic Greens / Jan-2022,
Savage X Fenty,2021-02-01,Series B,115.0,1000.0,USD,Reported,,Annual revenue,"annual revenue approximately US$150m",150.000,USD,At round,"Third-party estimate","Estimate around financing",6.7000,~,6.7x,SUPPLEMENTAL,"Revenue estimate around financing.",L Catterton; Marcy Venture Partners; Avenir,https://www.lcatterton.com/Press.html,https://www.lcatterton.com/Press.html,L Catterton / Feb-2021,L Catterton / Feb-2021,
