# PRICED PRIVATE FUNDING ROUNDS - SECTOR SCREEN. Daniil's data dump for area 3 of
# docs/data-pull-prompts-2sep.md (the verticals a founder cannot be priced in at all).
# Transcribed 02-Sep-2026 from four photographs of the workbook, archived alongside as
# data/raw/2026-09-02_sector-screen-p01..p04.jpg.
#
# THE SHEET'S OWN HEADER, quoted: "Priced Private Funding Rounds - Sector Screen /
# 51 qualifying rounds | 1 Jan 2021-2 Sep 2026 | original template columns preserved /
# Included only where both a public post-money valuation and a contemporaneous revenue-type
# figure were identified; estimates are explicitly labelled."
#
# COLUMNS. Every column the sheet has is carried, per durability rule 11, including the three
# that are empty in the source (pre-money, the whole transaction-value block, implied multiple).
# Source columns A to AB are sheet_row + the 27 fields up to revenue_metric_source_url.
# The last four fields are OURS, not his, and are marked so: sector_block_inferred,
# url_confidence, transcription_note.
#
# WHAT IS EMPTY IN THE SOURCE, on all 51 rows: pre-money valuation; transaction value,
# transaction value currency, transaction value basis; IMPLIED MULTIPLE. The multiples column
# is blank in the sheet despite the tab being named "with Multiples". We compute them.
sheet_row,company_name,transaction_date,round_type,transaction_class,amount_raised_m,amount_currency,amount_raised_reported,premoney_valuation_m,postmoney_valuation_m,valuation_reference_m,valuation_currency,valuation_basis,transaction_value_m,transaction_value_currency,transaction_value_basis,metric_type,metric_value_m,metric_currency,metric_qualifier,metric_period_basis,multiple_denominator_m,denominator_currency,denominator_basis,implied_multiple,lead_investors,valuation_source_url,revenue_metric_source_url,sector_block_inferred,url_confidence,transcription_note
16,Octopus Energy Group,27-Sep-2021,Strategic equity investment,Funding / priced private round,600.0,USD,Up to US$600m,,4600.0,4600.0,USD,Reported post-money,,,,REVENUE,2008.8,GBP,,FY ended 30-Apr-2021,2008.8,GBP,FY ended 30-Apr-2021,,Generation Investment Management; Origin Energy participated,https://octopus.energy/press/octopus-the-next-generation/,https://octopus.energy/press/octopus-energy-group-announces-results-for-fy2021/,Energy retail,HIGH,
17,Octopus Energy Group,7-May-2024,Existing-investor equity round,Funding / priced private round,370.0,USD,US$370m (~GBP 300m),,9000.0,9000.0,USD,Reported post-money,,,,REVENUE,12540.0,GBP,,FY ended 30-Apr-2023,12540.0,GBP,FY ended 30-Apr-2023,,Generation Investment Management; CPP Investments,https://octopus.energy/press/Octopus-Energy-valuation-increases-to-9bn-following-further-commitments-from-existing-investors/,https://octopus.energy/documents/3860/A0659_Octopus_Energy_Group_Limited_AR_2023_prf16_ForPublication.pdf,Energy retail,HIGH,
18,Enpal,9-Jan-2023,Series D,Funding / priced private round,215.0,EUR,EUR 215m,,2200.0,2200.0,EUR,Reported post-money,,,,REVENUE,400.0,EUR,>,FY2022,400.0,EUR,FY2022,,TPG Rise Climate,https://uk.investing.com/news/stock-market-news/german-renewables-firm-enpal-hits-24-billion-valuation-with-new-funding-round-2875460,https://uk.investing.com/news/stock-market-news/german-renewables-firm-enpal-hits-24-billion-valuation-with-new-funding-round-2875460,Energy retail,MED,"Source headline says a 2.4bn valuation; the sheet records 2,200. Denominator is a floor ("">""), so the multiple is a ceiling"
19,Blockworks,09-May-2023,Funding round,Funding / priced private round,12.0,USD,12 USD,,135.0,135.0,USD,Reported post-money,,,,REVENUE,20.0,USD,>,FY2022,20.0,USD,FY2022,,10T Holdings,https://blockworks.com/news/blockworks-raises-12m/,https://www.axios.com/2023/05/09/crypto-blockworks-raises-12m-135m-valuation,Crypto infrastructure,MED,"Denominator is a floor ("">""), so the multiple is a ceiling"
20,BlockFi,2021-03-11,Series D,Funding / priced private round,350.0,USD,USD 350m,,3000.0,3000.0,USD,Reported post-money,,,,REVENUE,50.0,USD,> ; monthly revenue,March 2021 month,50.0,USD,March 2021 month,,"Bain Capital Ventures, partners of DST Global; Pomp Investments; Tiger Global",https://techcrunch.com/2021/03/11/blockfi-lands-a-350m-series-d-at-3b-valuation-for-its-fast-growing-crypto-lending-platform/,https://techcrunch.com/2021/03/11/blockfi-lands-a-350m-series-d-at-3b-valuation-for-its-fast-growing-crypto-lending-platform/,Crypto infrastructure,MED,Denominator is a MONTHLY figure priced against an annual valuation. Not comparable to the other rows without annualising
21,Celsius Network,2021-10-12,Strategic growth investment,Funding / priced private round,400.0,USD,USD 400m,,3250.0,3250.0,USD,Reported post-money,,,,REVENUE,126.1,USD,,FY2020,126.1,USD,FY2020,,WestCap; CDPQ,https://blockworks.com/news/celsius-valued-at-3-25b-after-400m-raise-amid-regulatory-headwinds,https://cointelegraph.com/news/celsius-network-valued-at-3-1b-following-independent-review,Crypto infrastructure,MED,"The two sources disagree on the valuation, 3.25bn against 3.1bn. Celsius later filed for bankruptcy amid fraud findings"
22,MoonPay,2021-11-22,Series A,Funding / priced private round,555.0,USD,USD 555m,,3400.0,3400.0,USD,Reported post-money,,,,REVENUE,150.0,USD,,FY2021 / year-to-date at Nov-2021,150.0,USD,FY2021 / year-to-date at Nov-2021,,Tiger Global Management; Coatue,https://www.coindesk.com/business/2021/11/22/payments-infrastructure-firm-moonpay-raises-555m-at-a-34b-valuation,https://www.theblock.co/news/business/2021-11-22-moonpay-raise-124980,Crypto infrastructure,MED,"Denominator is a part-year figure, eleven months, priced against a full valuation"
23,Fireblocks,2022-01-27,Series E,Funding / priced private round,550.0,USD,USD 550m,,8000.0,8000.0,USD,Reported post-money,,,,REVENUE,50.0,USD,Reported range: $50m+,FY2021,,USD,Prior year / FY2021,,Spark Capital; D1 Capital Partners,https://techcrunch.com/2022/01/27/crypto-infrastructure-company-fireblocks-nearly-quadruples-valuation-to-8b-in-six-months/,https://techcrunch.com/2022/01/27/crypto-infrastructure-company-fireblocks-nearly-quadruples-valuation-to-8b-in-six-months/,Crypto infrastructure,LOW,"NO DENOMINATOR: the sheet deliberately leaves it blank because the figure is a reported range, not a number. The qualifier text is hard to read in the photograph"
24,ConsenSys,2022-03-15,Series D,Funding / priced private round,450.0,USD,USD 450m,,7000.0,7000.0,USD,Reported post-money,,,,REVENUE,100.0,USD,"> ; ""nine figures""",FY2021,,USD,FY2021,,ParaFi Capital,https://consensys.io/blog/consensys-raises-450m-series-d-funding,https://techcrunch.com/2022/03/15/metamask-parent-company-consensys-raises-series-d-at-7b-valuation/,Crypto infrastructure,LOW,"NO DENOMINATOR: ""nine figures"" is not a number. Qualifier text hard to read in the photograph"
25,Thirty Madison,02-Jun-2021,Series C,Funding / priced private round,140.0,USD,US$140m,,1000.0,1000.0,USD,Reported post-money,,,,RUN_RATE,100.0,USD,>,Q1 2021 run-rate,100.0,USD,Q1 2021 run-rate,,HealthQuest Capital,https://www.bloomberg.com/news/articles/2021-06-02/thirty-madison-vaults-to-unicorn-status-raises-140-million,https://www.bloomberg.com/news/articles/2021-06-02/thirty-madison-vaults-to-unicorn-status-raises-140-million,Digital health,MED,"Denominator is a floor ("">""), so the multiple is a ceiling"
26,Cityblock Health,03-Sep-2021,Series D / late-stage round,Funding / priced private round,400.0,USD,US$400m,,5700.0,5700.0,USD,Reported post-money,,,,RUN_RATE,400.0,USD,Estimate / approx.,"FY2020 run-rate, most recent disclosed at round",400.0,USD,"FY2020 run-rate, most recent disclosed at round",,SoftBank,https://www.statnews.com/2021/09/03/cityblock-health-series-d-valuation/,https://www.forbes.com/sites/katiejennings/2021/03/29/cityblock-health-gets-192-million-funding-boost-to-turbocharge-care-for-low-income-patients/,Digital health,MED,"Revenue source is a March 2021 article about a different, earlier round"
27,Alan,05-May-2022,Series E,Funding / priced private round,183.0,EUR,EUR 183m,,2700.0,2700.0,EUR,Reported post-money,,,,ARR,182.0,EUR,,Q1 2022,182.0,EUR,Q1 2022,,Teachers' Venture Growth,https://alan.com/en/blog/discover-alan/a/alan-2022-q1-letter-to-shareholders-x-series-e,https://alan.com/en/blog/discover-alan/a/alan-2022-q1-letter-to-shareholders-x-series-e,Digital health,HIGH,"DUPLICATE of sheet row 50, same round, same figures, same source, dated 05-May there and 9-May here"
28,Devoted Health,08-Oct-2021,Series D,Funding / priced private round,1150.0,USD,US$1.15bn (US$1.23bn incl. expected additional close),,12700.0,12700.0,USD,Reported post-money,,,,REVENUE,247.3,USD,,H1 2021,247.3,USD,H1 2021,,Uprising; SoftBank Vision Fund 2,https://medcitynews.com/2021/10/devoted-health-raises-1-1b-sending-valuation-soaring-past-12b/,https://medcitynews.com/2021/10/devoted-health-raises-1-1b-sending-valuation-soaring-past-12b/,Digital health,MED,Denominator is a HALF-YEAR figure priced against a full valuation. Annualise before use
29,Doctolib,15-Mar-2022,Equity and debt financing,Funding / priced private round,500.0,EUR,EUR 500m (c.EUR 250m equity / EUR 250m debt),,5800.0,5800.0,EUR,Reported post-money,,,,REVENUE,181.3,EUR,,FY2021,181.3,EUR,FY2021,,Eurazeo; Bpifrance; General Atlantic,https://techcrunch.com/2022/03/15/healthcare-tech-platform-doctolib-reaches-6-4-billion-valuation/,https://scanfacture.fr/entreprise/doctolib-794598813,Digital health,MED,Half the money is debt but the post-money is the full equity valuation. Revenue source is a French filings aggregator
30,Virta Health,19-Apr-2021,Series E,Funding / priced private round,133.0,USD,US$133m,,2000.0,2000.0,USD,Reported post-money,,,,REVENUE,35.0,USD,Estimate / approx.,FY2021,35.0,USD,FY2021,,Tiger Global Management,https://www.virtahealth.com/press/diabetes-reversal-leader-virta-health-raises-133m-series-e-to-take-type-2-diabetes-reversal-mainstream,https://sacra.com/c/virta-health/,Digital health,MED,"Revenue source is Sacra, an estimator site. Tier 4 under our own rule, usable only when tiers 1-3 are empty and must be tagged"
31,Aledade,20-Jun-2023,Series F,Funding / priced private round,260.0,USD,US$260m,,3500.0,3500.0,USD,Reported post-money,,,,REVENUE,475.0,USD,>,FY2022,475.0,USD,FY2022,,Lightspeed Venture Partners,https://finance.yahoo.com/news/healthcare-startup-aledade-valued-3-175105397.html,https://aledade.com/newsroom/aledade-news/aledade-secures-series-f/,Digital health,MED,"Denominator is a floor ("">""), so the multiple is a ceiling"
32,Ro,23-Mar-2021,Series D,Funding / priced private round,500.0,USD,US$500m,,5000.0,5000.0,USD,Reported post-money,,,,REVENUE,300.0,USD,Estimate / approx.,FY2021,300.0,USD,FY2021,,"General Catalyst, FirstMark Capital and TQ Ventures",https://ro.co/press/ro-raises-500-million-in-series-d-funding/,https://sacra.com/c/ro/,Digital health,MED,"Revenue source is Sacra, an estimator site, tier 4. A Mar-2021 round priced on an FY2021 figure is also forward-looking"
33,upGrad,09-Aug-2021,Financing / unicorn round,Funding / priced private round,185.0,USD,185 USD,,1200.0,1200.0,USD,Reported financing / post-money valuation,,,,RUN_RATE,165.0,USD,,Annual revenue run-rate reported Apr-2021,,USD,Annual revenue run-rate reported Apr-2021,,Temasek; IFC; IIFL,https://techcrunch.com/2021/08/09/india-upgrad-enters-unicorn-club-with-185-million-fundraise/,https://www.newswire.ca/news-releases/upgrad-records-an-annual-revenue-run-rate-of-usd-165-million-881368229.html,Edtech,MED,NO DENOMINATOR despite a clean run-rate of 165 being recorded in the metric column. Looks like an omission rather than a decision
34,LEAD School,12-Jan-2022,Series E,Funding / priced private round,100.0,USD,100 USD,,1100.0,1100.0,USD,Reported financing / post-money valuation,,,,RUN_RATE,80.0,USD,,Entering academic year 2022-23,,USD,Entering academic year 2022-23,,WestBridge Capital; GSV Ventures,https://techcrunch.com/2022/01/12/lead-school-india-unicorn/,https://techcrunch.com/2022/01/12/lead-school-india-unicorn/,Edtech,MED,"NO DENOMINATOR despite a run-rate of 80 in the metric column. The run-rate is also FORWARD, the academic year the company was entering"
35,MasterClass,2021-05-13,Series F,Funding / priced private round,225.0,USD,USD 225m,,2750.0,2750.0,USD,Reported post-money,,,,REVENUE,100.0,USD,Estimate / approx.,FY2020,100.0,USD,FY2020,,Fidelity Management & Research Company,https://forgeglobal.com/masterclass_stock/,https://forgeglobal.com/masterclass_stock/,Edtech,MED,"BOTH sources are Forge Global, a secondary-market marks page, not a round announcement. Estimator tier"
36,Vedantu,2021-09-29,Series E,Funding / priced private round,100.0,USD,USD 100m,,1000.0,1000.0,USD,Reported post-money,,,,RUN_RATE,65.0,USD,,Current at Sep-2021,65.0,USD,Current at Sep-2021,,ABC World Asia,https://economictimes.indiatimes.com/tech/startups/vedantu-joins-unicorn-club-after-100-million-funding-from-temasek-backed-abc-world-others/articleshow/86611423.cms,https://economictimes.indiatimes.com/tech/startups/vedantu-joins-unicorn-club-after-100-million-funding-from-temasek-backed-abc-world-others/articleshow/86611423.cms,Edtech,MED,
37,BetterUp,2021-10-08,Series E,Funding / priced private round,300.0,USD,USD 300m,,4700.0,4700.0,USD,Reported post-money,,,,ARR,100.0,USD,,Reached Jul-2021,100.0,USD,Reached Jul-2021,,Wellington Management; ICONIQ Growth; Lightspeed Venture Partners,https://www.betterup.com/press/series-e,https://www.betterup.com/press/series-e,Edtech,HIGH,"DUPLICATE of sheet row 40. Same company, same date, same amount, same valuation, same ARR. Only the revenue source URL differs"
38,Guild Education,2022-06-02,Series F,Funding / priced private round,175.0,USD,USD 175m,,4400.0,4400.0,USD,Reported post-money,,,,ARR,100.0,USD,,FY2020,100.0,USD,FY2020,,Wellington Management,https://www.forbes.com/sites/jenamcgregor/2022/06/02/guild-education-reaches-44-billion-valuation-as-labor-market-demands-continue-and-a-downturn-threat-rises/,https://www.forbes.com/sites/jenamcgregor/2022/06/02/guild-education-reaches-44-billion-valuation-as-labor-market-demands-continue-and-a-downturn-threat-rises/,Edtech,MED,"A Jun-2022 round priced on an FY2020 denominator, eighteen months stale"
39,EGYM,05-Jul-2023,Series F,Funding / priced private round,107.0,EUR,EUR 107m initial priced tranche (within EUR 207m Series F),,600.0,600.0,EUR,Reported financing / post-money valuation,,,,REVENUE,130.0,USD,,FY2022 actual,,USD,FY2022 actual,,Affinity Partners; Mayfair Equity Partners; Bayern Kapital,https://techcrunch.com/2023/07/05/egym-the-munich-based-smart-fitness-startup-raises-225m-from-jared-kushners-affinity-partners/,https://techcrunch.com/2023/07/05/egym-the-munich-based-smart-fitness-startup-raises-225m-from-jared-kushners-affinity-partners/,Fitness and wellness,MED,"NO DENOMINATOR despite a clean FY2022 actual of 130. Valuation is EUR, metric is USD. Source says 225m raised, sheet says a 107m tranche within a 207m round"
40,BetterUp,08-Oct-2021,Series E,Funding / priced private round,300.0,USD,US$300m,,4700.0,4700.0,USD,Reported post-money,,,,ARR,100.0,USD,,July 2021,100.0,USD,July 2021,,Wellington Management; ICONIQ Growth; Lightspeed Venture Partners,https://www.betterup.com/press/series-e,https://www.betterup.com/press/global-leader-in-coaching-mental-fitness-opens-european-headquarters-reaches-100m-arr,Fitness and wellness,HIGH,"DUPLICATE of sheet row 37, and filed under a different block"
41,Restore Hyper Wellness,14-Dec-2021,Growth equity,Funding / priced private round,140.0,USD,US$140m,,500.0,500.0,USD,Reported post-money,,,,REVENUE,32.0,USD,Estimate / approx.,FY2020 (latest company-reported at round),32.0,USD,FY2020 (latest company-reported at round),,General Atlantic,https://insider.fitt.co/restore-raises-140m-for-hyper-wellness-centers/,https://www.restore.com/press,Fitness and wellness,MED,"Revenue source is a press index page, not the release"
42,Oura,19-Dec-2024,Series D,Funding / priced private round,200.0,USD,US$200m,,5200.0,5200.0,USD,Reported post-money,,,,RUN_RATE,500.0,USD,Estimate / approx.; Forward,FY2024 expected,500.0,USD,FY2024 expected,,Fidelity Management & Research Company; Dexcom,https://techcrunch.com/2024/12/19/oura-closes-200m-round-bringing-its-valuation-to-5-2b/,https://techcrunch.com/2024/12/19/oura-closes-200m-round-bringing-its-valuation-to-5-2b/,Fitness and wellness,HIGH,"Denominator is FORWARD (expected), explicitly labelled"
43,Athletic Greens (AG1),25-Jan-2022,Venture round,Funding / priced private round,115.0,USD,US$115m,,1315.0,1315.0,USD,Reported post-money / implied,,,,RUN_RATE,150.0,USD,Forward / Estimate / approx.,Early 2022,150.0,USD,Early 2022,,Alpha Wave Global,https://techcrunch.com/2022/01/25/athletic-greens-valued-at-1-2b-nutrition-drink/,https://techcrunch.com/2022/01/25/athletic-greens-valued-at-1-2b-nutrition-drink/,Consumer brand,MED,"Source headline says valued at 1.2bn; the sheet records 1,315. The basis says ""implied"", so the 1,315 is derived, not reported"
44,Noom,25-May-2021,Series F,Funding / priced private round,540.0,USD,US$540m,,3700.0,3700.0,USD,Reported post-money,,,,REVENUE,400.0,USD,,FY2020,400.0,USD,FY2020,,Silver Lake,https://www.pymnts.com/news/investment-tracker/2021/digital-diet-platform-noom-notches-540m,https://www.pymnts.com/news/investment-tracker/2021/digital-diet-platform-noom-notches-540m,Consumer brand,MED,
45,wefox,11-Jul-2022,Series D (equity and debt),Funding / priced private round,400.0,USD,US$400m,,4500.0,4500.0,USD,Reported post-money,,,,REVENUE,200.0,USD,,First four months of 2022,200.0,USD,First four months of 2022,,Mubadala Investment Company,https://techcrunch.com/2022/07/11/wefox-grabs-400m-at-4-5b-valuation-to-buck-the-insurtech-downturn-trend/,https://techcrunch.com/2022/07/11/wefox-grabs-400m-at-4-5b-valuation-to-buck-the-insurtech-downturn-trend/,Insurance,MED,Denominator is a FOUR-MONTH figure priced against a full valuation. Annualise before use
46,The Zebra,12-Apr-2021,Series D,Funding / priced private round,150.0,USD,US$150m,,1000.0,1000.0,USD,Reported post-money,,,,RUN_RATE,150.0,USD,,March 2021 monthly revenue annualised,150.0,USD,March 2021 monthly revenue annualised,,"Hedosophia (reported, company did not name a lead)",https://techcrunch.com/2021/04/12/austins-newest-unicorn-insurtech-the-zebra-raises-150m-after-doubling-revenue-in-2020/,https://techcrunch.com/2021/04/12/austins-newest-unicorn-insurtech-the-zebra-raises-150m-after-doubling-revenue-in-2020/,Insurance,MED,
47,Alan,20-Sep-2024,Series F,Funding / priced private round,173.0,EUR,EUR 173m,,4000.0,4000.0,EUR,Reported post-money,,,,ARR,450.0,EUR,,Expected FY2024 exit ARR,450.0,EUR,Expected FY2024 exit ARR,,Belfius,https://sifted.eu/articles/alan-173m-series-f-news,https://techcrunch.com/2024/09/20/health-insurance-startup-alan-reaches-45-billion-valuation-with-new-funding-round/,Insurance,MED,Denominator is FORWARD (expected exit ARR). Also filed here while three other Alan rows sit under digital health
48,Alan,25-Jun-2026,Series G,Funding / priced private round,480.0,EUR,EUR 480m,,5500.0,5500.0,EUR,Reported post-money,,,,ARR,800.0,EUR,>,Current ARR at announcement,800.0,EUR,Current ARR at announcement,,Prosus,https://alan.com/fr-fr/blog/tout-alan/a/alan-leve-480-millions-deuros-pour-faire-de-la-prevention-le-nouveau-standard-mondial-de-la-sante,https://alan.com/fr-fr/blog/tout-alan/a/alan-leve-480-millions-deuros-pour-faire-de-la-prevention-le-nouveau-standard-mondial-de-la-sante,Insurance,MED,"Denominator is a floor ("">""), so the multiple is a ceiling. Most recent round in the sheet, June 2026"
49,wefox,31-May-2021,Series C,Funding / priced private round,650.0,USD,US$650m,,3000.0,3000.0,USD,Reported post-money,,,,REVENUE,140.0,USD,,FY2020,140.0,USD,FY2020,,Target Global,https://techcrunch.com/2021/05/31/european-insurtech-startup-wefox-grabs-650-million-at-3-billion-valuation/,https://techcrunch.com/2021/05/31/european-insurtech-startup-wefox-grabs-650-million-at-3-billion-valuation/,Insurance,MED,
50,Alan,9-May-2022,Series E,Funding / priced private round,183.0,EUR,EUR 183m,,2700.0,2700.0,EUR,Reported post-money,,,,ARR,182.0,EUR,,Q1 2022 exit ARR,182.0,EUR,Q1 2022 exit ARR,,Teachers' Venture Growth (Ontario Teachers'),https://alan.com/en/blog/discover-alan/a/alan-2022-q1-letter-to-shareholders-x-series-e,https://alan.com/en/blog/discover-alan/a/alan-2022-q1-letter-to-shareholders-x-series-e,Insurance,HIGH,"DUPLICATE of sheet row 27, dated four days apart, and filed under a different block"
51,Roblox,07-Jan-2021,Series H,Funding / priced private round,520.0,USD,520 USD,,29500.0,29500.0,USD,Reported financing valuation,,,,REVENUE,923.9,USD,,FY2020,,,,,Altimeter Capital; Dragoneer Investment Group,https://techcrunch.com/2021/01/07/robloxs-raises-at-29-5-billion-valuation-as-it-readies-for-direct-listing/,https://www.sec.gov/Archives/edgar/data/1315098/000119312521008734/d87104ds1a.htm,Gaming,HIGH,NO DENOMINATOR despite an audited S-1 revenue of 923.9. Best-sourced row in the sheet and it produces no multiple
52,Epic Games,13-Apr-2021,Funding round,Funding / priced private round,1000.0,USD,1000 USD,,28700.0,28700.0,USD,Reported financing valuation,,,,REVENUE,5100.0,USD,,FY2020,,,,,Sony Group; Appaloosa; Baillie Gifford; Fidelity,https://www.epicgames.com/site/news/announcing-a-1-billion-funding-round-to-support-epics-long-term-vision-for-the-metaverse,https://www.theinformation.com/briefings/e50210,Gaming,MED,"NO DENOMINATOR despite an FY2020 revenue of 5,100 in the metric column. Revenue source is behind a paywall"
