# USER-COUNT SWEEP, WAVE 3. 3-Sep-2026. The rest of the 290 private rounds.
# Daniil: "check thoroughly the existing database of 290 private rounds, checking for each if the
# number of users / subscribers / members was quoted at the announcement and calculating the
# respective EV / subscribers multiple for each row where available."
#
# WHAT THIS WAVE COVERED, AND WHY IT IS 224 AND NOT 58. Waves 1 and 2 recorded only the URLs that
# produced a finding, never which URLs were read, so the claim that 159 of 217 had been read could
# not be reproduced from any file in the repo and the 58 said to remain could not be named. Under
# D12, a set that cannot name what fell out of it is not a set you may act on, so wave 3 re-read
# every one of the 224 rounds carrying no finding. Where waves 1 and 2 had already read a page and
# found nothing, this wave read it again and recorded that nothing is there, which is the point.
# The companion file 2026-09-03_user-counts-sweep-wave3-readlog.csv carries a verdict for all 224.
#
# ALSO CORRECTED: the targets file was described as having 241 URLs with 49 rounds carrying none.
# All 290 carry one. The 49 are the same kind of link with the scheme missing, so they were read
# with https:// prepended rather than sourced again. The targets file itself was not edited.
#
# METHOD. Eight agents read 223 distinct URLs, each told to report only what appears on the page it
# fetched, to quote verbatim, to report every countable figure and not just the first, to take only
# the subject company's own counts, and to prefer the company's own release over trade coverage.
# 62 URLs came back dead. Daniil, 3-Sep: "Announcement URL could not be read - check it
# independently then." Three further agents re-read those 62 against a working page for the SAME
# round, found through the company's own release at its new path, a syndicated copy, or trade
# coverage of that round. 60 of the 62 were recovered. The url column of the read log records the
# page actually read, never the dead one.
#
# THE KIND IS THE WHOLE POINT, per Daniil's correction of the same day: "they do not necessarily
# NEED to be paying, but if they are, we need to make the respective note of it." The count is kept
# whatever it counts, metric_kind records WHICH THING was counted, and a range may only ever be
# built inside one kind. is_paying records whether the payer is the counted party.
#
# SIXTEEN FIGURES WERE RE-KINDED TO OTHER so they stay on the record but can never become a
# denominator. Each is a real verbatim quote that is not the round's customer count:
#   penetration statistics   Klarna "30 of the top 100 US retailers", Klarna "24 of the top 100"
#   threshold subsets        Klaviyo 1,458 above $50k ARR, Ramp 2,200 above $100k,
#                            Databricks 300 above $1m run-rate
#   a prior round's figure   Gorgias 4,500 stores, stated on the page as the Series B number
#   flows, not stocks        Pipe 1,000 signups since March, Deel 1,800 as the April 2021 endpoint
#   named sub-segments       Canva 600,000 nonprofits and 60m students and teachers,
#                            Monzo 400,000 business clients against 9m retail customers,
#                            Octopus 25,000 business-division customers against 2.5m customers,
#                            MoonPay 250 wallets and apps powered against 7m customers
#   stale about-boilerplate  Miro 25m users and 100,000 client orgs, both contradicted by the body
#                            of the same release, which says 30m and 130,000
#   contradicted on the page Contentsquare "over one million customers" against the 1,000 enterprise
#                            customers stated in the same release
# Without these the loader's rank would have priced Canva per nonprofit, Monzo per business client
# and Octopus per business-division account, none of which is what those companies sell.
#
# Where one page gives two counts of ONE kind, the base figure is written first and the loader takes
# the first at the best rank. Octopus Sep-21 keeps 2.5m at 24 September, not the 3.1m it reached the
# day after by taking on Avro's book. Klarna keeps the global merchant and user counts, not the US
# ones. Faire keeps the 300,000 retailers of its own release over the looser 350,000.
#
# Two rounds could not be reached even after the recovery pass, and both look mis-dated at source
# rather than merely unlinked: Checkout.com Dec-23 (no Checkout.com round exists in December 2023;
# the $11bn internal cut was Dec 2022 and the $12bn buyback Sept 2025) and Revolut Nov-23 (the
# stored URL is an annual-report page, not a round; Revolut has no November 2023 funding event).
company,round,count,metric_kind,is_paying,as_worded_on_the_page
Ramp,Nov-25,511157,OTHER_TRANSACTIONS,UNKNOWN,"Our policy agent prevented 511,157 out-of-policy transactions"
Thrasio,Jul-20,50,OTHER_ACQUIRED_BUSINESSES,UNKNOWN,Thrasio has acquired well over 50 Amazon businesses
Thrasio,Jul-20,17,OTHER_ACQUIRED_BUSINESSES,UNKNOWN,including 17 last quarter
Thrasio,Jul-20,60,OTHER_ACQUIRED_BUSINESSES,UNKNOWN,having integrated nearly 60 businesses
Thrasio,Jul-20,6000,OTHER_PRODUCTS,UNKNOWN,"and 6,000+ products"
Thrasio,Jul-20,300,OTHER_EMPLOYEES,NO,Thrasio now has over 300 FTE employees and consultants
Thrasio,Jul-20,90,OTHER_EMPLOYEES,NO,adding over 90 new people since April
Vuori,Nov-24,100,OTHER_STORES,UNKNOWN,expected to exceed 100 stores in 2026
Whatnot,Jan-25,600,OTHER_EMPLOYEES,NO,its 600 full-time employees
Xpansiv,Jul-22,150,OTHER_MARKET_PARTICIPANTS,UNKNOWN,with more than 150 active market participants
Apollo.io,Aug-23,3000000,CUSTOMERS,UNKNOWN,"currently serves over three million GTM professionals at over 500,000 companies"
Apollo.io,Aug-23,500000,BUSINESS_CUSTOMERS,UNKNOWN,"currently serves over three million GTM professionals at over 500,000 companies"
CommerceIQ,Mar-22,2200,BUSINESS_CUSTOMERS,YES,"Today, CommerceIQ has more than 2,200 brands that use its platform daily"
CommerceIQ,Mar-22,215000000,OTHER_AUTOMATIONS,UNKNOWN,"The company also grew in automations, delivering 215 million last year, up 70 million in one year."
CommerceIQ,Mar-22,500000000,OTHER_AUTOMATIONS,UNKNOWN,"This year, Hariharan expects to deliver 500 million automations."
ElevenLabs,Jan-25,1000,OTHER_YEARS_OF_AUDIO_GENERATED,UNKNOWN,"Together, these milestones represent 1,000 years of AI audio generated with ElevenLabs."
ElevenLabs,Jan-25,250000,OTHER_CONVERSATIONAL_AI_AGENTS,UNKNOWN,"just two months after launch, has already enabled developers to build more than 250,000 conversational AI agents."
ElevenLabs,Jan-25,1000000,OTHER_HOURS_OF_AUDIO_LOCALIZED,UNKNOWN,ElevenLabs' models have localized more than 1 million hours of audio
ElevenLabs,Jan-25,1000000,OTHER_HOURS_OF_TEXT_READ_ALOUD,UNKNOWN,"read aloud 1 million hours of text from ebooks, PDFs, and news articles through ElevenReader"
ElevenLabs,Jan-25,10000000,OTHER_SOUND_EFFECTS,UNKNOWN,produced more than 10 million sound effects
ElevenLabs,Jan-25,5000,OTHER_SHARED_VOICES,UNKNOWN,"creators have shared over 5,000 voices in ElevenLabs' Voice Library"
ElevenLabs,Jan-25,80,OTHER_PARTNER_ORGANIZATIONS,UNKNOWN,"partnering with 80 organizations across accessibility, education, and culture"
ElevenLabs,Jan-25,1000,OTHER_INDIVIDUALS_WITH_SPEECH_IMPAIRMENTS,UNKNOWN,"over 1,000 individuals with speech impairments have reclaimed their voices through the program."
Glossier,Jul-21,5000000,CUSTOMERS,YES,The company has more than 5 million customers globally
Klarna,Jul-22,150000000,ACTIVE_USERS,NO,With over 150 million global active users and 2 million transactions per day
Klarna,Jul-22,30000000,CUSTOMERS,NO,"In the US Klarna has gone from nothing to becoming the market leader, with close to 30m users"
Klarna,Jul-22,18000000,CUSTOMERS,NO,reaching 18m consumers from just 4m in 2018 representing a 333% increase
Klarna,Jul-22,400000,MERCHANTS,YES,"Klarna is active in 45 markets with over 400,000 global retail partners"
Klarna,Jul-22,22000,MERCHANTS,YES,"with 22,000 retail partners"
Klarna,Jul-22,30,OTHER_TOP100_US_RETAILERS_LIVE,YES,30 of the top 100 US retailers more than Affirm and Afterpay combined
Klarna,Jul-22,2000000,OTHER_TRANSACTIONS,UNKNOWN,using Klarna 2 million times a day
Klarna,Jul-22,60000000,OTHER_DOWNLOADS,UNKNOWN,app downloads in excess of 60m
Klarna,Jul-22,1000,OTHER_SHAREHOLDERS,UNKNOWN,more than 1000 smaller shareholders
PayFit,Jan-22,6000,BUSINESS_CUSTOMERS,YES,"PayFit has gained over 6,000 clients"
Rapyd,Aug-21,12000,BUSINESS_CUSTOMERS,YES,"The company has some 12,000 small and medium-sized businesses using its services"
Rapyd,Aug-21,650,BUSINESS_CUSTOMERS,YES,with another 650 large enterprise clients
Revolut,Nov-25,65000000,CUSTOMERS,NO,"Revolut, the global fintech leader with over 65 million customers worldwide"
SKIMS,Nov-25,18,OTHER_RETAIL_STORES,UNKNOWN,SKIMS now has 18 owned retail stores in the US
SKIMS,Nov-25,2,OTHER_FRANCHISE_DOORS,UNKNOWN,two franchise doors in Mexico
Thrasio,Oct-21,200,OTHER_BRANDS,UNKNOWN,with over 200 brands in its portfolio
Thrasio,Oct-21,6000,OTHER_ECOMMERCE_BUSINESSES_EVALUATED,UNKNOWN,"With experience evaluating 6,000 ecommerce businesses"
Vercel,May-24,1000000,ACTIVE_USERS,UNKNOWN,"Vercel's Next.js technology, with over 1 million monthly active developers, powers the world's largest web applications"
Vercel,May-24,1000000000,OTHER_THREATS_MITIGATED,UNKNOWN,With Vercel already mitigating nearly one billion threats every week
Vuori,Oct-21,100,OTHER_PLANNED_STORE_OPENINGS,UNKNOWN,Vuori will double down on retail expansion in the U.S. with more than 100 store openings slated for the next five years
Xpressbees,Feb-22,3000,OTHER_CITIES,UNKNOWN,"Currently present in more than 3,000 cities"
Xpressbees,Feb-22,20000,OTHER_PIN_CODES,UNKNOWN,"XpressBees claims to serve over 20,000 pin codes"
Xpressbees,Feb-22,1500000,OTHER_PACKAGES_PER_DAY,UNKNOWN,delivers over 1.5 million packages per day
AlphaSense,Sep-23,4000,BUSINESS_CUSTOMERS,YES,"rapid adoption of its innovative AI and search capabilities by more than 4,000 enterprise customers"
AlphaSense,Sep-23,10000,OTHER_INFORMATION_SOURCES,UNKNOWN,"Today the company covers some 10,000 sources of information that span private and public content published by big and small research firms, government and other public bodies, and competitors and other businesses."
Bright Data (Luminati),Aug-17,40000000,OTHER_IP_ADDRESSES,UNKNOWN,Luminati brings back transparency and trust to the Web by enabling its enterprise customers to access the internet through its proprietary network of over 40 million IP addresses.
Bright Data (Luminati),Aug-17,30000000,OTHER_RESIDENTIAL_IPS,UNKNOWN,Luminati is the world's leading proxy network for businesses. With a proprietary network of over 30 million residential IPs
Chime,Apr-24,7000000,CUSTOMERS,NO,seven million customers using its cards for $8 billion a month in transactions
Chime,Apr-24,1500000,OTHER_CUSTOMER_INQUIRIES,UNKNOWN,about 70% of its 1.5 million monthly customer inquiries
Decagon,Jan-26,100,BUSINESS_CUSTOMERS,YES,"more than 100 new global enterprise customers, like Avis Budget Group, Block, and Deutsche Telekom, joined the Decagon family."
Glossier,Mar-19,1000000,CUSTOMERS,YES,while introducing more than 1 million new customers to its portfolio of modern beauty and skincare essentials
Klarna,Jun-21,90000000,ACTIVE_USERS,NO,With over 90 million global active users and 2 million transactions a day
Klarna,Jun-21,2000000,OTHER_TRANSACTIONS,UNKNOWN,With over 90 million global active users and 2 million transactions a day
Klarna,Jun-21,18000000,CUSTOMERS,NO,used by 18m customers worldwide
Klarna,Jun-21,18000000,ACTIVE_USERS,NO,over 18 million American consumers now using Klarna
Klarna,Jun-21,250000,MERCHANTS,YES,"available at over 250,000 retailers globally"
Klarna,Jun-21,24,OTHER_TOP100_US_RETAILERS_LIVE,YES,Klarna is now live with 24 of the top 100 US retailers
MasterClass,May-21,100,OTHER_INSTRUCTORS,NO,"With an annual membership, subscribers get unlimited access to 100+ instructors and classes across a wide range of subjects"
Perplexity,Dec-24,15000000,ACTIVE_USERS,UNKNOWN,"In March, the company said it had more than 15 million active users."
Salesloft,Apr-19,4000,BUSINESS_CUSTOMERS,UNKNOWN,"Trusted by more than 4,000 organizations including Adobe, 3M, IBM, and Zoom, Salesloft helps revenue teams move from guesswork to confidence, quarter after quarter."
Tabby,Feb-25,15000000,REGISTERED_USERS,NO,more than 15 million registered users
Tabby,Feb-25,40000,MERCHANTS,YES,"over 40,000 sellers"
Vestiaire Collective,Sep-21,3000000,OTHER_ITEMS,UNKNOWN,"The platform is unique thanks to its highly engaged community and its rare, desirable inventory of 3 million items."
WHOOP,Mar-26,2500000,MEMBERS,YES,The company now has over 2.5 million members around the world
Yotpo,Mar-21,30000,BUSINESS_CUSTOMERS,YES,"Yotpo now serves over 30,000 customers that represent the best in eCommerce, including Patagonia, Revolution Beauty, Brooklinen, Steve Madden and Princess Polly."
Yotpo,Mar-21,500,OTHER_PARTNERS,UNKNOWN,"Yotpo has partnered with more than 500 dominant agencies, platforms, and technologies that make eCommerce stores run."
Ankorstore,Jan-22,200000,MERCHANTS,UNKNOWN,"There are currently 200,000 retailers using the marketplace and sourcing items from 15,000 brands."
Ankorstore,Jan-22,15000,OTHER_BRANDS,UNKNOWN,"There are currently 200,000 retailers using the marketplace and sourcing items from 15,000 brands."
Ankorstore,Jan-22,400,OTHER_EMPLOYEES,NO,"With 400 employees and a lot of money in its bank account, Ankorstore could act as the unifying layer of this highly fragmented industry."
Away,May-19,50,OTHER_STORES,NO,"opening 50 new stores over the next three years in addition to its current locations in New York, Los Angeles, San Francisco, Austin, Chicago, Boston, and London"
Calm,Dec-20,100000000,OTHER_DOWNLOADS,NO,Calm continues rapid growth with over 100 million downloads and 4 million paying members.
Calm,Dec-20,4000000,PAYING_SUBSCRIBERS,YES,Calm continues rapid growth with over 100 million downloads and 4 million paying members.
Calm,Dec-20,10000000,OTHER_LIVES_COVERED,NO,"One primary driver is Calm for Business, the brand's enterprise arm, which covers more than 10 million lives through employer partnerships."
Calm,Dec-20,1000000000,OTHER_MINUTES_LISTENED,NO,"Daily downloads doubled and members listened to more than a billion minutes of content in 2020, up 100% from 2019."
Calm,Dec-20,1000000,OTHER_FIVE_STAR_REVIEWS,NO,Calm has now had over 1 million five-star reviews in the App Store.
Calm,Dec-20,100000,OTHER_NEW_USERS_DAILY,UNKNOWN,"Calm boasts over 100 million downloads to date, averaging 100,000 new users daily."
Creditas,Dec-20,1500,OTHER_EMPLOYEES,NO,"We managed to migrate our 1,500 crew members to remote work in a matter of days."
Flink,Sep-24,146,OTHER_HUBS,NO,"Flink has 146 hubs in the two countries across some 80 cities, and it said it will be opening 30 more locations in the next year."
Flink,Sep-24,30,OTHER_LOCATIONS,NO,"Flink has 146 hubs in the two countries across some 80 cities, and it said it will be opening 30 more locations in the next year."
Flink,Sep-24,8900,OTHER_EMPLOYEES,NO,"It has 8,900 employees."
Glovo,Dec-21,15000000,ACTIVE_USERS,UNKNOWN,"In many of their markets, Glovo has become the most loved app, connecting approximately 15 million active users annually with 70,000 monthly active couriers and 130,000 monthly active partners."
Glovo,Dec-21,70000,OTHER_COURIERS,NO,"In many of their markets, Glovo has become the most loved app, connecting approximately 15 million active users annually with 70,000 monthly active couriers and 130,000 monthly active partners."
Glovo,Dec-21,130000,MERCHANTS,UNKNOWN,"In many of their markets, Glovo has become the most loved app, connecting approximately 15 million active users annually with 70,000 monthly active couriers and 130,000 monthly active partners."
HiBob,Sep-23,3500,BUSINESS_CUSTOMERS,YES,"With more than 3,500 customers now onboard, HiBob continues to deliver powerful growth even amidst volatile market conditions, exceeding $100M in Annual Recurring Revenue (ARR) less than three years after celebrating its $10M ARR milestone."
HiBob,Sep-23,50000,OTHER_NEWSLETTER_SUBSCRIBERS,NO,"Join 50,000 HR leaders who get our monthly newsletter."
Klarna,Mar-21,250000,MERCHANTS,YES,"The company is active in more than 17 countries and has more than 250,000 retail partners."
Loft,Mar-21,13000,OTHER_LISTINGS,NO,"Today, the company actively maintains more than 13,000 property listings in approximately 130 regions across São Paulo and Rio de Janeiro, partnering with more than 30,000 brokers."
Loft,Mar-21,30000,OTHER_BROKERS,UNKNOWN,"Today, the company actively maintains more than 13,000 property listings in approximately 130 regions across São Paulo and Rio de Janeiro, partnering with more than 30,000 brokers."
Loft,Mar-21,700,OTHER_EMPLOYEES,NO,"The startup has also grown its number of employees in the past year, growing from 450 last January to 700 today."
Meesho,May-24,150000000,ACTIVE_USERS,UNKNOWN,"Meesho, a leading e-commerce startup in India with about 150 million transacting users, has secured $275 million in a new funding round"
Meesho,May-24,440000,MERCHANTS,UNKNOWN,"With 440,000 annual transacting sellers and over 120 million listings, Meesho boasts one of the widest assortment of goods across platforms"
Meesho,May-24,120000000,OTHER_LISTINGS,NO,"With 440,000 annual transacting sellers and over 120 million listings, Meesho boasts one of the widest assortment of goods across platforms"
Mollie,Sep-20,100000,MERCHANTS,YES,"serving nearly 100,000 merchants across the continent"
Recharge,May-21,15000,MERCHANTS,YES,"Today, ReCharge powers subscriptions for 15,000 merchants and 20 million subscribers worldwide."
Recharge,May-21,20000000,OTHER_SUBSCRIBERS,NO,"Today, ReCharge powers subscriptions for 15,000 merchants and 20 million subscribers worldwide."
Recharge,May-21,300,OTHER_EMPLOYEES,NO,"Headquartered in Santa Monica, CA, ReCharge offers a fully remote working environment, which includes more than 300 team members in 10 countries."
Rokt,Dec-22,5000000000,OTHER_TRANSACTIONS,NO,"Rokt's machine-learning technology has powered more than 5 billion transactions globally for more than 2,500 of the world's leading companies, including Fanatics, Live Nation, AMC Theatres, PayPal, Uber, Hulu, Staples, Lands' End and HelloFresh."
Rokt,Dec-22,2500,BUSINESS_CUSTOMERS,UNKNOWN,"Rokt's machine-learning technology has powered more than 5 billion transactions globally for more than 2,500 of the world's leading companies, including Fanatics, Live Nation, AMC Theatres, PayPal, Uber, Hulu, Staples, Lands' End and HelloFresh."
StockX,Apr-21,7500000,OTHER_TRADES,NO,"For the year ended December 31, 2020 the company closed more than 7.5 million trades"
StockX,Apr-21,200000000,OTHER_VISITORS,UNKNOWN,served more than 200 million visitors across 200 countries and territories
StockX,Apr-21,1000,OTHER_EMPLOYEES,NO,"the company employs more than 1,000 people in 13 offices"
Tabby,Nov-23,10000000,ACTIVE_USERS,NO,Over 10 million users choose Tabby to stay in control of their spending and make the most out of their money.
Tabby,Nov-23,30000,MERCHANTS,YES,"Over 30,000 global brands and small businesses, including SHEIN, Amazon, Adidas, IKEA, H&M, Samsung and Noon use Tabby's technology to accelerate growth and gain loyal customers by offering flexible payments online and in stores."
Tabby,Nov-23,500000,OTHER_PRODUCTS,NO,"More recently, the company launched Tabby Shop, showcasing over 500,000 products from thousands of brands to help shoppers discover and track the best products and deals in one place."
TravelPerk,Jan-24,1200,OTHER_EMPLOYEES,NO,We have a team of more than 1200 employees who together enable us to achieve such rapid growth and success.
Vinted,Apr-26,500000,OTHER_PICKUP_AND_DROPOFF_POINTS,NO,"Vinted provides members with access to more than 500,000 pick-up and drop-off points across Europe"
Back Market,Jan-22,6000000,CUSTOMERS,UNKNOWN,"The Series E funding cements Back Market's position as a leading refurbished electronics marketplace, with more than 6 million customers worldwide."
Delhivery,May-21,17500,OTHER_PIN_CODES,NO,"presence beyond 17,500 pin codes with a full suite of logistics services"
Delhivery,May-21,800000000,OTHER_ORDERS,NO,fulfilled over 800 million orders since its inception in 2011
Flipkart,Jul-21,350000000,REGISTERED_USERS,UNKNOWN,"With more than 350 million registered users from across the country, Flipkart has been investing in key categories"
Flipkart,Jul-21,300000,MERCHANTS,YES,"More than 300,000 registered sellers from across the country are on Flipkart's marketplace, and 60% are from Tier 2 cities and beyond."
Flipkart,Jul-21,1600000,BUSINESS_CUSTOMERS,UNKNOWN,Flipkart also works with more than 1.6 million kiranas in India through its wholesale business and its last-mile delivery program
Flipkart,Jul-21,150000000,OTHER_PRODUCT_LISTINGS,NO,offering over 150 million products across 80+ categories
Flipkart,Jul-21,750000,OTHER_BENEFICIARIES,NO,"Samarth, Flipkart's program to support small businesses, underserved communities and artisans, has more than 750,000 beneficiaries."
Huel,Nov-22,270000000,OTHER_MEALS_SOLD,NO,The brand has sold over 270 million meals worldwide since its inception in 2015
Klaviyo,May-21,130000,CUSTOMERS,YES,"our platform had efficiently scaled to over 130,000 customers"
Klaviyo,May-21,1458,OTHER_CUSTOMERS_ABOVE_50K_ARR,YES,"we had 1,458 customers generating over $50,000 of ARR, representing growth of 94% year-over-year"
Klaviyo,May-21,6900000000,OTHER_CONSUMER_PROFILES,NO,we assembled over 6.9 billion consumer profiles across our customer base
Klaviyo,May-21,695000000000,OTHER_EVENTS,NO,we processed over 695 billion events
Loop Returns,Jul-21,700,CUSTOMERS,YES,"In terms of traction, the company has gone from 200 to 700 customers, and from $26 million in returns processed to just over $100 million in the same time frame."
Meesho,Sep-21,13000000,ACTIVE_USERS,UNKNOWN,"As of April this year, 13 million entrepreneurs and over 100,000 suppliers were using Meesho."
Meesho,Sep-21,100000,MERCHANTS,YES,"As of April this year, 13 million entrepreneurs and over 100,000 suppliers were using Meesho."
Octopus Energy Group,Sep-21,2500000,CUSTOMERS,YES,Octopus Energy had 2.5 million customers up to 24 September 2021.
Octopus Energy Group,Sep-21,3100000,CUSTOMERS,YES,"The company's customer base grew to 3.1 million after taking on Avro Energy's 600,000 customers on 25 September 2021."
Octopus Energy Group,Sep-21,25000,OTHER_BUSINESS_DIVISION_CUSTOMERS,YES,"Octopus Energy for Business manages over 25,000 customers with proprietary energy offerings."
Octopus Energy Group,Sep-21,17000000,OTHER_ENERGY_ACCOUNTS_ON_KRAKEN,UNKNOWN,"Kraken, is already contracted to deliver outstanding customer experience, hyper efficient operations and cleaner and smarter energy solutions to 17 million energy accounts globally"
Octopus Energy Group,Sep-21,100000,OTHER_CHARGE_POINTS,NO,"Electric Juice, the UK's first electric vehicle roaming network which has rapidly grown to over 100,000 charge points across Europe"
Rokt,Jan-25,6500000000,OTHER_TRANSACTIONS,NO,The company's AI- and ML-powered Rokt Brain and ecommerce Rokt Network will power more than 6.5 billion transactions connecting 400 million customers across the world's leading companies
