# INVESTOR ENRICHMENT, COMPLETED. Received 3-Sep-2026 21:00 UTC.
# Source: Google Sheet 'investor_enrichment_complete_3Sep2026', supplied by Daniil, researched in
# another chat in this project against docs/prompts/investor-enrichment.md.
# Sheet: https://docs.google.com/spreadsheets/d/1lAUpp5Mbw-jdVc47-rO7c16LLOSg5SDDucHVabSW1mk
#
# 78 rows in, one per row of data/raw/2026-09-03_investor-enrichment-targets.csv. 30 callable,
# 48 evidence_only. Joined onto data/investors.csv on investor_key by
# tools/apply_investor_enrichment.py. THIS FILE IS THE RECORD OF WHAT WAS SUPPLIED and is never
# edited to match the engine: if the engine and this file disagree, the engine is wrong.
investor_key,investor_name,verdict,first_cheque_low_m,first_cheque_high_m,cheque_currency,geographies,stage_bands,thesis_one_liner,cheque_range_source,geographies_source,dormant_note
bain,Bain Capital Ventures,callable,,,,,Seed; Series A; Series B; Series C,"We incubate ideas, lead seed rounds and scale growth-stage companies.",NOT STATED,NOT STATED,No cheque range and no BCV-specific investing geography published; the four continents line on the about page refers to Bain Capital the parent. Led Daylight Security's $7m seed on 22 Jul 2025.
battery,Battery Ventures,callable,,,,Global; US; Europe; Israel,Seed; Series A; Series B; Series C,"We regularly make early, growth and buyout investments in the same tech sector.",NOT STATED,https://www.battery.com/about/,No cheque range published. Co-led Hush Security's $11m seed on 10 Sep 2025; most recent lead was a $36m Series A on 23 Jul 2026.
benchmark,Benchmark,callable,,,,,Seed; Series A; Series B,"Invests early, building a relationship with entrepreneurs at seed, Series A or Series B.",NOT STATED,NOT STATED,"benchmark.com carries no investment criteria, only two office addresses, so neither a cheque range nor an investing geography could be sourced. Led fomo's $17m Series A on 6 Nov 2025 and raised a $750m early-stage fund in Jun 2026."
bessemer,Bessemer,callable,,,,Global,Pre-seed; Seed; Series A; Series B; Series C,"We partner with entrepreneurs building enduring businesses, from concept through Series A and all stages of growth.",NOT STATED,https://www.bvp.com/about,No cheque range published. Their early-stage page states 62% of investments are pre-revenue at initial investment. Led MeltPlan's $10m seed on 26 Feb 2026.
blackrock,BlackRock,evidence_only,,,,,,,,,
blackrockfunds,BlackRock funds,evidence_only,,,,,,,,,
capitalg,CapitalG,evidence_only,,,,,,,,,
coatue,Coatue Management,evidence_only,,,,,,,,,
deshaw,D. E. Shaw Ventures,evidence_only,,,,,,,,,
dst,DST Global,evidence_only,,,,,,,,,
databricks,Databricks Ventures,evidence_only,,,,,,,,,States on its own site that it does not lead rounds and invests only alongside a lead institutional investor.
dragoneer,Dragoneer,evidence_only,,,,,,,,,
eqt,EQT,evidence_only,,,,,,,,,
eqtgrowth,EQT Growth,evidence_only,,,,,,,,,
fidelity,Fidelity,evidence_only,,,,,,,,,
foundersfund,Founders Fund,callable,,,,,Seed; Series A; Series B; Series C,Founders Fund invests in companies building revolutionary technologies.,NOT STATED,NOT STATED,"No cheque range published, and the only geographic statement on their site is that the firm is San Francisco based, which is not an investing geography. Led Roadrunner's Series A on 12 May 2026, but 2026 news flow is dominated by a $6bn growth fund."
freestylevc,Freestyle VC,callable,1.5,3,USD,,Pre-seed; Seed,"Freestyle leads fewer than a dozen seed rounds a year, aims for 10% to 15% ownership and bets across all verticals.",https://techcrunch.com/2022/03/31/freestyle-fund-6-jenny-lefcourt-dave-samuel/,NOT STATED,Cheque range is from a named publication dated 31 Mar 2022 and is four years old; freestyle.vc publishes no figure and states no geography. Led Searchable's seed on 2 Dec 2025.
futureplanet,Future Planet Capital,callable,0.1,0.5,GBP,UK,Pre-seed; Seed; Series A,UKI2S invests in pre-seed to seed+ companies built on the UK's publicly funded science and knowledge base.,"https://ukinnovationscienceseedfund.co.uk/about/when-how-we-invest/ (UK Innovation and Science Seed Fund, managed by Future Planet Capital)",https://www.futureplanetcapital.com/funds,"Callable through the UKI2S vehicle it manages, which posted new investments through Aug 2026. Future Planet's own corporate news page carries nothing later than 9 Jan 2025, so approach is via the UKI2S brand. A separate Future Planet vehicle, the West Midlands Co-Investment Fund, states equity of up to £1m."
gic,GIC,evidence_only,,,,,,,,,
generalatlantic,General Atlantic,evidence_only,,,,,,,,,
goldmansachsalternatives,Goldman Sachs Alternatives,evidence_only,,,,,,,,,
google,Google,evidence_only,,,,,,,,,
googleaifuturesfund,Google AI Futures Fund,callable,,2,USD,Global,Pre-seed; Seed,"The AI Futures Fund invests in and works with startups to accelerate their AI ideas, with early access to Google DeepMind models and Cloud credits.","https://www.outlookbusiness.com/deeptech/five-startups-to-join-accel-atoms-and-googles-ai-futures-fund-ai-cohort-2026 (Accel Atoms and AI Futures Fund AI Cohort 2026, ceiling only, 16 Mar 2026)",https://blog.google/innovation-and-ai/models-and-research/google-labs/ai-futures-fund/,"Cheque is the co-investment through the Accel Atoms cohort, not a figure for the fund's direct investments, for which nothing is published. Geography is stated as anywhere Gemini is available."
greenbay,Green Bay Ventures,evidence_only,,,,,,,,,"Closest thing to dormant in this batch. No new vehicle since a 2021 fund that closed Jan 2022, and the firm's own portfolio page shows no initial investment later than 2024. Live site is greenbayventures.com; greenbayvc.com does not resolve."
greenoaks,Greenoaks,evidence_only,,,,,,,,,
greycroft,Greycroft,callable,,,,Global,Seed; Series A; Series B; Series C,Greycroft is a seed-to-growth venture capital firm that partners with entrepreneurs to build category-defining companies.,NOT STATED,https://www.businesswire.com/news/home/20230425006100/en/Greycroft-Closes-On-More-Than-1-Billion-To-Back-the-Next-Generation-of-Category-Defining-Companies,No cheque range published. A $500K to $50m range circulates on aggregator profiles and could not be found on any first-party page; do not let it into the file. Led Jesse & Ben's $10m Series A on 7 May 2026.
hof,HOF Capital,callable,,,,Global,Pre-seed; Seed; Series A,HOF is a global multi-stage venture capital firm investing in ambitious entrepreneurs.,NOT STATED,https://www.hofcapital.com/,No cheque range published. Led Parable's $16.5m seed on 4 Nov 2025.
harbourvest,HarbourVest Partners,evidence_only,,,,,,,,,
iconiq,ICONIQ Capital,evidence_only,,,,,,,,,
ivp,IVP,callable,15,75,USD,North America; Europe; Israel,Series A; Series B; Series C,"IVP's involvement begins when a company can demonstrate product-market fit, organic growth and customer love, typically at Series B.",https://www.ivp.com/faq/,https://www.ivp.com/faq/,"Stated entry is typically Series B and the cheque floor is $15m, so only founders at the very top of the $0.5m to $20m band are in scope. Led Venice's $25m Series A on 18 Feb 2026."
index,Index Ventures,callable,,,,US; Europe; Israel,Seed; Series A; Series B; Series C,Three out of four of our initial investments are made at the earliest stages.,NOT STATED,https://www.indexventures.com/,No per-company cheque size published. Index Origin is a dedicated seed fund and its fund size is published ($400m as of 31 Jul 2026) but no cheque range. Led Intelligence's $7.9m seed on 3 Aug 2026.
insight,Insight Partners,callable,,,,Global; US; Europe; Israel,Series A; Series B; Series C,"Insight Partners is a global software investor partnering with high-growth technology, software and Internet startup and ScaleUp companies.",NOT STATED,https://www.insightpartners.com/about/,"No cheque range published. Led four named Series A rounds in 2026 at $15m to $25m, so the reachable band is the top of the range only."
janestreet,Jane Street,evidence_only,,,,,,,,,
kinnevik,Kinnevik,evidence_only,,,,,,,,,
lightspeed,Lightspeed,callable,,,,Global,Seed; Series A; Series B; Series C,We stand behind our companies with high conviction from Seed to Series F and beyond.,NOT STATED,https://lsvp.com/about/,"No cheque range published; their named seed programme, Launch, states no figure either. Led Origin Lab's $8m seed on 13 May 2026, and the majority of their Dec 2025 $9bn close is committed at Seed, Series A and Series B."
lonepine,Lone Pine Capital,evidence_only,,,,,,,,,
mgx,MGX,evidence_only,,,,,,,,,
maven,Maven Capital Partners,callable,0.15,5,GBP,UK; South West England,Pre-seed; Seed; Series A,The SWIF Maven Equity Fund invests in earlier stage and established companies located across the South West of England.,"https://www.mavencp.com/sme-finance/south-west-investment-fund (SWIF Maven Equity Finance; sister regional funds state up to £5m for the North East and for Scotland, and £200,000 to £2m for Finance Durham)",https://www.mavencp.com/sme-finance/south-west-investment-fund,"Several vehicles with different sizes. The £20m figure on the group site is a maximum single-company exposure across buyouts, debt and property, not a venture first cheque. Backed NunaBio on 8 Jun 2026 and Xentra on 20 Jul 2026."
menloanthology,Menlo Anthology,callable,0.1,,USD,US; Global,Pre-seed; Seed; Series A,"We will make Pre-Seed, Seed and Series A investments from the Anthology Fund as lead or participating investors.","https://menlovc.com/menlo-anthology-fund/ (Menlo Anthology Fund, floor only, no upper bound stated)",https://menlovc.com/menlo-anthology-fund/,"Floor only. A $100m vehicle run by Menlo Ventures with Anthropic, distinct from Menlo's main funds. Menlo's own Aug 2025 update reports more than 30 Anthology companies in the first year."
mercia,Mercia Ventures,callable,,10,GBP,UK,Seed; Series A; Series B,"We invest in companies with early traction and a clear route to growth, providing up to £10m of initial capital.","https://www.merciaventures.co.uk/ (Mercia Ventures, ceiling only, no floor stated)",https://www.merciaventures.co.uk/,"Only an upper bound is published. The £100k to £10m line on the mercia.co.uk group site spans venture, business loans and private equity and is not a venture first cheque. Led Go Swag's £3.7m seed on 27 May 2026."
nventures,NVentures,evidence_only,,,,,,,,,
notidentifiedinanysource,Not identified in any source,evidence_only,,,,,,,,,Not an investor. This is a placeholder for an unattributed participant in a round and should be dropped from the investor table rather than enriched.
ontarioteachers,Ontario Teachers,evidence_only,,,,,,,,,
ontarioteachersventuregrowth,Ontario Teachers' Venture Growth,evidence_only,,,,,,,,,
princeville,Princeville Capital,evidence_only,,,,,,,,,Live site is princeville-capital.com. The domain princevillecapital.com now serves a domain-for-sale page and must not go on a founder-facing list.
prysm,Prysm,evidence_only,,,,,,,,,
qatarinvestmentauthority,Qatar Investment Authority,evidence_only,,,,,,,,,
ribbit,Ribbit,callable,,,,Global,Seed; Series A; Series B; Series C,Ribbit Capital is a global investment organization with one single mission: to change the world of finance.,NOT STATED,https://ribbitcap.com/about/,No cheque range and no stage statement published. Led CoPlane's $14m seed on 25 Nov 2025 and a $100m Series C in Apr 2026.
salesforce,Salesforce Ventures,callable,,5,USD,US; Europe; Asia,Seed; Series A; Series B; Series C,"Core investment themes are Generative AI, Data and Infrastructure, Security, and Vertical and Horizontal Apps, along with New Frontiers.","https://www.salesforceventures.com/about/ (seed band, stated as under $5M; the $50M+ on the same page is growth stage and is not a first cheque)",https://www.salesforceventures.com/about/,"Seed figure is a ceiling, not a range. Led Covecta's $6.5m seed on 26 Sep 2025 and co-led Rocket's $15m seed on 23 Sep 2025."
sapphire,Sapphire Ventures,evidence_only,,,,,,,,,
schroders,Schroders Capital,evidence_only,,,,,,,,,
sequoia,Sequoia Capital,callable,0.5,1,USD,US; Europe,Pre-seed; Seed; Series A; Series B; Series C,Arc is Sequoia's bi-annual open call for pre-seed and seed stage founders.,"https://sequoiacap.com/article/seed-fund-and-arc-announcement/ (Sequoia Arc programme, figure published Jan 2023)",https://sequoiacap.com/article/seed-fund-and-arc-announcement/,Cheque figure is the Arc programme and dates from Jan 2023; the live Arc page states no figure and no cheque is published for Sequoia's non-Arc seed or Series A investing. Led Flow Engineering's $23m Series A on 14 Oct 2025.
southparkcommons,South Park Commons,callable,1,10,USD,US; India,Pre-seed; Seed,"We are ready to write the first check, for exceptional builders from the SPC community or the larger ecosystem.","https://www.southparkcommons.com/india/ (SPC Fund first cheque; the separate Founder Fellowship states $400,000 for 7% on a SAFE plus $600,000 guaranteed in the next external round, https://www.southparkcommons.com/faq/)",https://www.southparkcommons.com/faq/,Fund IV closed at $575m on 5 Aug 2026.
squarepeg,Square Peg,callable,1,,USD,Australia and New Zealand; Israel; Southeast Asia,Seed; Series A,Our sweet spot for new investments is Seed to Series A.,"https://www.squarepeg.vc/blog/we-invest-early-but-what-does-early-even-mean-here-are-the-hard-stats (floor only, post dated 21 Nov 2022)",https://www.squarepeg.vc/our-philosophy,"Floor only, and the figure is four years old; it is the sole cheque figure published anywhere on their site. Led Byron's US$6.5m seed on 27 May 2026 and Octen's US$10m seed on 25 Mar 2026."
syndicateroom,SyndicateRoom,evidence_only,,,,,,,,,"Not dormant and not growth. Excluded from the call list because Access EIS invests only on the same terms as the angel it follows into a round, so it never leads and a founder cannot get a first cheque from it. It launched a new university-partnered EIS fund on 19 Jun 2026."
troweprice,T. Rowe Price,evidence_only,,,,,,,,,
tpg,TPG,evidence_only,,,,,,,,,
thrive,Thrive Capital,callable,,,,,Seed; Series A; Series B; Series C,"Thrive Capital builds and invests in internet, software and technology-enabled companies.",NOT STATED,NOT STATED,"thrivecap.com is a single sentence with no stage, size or geography. Led Doji's $14m seed on 16 May 2025, and $1bn of its Feb 2026 $10bn fund is dedicated to early stage."
tiger,Tiger Global Management,evidence_only,,,,,,,,,
uncork,Uncork Capital,callable,3,5,USD,North America,Seed,"Uncork is the first major check on the cap table, often leading seed rounds.","https://uncorkcapital.com/approach/ (their /about page states a different figure, an average initial investment of $2.5 million)",https://uncorkcapital.com/blog/uncork-capital-closes-300m-to-support-early-stage-founders-e1015b772be1,"Three different figures appear in their own material: $3-5M on /approach, a $2.5m average on /about, and $1.5M-$3M+ in the fund announcement, which adds that Fund VIII will write slightly larger cheques. The /approach figure is recorded here. Raised $300m across Uncork VIII and Plus IV on 1 May 2025."
vanara,Vanara Capital,evidence_only,,,,,,,,,"Real firm, launched Aug 2025 as a growth-stage capital solutions house in partnership with TPG. Not dormant."
wcm,WCM,evidence_only,,,,,,,,,
a16z,a16z,callable,,1,USD,Global,Seed; Series A; Series B; Series C,"We invest in seed to venture to growth-stage technology companies, across AI, bio and healthcare, consumer, crypto, enterprise, fintech, games, infrastructure, and companies building toward American dynamism.","https://a16z.com/speedrun/ (a16z speedrun accelerator, ceiling only)",https://a16z.com/speedrun/,Cheque is the speedrun accelerator only; the core funds publish no cheque range. Same firm as the a16z row: merge before this reaches founders. Led Pillar's $20m seed on 14 Apr 2026.
