company_name	exchange_ticker	country	archetype	metric_wanted
Nu Holdings Ltd.	NYSE:NU	Brazil	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
SLM Corporation	NASDAQGS:SLM	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Synchrony Financial	NYSE:SYF	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
The Bancorp, Inc.	NASDAQGS:TBBK	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Affirm Holdings, Inc.	NASDAQ:AFRM	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Dave Inc.	NASDAQGS:DAVE	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Encore Capital Group, Inc.	NASDAQGS:ECPG	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Enova International, Inc.	NYSE:ENVA	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Jefferson Capital, Inc.	NASDAQGS:JCAP	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Klarna Group plc	NYSE:KLAR	United Kingdom	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
LendingClub Corporation	NYSE:LC	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Navient Corporation	NASDAQGS:NAVI	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Onity Group Inc.	NYSE:ONIT	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Oportun Financial Corporation	NASDAQGS:OPRT	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
PRA Group, Inc.	NASDAQGS:PRAA	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Regional Management Corp.	NYSE:RM	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Rocket Companies, Inc.	NYSE:RKT	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
SoFi Technologies, Inc.	NASDAQ:SOFI	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
UWM Holdings Corporation	NYSE:UWMC	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Upstart Holdings, Inc.	NASDAQ:UPST	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Velocity Financial, Inc.	NYSE:VEL	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
World Acceptance Corporation	NASDAQGS:WRLD	United States	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Zip Co Limited	ASX:ZIP	Australia	Lending & Credit	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Adyen N.V.	ENXTAM:ADYEN	Netherlands	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
DLocal Limited	NASDAQ:DLO	Uruguay	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
EML Payments Limited	ASX:EML	Australia	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Fiserv, Inc.	NASDAQ:FISV	United States	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
GMO Payment Gateway, Inc.	TSE:3769	Japan	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Global Payments Inc.	NYSE:GPN	United States	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Marqeta, Inc.	NASDAQ:MQ	United States	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Nexi S.p.A.	BIT:NEXI	Italy	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
One MobiKwik Systems Limited	NSEI:MOBIKWIK	India	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
One97 Communications Limited	NSEI:PAYTM	India	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
PagSeguro Digital Ltd.	NYSE:PAGS	Brazil	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
PayPal Holdings, Inc.	NASDAQ:PYPL	United States	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Paysafe Limited	NYSE:PSFE	United Kingdom	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Shift4 Payments, Inc.	NYSE:FOUR	United States	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
StoneCo Ltd.	NASDAQ:STNE	Cayman Islands	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Toast, Inc.	NYSE:TOST	United States	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Tyro Payments Limited	ASX:TYR	Australia	Merchant Acquiring & PSP	Total payment volume / gross transaction value, latest full fiscal year, company-reported
EZCORP, Inc.	NASDAQGS:EZPW	United States	Owned-Inventory Retail	Total payment volume / gross transaction value, latest full fiscal year, company-reported
FirstCash Holdings, Inc.	NASDAQGS:FCFS	United States	Owned-Inventory Retail	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Upbound Group, Inc.	NASDAQGS:UPBD	United States	Owned-Inventory Retail	Total payment volume / gross transaction value, latest full fiscal year, company-reported
American Express Company	NYSE:AXP	United States	Payment Network	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Boku, Inc.	AIM:BOKU	United Kingdom	Payment Network	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Corpay, Inc.	NYSE:CPAY	United States	Payment Network	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Mastercard Incorporated	NYSE:MA	United States	Payment Network	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Visa Inc.	NYSE:V	United States	Payment Network	Total payment volume / gross transaction value, latest full fiscal year, company-reported
AppFolio, Inc.	NASDAQGM:APPF	United States	Vertical Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
EVERTEC, Inc.	NYSE:EVTC	United States	Vertical Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
HPS S.A.	CBSE:HPS	Morocco	Vertical Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
NCR Voyix Corporation	NYSE:VYX	United States	Vertical Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
ServiceTitan, Inc.	NASDAQGS:TTAN	United States	Vertical Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Robinhood Markets, Inc.	NASDAQ:HOOD	United States	Wealth & Capital Markets Platform	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Walker & Dunlop, Inc.	NYSE:WD	United States	Wealth & Capital Markets Platform	Total payment volume / gross transaction value, latest full fiscal year, company-reported
EZCORP, Inc.	NASDAQGS:EZPW	United States	Owned-Inventory Retail	GMV, if any: expected NONE, pawn and leasing, close out formally
FirstCash Holdings, Inc.	NASDAQGS:FCFS	United States	Owned-Inventory Retail	GMV, if any: expected NONE, pawn and leasing, close out formally
GATX Corporation	NYSE:GATX	United States	Owned-Inventory Retail	GMV, if any: expected NONE, pawn and leasing, close out formally
Upbound Group, Inc.	NASDAQGS:UPBD	United States	Owned-Inventory Retail	GMV, if any: expected NONE, pawn and leasing, close out formally
Willis Lease Finance Corporation	NASDAQGS:WLFC	United States	Owned-Inventory Retail	GMV, if any: expected NONE, pawn and leasing, close out formally
