exchange_ticker	company_name	country	archetype	priority	what_is_needed
NYSE:NYT	The New York Times Company	United States	Streaming & Digital Media	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NYSE:SPOT	Spotify Technology S.A.	Sweden	Streaming & Digital Media	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
OM:VPLAY B	Viaplay Group AB (publ)	Sweden	Streaming & Digital Media	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
TSE:9418	U-NEXT HOLDINGS	Japan	Streaming & Digital Media	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.

NOT ASKED FOR, and why					
NASDAQGS:ROKU	Roku, Inc.			excluded	monetises by advertising, not by subscription. It reports streaming households, but nobody prices Roku per household.
NYSE:COUR	Coursera, Inc.			excluded	reports registered learners, most of whom never pay. A registered-learner count is not a subscriber count.
NYSE:NRDY	Nerdy Inc.			excluded	reports active members but the business is per-session tutoring, priced on revenue.
TSE:2193	Cookpad Inc.			excluded	recipe platform, mostly advertising supported. The premium subscriber count is a minor line.
TSE:4686	JustSystems Corporation			excluded	enterprise and education software in Japan. Not a consumer subscription business.
