exchange_ticker	company_name	family	archetype	what_is_needed
NASDAQ:EZPW	EZCORP, Inc.	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:ELD	Elders Limited	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:EXPD	Expeditors International	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:FDX	FedEx Corporation	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:FCFS	FirstCash Holdings, Inc.	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:FLN	Freelancer Limited	consumer	Freelance & Services Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGM:CRGO	Freightos Limited	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:FUBO	FuboTV Inc.	consumer	Streaming & Digital Media	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:YMM	Full Truck Alliance Co. Ltd.	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:GATX	GATX Corporation	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:GXO	GXO Logistics, Inc.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGM:GCT	GigaCloud Technology Inc	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
BMV:TRAXION A	Grupo Traxion, S.A.B. de C.V.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:HAS	Hays plc	consumer	Freelance & Services Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
XTRA:HFG	HelloFresh SE	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:HUBG	Hub Group, Inc.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ENXTPA:IDL	ID Logistics Group SA	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ENXTAM:INPST	InPost S.A.	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:INDIAMART	IndiaMART InterMESH Limited	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:2492	Infomart Corporation	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
SEHK:1519	J&T Global Express Limited	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
BOVESPA:JSLG3	JSL S.A.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:4686	JustSystems Corporation	consumer	Online Learning	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
SEHK:636	KLN Logistics Group	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:BZ	Kanzhun Limited	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:LTH	Life Time Group Holdings	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGM:LFMD	LifeMD, Inc.	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:LAU	Lindsay Australia Limited	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:LINE	Lineage, Inc.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:LQDT	Liquidity Services, Inc.	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:MATRIMONY	Matrimony.com Limited	consumer	Dating & Social Network	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:4480	Medley, Inc.	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:9301	Mitsubishi Logistics	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:3064	MonotaRO Co., Ltd.	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
CPSE:NTG	NTG Nordic Transport Group	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:WINE	Naked Wines plc	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:NRDY	Nerdy Inc.	consumer	Online Learning	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:9147	Nippon Express Holdings	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:OCDO	Ocado Group plc	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:3182	Oisix Inc.	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:PRG	PROG Holdings, Inc.	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:PTON	Peloton Interactive, Inc.	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:PETS	Pets at Home Group Plc	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
WSE:PKP	Pkp Cargo S.A.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:PLNT	Planet Fitness, Inc.	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ENXTAM:PNL	PostNL N.V.	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:PSMT	PriceSmart, Inc.	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:RBA	RB Global, Inc.	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:RXO	RXO, Inc.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSEAM:RLGT	Radiant Logistics, Inc.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGM:RENT	Rent the Runway, Inc.	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
IBSE:RYSAS	Reysas Tasimacilik ve Lojistik	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:RWA	Robert Walters plc	consumer	Freelance & Services Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:ROL	Rollins, Inc.	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
SZSE:002352	S.F. Holding Co., Ltd.	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:9143	SG Holdings Co., Ltd.	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:2175	SMS Co., Ltd.	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ENXTPA:STF	STEF SA	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
SEHK:598	Sinotrans Limited	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:SNOWMAN	Snowman Logistics Limited	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
BOVESPA:TGMA3	Tegma Gestao Logistica S.A.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:GYM	The Gym Group plc	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:BBOX	Tritax Big Box REIT plc	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:9418	U-NEXT HOLDINGS	consumer	Streaming & Digital Media	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:UPS	United Parcel Service	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:UPBD	Upbound Group, Inc.	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
OM:VSURE	Verisure plc	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
OM:VPLAY B	Viaplay Group AB (publ)	consumer	Streaming & Digital Media	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:4194	Visional, Inc.	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:VVA	Viva Leisure Limited	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGM:WW	WW International, Inc.	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:WLFC	Willis Lease Finance Corporation	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:XPO	XPO, Inc.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:XMTR	Xometry, Inc.	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:9064	Yamato Holdings Co.	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:ZTO	ZTO Express (Cayman) Inc.	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:ZIP	ZipRecruiter, Inc.	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:4849	en Inc.	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:HPG	hipages Group Holdings	consumer	Freelance & Services Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
DFM:ALANSARI	Al Ansari Financial Services PJSC	fintech	Cross-Border & FX	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:ALLY	Ally Financial Inc.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:ATLC	Atlanticus Holdings Corporation	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
OM:AVARDA	Avarda Bank AB (publ)	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:CCAVENUE	AvenuesAI Limited	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:AX	Axos Financial, Inc.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
BIT:BFF	BFF Bank S.p.A.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:BAJFINANCE	Bajaj Finance Limited	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
BIT:IF	Banca IFIS S.p.A.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
BOVESPA:BMGB4	Banco BMG S.A.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:BFH	Bread Financial Holdings, Inc.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:COF	Capital One Financial Corporation	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
SWX:CMBN	Cembra Money Bank AG	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:CHOLAFIN	Cholamandalam Investment and Finance Company Limited	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:CKN	Clarkson PLC	fintech	Market Infrastructure & Exchange	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:CBG	Close Brothers Group plc	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:CCB	Coastal Financial Corporation	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:CACC	Credit Acceptance Corporation	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:DAVE	Dave Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:4819	Digital Garage, Inc.	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
AIM:DFCH	Distribution Finance Capital Holdings plc	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:ECPG	Encore Capital Group, Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
SEHK:3360	Far East Horizon Limited	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
CASE:FWRY	Fawry for Banking Technology	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:FIVESTAR	Five-Star Business Finance Limited	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:FTDR	Frontdoor, Inc.	fintech	Insurance Technology	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:FCH	Funding Circle Holdings plc	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
XTRA:GLJ	Grenke AG	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:HUM	Humm Group Limited	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:6178	Japan Post Holdings	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:JCAP	Jefferson Capital, Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:JDO	Judo Capital Holdings Limited	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
WSE:KRU	KRUK Spolka Akcyjna	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:LFS	Latitude Group Holdings Limited	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:LOB	Live Oak Bancshares, Inc.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:LU	Lufax Holding Ltd	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:MFIN	Medallion Financial Corp.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:MBIN	Merchants Bancorp	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
XTRA:MULT	Multitude AG	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:NAVI	Navient Corporation	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:NYAX	Nayax Ltd.	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:NEWT	NewtekOne, Inc.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:OSB	OSB Group Plc	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:OMF	OneMain Holdings, Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:ONIT	Onity Group Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:OPRT	Oportun Financial Corporation	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:OPFI	OppFi Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:PRAA	PRA Group, Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:PGY	Pagaya Technologies Ltd.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:PAG	Paragon Banking Group PLC	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:CASH	Pathward Financial, Inc.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:PAY	PayPoint plc	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:PFSI	PennyMac Financial Services, Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:PPM	Pepper Money Limited	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQCM:PRTH	Priority Technology Holdings	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:QFIN	Qfin Holdings, Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:RM	Regional Management Corp.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQCM:RPAY	Repay Holdings Corporation	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:RKT	Rocket Companies, Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:SUS	S&U plc	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:SLM	SLM Corporation	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:SEZL	Sezzle Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:SHRIRAMFIN	Shriram Finance Limited	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:SYF	Synchrony Financial	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQ:TBBK	The Bancorp, Inc.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
AIM:TIME	Time Finance plc	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:TFIN	Triumph Financial, Inc.	fintech	Digital Bank & Deposits	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGM:TRUP	Trupanion, Inc.	fintech	Insurance Technology	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:UWMC	UWM Holdings Corporation	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGM:USIO	Usio, Inc.	fintech	Merchant Acquiring & PSP	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:VEL	Velocity Financial, Inc.	fintech	Lending & Credit	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:WEX	WEX Inc.	fintech	Payment Network	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
