company	sector	subsector	country	transaction_date	round_type	capital_raised	valuation_wording	revenue_wording_and_timing	revenue_evidence_status	what_is_needed
Nomad Health	Marketplaces	Healthcare staffing marketplace	US	2021-09-21	Financing comprising equity and debt	$63m	approximately $260 million reported valuation	NOT FOUND. Company said revenue-to-date was more than twice full-year 2020 revenue, but disclosed no absolute base. A $120m FY2021 database estimate is not company verified and is not used.	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Malt	Marketplaces	Freelance talent marketplace	France	2021-05-31	Series C	EUR80m (reported as about $97-98m)	EUR400 million / approximately $489 million valuation	NOT FOUND. Only expected 100% revenue growth was disclosed, without a base.	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Xpansiv	Marketplaces	Carbon and environmental-commodity marketplace	US / Australia-origin	2022-07-06	Strategic financing	$400m reported investment	US$1.4 billion post-money valuation	FY2022 audited gross revenue was A$586.1m, including A$485.3m pass-through commodity/reimbursable costs; Kroll used A$100.8m gross profit as a more comparable revenue measure. These FY2022 figures were disclosed after pricing	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Instawork	Marketplaces	Hourly-labor marketplace	US	2021-07-08	Series C	$60m	Approximately $560m post-money	NOT FOUND at pricing. Forbes later estimated approximately $100m 2021 revenue in Aug-2022; too late for a Jul-2021 pricing denominator.	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Wayflyer	Specialist lending	Revenue-based finance / e-commerce lending	Ireland	2022-02-01	Series B US$150m	US$150m	$1.6 billion post-money	NOT FOUND. Company disclosed cash advances and capital deployments grew more than 900% in 2021; approximately $500m advanced in 2021 and about $100m average monthly deployments are financing volume	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Lendable	Specialist lending	Consumer lending	UK	2022-03-10	Growth equity GBP210m	GBP210m	above GBP3.5 billion	NOT FOUND. A CB Insights profile figure was rejected because publication timing and currency perimeter were not established.	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Zilch	Specialist lending	Consumer BNPL / credit	UK	2021-11-10	Series C US$110m	US$110m	approximately $2 billion	Latest statutory turnover before round: GBP733000 for year ended 31-Mar-2021. The GBP10.967m year ended 31-Mar-2022 includes post-round months	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Stenn	Specialist lending	International trade / invoice finance	UK	2022-04-11	Equity US$50m	US$50m	$900M valuation	NOT FOUND. Company cited more than $6bn cumulatively financed; financing volume is not revenue	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Tala	Specialist lending	Emerging-market consumer lending	US / Kenya / Mexico / Philippines	2021-10-14	Series E US$145m	US$145m	approximately $800 million	NOT FOUND in announcement; no verified FY2021 absolute revenue located	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Pipe	Specialist lending	Recurring-revenue financing marketplace	US	2021-05-19	Strategic equity US$250m	US$250m	$2B valuation	NOT FOUND. More than $1 billion in tradable annual recurring revenue is customers ARR listed on the platform, not Pipe revenue	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Clearco	Specialist lending	Revenue-based finance	Canada	2021-04-20	Series C US$100m equity plus US$250m credit facility	US$100m equity plus US$250m credit facility	nearly $2 billion valuation	Later reporting estimated nearly $100 million in revenue during 2021, but publication occurred well after the April pricing	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Oxyzo	Specialist lending	B2B / SMB lending	India	2022-03-23	Series A US$200m	US$200m	valuation of $1 billion	FY2021-22 Rs 313.24 crore total revenue; revenue from operations approximately Rs 312.97 crore	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Veho	Logistics and fulfilment operations	Last-mile parcel	US	2022-02-15	Series B	US$170m	approximately US$1.5 billion / US$1.5+ billion post-money	NOT FOUND; only revenue grew 40% in January 2022 with no dollar base	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Getir	Logistics and fulfilment operations	Quick commerce / grocery	Turkey	2022-03-17	Series E	US$768m	US$11.8 billion post-money	approximately US$466 million reported 2021 revenue; underlying publication date and source needs verification	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Rappi	Logistics and fulfilment operations	Super-app / delivery	Colombia	2021-07-19	Series F	over US$500m (about US$496m sold in filing data)	US$5.25 billion post-money	NOT FOUND contemporaneously. Sacra later estimate: about US$482m for FY2021	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Lalamove	Logistics and fulfilment operations	On-demand freight / last-mile	Hong Kong / China	2021-01-20	Series F	US$1.5 billion (some databases initially US$1.3bn)	approximately US$10 billion post-money; about US$8.5 billion pre-money	US$529 million 2020 revenue, but reported later in IPO materials	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
J&T Express	Logistics and fulfilment operations	Cross-border and last-mile parcel	Indonesia / China	2021-11-24	Late-stage financing	about US$2.5 billion	US$20 billion press-reported post-money	US$4.8518bn revenue for FY2021; this figure appears in later IPO and public-company materials, not a contemporaneous Nov-2021 release	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Ninja Van	Logistics and fulfilment operations	Parcel / last-mile	Singapore	2021-09-26	Series E	US$578m	above US$1 billion; transaction estimates US$1.85-1.9 billion, valuation not officially disclosed	NOT FOUND at transaction date; last cited historical figure US$149.3m for 2019, with CEO saying revenue grew 40-50% annually	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
MasterClass	Consumer subscription	Online learning subscription	US	2021-05-13	Series F	US$225m	US$2.75 billion post-money	approximately US$100 million 2020 revenue or ARR, but available result points to CB Insights or Contrary rather than a clearly dated contemporaneous source	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Daily Harvest	Consumer subscription	Frozen-food subscription	US	2021-11-15	Series D	US$77m (some databases say US$100m)	US$1.1 billion post-money	NOT FOUND. Accessible Bloomberg transaction coverage did not substantiate the alleged $250m revenue figure.	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Strava	Consumer subscription	Fitness app subscription	US	2020-11-16	Series F	US$110m	reported range approximately US$1.5-1.65 billion post-money	estimated US$70-72 million 2020 revenue; company did not disclose	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
WHOOP	Consumer subscription	Fitness wearable subscription	US	2021-08-30	Series F	US$200m	US$3.6 billion post-money	NOT FOUND; contemporaneous reporting noted revenue and customer base were private	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Flo Health	Consumer subscription	Womens health app subscription	UK	2024-07-30	Series C	more than US$200m	above US$1 billion post-money; some databases US$1.2bn but not company-confirmed	2023 revenue exceeded US$140 million; 2024 gross bookings projected to exceed US$200m. Gross bookings are not revenue	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Calm	Consumer subscription	Meditation app subscription	US	2020-12-08	Series C	US$75m	US$2 billion post-money	NOT FOUND as a contemporaneous reliable absolute 2020 figure; broad estimates US$200-300m and older references conflict	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
