company_name	exchange_ticker	country	archetype	metric_wanted
Toast, Inc.	NYSE:TOST	United States	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Tyro Payments Limited	ASX:TYR	Australia	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
UWM Holdings Corporation	NYSE:UWMC	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Upbound Group, Inc.	NASDAQ:UPBD	United States	Owned-Inventory Retail	TPV / gross transaction value, latest full fiscal year, company-reported
Upstart Holdings, Inc.	NASDAQ:UPST	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Velocity Financial, Inc.	NYSE:VEL	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Visa Inc.	NYSE:V	United States	Payment Network	TPV / gross transaction value, latest full fiscal year, company-reported
Walker & Dunlop, Inc.	NYSE:WD	United States	Wealth & Capital Markets Platform	TPV / gross transaction value, latest full fiscal year, company-reported
Wise plc	LSE:WISE	United Kingdom	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
Wix.com Ltd.	NASDAQGS:WIX	Israel	Cloud & Infrastructure	TPV / gross transaction value, latest full fiscal year, company-reported
World Acceptance Corporation	NASDAQ:WRLD	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Zip Co Limited	ASX:ZIP	Australia	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
