#,fixture,what it says it is,archetype,listed comparables,private comparables,flags,VERDICT (Daniil)
11,honestly,Verifies and structures what people say about a product across social platforms,Marketing & Customer Engagement,"shared product, 3 priced: Sprout Social, Inc., Sprinklr, Inc., Rezolve AI PLC, Klaviyo, Inc., Similarweb Ltd.","partial, 5 priced: Rokt, CommerceIQ, Klaviyo, Yotpo, Semrush, Contentsquare, Buffer",,
12,insforge,Backend-as-a-service built so AI coding agents can operate every service end to end,Cloud & Infrastructure,"shared product, 7 priced: Elastic N.V., Cloudflare, Inc., Backblaze, Inc., MongoDB, Inc., Datadog, Inc., Twilio Inc., Fastly, Inc.","shared product, 6 priced: Supabase, Algolia, Oxylabs, Anthropic, Lovable, LangChain, Replit",,
13,honen,Turns company documents and recordings into structured courses with a 1:1 AI tutor,Online Learning,"shared product, 6 priced: Skillsoft Corp., Duolingo, Inc., D2L Inc., Docebo Inc., Nerdy Inc., Coursera, Inc., Chegg, Inc.","shared product, 3 priced: Udemy, Learning Technologies Group, LEAD School, Vedantu, upGrad",,
14,agentx,"Build, evaluate and deploy multi-agent systems with CI/CD against test sets","Data, AI & Developer Tools","strong, 3 priced: GitLab Inc., Qt Group Oyj, Datadog, Inc.","strong, 6 priced: Oxylabs, Anthropic, Lovable, LangChain, Replit, Invisible Technologies, Anysphere / Cursor",,
15,skybridge,MIT-licensed TypeScript and React framework for building MCP apps,"Data, AI & Developer Tools","strong, 3 priced: Qt Group Oyj, GitLab Inc., TomTom N.V.","shared product, 6 priced: Anthropic, Confluent, Lovable, LangChain, Supabase, Replit, Anysphere / Cursor",,
16,acti,A free mobile keyboard that embeds AI agents into any text field,Consumer & Prosumer Software,"partial, 7 priced: Opera Limited, Truecaller AB (publ), Life360, Inc., Wix.com Ltd., Gen Digital Inc., F-Secure Oyj, Dropbox, Inc.","thin, 2 priced: Suno, Framer, OpenAI",,
17,pazi,Turns a business idea into an AI agent team that runs the operating work on credits,Business Applications,"partial, 6 priced: monday.com Ltd., Asana, Inc., UiPath, Inc., Pegasystems Inc., HubSpot, Inc., SAP SE","partial, 5 priced: Sierra, Clay, Decagon, Semrush, Writer, Vanta, Aledade",,
18,openseo,"Open-source alternative to Ahrefs and Semrush, billed by usage and exposed over MCP",Marketing & Customer Engagement,"shared product, 3 priced: Similarweb Ltd., Klaviyo, Inc., Yext, Inc.","shared product, 3 priced: Semrush, Clay, Klaviyo",,
19,context-dev,"One API that turns any URL into LLM-ready markdown, plus crawling and enrichment","Data, AI & Developer Tools","strong, 7 priced: Datadog, Inc., Twilio Inc., Agora, Inc., Cloudflare, Inc., Red Violet, Inc., Sinch AB (publ), Similarweb Ltd.","strong, 5 priced: Oxylabs, Anthropic, Clay, Lovable, LangChain, Weights & Biases, Vercel",,
20,anysearch,Privacy-first real-time search infrastructure built for agents rather than humans,"Data, AI & Developer Tools","strong, 7 priced: Datadog, Inc., Elastic N.V., GitLab Inc., Cloudflare, Inc., Agora, Inc., Twilio Inc., Palantir Technologies Inc.","strong, 6 priced: Oxylabs, Anthropic, Confluent, Genspark, LangChain, Supabase, Replit",,
21,fyle,UK direct-to-consumer nail-care brand selling a blade-free manicure kit and its refills,Consumer Brand,"thin, 6 priced: FIGS, Inc., e.l.f. Beauty, Inc., Warby Parker Inc., On Holding AG, ASOS Plc, Revolve Group, Inc., Zalando SE","thin, 4 priced: Quince, SKIMS, Olive & June, Vuori, Harry's, Savage X Fenty, Away",,
22,inato,Marketplace connecting pharmaceutical trial sponsors with community research sites,Third-Party Marketplace,"partial, 7 priced: Veeva Systems Inc., Claritev Corporation, Progyny, Inc., Freightos Limited, Full Truck Alliance Co. Ltd., Tecsys Inc., Evolent Health, Inc.","thin, 2 priced: Accolade, Vegrow, Aledade, DeHaat, Incredible Health, Doctolib, Cityblock Health",,
23,supercritical,Marketplace and procurement layer for durable carbon removal credits,Market Infrastructure & Exchange,"partial, 3 priced: Indian Energy Exchange Limited, CME Group Inc., Multi Commodity Exchange of India Limited","-, 0 priced: Xpansiv",,
24,priori-legal,Marketplace of flexible legal talent plus panel and RFP management for in-house teams,Freelance & Services Marketplace,"partial, 3 priced: Intapp, Inc., Upwork Inc., AMN Healthcare Services, Inc.","partial, 1 priced: Legora, Mercor, Micro1, Harvey, Jobandtalent",,
25,nursa,Per-diem shift marketplace matching healthcare facilities with local licensed clinicians,Freelance & Services Marketplace,"strong, 3 priced: AMN Healthcare Services, Inc., SMS Co., Ltd., Medley, Inc.","-, 0 priced: Incredible Health, Jobandtalent",,
26,levelten,Two-sided marketplace for renewable power purchase agreements and clean energy transactions,Market Infrastructure & Exchange,"strong, 3 priced: Indian Energy Exchange Limited, Clarkson PLC, CME Group Inc.","thin, 1 priced: Xpansiv, The Zebra",,
27,payabli,Embedded payment infrastructure delivered to software platforms through one unified API,Merchant Acquiring & PSP,"partial, 7 priced: Repay Holdings Corporation, Usio, Inc., PayPoint plc, Fawry for Banking Technology, DLocal Limited, Nexi S.p.A., GMO Payment Gateway, Inc.","thin, 2 priced: Stripe, Cashfree Payments, Checkout.com, MoonPay, Mollie, dLocal, Rapyd",,
28,rainforest,Payfac-as-a-service that lets vertical software platforms own payments without the risk,Merchant Acquiring & PSP,"partial, 7 priced: Tyro Payments Limited, Repay Holdings Corporation, PayPoint plc, Fawry for Banking Technology, Nexi S.p.A., GMO Payment Gateway, Inc., Global Payments Inc.","thin, 1 priced: SumUp, Mollie, Pine Labs, Rapyd, Marqeta",,
29,moov,"Developer payments platform to accept, store and send money on one set of rails",Merchant Acquiring & PSP,"thin, 7 priced: Repay Holdings Corporation, Usio, Inc., PayPoint plc, One MobiKwik Systems Limited, PayPal Holdings, Inc., Nexi S.p.A., GMO Payment Gateway, Inc.","thin, 3 priced: SumUp, Plaid, Stripe, Cashfree Payments, Checkout.com, Pine Labs, Rapyd",,
30,trolley,"Global payouts platform for businesses paying creators, artists and freelancers at scale",Cross-Border & FX,"thin, 7 priced: The Western Union Company, Corpay, Inc., CAB Payments Holdings plc, Payoneer Global Inc., Flywire Corporation, Remitly Global, Inc., Wise plc","partial, 3 priced: Airwallex, Cashfree Payments, Stripe, BVNK, Zepz, Checkout.com, Mollie",,
31,dots,Payouts API sending money by any method to marketplace sellers and gig workers,Cross-Border & FX,"shared product, 3 priced: Payoneer Global Inc., Wise plc, Marqeta, Inc.","strong, 4 priced: Airwallex, Stripe, Cashfree Payments, BVNK, Checkout.com, Mollie, dLocal",,
32,numida,Unsecured working-capital loans to African micro and small businesses in under a day,Lending & Credit,"thin, 2 priced: Five-Star Business Finance Limited, Time Finance plc, Cholamandalam Investment and Finance Company Limited, Grenke AG, Credit Acceptance Corporation, Shriram Finance Limited, Far East Horizon Limited","thin, 2 priced: Creditas, Kriya, Tabby, MNT-Halan, Stenn, Atom Bank, Zopa",,
33,perenna,"UK bank offering long-term fixed-rate mortgages funded by covered bonds, sold through brokers",Lending & Credit,"partial, 3 priced: Velocity Financial, Inc., SoFi Technologies, Inc., Onity Group Inc.","thin, 2 priced: Better.com, Monzo, Atom Bank, Zilch, Zopa, Starling Bank",,
34,tienda-pago,Weekly working-capital credit letting Latin American shopkeepers pay distributors,Lending & Credit,"thin, 5 priced: Avarda Bank AB (publ), Affirm Holdings, Inc., Klarna Group plc, Zip Co Limited, LendingClub Corporation, Enova International, Inc., Nu Holdings Ltd.","thin, 1 priced: Klarna, Wayflyer, Clearco, Kriya, Stenn, Happy Money, Zopa",,
35,mondu,B2B deferred payment terms where the provider takes the credit risk from the seller,Lending & Credit,"strong, 4 priced: Avarda Bank AB (publ), Time Finance plc, Credit Acceptance Corporation, Sezzle Inc., Klarna Group plc, Upstart Holdings, Inc., Regional Management Corp.","-, 0 priced: Billie, Kriya, Tabby, Stenn, Wayflyer, Fundbox, Pipe",,
36,smol,Subscription refills of own-brand laundry capsules and cleaning products by post,Consumer Brand,"partial, 4 priced: BARK, Inc., YETI Holdings, Inc., Chewy, Inc., Wayfair Inc.","thin, 5 priced: Thrasio, Quince, SKIMS, Spinny, Vuori, Huel, AG1",,
37,bokksu,Prepaid monthly subscription box of curated Japanese snacks shipped from Japan,Consumer Brand,"thin, 4 priced: Oisix Inc., HelloFresh SE, Naked Wines plc, Ocado Group plc","thin, 3 priced: OLIPOP, Huel, Liquid Death, AG1 (Athletic Greens)",,
38,finn,"All-inclusive monthly car subscription on an owned fleet, delivered to the door",Owned-Inventory Retail,"thin, 3 priced: Carvana Co., CarMax, Inc., Coupang, Inc., JD.com, Inc., AUTO1 Group SE","shared product, 3 priced: Moove, Spinny, Quince, Enpal, Packable",,
39,lyka,"Personalised fresh dog food on a recurring plan, portioned and delivered frozen",Consumer Brand,"shared product, 3 priced: BARK, Inc., YETI Holdings, Inc., Hims & Hers Health, Inc.","partial, 4 priced: Thrasio, Quince, SKIMS, Vuori, Huel, AG1, AG1 (Athletic Greens)",,
40,hived,All-electric parcel delivery network operating its own couriers for ecommerce brands,Local Delivery & On-Demand,"shared product, 7 priced: SG Holdings Co., Ltd., FedEx Corporation, PostNL N.V., United Parcel Service, S.F. Holding Co., Ltd., Deutsche Post AG, Blue Dart Express Limited","strong, 5 priced: Gorillas, Flink, Xpressbees, Glovo, Wolt, Gopuff, Delhivery",,
41,byrd,"European third-party logistics running pick, pack and returns from its own warehouse network",Local Delivery & On-Demand,"partial, 7 priced: FedEx Corporation, Delhivery Limited, Deutsche Post AG, PostNL N.V., J&T Global Express Limited, InPost S.A., United Parcel Service","partial, 3 priced: Gorillas, Packable, Xpressbees, Trendyol, Delhivery",,
42,oda,Online grocery holding its own inventory and delivering on scheduled slots,Owned-Inventory Retail,"shared product, 4 priced: Ocado Group plc, Oisix Inc., HelloFresh SE, Naked Wines plc, Coupang, Inc., JD.com, Inc., Amazon.com, Inc.","partial, 4 priced: Flink, WayCool Foods, AG1 (Athletic Greens), Gopuff, Moove, Quince, Spinny",,
43,99minutos,Latin American parcel and reverse logistics network operated end to end,Local Delivery & On-Demand,"partial, 7 priced: PostNL N.V., Yamato Holdings Co., ZTO Express (Cayman) Inc., United Parcel Service, SG Holdings Co., Ltd., FedEx Corporation, InPost S.A.","shared product, 4 priced: Xpressbees, Gorillas, Loop Returns, Flink, Glovo, Wolt, Gopuff",,
44,alloovium,The document intelligence layer for construction,Vertical Software,"partial, 3 priced: Procore Technologies, Inc., Trimble Inc., Bentley Systems, Incorporated","partial, 4 priced: Legora, Harvey, Clio, AuditBoard, Restaurant365, Doctolib",,
45,magma,Monetize your agent's traces,"Data, AI & Developer Tools","partial, 3 priced: Datadog, Inc., Elastic N.V., Dynatrace, Inc.","strong, 5 priced: Oxylabs, Anthropic, LangChain, Replit, Invisible Technologies, Scale AI, Weights & Biases",,
46,6thsense,Nervous system for physical AI,"Data, AI & Developer Tools","partial, 3 priced: Datadog, Inc., Dynatrace, Inc., GitLab Inc.","strong, 4 priced: Vention, Lovable, Confluent, Applied Intuition, Docker, dbt Labs",,
47,osseus,The intelligent development platform for robotics,Design & Engineering,"strong, 7 priced: GitLab Inc., Qt Group Oyj, Unity Software Inc., Cadence Design Systems, Inc., Synopsys, Inc., Dassault Systemes SE, PTC Inc.","shared product, 4 priced: Vention, Applied Intuition, Replit, Vercel, Docker",,
48,projectx,Agent native workspace for heavy parallel workflows on the web,Cloud & Infrastructure,"partial, 6 priced: Cloudflare, Inc., Backblaze, Inc., DigitalOcean Holdings, Inc., Datadog, Inc., Fastly, Inc., IONOS Group SE","shared product, 5 priced: Confluent, Oxylabs, Anthropic, LangChain, Replit, Weights & Biases, Turing",,
49,maritime,The managed cloud for AI agents,Cloud & Infrastructure,"strong, 7 priced: Cloudflare, Inc., DigitalOcean Holdings, Inc., Datadog, Inc., MongoDB, Inc., Fastly, Inc., IONOS Group SE, GoDaddy Inc.","strong, 5 priced: Oxylabs, Anthropic, Clay, Confluent, LangChain, Replit, Weights & Biases",,
50,sim,Open-source workspace for AI agents and workflows,"Data, AI & Developer Tools","partial, 3 priced: GitLab Inc., Datadog, Inc., Cloudflare, Inc.","strong, 7 priced: Oxylabs, Anthropic, Sierra, Clay, Decagon, Notion, Lovable",,
51,rybbit,The open source Google Analytics replacement,"Data, AI & Developer Tools","shared product, 7 priced: Amplitude, Inc., Elastic N.V., Similarweb Ltd., Red Violet, Inc., GitLab Inc., Atlassian Corporation, Snowflake Inc.","shared product, 5 priced: Contentsquare, Oxylabs, Lovable, Supabase, LangChain, Weights & Biases, Vercel",,
52,atlas-new,The AI agent for maps and spatial data,"Data, AI & Developer Tools","shared product, 5 priced: Datadog, Inc., GB Group plc, Similarweb Ltd., Palantir Technologies Inc., TomTom N.V.","strong, 7 priced: Oxylabs, Anthropic, Sierra, Clay, Decagon, Genspark, Semrush",,
53,emergent,Advanced AI app builder that ships full-stack apps,Design & Engineering,"thin, 3 priced: Cadence Design Systems, Inc., Synopsys, Inc., Zeta Global Holdings Corp.","shared product, 4 priced: Lovable, Replit, Anthropic, Anysphere / Cursor, Weights & Biases, ElevenLabs",,
54,orchids,The best way to build any app,Design & Engineering,"thin, 3 priced: Adobe Inc., Figma, Inc., Dropbox, Inc.","shared product, 5 priced: Lovable, Replit, Framer, Anysphere / Cursor, Weights & Biases, OpenAI, Figma",,
55,21st,UI building blocks for the agentic internet,Design & Engineering,"partial, 7 priced: Figma, Inc., Qt Group Oyj, Autodesk, Inc., Bentley Systems, Incorporated, Cadence Design Systems, Inc., Nemetschek SE, PTC Inc.","strong, 5 priced: Vention, Canva, Framer, Weights & Biases, Figma, Vercel, Docker",,
56,chronicle,AI presentations without the AI slop,Design & Engineering,"partial, 7 priced: Adobe Inc., Figma, Inc., Autodesk, Inc., Bentley Systems, Incorporated, Nemetschek SE, PTC Inc., Dassault Systemes SE","shared product, 5 priced: Gamma, Lovable, Framer, Canva, Figma",,
57,caution,Hosting platform for software you don't want to have hacked,Cybersecurity,"strong, 7 priced: Cloudflare, Inc., DigitalOcean Holdings, Inc., Datadog, Inc., MongoDB, Inc., Akamai Technologies, Inc., A10 Networks, Inc., Netskope, Inc.","strong, 4 priced: Replit, Vercel, Snyk, Docker, 1Password",,
58,bylaw,Guarantee your agents use the right evidence before they act,Cybersecurity,"thin, 2 priced: Cloudflare, Inc., Datadog, Inc.","partial, 6 priced: Oxylabs, Anthropic, Sierra, Decagon, Clay, LangChain, Replit",,
59,nebula-security,Autonomous AI defense system for cyber attack,Cybersecurity,"strong, 7 priced: CrowdStrike Holdings, Inc., Varonis Systems, Inc., Palo Alto Networks, Inc., Qualys, Inc., SentinelOne, Inc., Netskope, Inc., Rubrik, Inc.","thin, 3 priced: Abnormal Security, Huntress, Wiz, Cyera, Snyk, 1Password",,
60,care-gp,AI agents to run primary healthcare operations,Vertical Software,"strong, 7 priced: Weave Communications, Inc., Veeva Systems Inc., Consensus Cloud Solutions, Inc., Waystar Holding Corp., SMS Co., Ltd., Phreesia, Inc., Medley, Inc.","partial, 3 priced: Aledade, Doctolib, Cityblock Health, Thirty Madison, Virta Health, Ro, Owner",,
61,plena-health,The AI operating system for specialty medical practices,Vertical Software,"strong, 7 priced: Weave Communications, Inc., Veeva Systems Inc., Evolent Health, Inc., Consensus Cloud Solutions, Inc., Waystar Holding Corp., SMS Co., Ltd., Medley, Inc.","thin, 3 priced: Aledade, Doctolib, Cityblock Health, Thirty Madison, Virta Health, Ro, Mews",,
62,scheduling-wizard,Logistics infrastructure to modernize healthcare operations,Vertical Software,"strong, 6 priced: Veeva Systems Inc., Samsara Inc., Claritev Corporation, Evolent Health, Inc., Waystar Holding Corp., Tecsys Inc., Phreesia, Inc.","shared product, 3 priced: Accolade, Aledade, Incredible Health, Doctolib, Devoted Health, Cityblock Health, Thirty Madison",,
63,marble,The autonomous back-of-house for restaurants,Vertical Software,"strong, 3 priced: Toast, Inc., PAR Technology Corporation, Agilysys, Inc., Samsara Inc.","shared product, 3 priced: Owner, Mews, Guesty, Restaurant365",,
64,osmaura,AI growth engine for corporate law firms,Vertical Software,"partial, 4 priced: HubSpot, Inc., Intapp, Inc., LegalZoom.com, Inc., ZoomInfo Technologies Inc.","strong, 5 priced: Legora, Harvey, Clio, Owner, Semrush, TravelPerk, Restaurant365",,
65,payna,AI licensing agent for regulated industries,Vertical Software,"thin, 3 priced: Intapp, Inc., LegalZoom.com, Inc., Veeva Systems Inc.","shared product, 3 priced: Legora, Harvey, Clio, AuditBoard, Restaurant365",,
66,edviro,AI that operates energy infrastructure,Vertical Software,"strong, 4 priced: PSI Software SE, Samsara Inc., Vitec Software Group AB (publ), Roper Technologies, Inc.","thin, 3 priced: Octopus Energy Group, Enpal, Owner, AuditBoard, Guesty, Restaurant365",,
67,levocred,AI workforce for lenders,Vertical Software,"shared product, 7 priced: Qualco Group S.A., Q2 Holdings, Inc., Jack Henry & Associates, Inc., Fidelity National Information Services, Inc., Mitek Systems, Inc., Alkami Technology, Inc., Alfa Financial Software Holdings PLC","partial, 6 priced: Mambu, Carta, Owner, Legora, Harvey, Clio, AuditBoard",,
68,open-wearables,Open infrastructure for wearable-powered health products,Vertical Software,"partial, 7 priced: Consensus Cloud Solutions, Inc., Twilio Inc., Agora, Inc., Cloudflare, Inc., Datadog, Inc., Sinch AB (publ), Phreesia, Inc.","thin, 3 priced: Accolade, Aledade, Incredible Health, Doctolib, Cityblock Health, Thirty Madison, Virta Health",,
69,kita,Automate credit assessment for lenders in emerging markets,Vertical Software,"shared product, 7 priced: Fair Isaac Corporation, Blend Labs, Inc., Qualco Group S.A., Q2 Holdings, Inc., Fidelity National Information Services, Inc., Jack Henry & Associates, Inc., EVERTEC, Inc.","partial, 6 priced: Mambu, Carta, Sapiens International, Accolade, AuditBoard, Cityblock Health",,
70,agentcard,Debit cards for AI agents,Card Issuing & BaaS,"shared product, 3 priced: Marqeta, Inc., Paysign, Inc., PayPoint plc, WEX Inc., Usio, Inc., Repay Holdings Corporation, CPI Card Group Inc.","shared product, 3 priced: Moss, Slash, BVNK",,
71,paymentkit,Billing that survives a processor shutdown,Commerce & Payments Software,"thin, 5 priced: Usio, Inc., PayPoint plc, Paysign, Inc., Fawry for Banking Technology, Repay Holdings Corporation, WEX Inc., Marqeta, Inc.","shared product, 1 priced: Juspay, Cashfree Payments, Zuora",,
72,unifold,Multi-chain deposit and payment infrastructure,Crypto & Digital Assets,"shared product, 7 priced: WEX Inc., Usio, Inc., PayPoint plc, Paysign, Inc., Repay Holdings Corporation, Coinbase Global, Inc., Bullish","shared product, 3 priced: Slash, BVNK, ConsenSys, Blockchain.com, Fireblocks, MoonPay, Juspay",,
73,florin,The insurance carrier with zero underwriters,Insurance Technology,"shared product, 5 priced: Guidewire Software, Inc., FINEOS Corporation Holdings plc, Crawford & Company, ZhongAn Online P&C Insurance Co., Ltd., Trupanion, Inc.","shared product, 3 priced: Sapiens International, Coalition, Wefox, The Zebra, Alan, Devoted Health",,
74,denta,AI-native dental insurance,Insurance Technology,"partial, 7 priced: Alignment Healthcare, Inc., SMS Co., Ltd., Medley, Inc., Waystar Holding Corp., Evolent Health, Inc., Weave Communications, Inc., Veeva Systems Inc.","partial, 3 priced: Alan, Devoted Health, Aledade, Coalition, Doctolib, Cityblock Health, Thirty Madison",,
75,insurf,The AI-native decision layer for health insurance,Insurance Technology,"shared product, 4 priced: Evolent Health, Inc., Veeva Systems Inc., Progyny, Inc., Claritev Corporation, Tecsys Inc., Alignment Healthcare, Inc.","shared product, 3 priced: Alan, Accolade, Devoted Health, Aledade, Incredible Health, Doctolib, Cityblock Health",,
76,evergrove,Voice agents that accelerate care coordination in workers' comp,Insurance Technology,"partial, 4 priced: Evolent Health, Inc., Veeva Systems Inc., Progyny, Inc., Claritev Corporation, Tecsys Inc., Alignment Healthcare, Inc., Waystar Holding Corp.","shared product, 3 priced: Alan, Accolade, Devoted Health, Aledade, Incredible Health, Doctolib, Cityblock Health",,
77,lato,AI-powered market research and deal diligence for institutional investors,Financial Data & Index,"shared product, 7 priced: Morningstar, Inc., FactSet Research Systems Inc., CRISIL Limited, S&P Global Inc., London Stock Exchange Group plc, MSCI Inc., Clarkson PLC","shared product, 2 priced: AlphaSense, Chainalysis",,
78,tash,The investment platform for sports and trading cards,Wealth & Capital Markets Platform,"partial, 3 priced: XP Inc., HUB24 Limited, Netwealth Group Limited, Robinhood Markets, Inc.","thin, 1 priced: Raisin, Carta, Whatnot, StockX",,
79,ekho-labs,World model for freight,Supply Chain & Logistics Software,"partial, 4 priced: Kinaxis Inc., Tecsys Inc., Manhattan Associates, Inc., Samsara Inc.","partial, 1 priced: E2open",,
80,manifold-robotics,Deployment-ready robotic labor for the supply chain industry,Commerce Enablement & Fulfilment,"shared product, 6 priced: GXO Logistics, Inc., Delhivery Limited, ID Logistics Group SA, Americold Realty Trust, Lineage, Inc., Tritax Big Box REIT plc, Baozun Inc.","shared product, 2 priced: Berkshire Grey, Applied Intuition, Vention",,
81,bizmark,Agentic supply chain optimization,Supply Chain & Logistics Software,"shared product, 6 priced: ATOSS Software SE, Kinaxis Inc., BlackLine, Inc., Sidetrade SA, Tecsys Inc., Workday, Inc.","shared product, 7 priced: E2open, Ramp, Glean, AuditBoard, FloQast, Restaurant365, Factorial",,
82,blindspot,Book 2.5m billboards worldwide like you book an Uber,Marketing & Customer Engagement,"thin, 7 priced: HubSpot, Inc., Klaviyo, Inc., Text S.A., Freshworks Inc., Braze, Inc., Sprout Social, Inc., Yext, Inc.","partial, 3 priced: Rokt, Jasper, CommerceIQ, 6sense, Mailchimp",,
83,clarify,The autonomous CRM that helps you sell more,Marketing & Customer Engagement,"shared product, 4 priced: HubSpot, Inc., Salesforce, Inc., Freshworks Inc., Klaviyo, Inc.","strong, 5 priced: Notion, Clay, Semrush, Gong, Apollo.io, Restaurant365, 6sense",,
84,lightfield,AI-native CRM that builds itself and does work for you,Marketing & Customer Engagement,"partial, 5 priced: HubSpot, Inc., monday.com Ltd., Freshworks Inc., Klaviyo, Inc., BILL Holdings, Inc.","partial, 5 priced: Clay, Semrush, Gong, AuditBoard, Apollo.io, Restaurant365, Brex",,
85,guideflow,The AI demo automation platform for SaaS,Marketing & Customer Engagement,"partial, 6 priced: HubSpot, Inc., Klaviyo, Inc., Braze, Inc., Zeta Global Holdings Corp., Five9, Inc., NICE Ltd.","partial, 5 priced: Clay, Apollo.io, 6sense, Salesloft, Mailchimp, Outreach, Klaviyo",,
86,floqer,The AI copilot for GTM data automation,Marketing & Customer Engagement,"thin, 3 priced: Klaviyo, Inc., HubSpot, Inc., Zeta Global Holdings Corp.","strong, 6 priced: Sierra, Clay, Decagon, Semrush, Gong, Genspark, Perplexity",,
87,postiz,Agentic social media scheduler,Marketing & Customer Engagement,"partial, 3 priced: Klaviyo, Inc., Sprout Social, Inc., Sprinklr, Inc.","shared product, 6 priced: Buffer, Semrush, Jasper, 6sense, Klaviyo, Yotpo",,
88,akkari,Autonomous customer operations,Marketing & Customer Engagement,"thin, 6 priced: Zeta Global Holdings Corp., ZoomInfo Technologies Inc., Braze, Inc., Sprinklr, Inc., Klaviyo, Inc., LiveRamp Holdings, Inc.","strong, 4 priced: Sierra, Decagon, Clay, Salesloft",,
89,dograh,The open source VAPI alternative,Communications & Collaboration,"strong, 6 priced: Twilio Inc., Agora, Inc., Datadog, Inc., Sinch AB (publ), GitLab Inc., PagerDuty, Inc.","strong, 7 priced: Oxylabs, Anthropic, Sierra, Clay, Decagon, Confluent, Supabase",,
90,fathom,"AI meeting notes, bot-free and inside your chat tools",Communications & Collaboration,"partial, 3 priced: Freshworks Inc., HubSpot, Inc., Pexip Holding ASA","shared product, 2 priced: Gong, Verint Systems, Salesloft, Outreach",,
91,wispr-flow,Voice productivity for your writing and your meetings,Consumer & Prosumer Software,"thin, 3 priced: Dropbox, Inc., Opera Limited, F-Secure Oyj","shared product, 3 priced: Framer, ElevenLabs, Genspark, Perplexity, OpenAI",,
92,welltory,The one app for your health,Consumer & Prosumer Software,"thin, 5 priced: Opera Limited, Truecaller AB (publ), Life360, Inc., F-Secure Oyj, Gen Digital Inc.","partial, 3 priced: WHOOP, Oura, Flo Health, Thirty Madison, Noom, Ro, Calm",,
93,planeat,AI turns your health goals into a seven-day menu and grocery list,Consumer & Prosumer Software,"thin, 5 priced: F-Secure Oyj, Opera Limited, Truecaller AB (publ), Life360, Inc., Gen Digital Inc.","partial, 4 priced: Suno, Gamma, Framer, Strava, OpenAI, Flo Health, Noom",,
94,bloomy,AI-native learning for every school,Online Learning,"shared product, 4 priced: Skillsoft Corp., D2L Inc., Duolingo, Inc., Nerdy Inc.","thin, 3 priced: Udemy, Learning Technologies Group, LEAD School, Vedantu, upGrad",,
95,wondering,Duolingo for learning anything,Online Learning,"thin, 4 priced: Duolingo, Inc., Coursera, Inc., Chegg, Inc., JustSystems Corporation, Nerdy Inc.","thin, 3 priced: Udemy, Learning Technologies Group, LEAD School, Vedantu, upGrad, MasterClass",,
