# INVESTOR ENRICHMENT TARGETS, 3-Sep-2026. Every CALLABLE house that cannot render.
# A callable row renders only when it carries a dated deal, a first-cheque range, a
# geography and a sector. These are the rows that fail that bar, with what each one needs.
# 62 of 140 callable rows render today; filling these takes it to 140.
investor_key,investor_name,house_type,needs,have_geographies,have_stage_bands,have_cheque_low_m,have_cheque_high_m,have_thesis,have_recent_deal,sectors_we_have_evidence_for
bain,Bain Capital Ventures,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1000m to $4500m in Cloud & Infrastructure Software. Generated f,Decagon,Cloud & Infrastructure Software(1); Vertical Software(1); Agent Ops(1); Sales Engagement(1); E-commerce Enablement(1); D
battery,Battery Ventures,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $2500m to $2500m in Vertical Software. Generated from the rounds,Mews,Vertical Software(1)
benchmark,Benchmark,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $1250m to $15800m in Agent Ops. Generated from the rounds in our,Sierra,Agent Ops(2); Communications & Customer Engagement(1)
bessemer,Bessemer,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $1400m to $61500m in Vertical Software. Generated from the round,Ramp,"Vertical Software(1); Data, AI & Developer Tools(1); E-commerce Enablement(1)"
blackrock,BlackRock,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $1300m to $183000m in Vertical Software. Generated from the roun,Anthropic,"Vertical Software(1); Data, AI & Developer Tools(1)"
blackrockfunds,BlackRock funds,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $8000m to $8000m in Consumer Marketplace. Generated from the rou,Vinted,Consumer Marketplace(1)
capitalg,CapitalG,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $1250m to $20000m in Data, AI & Developer Tools. Generated from ",Whatnot,"Data, AI & Developer Tools(3); Consumer Marketplace(3); Vertical Software(1); Agent Ops(1)"
coatue,Coatue Management,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $1400m to $380000m in Data, AI & Developer Tools. Generated from",Anthropic,"Data, AI & Developer Tools(5); Enterprise Applications(3); Vertical Software(2); Cybersecurity(1); Agent Ops(1); Sales E"
deshaw,D. E. Shaw Ventures,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $380000m to $380000m in Data, AI & Developer Tools. Generated fr",Anthropic,"Data, AI & Developer Tools(1)"
dst,DST Global,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $2200m to $20000m in Consumer Marketplace. Generated from the ro,Whatnot,"Consumer Marketplace(3); Vertical Software(1); Data, AI & Developer Tools(1); Sales Engagement(1); Lending & Credit(1); "
databricks,Databricks Ventures,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $520m to $6600m in Data, AI & Developer Tools. Generated from th",Lovable,"Data, AI & Developer Tools(2)"
dragoneer,Dragoneer,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $6280m to $965000m in Data, AI & Developer Tools. Generated from",Anthropic,"Data, AI & Developer Tools(2); Enterprise Applications(1); Communications & Customer Engagement(1); Lending & Credit(1)"
eqt,EQT,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $3750m to $8000m in Consumer Marketplace. Generated from the rou,Vinted,Consumer Marketplace(2)
eqtgrowth,EQT Growth,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $2500m to $2500m in Vertical Software. Generated from the rounds,Mews,Vertical Software(1)
fidelity,Fidelity,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $2250m to $183000m in Data, AI & Developer Tools. Generated from",Anthropic,"Data, AI & Developer Tools(3); Local Delivery & On-Demand(2); Consumer Marketplace(2)"
foundersfund,Founders Fund,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $13500m to $380000m in Vertical Software. Generated from the rou,Anthropic,"Vertical Software(1); Enterprise Applications(1); Data, AI & Developer Tools(1)"
freestylevc,Freestyle VC,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $2000m to $2000m in Scraping / Data for AI. Generated from the r,Invisible Technologies,Scraping / Data for AI(1)
futureplanet,Future Planet Capital,Venture,first_cheque_low_m,UK,Pre-seed; Seed; Series A,,,"Deeptech, health and engineering biology out of the university ecosystem.",Furbnow,Climate & Energy; Cloud & Infrastructure; Life Sciences
gic,GIC,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $1000m to $380000m in Data, AI & Developer Tools. Generated from",Anthropic,"Data, AI & Developer Tools(3); Enterprise Applications(1); Communications & Customer Engagement(1); Personal Software / "
generalatlantic,General Atlantic,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $2059m to $183000m in Consumer Marketplace. Generated from the r,Anthropic,"Consumer Marketplace(4); Enterprise Applications(1); Data, AI & Developer Tools(1); D2C / Consumer Brand(1)"
goldmansachsalternatives,Goldman Sachs Alternatives,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1200m to $5000m in Cybersecurity. Generated from the rounds in ,SKIMS,"Cybersecurity(1); Data, AI & Developer Tools(1); Vertical Software(1); D2C / Consumer Brand(1)"
google,Google,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $4000m to $32000m in Data, AI & Developer Tools. Generated from ",Wiz,"Data, AI & Developer Tools(1); Cybersecurity(1)"
googleaifuturesfund,Google AI Futures Fund,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $3000m to $3000m in Data, AI & Developer Tools. Generated from t",Replit,"Data, AI & Developer Tools(1)"
greenbay,Green Bay Ventures,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $17300m to $17300m in Enterprise Applications. Generated from th,Deel,Enterprise Applications(1)
greenoaks,Greenoaks,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $3100m to $965000m in Enterprise Applications. Generated from th,Sierra,"Enterprise Applications(2); Communications & Customer Engagement(1); Cybersecurity(1); Agent Ops(1); Data, AI & Develope"
greycroft,Greycroft,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $2000m to $20000m in Scraping / Data for AI. Generated from the ,Whatnot,Scraping / Data for AI(1); Consumer Marketplace(1)
hof,HOF Capital,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $2000m to $2000m in Scraping / Data for AI. Generated from the r,Invisible Technologies,Scraping / Data for AI(1)
harbourvest,HarbourVest Partners,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $600m to $2500m in Sales Engagement. Generated from the rounds i,Mews,Sales Engagement(1); Vertical Software(1)
iconiq,ICONIQ Capital,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $1900m to $380000m in Data, AI & Developer Tools. Generated from",Whatnot,"Data, AI & Developer Tools(3); Communications & Customer Engagement(2); D2C / Consumer Brand(2); Enterprise Applications"
ivp,IVP,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $520m to $9000m in Data, AI & Developer Tools. Generated from th",LangChain,"Data, AI & Developer Tools(2); Agent Ops(1); Marketing & Customer Engagement(1); D2C / Consumer Brand(1)"
index,Index Ventures,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1800m to $11000m in Enterprise Applications. Generated from the,Notion,Enterprise Applications(1); Agent Ops(1); Personal Software / Productivity(1); D2C / Consumer Brand(1)
insight,Insight Partners,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $600m to $183000m in Sales Engagement. Generated from the rounds,Quince,"Sales Engagement(2); Cybersecurity(1); Enterprise Applications(1); Marketing & Customer Engagement(1); Data, AI & Develo"
janestreet,Jane Street,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $183000m to $183000m in Data, AI & Developer Tools. Generated fr",Anthropic,"Data, AI & Developer Tools(1)"
kinnevik,Kinnevik,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $1200m to $2500m in Vertical Software. Generated from the rounds,Mews,Vertical Software(2); Travel Booking(1)
lightspeed,Lightspeed,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $3000m to $183000m in Data, AI & Developer Tools. Generated from",Whatnot,"Data, AI & Developer Tools(3); Cybersecurity(3); Vertical Software(1); Enterprise Applications(1); Consumer Marketplace("
lonepine,Lone Pine Capital,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1400m to $8000m in Sales Engagement. Generated from the rounds ,Airwallex,"Sales Engagement(1); Data, AI & Developer Tools(1); Streaming & Creator(1); Merchant Acquiring & PSP(1); D2C / Consumer "
mgx,MGX,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $380000m to $380000m in Data, AI & Developer Tools. Generated fr",Anthropic,"Data, AI & Developer Tools(1)"
maven,Maven Capital Partners,Venture,first_cheque_low_m,UK,Pre-seed; Seed; Series A,,,"SaaS, transport and energy. Among the most active UK early-stage investors by de",Xentra,Commerce Enablement & Fulfilment; Local Delivery & On-Demand
menloanthology,Menlo Anthology,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $6600m to $6600m in Data, AI & Developer Tools. Generated from t",Lovable,"Data, AI & Developer Tools(1)"
mercia,Mercia Ventures,Venture,first_cheque_low_m,UK,Pre-seed; Seed; Series A,,,"Life sciences, software and deeptech. Among the most active UK early-stage funds",VisaDoc,Cloud & Infrastructure; Education; Healthcare; Life Sciences
nventures,NVentures,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $6600m to $6600m in Data, AI & Developer Tools. Generated from t",Lovable,"Data, AI & Developer Tools(1)"
notidentifiedinanysource,Not identified in any source,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $20000m to $20000m in Data, AI & Developer Tools. Generated from",Perplexity,"Data, AI & Developer Tools(1)"
ontarioteachers,Ontario Teachers,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $183000m to $183000m in Data, AI & Developer Tools. Generated fr",Anthropic,"Data, AI & Developer Tools(1)"
ontarioteachersventuregrowth,Ontario Teachers' Venture Growth,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $8000m to $8000m in Consumer Marketplace. Generated from the rou,Vinted,Consumer Marketplace(1)
princeville,Princeville Capital,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $2000m to $16500m in Scraping / Data for AI. Generated from the ,Invisible Technologies,Scraping / Data for AI(1); Consumer Marketplace(1)
prysm,Prysm,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $3000m to $3000m in Data, AI & Developer Tools. Generated from t",Replit,"Data, AI & Developer Tools(1)"
qatarinvestmentauthority,Qatar Investment Authority,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $7400m to $183000m in Cybersecurity. Generated from the rounds i,Anthropic,"Cybersecurity(1); Enterprise Applications(1); Data, AI & Developer Tools(1)"
ribbit,Ribbit,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $6280m to $17300m in Enterprise Applications. Generated from the,Deel,Enterprise Applications(1); Lending & Credit(1)
salesforce,Salesforce Ventures,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $2250m to $17500m in Data, AI & Developer Tools. Generated from ",Lovable,"Data, AI & Developer Tools(3); Communications & Customer Engagement(2); Sales Engagement(2)"
sapphire,Sapphire Ventures,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1250m to $5200m in Cybersecurity. Generated from the rounds in ,LangChain,Cybersecurity(1); Enterprise Applications(1); Agent Ops(1); Sales Engagement(1)
schroders,Schroders Capital,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $8000m to $8000m in Consumer Marketplace. Generated from the rou,Vinted,Consumer Marketplace(1)
sequoia,Sequoia Capital,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1200m to $965000m in Communications & Customer Engagement. Gene,Sierra,"Communications & Customer Engagement(2); Cybersecurity(2); Data, AI & Developer Tools(2); Agent Ops(2); Sales Engagement"
southparkcommons,South Park Commons,,first_cheque_low_m; geographies,,Series A; Series B,,,Joins rounds of $2100m to $2100m in Personal Software / Productivity. Generated ,Gamma,Personal Software / Productivity(1)
squarepeg,Square Peg,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $2400m to $8000m in E-commerce Enablement. Generated from the ro,Airwallex,E-commerce Enablement(2)
syndicateroom,SyndicateRoom,Venture,first_cheque_low_m,UK,Pre-seed; Seed; Series A,,,"Sector-agnostic, high-volume early-stage syndicate.",The Ova,
troweprice,T. Rowe Price,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $13000m to $183000m in Data, AI & Developer Tools. Generated fro",Anthropic,"Data, AI & Developer Tools(2); Enterprise Applications(1)"
tpg,TPG,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $5000m to $183000m in Data, AI & Developer Tools. Generated from",Anthropic,"Data, AI & Developer Tools(1); Consumer Marketplace(1)"
thrive,Thrive Capital,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $1800m to $300000m in Data, AI & Developer Tools. Generated from",Ramp,"Data, AI & Developer Tools(2); Vertical Software(1); Communications & Customer Engagement(1); Cybersecurity(1); Sales En"
tiger,Tiger Global Management,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1000m to $100000m in Sales Engagement. Generated from the round,Sierra,Sales Engagement(3); E-commerce Enablement(2); Consumer Marketplace(2); Cloud & Infrastructure Software(1); Enterprise A
uncork,Uncork Capital,,first_cheque_low_m; geographies,,Series A; Series B,,,Joins rounds of $2100m to $2100m in Personal Software / Productivity. Generated ,Gamma,Personal Software / Productivity(1)
vanara,Vanara Capital,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $2000m to $2000m in Scraping / Data for AI. Generated from the r,Invisible Technologies,Scraping / Data for AI(1)
wcm,WCM,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $183000m to $183000m in Data, AI & Developer Tools. Generated fr",Anthropic,"Data, AI & Developer Tools(1)"
a16z,a16z,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $2100m to $43000m in Data, AI & Developer Tools. Generated from ",Decagon,"Data, AI & Developer Tools(4); Enterprise Applications(1); Communications & Customer Engagement(1); Cybersecurity(1); Ag"
