# Fairway peer set: LISTED SPECIALTY FINANCE AND LENDING. Transcribed 30-Aug-2026 from Daniil's
# S&P Capital IQ Pro screen, currency USD, 79 names, rows 9 to 87 of the sheet.
#
# WHY THIS FILE IS SEPARATE. A lender is priced on price to book and on earnings, never on
# EV/revenue: revenue for a lending business contains interest earned on BORROWED money, so it
# scales with leverage rather than with value, and enterprise value adds back the debt that IS the
# product. This file therefore carries P/E and P/BV and no revenue multiple at all. It is fenced off
# from every other sector by balance_sheet_compatible(): a lender never prices a non-lender and the
# reverse.
#
# WHAT IS IN EACH COLUMN. Everything is as it appeared on the screen. Nothing is computed here.
#   ni_fy0/fy1/fy2_musd  net income, consensus, in US$ millions. A NEGATIVE figure is stored with a
#                        minus sign: Klarna FY+0 is -241, Navient FY+0 is -5, UWM FY+1 is -6.
#   ni_ntm_musd          net income, next twelve months.
#   bvps_2026/2027/ntm   book value per share. BLANK where the screen returned no value.
#   pe_ntm_x             price to earnings on NTM net income. Blank where the screen showed n.a.
#   pb_ntm_x             PRICE TO BOOK on NTM book value per share. Blank where the screen showed
#                        n.a., which is the case for 21 of the 79 names because no BVPS pulled.
#                        THOSE 21 ARE THE OUTSTANDING ITEM: they need a reported book value before
#                        they can enter a median.
#   ni_growth_pct        as shown on the screen. Read it with care where net income crosses zero:
#                        Klarna shows -1904% and UWM -11974%, which are artefacts of dividing by a
#                        near-zero or negative base, not real growth rates. Banca IFIS at 316% and
#                        Coastal at 231% are similar. These must never enter a growth band.
#
# TWO NAMES TO WATCH. Klarna Group plc is here as a listed lender (NYSE:KLAR) and carries consumer
# credit risk, which is exactly why it must not price an embedded-payments company. Block, Inc.
# (NYSE:XYZ) is in the payments file, not here, on Daniil's ruling of 29-Aug: it trades on EBITDA in
# reality, and the next best bases are EV/revenue and P/E, not P/BV. Its row is carried below for
# reference only and is marked in_medians=0.
company_name,exchange_ticker,country,market_cap_musd,price_per_share,ni_fy0_musd,ni_fy1_musd,ni_fy2_musd,ni_ntm_musd,bvps_2026,bvps_2027,bvps_ntm,p_e_x,p_bv_x,ni_growth_pct,in_medians,gmv_cy0_musd,gmv_ntm_musd,ev_ntm_gmv_x,as_of,revenue_growth_cagr_cy1_cy3_pct,revenue_growth_cy1_pct,revenue_growth_cy2_pct,revenue_growth_cy3_pct,n_estimates
"Upstart Holdings, Inc.",NASDAQ:UPST,United States,2665,27,187,242,391,339,9.09,11.77,10.8,7.9,2.8,61,1,,,,2026-09-01,28.3,31.8,31.1,25.5,13
"Happen, Inc.",NYSE:LC,United States,1935,17,134,217,276,257,,,16,7.5,1.1,27,0,,,,2026-09-01,,,,,
"Enova International, Inc.",NYSE:ENVA,United States,5506,221,339,448,520,496,70.72,96.74,88,11.1,2.5,16,1,,,,2026-09-01,17.6,158.8,17.6,17.6,7
Klarna Group plc,NYSE:KLAR,United Kingdom,5403,14,-241,-19,337,218,7.14,7.84,8,24.8,1.9,-1904,1,,,,2026-09-01,15.6,18.1,15.7,15.6,19
"Chime Financial, Inc.",NASDAQ:CHYM,United States,11986,32,,,,,4.28,5.84,5.3,,6.2,,1,,,,2026-09-01,18.8,25.4,20.1,17.4,20
Nu Holdings Ltd.,NYSE:NU,Brazil,69852,14,3091,4271,5538,5128,3.13,4.09,4,13.6,3.8,30,1,,,,2026-09-01,23.3,227.7,20.7,25.8,20
"Inter & Co, Inc.",NASDAQ:INTR,Brazil,2468,6,245,339,430,398,4.98,5.69,5,6.2,1.0,27,1,,,,2026-09-01,18.9,79.0,20.9,16.9,6
Zip Co Limited,ASX:ZIP,Australia,2336,2,85,127,164,132,,,,17.7,,29,0,,,,2026-09-01,6.2,3.0,5.1,7.4,5
Regional Management Corp.,NYSE:RM,United States,294,32,44,48,55,52,42.52,47.59,46,5.6,0.7,15,1,,,,2026-09-01,6.4,10.4,6.4,6.4,3
World Acceptance Corporation,NASDAQ:WRLD,United States,816,180,35,59,64,59,,,84,13.7,2.1,9,0,,,,2026-09-01,6.6,4.6,6.3,6.8,1
OppFi Inc.,NYSE:OPFI,United States,585,7,140,122,171,154,4.87,5.21,5,3.8,1.3,40,1,,,,2026-09-01,23.4,78.9,15.2,32.2,4
Dave Inc.,NASDAQ:DAVE,United States,4345,341,194,241,310,287,26.38,51.87,42.7,15.1,8.3,29,1,,,,2026-09-01,24.6,31.7,21.9,27.2,12
Medallion Financial Corp.,NASDAQ:MFIN,United States,265,12,41,28,38,35,18.17,19.09,19,7.6,0.6,40,1,,,,2026-09-01,10.1,-33.4,10.1,10.1,4
SLM Corporation,NASDAQ:SLM,United States,4843,26,686,598,597,597,12.44,13.85,13,8.1,1.9,0,1,,,,2026-09-01,2.7,-14.2,1.8,3.6,6
Navient Corporation,NASDAQ:NAVI,United States,870,9,-5,76,81,81,25.94,28.40,28,10.7,0.3,6,1,,,,2026-09-01,10.6,58.3,12.5,8.8,4
Synchrony Financial,NYSE:SYF,United States,24930,77,3497,3102,3060,3081,48.70,54.05,52,8.1,1.5,-1,1,,,,2026-09-01,5.0,55.6,5.3,4.8,15
"Bread Financial Holdings, Inc.",NYSE:BFH,United States,3921,102,483,495,492,494,86.93,98.06,94,7.9,1.1,-1,1,,,,2026-09-01,4.0,53.5,3.9,4.1,14
American Express Company,NYSE:AXP,United States,218929,324,10714,11932,13230,12800,52.06,58.36,56,17.1,5.8,11,1,,,,2026-09-01,8.8,18.7,9.1,8.5,25
"FirstCash Holdings, Inc.",NASDAQ:FCFS,United States,9771,225,384,488,577,528,,,,18.5,,18,0,,,,,,,,,
"EZCORP, Inc.",NASDAQ:EZPW,United States,1954,32,111,166,176,178,,,17,11.0,1.9,6,0,,,,2026-09-01,7.9,24.6,8.8,7.0,7
"Upbound Group, Inc.",NASDAQ:UPBD,United States,1074,18,234,245,268,261,13.39,15.53,14.8,4.1,1.3,9,1,,,,2026-09-01,4.8,0.8,4.2,5.5,7
"Encore Capital Group, Inc.",NASDAQ:ECPG,United States,1973,93,241,316,317,317,57.02,74.47,69,6.2,1.4,0,1,,,,2026-09-01,1.4,8.0,1.4,1.4,4
"PRA Group, Inc.",NASDAQ:PRAA,United States,690,18,,,,-3373,29.01,29.00,29,,0.6,,1,,,,2026-09-01,-4.7,8.5,-4.7,-4.7,3
"Jefferson Capital, Inc.",NASDAQ:JCAP,United States,1187,21,204,185,190,188,8.69,9.87,9,6.3,2.2,3,1,,,,2026-09-01,4.2,17.5,4.2,4.2,6
GATX Corporation,NYSE:GATX,United States,6127,174,319,373,410,398,83.46,94.21,90.3,15.4,2.0,10,1,,,,2026-09-01,2.7,35.1,3.3,2.1,3
Willis Lease Finance Corporation,NASDAQ:WLFC,United States,1150,54,87,153,156,140,,,,8.2,,2,0,,,,,,,,,
"Rocket Companies, Inc.",NYSE:RKT,United States,36896,13,522,1726,2417,2188,8.51,9.16,9,16.9,1.5,40,1,,,,2026-09-01,8.0,54.8,10.5,5.5,12
UWM Holdings Corporation,NYSE:UWMC,United States,469,1,237,-6,718,478,0.68,1.07,1,1.0,1.5,-11974,1,,,,2026-09-01,16.4,-32.0,25.1,8.3,4
Onity Group Inc.,NYSE:ONIT,United States,281,34,78,43,72,62,75.92,84.23,81,4.5,0.4,70,1,,,,2026-09-01,8.5,-2.5,11.8,5.3,3
"Velocity Financial, Inc.",NYSE:VEL,United States,708,18,103,111,118,116,19.76,22.65,22,6.1,0.8,6,1,,,,2026-09-01,16.3,-9.1,17.5,15.1,1
"Walker & Dunlop, Inc.",NYSE:WD,United States,1382,40,134,69,159,129,51.34,52.66,52,10.7,0.8,131,1,,,,2026-09-01,9.6,12.9,12.0,7.2,3
"Block, Inc.",NYSE:XYZ,United States,46790,78,1484,2465,3135,2913,38.74,44.37,42.3,16.1,1.9,27,0,,,,2026-09-01,11.3,7.7,11.2,11.4,33
"Axos Financial, Inc.",NYSE:AX,United States,5372,95,479,559,629,571,,,67,9.4,1.4,13,0,,,,2026-09-01,12.4,16.2,13.9,10.9,6
"The Bancorp, Inc.",NASDAQ:TBBK,United States,2625,64,237,248,310,290,18.47,20.89,20,9.1,3.2,25,1,,,,2026-09-01,0.2,-31.5,0.2,0.2,3
"NewtekOne, Inc.",NASDAQ:NEWT,United States,337,12,59,59,68,60,13.45,15.45,15,5.7,0.8,14,1,,,,2026-09-01,5.9,-20.3,12.1,0.1,3
"Live Oak Bancshares, Inc.",NYSE:LOB,United States,1789,39,87,140,191,174,27.87,32.10,31,10.3,1.3,36,1,,,,2026-09-01,15.2,33.1,15.2,15.2,3
Merchants Bancorp,NASDAQ:MBIN,United States,2377,52,176,264,289,281,46.75,52.28,50,8.5,1.0,10,1,,,,2026-09-01,5.8,28.3,6.1,5.6,3
Coastal Financial Corporation,NASDAQ:CCB,United States,721,47,50,27,91,70,32.42,38.21,36,10.3,1.3,231,1,,,,2026-09-01,18.7,80.1,18.7,18.7,2
