# Fairway investor table. One row per house. Built by tools/build_investors_table.py.
# Checked by tools/investor_check.py, which is the gate on what may render.
#
# TWO LAYERS AND THEY MUST NOT BE BLENDED.
#   EVIDENCE  the houses behind a founder's own reference rounds, generated from the same files
#             the football field comes from. Every deal carries company, month and the round's own
#             source URL. Honest label: a map of who pays up for businesses like yours, mostly
#             growth-stage and mostly US. NOT a call list for a seed round.
#   CALLABLE  funds writing first cheques in the founder's sector now. Seeded from the 19 UK funds
#             curated in data-content.js and DELIBERATELY INCOMPLETE: no dated deal, no source URL,
#             so the checker refuses them. That refusal is the pull list, not a bug.
#
# THE ACTIVITY RULE, taken from vcconf and binding here: a CALLABLE investor renders only with at
# least one named, dated deal inside 12 months WITH a source URL, a first-cheque range, a stage,
# a sector in our vocabulary, a geography and a one-line thesis. A row missing any of those does
# not render. Same discipline as comps sourcing: a figure with no source does not exist.
#
# COMPLIANCE, binding on every rendering of both layers: public information only, nothing behind
# a login, no contact details, no claim of introduction. The footer line carries onto every card:
# a map, not an introduction; no affiliation or endorsement is implied. Styled text wordmarks,
# never logos.
#
# Never pad to a fixed count. Six good matches beat twelve loose ones.
investor_key,investor_name,house_type,layer,geographies,stage_bands,first_cheque_low_m,first_cheque_high_m,cheque_currency,round_size_low_m,round_size_high_m,thesis_one_liner,deal_evidences_sector,cheque_range_source,sector_deals_file,screening_categories,subsectors,recent_deal_1_company,recent_deal_1_date,recent_deal_1_source_url,recent_deal_2_company,recent_deal_2_date,recent_deal_2_source_url,rounds_in_set,companies_in_set,companies_backed,first_round,last_round,median_round_size_m,median_postmoney_m,last_verified,provenance
capitalg,CapitalG,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,1250.0,20000.0,"Joins rounds of $1250m to $20000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(3); Consumer Marketplace(3); Vertical Software(1); Agent Ops(1)",Livestream commerce marketplace(3); Market intelligence / enterprise search(2); AI application development / vibe coding(1); Legal practice management software(1),Whatnot,2026-08,blog.teamwhatnot.com/unitedstates/seriesg,Lovable,2025-12,https://lovable.dev/blog/series-b,8,5,AlphaSense|Clio|LangChain|Lovable|Whatnot,2022-07,2026-08,330.0,4000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
gic,GIC,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,1000.0,380000.0,"Joins rounds of $1000m to $380000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(3); Enterprise Applications(1); Communications & Customer Engagement(1); Personal Software / Productivity(1); Merchant Acquiring & PSP(1); Consumer Marketplace(1)",Foundation models / generative AI(2); Lakehouse / data and AI platform(1); HR software for SMBs(1); Visual collaboration / whiteboarding(1),Anthropic,2026-02,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,Notion,2026-01,https://www.notion.com/blog/gic-sequoia-index-purchase-notion-shares,8,7,Anthropic|Databricks|Factorial|Flipkart|Miro|Notion|Razorpay,2021-07,2026-02,500.0,37600.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
greenoaks,Greenoaks,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,3100.0,965000.0,"Joins rounds of $3100m to $965000m in Enterprise Applications. Generated from the rounds in our own set, not from a curated list.",,,,"Enterprise Applications(2); Communications & Customer Engagement(1); Cybersecurity(1); Agent Ops(1); Data, AI & Developer Tools(1); D2C / Consumer Brand(1)","AI customer service agents(2); Cloud security / CNAPP(1); HR, payroll and IT management(1); HR management software(1)",Sierra,2026-05,https://techcrunch.com/2026/05/04/sierra-raises-950m-as-the-race-to-own-enterprise-ai-gets-serious/,Anthropic,2026-05,https://www.anthropic.com/news/series-h,8,7,Anthropic|Gorillas|Personio|Rippling|SKIMS|Sierra|Wiz,2021-10,2026-05,950.0,12000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
salesforce,Salesforce Ventures,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,2250.0,17500.0,"Joins rounds of $2250m to $17500m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(3); Communications & Customer Engagement(2); Sales Engagement(2)",AI application development / vibe coding(1); Voice AI / synthetic media(1); Foundation models / generative AI(1); Visual collaboration / whiteboarding(1),Lovable,2025-12,https://lovable.dev/blog/series-b,Airwallex,2025-12,https://www.airwallex.com/newsroom/airwallex-series-g,8,8,Airwallex|Algolia|Anthropic|ElevenLabs|Gong|Lovable|Miro|Outreach,2021-06,2025-12,330.0,6600.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
altimeter,Altimeter Capital,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,3800.0,965000.0,"Joins rounds of $3800m to $965000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(4); Enterprise Applications(2); Consumer Marketplace(1)",Foundation models / generative AI(3); Enterprise search / knowledge management(1); HR management software(1); Analytics engineering / data transformation(1),Anthropic,2026-05,https://www.anthropic.com/news/series-h,Anthropic,2025-09,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,7,6,Anthropic|Glean|OpenAI|Personio|StockX|dbt Labs,2021-04,2026-05,255.0,8500.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Altimeter / Altimeter Capital
bain,Bain Capital Ventures,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1000.0,4500.0,"Joins rounds of $1000m to $4500m in Cloud & Infrastructure Software. Generated from the rounds in our own set, not from a curated list.",,,,Cloud & Infrastructure Software(1); Vertical Software(1); Agent Ops(1); Sales Engagement(1); E-commerce Enablement(1); D2C / Consumer Brand(1),Container development platform(1); Account-to-account payments platform(1); AI customer-support agents(1); Sales intelligence and engagement(1),Decagon,2026-01,https://decagon.ai/blog/series-d-announcement,Apollo.io,2023-08,https://www.apollo.io/magazine/apolloio-secures-100-million-series-d-at-16b-valuation-to-drive-world-class-gtm,7,7,Apollo.io|Decagon|Docker|GoCardless|Harry's|Recharge|Rent the Runway,2019-03,2026-01,155.0,2100.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Bain Capital / Bain Capital Ventures
fidelity,Fidelity,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,2250.0,183000.0,"Joins rounds of $2250m to $183000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(3); Local Delivery & On-Demand(2); Consumer Marketplace(2)",Foundation models / generative AI(2); Value e-commerce marketplace(2); Search and discovery API(1); Quick commerce / instant grocery(1),Anthropic,2025-09,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,Anthropic,2025-03,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,7,5,Algolia|Anthropic|Delhivery|Gopuff|Meesho,2021-05,2025-09,570.0,4900.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
generalatlantic,General Atlantic,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,2059.3,183000.0,"Joins rounds of $2059m to $183000m in Consumer Marketplace. Generated from the rounds in our own set, not from a curated list.",,,,"Consumer Marketplace(4); Enterprise Applications(1); Data, AI & Developer Tools(1); D2C / Consumer Brand(1)",Global fashion e-commerce(2); Payroll and HR software(1); Foundation models / generative AI(1); Performance apparel(1),Anthropic,2025-09,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,Vuori,2024-11,businesswire.com/news/home/20241108508233/en/Vuori-Announces-%24825-Million-Investment-Led-by-General-Atlantic-and-Stripes,7,6,Anthropic|Back Market|PayFit|SHEIN|Trendyol|Vuori,2021-08,2025-09,1000.0,16500.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
thrive,Thrive Capital,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,1800.0,300000.0,"Joins rounds of $1800m to $300000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(2); Vertical Software(1); Communications & Customer Engagement(1); Cybersecurity(1); Sales Engagement(1); D2C / Consumer Brand(1)",Spend management / corporate cards(1); AI customer service agents(1); AI coding assistant / IDE(1); Foundation models / generative AI(1),Ramp,2025-11,https://techcrunch.com/2025/11/17/ramp-hits-32b-valuation-just-three-months-after-hitting-22-5b/,Sierra,2025-09,https://techcrunch.com/2025/09/04/bret-taylors-sierra-raises-350m-at-a-10b-valuation/,7,7,Anysphere / Cursor|Glossier|Gong|OpenAI|Ramp|Sierra|Wiz,2021-06,2025-11,350.0,10000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Thrive / Thrive Capital
alkeon,Alkeon Capital,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,4000.0,18400.0,"Joins rounds of $4000m to $18400m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(2); Enterprise Applications(1); Cross-Border & FX(1); Merchant Acquiring & PSP(1); Consumer Marketplace(1)","Market intelligence / enterprise search(1); HR management software(1); Cross-border payments, emerging markets(1); Payment aggregator and neobanking(1)",Whatnot,2025-10,news.crunchbase.com/venture/ecommerce-unicorn-whatnot-raises-seriesf/,AlphaSense,2024-06,https://news.bloomberglaw.com/private-equity/market-data-firm-alphasense-valued-at-4-billion-in-fundraise,6,6,AlphaSense|Anthropic|Personio|Razorpay|Whatnot|dLocal,2021-04,2025-10,375.0,8500.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Alkeon / Alkeon Capital
bailliegifford,Baillie Gifford,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,1400.0,183000.0,"Joins rounds of $1400m to $183000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(2); Local Delivery & On-Demand(1); Consumer Marketplace(1); D2C(1); B2B marketplace(1)",Lakehouse / data and AI platform(1); Third-party logistics and parcel(1); Foundation models / generative AI(1); Fashion resale marketplace(1),Faire,2025-11,faire.com/news/2025-11-17-faire-announces-tender-offer,Anthropic,2025-09,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,6,6,Anthropic|Away|Databricks|Delhivery|Faire|Vinted,2019-05,2025-11,340.0,5200.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
squarepeg,Square Peg,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,2400.0,8000.0,"Joins rounds of $2400m to $8000m in E-commerce Enablement. Generated from the rounds in our own set, not from a curated list.",,,,E-commerce Enablement(2),Checkout advertising and offers(2),Airwallex,2025-12,https://www.airwallex.com/newsroom/airwallex-series-g,Airwallex,2025-05,https://www.airwallex.com/newsroom/airwallex-raises-300m-series-f,6,2,Airwallex|Rokt,2021-09,2025-12,300.0,5500.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
dragoneer,Dragoneer,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,6280.0,965000.0,"Joins rounds of $6280m to $965000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(2); Enterprise Applications(1); Communications & Customer Engagement(1); Lending & Credit(1)","Foundation models / generative AI(2); HR, payroll and IT management(1); Visual collaboration / whiteboarding(1); Consumer lending and cards(1)",Anthropic,2026-05,https://www.anthropic.com/news/series-h,Anthropic,2026-02,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,5,4,Anthropic|Miro|Rippling|Upgrade,2021-11,2026-05,400.0,17500.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
ivp,IVP,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,520.0,9000.0,"Joins rounds of $520m to $9000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(2); Agent Ops(1); Marketing & Customer Engagement(1); D2C / Consumer Brand(1)","AI search / answer engine(2); Agent orchestration, tracing and evaluation(1); AI writing and marketing copy(1); Beauty(1)",LangChain,2025-10,https://www.langchain.com/blog/series-b,Perplexity,2024-12,https://www.bloomberg.com/news/articles/2024-12-18/ai-startup-perplexity-closes-funding-round-at-9-billion-value,5,4,Glossier|Jasper|LangChain|Perplexity,2021-07,2025-10,125.0,1500.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
bdtmsd,BDT & MSD Partners,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,900.0,5000.0,"Joins rounds of $900m to $5000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(1); Enterprise Applications(1); Vertical Software(1); D2C / Consumer Brand(1)",Market intelligence / enterprise search(1); Accounting close management(1); Property management software(1); Apparel and shapewear(1),SKIMS,2025-11,am.gs.com/en-us/advisors/news/press-release/2025/skims,AlphaSense,2024-06,https://news.bloomberglaw.com/private-equity/market-data-firm-alphasense-valued-at-4-billion-in-fundraise,4,4,AlphaSense|FloQast|Guesty|SKIMS,2024-04,2025-11,225.0,4000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: BDT & MSD / BDT & MSD Partners
goldmansachsalternatives,Goldman Sachs Alternatives,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1200.0,5000.0,"Joins rounds of $1200m to $5000m in Cybersecurity. Generated from the rounds in our own set, not from a curated list.",,,,"Cybersecurity(1); Data, AI & Developer Tools(1); Vertical Software(1); D2C / Consumer Brand(1)",Trust management / compliance automation(1); Market intelligence / enterprise search(1); Hospitality property management software(1); Apparel and shapewear(1),SKIMS,2025-11,am.gs.com/en-us/advisors/news/press-release/2025/skims,Vanta,2024-07,https://www.vanta.com/resources/vanta-announces-series-c,4,4,AlphaSense|Mews|SKIMS|Vanta,2024-03,2025-11,225.0,4000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
index,Index Ventures,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1800.0,11000.0,"Joins rounds of $1800m to $11000m in Enterprise Applications. Generated from the rounds in our own set, not from a curated list.",,,,Enterprise Applications(1); Agent Ops(1); Personal Software / Productivity(1); D2C / Consumer Brand(1),"HR management software(1); AI customer-support agents(1); Workspace, notes and collaboration(1); Beauty(1)",Notion,2026-01,https://www.notion.com/blog/gic-sequoia-index-purchase-notion-shares,Decagon,2026-01,https://decagon.ai/blog/series-d-announcement,4,4,Decagon|Glossier|Notion|Personio,2021-07,2026-01,200.0,8500.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Index / Index Ventures
kinnevik,Kinnevik,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,1200.0,2500.0,"Joins rounds of $1200m to $2500m in Vertical Software. Generated from the rounds in our own set, not from a curated list.",,,,Vertical Software(2); Travel Booking(1),Hospitality property management software(2); Business travel management(1),Mews,2026-01,https://www.prnewswire.com/news-releases/mews-secures-300-million-investment-to-cement-position-as-worlds-leading-hospitality-operating-system-302668120.html,Mews,2024-03,https://www.kinnevik.com/investor-relations/press-releases/2024/kinnevik-leads-funding-round-in-mews/,4,3,Jobandtalent|Mews|TravelPerk,2021-12,2026-01,300.0,2350.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
sapphire,Sapphire Ventures,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1250.0,5200.0,"Joins rounds of $1250m to $5200m in Cybersecurity. Generated from the rounds in our own set, not from a curated list.",,,,Cybersecurity(1); Enterprise Applications(1); Agent Ops(1); Sales Engagement(1),"Managed detection and response for SMBs(1); Accounting close management(1); Agent orchestration, tracing and evaluation(1); Account-based marketing / revenue intelligence(1)",LangChain,2025-10,https://www.langchain.com/blog/series-b,Huntress,2024-06,https://www.huntress.com/press-release/150m-boost-for-huntress-powers-new-products,4,4,6sense|FloQast|Huntress|LangChain,2022-01,2025-10,150.0,1600.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Sapphire / Sapphire Ventures
