XTRA:MULT,Multitude AG,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Digital Consumer Loans|SME Lending|Growth Financing|Ferratum Brand|Malta-Licensed Deposit Bank|Cross-Border European Credit,takes deposits through its own Malta-licensed bank and lends across Europe under the Ferratum consumer and CapitalBox SME brands
BIT:IF,Banca IFIS S.p.A.,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,SME Factoring|Non-Performing Loan Portfolios|Leasing|Trade Receivables Finance|Deposit-Funded Specialty Bank|Italian Corporate Banking,is an Italian deposit-taking bank that factors trade receivables and leases equipment for SMEs while also buying and working out non-performing loan portfolios
BIT:BFF,BFF Bank S.p.A.,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,PUBLIC,ENT_SALES,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Public Sector Factoring|Healthcare Receivables Finance|Non-Recourse Factoring|Deposit-Funded Bank|Public Administration Credit|Italian Government Receivables,"is a deposit-funded Italian bank that buys receivables owed by public healthcare and government bodies to their suppliers, at a discount, and collects them"
SWX:CMBN,Cembra Money Bank AG,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Personal Loans|Auto Leasing|Credit Cards|Buy Now Pay Later|Swiss Deposit-Funded Bank|Retail Point-Of-Sale Finance,"is a Swiss deposit-taking bank offering personal loans, auto leasing, credit cards and point-of-sale consumer finance"
OM:AVARDA,Avarda Bank AB (publ),Lending & Credit,Digital Bank & Deposits,Retail & E-commerce,Finance & Payments,SMB,CHANNEL,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,Checkout Financing|BNPL For Merchants|Digital Consumer Credit|Invoice And Instalment Payments|Embedded Lending|Swedish Licensed Bank,"provides Nordic e-commerce merchants with embedded checkout financing and consumer instalment credit, funded in part through its own Swedish banking licence"
WSE:KRU,KRUK Spolka Akcyjna,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Purchased Debt Portfolios|Consumer Receivables Collection|Corporate Debt Recovery|Debt Restructuring Plans|CEE Credit Management|Cross-Border Debt Purchasing,buys portfolios of charged-off consumer and corporate debt across Central and Eastern Europe at a discount and recognises income on its own balance sheet as it collects
NYSE:LU,Lufax Holding Ltd,Lending & Credit,,Financial Services,Banking & Lending,SMB,CHANNEL,TRANSACTION_FEE,AGGREGATOR,AI_EMBEDDED,,1,Small Business Owner Loans|Secured And Unsecured Lending|Loan Guarantee Facilitation|Wealth Management|China Retail Credit|Online Loan Matching Platform,"matches small-business-owner borrowers in China to funding-partner capital, retaining a guarantee-based slice of credit risk on facilitated loans while also running a wealth platform"
NASDAQGS:QFIN,"Qfin Holdings, Inc.",Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,NETWORK_EFFECT,TRANSACTION_FEE,AGGREGATOR,AI_NATIVE,,1,AI Credit Scoring|Consumer Loan Facilitation|Bank Funding Partnerships|Guarantee-Backed Lending|China Online Credit|Embedded Loan Distribution,"uses AI credit models to match Chinese consumer borrowers to bank and trust funding partners, retaining guarantee risk on part of the loans it facilitates"
SEHK:3360,Far East Horizon Limited,Lending & Credit,,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Finance Leasing|Sale-And-Leaseback|Equipment Finance For SMEs|Healthcare And Construction Leasing|Factoring|China Industrial Finance,"finance-leases industrial, healthcare and construction equipment to Chinese SMEs, structuring the leases as installment credit funded by its own debt rather than deposits"
ASX:LFS,Latitude Group Holdings Limited,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Personal Loans|Motor Finance|Interest-Free Retail Instalments|Credit Cards|Australia NZ Consumer Credit|Warehouse-Funded Receivables,"lends to Australian and New Zealand consumers through personal loans, motor finance and interest-free retail instalment plans, funded by securitized debt"
ASX:PPM,Pepper Money Limited,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Non-Bank Mortgages|Near-Prime Home Loans|Auto Finance|Commercial Real Estate Lending|Broker-Originated Credit|Securitized Loan Funding,"originates non-bank residential mortgages and auto loans for near-prime Australian borrowers through brokers, funding them via securitization rather than deposits"
BOVESPA:BMGB4,Banco BMG S.A.,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Payroll-Deductible Loans|Consigned Credit Cards|Public Sector Payroll Lending|Brazilian Deposit-Funded Bank|Retiree Lending Programmes|Digital Loan Origination,"is a Brazilian deposit-taking bank specializing in payroll-deducted loans and credit cards for civil servants, retirees and private-sector employees"
NASDAQGS:CASH,"Pathward Financial, Inc.",Digital Bank & Deposits,Commerce & Payments Software,Financial Services,Banking & Lending,LOB,ENT_SALES,NET_INTEREST,INFRA_LAYER,AI_NEUTRAL,,1,Banking-As-A-Service|Card Issuing And Settlement|Tax Refund Advances|Prepaid Program Sponsorship|Commercial Finance|Deposit-Funded Sponsor Bank,is a deposit-taking sponsor bank that issues cards and settles payments for fintech partners while also lending on tax-refund advances and commercial finance products
NASDAQGS:CASS,"Cass Information Systems, Inc.",Commerce & Payments Software,,Horizontal,Finance & Payments,LOB,ENT_SALES,TRANSACTION_FEE,SOR,AI_EXPOSED,,1,Freight Invoice Auditing|Freight Bill Payment|Utility Expense Management|B2B Invoice Processing|Outsourced AP Automation|Transportation Spend Analytics,"audits and pays freight and utility invoices on behalf of corporate clients, earning processing fees plus float income through its small supporting bank subsidiary"
NASDAQGS:CACC,Credit Acceptance Corporation,Lending & Credit,,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Subprime Auto Loans|Dealer-Funded Financing|Indirect Auto Lending|Used Car Dealer Programs|Non-Prime Credit|Loan Servicing For Dealers,advances capital to franchised and independent used-car dealers against subprime auto loan contracts it services and retains on its own balance sheet
NASDAQGS:ATLC,Atlanticus Holdings Corporation,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Private-Label Credit Cards|Near-Prime Credit Cards|Healthcare Point-Of-Sale Credit|Auto Finance|Fortiva Brand|Receivables Securitization,"issues private-label and near-prime credit cards and point-of-sale financing to underserved US consumers, retaining the receivables on its own balance sheet"
NASDAQGS:SEZL,Sezzle Inc.,Lending & Credit,,Retail & E-commerce,Finance & Payments,CONSUMER,NETWORK_EFFECT,TRANSACTION_FEE,DESTINATION,AI_EMBEDDED,,1,Buy Now Pay Later|Pay-In-Four Instalments|Checkout Financing|Merchant Network|Consumer Credit Receivables|Mobile App Shopping,"funds interest-free pay-in-four instalment purchases at checkout, earning merchant fees while retaining the credit risk on receivables it purchases from its originating bank partner"
LSE:CBG,Close Brothers Group plc,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,SMB,ENT_SALES,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Asset Finance|Motor Finance|Invoice Discounting|Premium Finance|Deposit-Funded Merchant Bank|Winterflood Market Making,"is a UK deposit-funded merchant bank lending to SMEs and consumers through asset, motor and invoice finance, alongside a securities market-making business"
LSE:PAG,Paragon Banking Group PLC,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Buy-To-Let Mortgages|SME Lending|Asset And Motor Finance|Development Finance|Deposit-Funded Specialist Bank|UK Landlord Lending,"takes UK retail savings deposits and lends them out as buy-to-let mortgages, SME asset finance and property development finance"
AIM:TIME,Time Finance plc,Lending & Credit,,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Asset Finance|Invoice Finance|SME Loans|Vehicle Finance|Independent UK Business Lending|Non-Bank SME Credit,"lends to UK SMEs through asset finance, invoice finance and unsecured loans, funded by bank credit lines rather than deposits"
AIM:DFCH,Distribution Finance Capital Holdings plc,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,INFRA_LAYER,AI_NEUTRAL,,1,Floorplan Finance|Dealer Wholesale Funding|Inventory Finance|Deposit-Funded Specialist Bank|Caravan Motorcycle Marine Finance|UK Dealer Lending,"funds dealer inventory through floorplan and wholesale finance for sectors like caravans, motorcycles and marine, now funded through its own UK banking licence and retail deposits"
NSEI:BAJFINANCE,Bajaj Finance Limited,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Consumer Durable EMI|Personal Loans|SME Lending|Credit Cards|India NBFC|Digital Lending Platform,"is India's largest diversified non-bank lender, funding consumer durable purchases, personal loans, SME credit and co-branded cards off its own balance sheet"
NSEI:SHRIRAMFIN,Shriram Finance Limited,Lending & Credit,,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Used Commercial Vehicle Finance|Two-Wheeler Loans|Gold Loans|Small Business Lending|India NBFC|Rural And Semi-Urban Credit,"finances used commercial vehicles, two-wheelers and gold-backed loans for small transport operators and self-employed borrowers across India"
NSEI:CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Lending & Credit,,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Vehicle Finance|Loans Against Property|Home Loans|SME Lending|India NBFC|Branch Network Lending,"finances vehicles, property-backed loans and homes for small business owners and self-employed borrowers across India as a non-bank lender"
NSEI:FIVESTAR,Five-Star Business Finance Limited,Lending & Credit,,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Secured Small Business Loans|Self-Employed Lending|Gold And Property-Backed Credit|Micro-Enterprise Finance|India NBFC|Rural Branch Distribution,makes small secured loans against gold or property to self-employed micro-entrepreneurs across India who lack formal income documentation
ASX:HUM,Humm Group Limited,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Interest-Free BNPL|Point-Of-Sale Finance|Commercial Asset Leasing|Personal Loans|Australia NZ Consumer Credit|Merchant Partner Network,"offers interest-free buy-now-pay-later plans and personal loans to consumers plus commercial equipment leasing to businesses, retaining credit risk on its own balance sheet"
ASX:JDO,Judo Capital Holdings Limited,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,SMB,ENT_SALES,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,SME Relationship Banking|Term Deposits|Equipment Finance|Business Loans|Australian Challenger Bank|Business Banker Relationship Model,is an Australian challenger bank that takes term deposits from retail savers and relationship-lends the proceeds to small and mid-sized businesses
NYSE:COF,Capital One Financial Corporation,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Credit Cards|Auto Loans|Retail And Commercial Banking|Capital One 360 Online Bank|Deposit-Funded Consumer Credit|Small Business Banking,"takes consumer and commercial deposits through its national bank charter and lends them out through credit cards, auto loans and retail/commercial banking"
NYSE:ALLY,Ally Financial Inc.,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Digital-Only Bank|Auto Finance|Online Savings And CDs|Dealer Floorplan Lending|Corporate Finance|Auto Insurance Products,"is a branchless, deposit-funded digital bank whose deposits primarily fund auto loans to dealers and consumers plus corporate finance"
NASDAQGS:AFRM,"Affirm Holdings, Inc.",Lending & Credit,,Retail & E-commerce,Finance & Payments,CONSUMER,NETWORK_EFFECT,TRANSACTION_FEE,DESTINATION,AI_EMBEDDED,,1,Buy Now Pay Later|Point-Of-Sale Instalment Loans|Merchant Checkout Financing|Debit Plus Card|Consumer Credit Receivables|Zero Percent APR Plans,"underwrites and funds point-of-sale instalment loans at checkout, retaining a meaningful share of the credit risk on loans it purchases from its originating bank partner"
NASDAQGS:SOFI,"SoFi Technologies, Inc.",Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Digital Bank Deposits|Student Loan Refinancing|Personal And Home Loans|Credit Card|Galileo Banking Infrastructure|Member-Based Fintech,"takes consumer deposits through its national bank charter and funds personal, student and home loans, alongside a B2B banking-technology platform"
NASDAQGS:UPST,"Upstart Holdings, Inc.",Lending & Credit,"Data, AI & Developer Tools",Financial Services,Banking & Lending,LOB,NETWORK_EFFECT,NET_INTEREST,AGGREGATOR,AI_NATIVE,,1,AI Credit Underwriting|Personal Loan Marketplace|Bank Partner Origination|Auto And Small-Dollar Lending|Loans Held For Investment|Alternative Data Scoring,"prices consumer loans with AI models for bank and credit union partners, funding a portion of the volume itself on warehouse facilities when institutional demand falls short"
NYSE:LC,"Happen, Inc.",Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Digital Personal Loans|Marketplace Loan Sales|Deposit-Funded Bank|Debt Consolidation|LendingClub Platform|Structured Certificate Investing,"takes deposits through its own bank charter to fund and retain a growing share of the personal loans it originates, while continuing to sell the rest to marketplace investors"
NYSE:ENVA,"Enova International, Inc.",Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Near-Prime Online Loans|Small Business Financing|Line Of Credit Products|CashNetUSA NetCredit Brands|OnDeck Business Loans|Multi-Brand Digital Lending,"originates online instalment loans and lines of credit to non-prime consumers and small businesses across a portfolio of digital lending brands, retained on its own balance sheet"
NYSE:KLAR,Klarna Group plc,Lending & Credit,Digital Bank & Deposits,Retail & E-commerce,Finance & Payments,CONSUMER,NETWORK_EFFECT,TRANSACTION_FEE,DESTINATION,AI_EMBEDDED,,1,Buy Now Pay Later|Pay-In-30-Days Credit|Instalment Loans|Merchant Checkout Network|Licensed European Bank|Shopping App And Rewards,"extends BNPL and instalment credit to shoppers at checkout through a licensed European bank, earning merchant fees and interest while carrying the credit risk on its own balance sheet"
NASDAQGS:CHYM,"Chime Financial, Inc.",Consumer & Prosumer Software,,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,TRANSACTION_FEE,DESTINATION,AI_EMBEDDED,,1,Fee-Free Checking App|Debit Card Interchange|Early Direct Deposit|SpotMe Overdraft|Credit Builder Card|Neobank App,"offers a fee-free spending and savings app built on partner-bank rails, earning interchange on debit spend rather than holding deposits or loans on its own balance sheet"
NYSE:NU,Nu Holdings Ltd.,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,NETWORK_EFFECT,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Digital Bank Accounts|Credit Cards|Personal Loans|Latin America Neobank|Deposit-Funded Lending|Investment And Insurance Products,"is a fully licensed digital bank across Brazil, Mexico and Colombia, taking deposits directly and lending them out through credit cards and personal loans"
NASDAQGS:INTR,"Inter & Co, Inc.",Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,NETWORK_EFFECT,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Digital Bank Accounts|Credit Cards|Personal And Real Estate Loans|Investment Platform|Brazil Super App|Marketplace And Shopping Cashback,"is a licensed Brazilian digital bank offering deposit accounts, cards, loans and investments through a single super-app, funding lending from its own deposit base"
ASX:ZIP,Zip Co Limited,Lending & Credit,,Retail & E-commerce,Finance & Payments,CONSUMER,NETWORK_EFFECT,TRANSACTION_FEE,DESTINATION,AI_EMBEDDED,,1,Buy Now Pay Later|Interest-Free Instalments|Merchant Checkout Network|Digital Credit Line|Australia US BNPL|Warehouse-Funded Receivables,"extends BNPL instalment credit to shoppers at checkout, funding the receivables through its own warehouse facilities and carrying the credit risk on its balance sheet"
NYSE:RM,Regional Management Corp.,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Branch-Based Instalment Loans|Subprime Personal Credit|Auto-Secured Loans|Retail Merchant Finance|Non-Prime Lending|Insurance Product Cross-Sell,"originates and services branch-based personal instalment loans to non-prime borrowers across the southern and midwestern US, funded by asset-backed debt"
NASDAQGS:WRLD,World Acceptance Corporation,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Small-Dollar Instalment Loans|Branch-Based Lending|Subprime Consumer Credit|Tax Preparation Services|Non-Prime Underwriting|Rural And Small-Town Branches,"makes small-dollar branch-based instalment loans to subprime consumers, funded off its own balance sheet with a seasonal tax-preparation service alongside"
NYSE:OPFI,OppFi Inc.,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Non-Prime Instalment Loans|Bank Partner Model|Credit Access For Underbanked|AI-Scored Underwriting|Receivables Purchase Programme|Salary-Linked Repayment,"markets and services instalment loans originated by bank partners for underbanked consumers, purchasing a receivables participation that keeps the credit risk on its own books"
NASDAQGS:DAVE,Dave Inc.,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,TRANSACTION_FEE,DESTINATION,AI_EMBEDDED,,1,Cash Advance App|ExtraCash Small-Dollar Credit|Spending Account|Side Hustle Job Finder|AI Underwriting|Budgeting Tools,"advances small-dollar cash to members ahead of payday through its ExtraCash product, retaining the credit risk on advances through its funding subsidiary while banking rails sit with a partner bank"
NASDAQGS:MFIN,Medallion Financial Corp.,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Recreational Vehicle Loans|Home Improvement Financing|Consumer Lending|Deposit-Funded Industrial Bank|Legacy Taxi Medallion Loans|Strategic Equity Investments,"takes deposits through its own industrial bank and lends them out for RVs, boats and home improvement, alongside a runoff book of legacy taxi medallion loans"
NASDAQGS:SLM,SLM Corporation,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Private Student Loans|Sallie Mae Brand|Deposit-Funded Bank|Undergraduate And Graduate Lending|Loan Servicing|Career Training Loans,takes deposits through Sallie Mae Bank and lends them out as private student loans to undergraduate and graduate borrowers
NASDAQGS:NAVI,Navient Corporation,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,SOR,AI_NEUTRAL,,1,Legacy Federal Student Loans|Private Education Loan Portfolio|Loan Servicing|FFELP Runoff Book|Education Finance|Government Guaranteed Loan Runoff,"holds and services a runoff portfolio of legacy federal and private student loans funded by asset-backed debt, with no deposit-taking of its own"
NYSE:SYF,Synchrony Financial,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Private-Label Credit Cards|Co-Brand Credit Cards|Retail Point-Of-Sale Financing|Deposit-Funded Bank|Consumer Instalment Lending|Health And Wellness Financing,"issues private-label and co-brand store credit cards for major retailers, funding the receivables through its own deposit-taking bank"
NYSE:BFH,"Bread Financial Holdings, Inc.",Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Private-Label Credit Cards|Co-Brand Credit Cards|Buy Now Pay Later|Deposit-Funded Bank|Retail Partner Financing|Loyalty And Rewards Programmes,"issues private-label, co-brand and BNPL credit products for retail partners, funding the receivables through its own deposit-taking bank subsidiaries"
NYSE:AXP,American Express Company,Lending & Credit,Payment Network,Financial Services,Banking & Lending,CONSUMER,ORGANIC_BRAND,NET_INTEREST,BRAND,AI_EMBEDDED,,1,Charge And Credit Cards|Closed-Loop Merchant Network|Card Member Lending|Premium Travel Rewards|Deposit-Funded National Bank|Small Business Cards,"issues charge and credit cards on its own closed-loop network, earning merchant discount fees and card fees alongside net interest on card member loans funded partly by its own bank deposits"
NASDAQGS:FCFS,"FirstCash Holdings, Inc.",Owned-Inventory Retail,Lending & Credit,Retail & E-commerce,Commerce Operations,CONSUMER,ORGANIC_BRAND,PRODUCT_SALES,DESTINATION,AI_NEUTRAL,,1,Pawn Lending|Retail Resale Of Collateral|Secured Cash Advances|US And Latin America Pawn Stores|Merchandise Sales|Consumer Electronics And Jewelry,"runs pawn stores across the US and Latin America, making small secured cash loans against pledged collateral and reselling unredeemed merchandise at retail"
NASDAQGS:EZPW,"EZCORP, Inc.",Owned-Inventory Retail,Lending & Credit,Retail & E-commerce,Commerce Operations,CONSUMER,ORGANIC_BRAND,PRODUCT_SALES,DESTINATION,AI_NEUTRAL,,1,Pawn Lending|Retail Resale Of Collateral|Secured Cash Advances|US And Latin America Pawn Stores|Merchandise Sales|Jewelry And Tools Resale,"runs pawn stores across the US and Latin America, making small secured cash loans against pledged collateral and reselling unredeemed merchandise at retail"
