# COMPANY-DISCLOSED VOLUME METRICS: the single overlay of GMV, TPV and other gross transaction
# value that the ISSUER ITSELF publishes. Merges data/gmv-disclosures.csv (the ecommerce sheet,
# 30-Aug-2026) with the logistics, services, consumer and payments research sheet of the same day.
#
# metric_category is the line that stops a category error. CORE_GMV is a marketplace's own
# transaction value, the number a founder in that model would quote. ADJACENT_GROSS_VOLUME is a
# payments or lending throughput figure: a real disclosure, but not GMV, and it must never be
# pooled with GMV multiples. NOT_DISCLOSED means the issuer publishes revenue and often unit
# volumes but no monetary gross figure. EXCLUDED means the business model has none to publish, and
# is a conclusion rather than a gap: those names must not come back onto the sourcing list.
#
# NEEDS_FX in fx_basis means the issuer reports in a currency we have no dated rate for yet.
# The local figure is recorded; the USD column is deliberately empty. We do not invent a rate.
# VOLUME USABILITY ADDED 31-Aug-2026. A gross-volume figure may PRICE a company only when the
# enterprise value and the volume describe the same thing. Two ways they do not. A BALANCE-SHEET
# LENDER earns on its own book and prices on price to book, so value over volume is not a multiple
# of anything. And a SEGMENT VOLUME against a GROUP ENTERPRISE VALUE compares two different
# companies: U-NEXT is a streaming business whose cashless arm has a GMV, and dividing group value
# by segment volume produced 341.6x, which is how the error announced itself.
# A row marked NO keeps its disclosure. It is a fact about the company; it is not a denominator.
#
# FX ADDED 31-Aug-2026, at the average rate for each issuer's own fiscal year. THREE ROWS ARRIVED
# WITH A SCALE ERROR and are corrected here: U-NEXT, Digital Garage and AvenuesAI report in
# billions or trillions of local currency and the supplied conversion multiplied by the rate
# without normalising to millions, so they were out by a thousand and a million times.
company_name,exchange_ticker,status,metric_category,issuer_metric_name,fiscal_period,value_local_musd,currency,fx_local_per_usd,fx_basis,value_usd_musd,scope,exact_wording,source_url,origin,volume_usable,volume_usable_reason,fx_scale_check
Zalando SE,XTRA:ZAL,DISCLOSED,CORE_GMV,GMV,FY2025,17560.2,EUR,0.9,Calendar 2025,19853.3,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
ASOS Plc,LSE:ASC,DISCLOSED,ADJACENT_GROSS_VOLUME,GMV (issuer-defined APM),"FY2025, 52 weeks ended 2025",2456.3,GBP,0.8,Sep-2024 to Aug-2025,3202.8,ISSUER-DEFINED ALTERNATIVE PERFORMANCE MEASURE. Adjusted retail sales plus revenue attribution,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Vipshop Holdings Limited,NYSE:VIPS,DISCLOSED,CORE_GMV,GMV,"FY2025, year ended 2025-12-31",213500.0,CNY,7.2,Calendar 2025,29704.3,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Baozun Inc.,NASDAQGS:BZUN,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Latest 20-F defines GMV and refers to it without giving a consolidated figure,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"1stdibs.Com, Inc.",NASDAQGM:DIBS,DISCLOSED,CORE_GMV,GMV,"FY2025, year ended 2025-12-31",363.9,USD,1.0,Reported in USD,363.9,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"DoorDash, Inc.",NASDAQGS:DASH,DISCLOSED,CORE_GMV,Marketplace GOV,"FY2025, year ended 2025-12-31",102018.0,USD,1.0,Reported in USD,102018.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"Uber Technologies, Inc.",NYSE:UBER,DISCLOSED,CORE_GMV,Gross Bookings,"FY2025, year ended 2025-12-31",193454.0,USD,1.0,Reported in USD,193454.0,Consolidated / company-defined scope. Spans mobility,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Delivery Hero SE,XTRA:DHER,DISCLOSED,CORE_GMV,Group GMV,FY2025,49196.8,EUR,0.9,Calendar 2025,55621.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Meituan,SEHK:3690,NOT_DISCLOSED,,,FY2025,,,,,,2025 Annual Report states only platform activity without a consolidated GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Eternal Limited,NSEI:ETERNAL,NOT_DISCLOSED,,,"FY2026, year ended 2026-03-31",,INR,,,,Net Order Value disclosed by segment only; no consolidated numeric figure,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Swiggy Limited,NSEI:SWIGGY,DISCLOSED,CORE_GMV,B2C Gross Order Value (GOV),"FY2026, year ended 2026-03-31",677340.0,INR,88.3,FY2026 annual,7670.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Maplebear Inc.,NASDAQGS:CART,DISCLOSED,CORE_GMV,Gross Transaction Value (GTV),"FY2025, year ended 2025-12-31",37224.0,USD,1.0,Reported in USD,37224.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Booking Holdings Inc.,NASDAQGS:BKNG,DISCLOSED,CORE_GMV,Total gross bookings,"FY2025, year ended 2025-12-31",186107.0,USD,1.0,Reported in USD,186107.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"Expedia Group, Inc.",NASDAQGS:EXPE,DISCLOSED,CORE_GMV,Total gross bookings,"FY2025, year ended 2025-12-31",119590.0,USD,1.0,Reported in USD,119590.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"Airbnb, Inc.",NASDAQGS:ABNB,DISCLOSED,CORE_GMV,Gross Booking Value (GBV),"FY2025, year ended 2025-12-31",91273.0,USD,1.0,Reported in USD,91273.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"Tripadvisor, Inc.",NASDAQGS:TRIP,DISCLOSED,ADJACENT_GROSS_VOLUME,Gross Booking Value (GBV),"FY2025, year ended 2025-12-31",4700.0,USD,1.0,Reported in USD,4700.0,VIATOR-POWERED EXPERIENCES SEGMENT ONLY,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Trip.com Group Limited,NASDAQGS:TCOM,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed as an absolute annual figure,,,gmv-disclosures 30-Aug ecommerce sheet,,,
trivago N.V.,NASDAQGS:TRVG,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Company estimates advertiser bookings but publishes no GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
MakeMyTrip Limited,NASDAQGS:MMYT,DISCLOSED,CORE_GMV,Gross Bookings,"FY2026, year ended 2026-03-31",10390.8,USD,1.0,Reported in USD,10390.8,Consolidated,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"CarGurus, Inc.",NASDAQGS:CARG,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Continuing business derives from listings rather than transaction value,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Cars.com Inc.,NYSE:CARS,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Autotrader Group plc,LSE:AUTO,NOT_DISCLOSED,,,"FY2026, year ended 2026-03-31",,,,,,Not disclosed in the latest annual report,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Autohome Inc.,NYSE:ATHM,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Online marketplace revenue reported instead,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Carvana Co.,NYSE:CVNA,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Company reports retail units sold and revenue,,,gmv-disclosures 30-Aug ecommerce sheet,,,
ACV Auctions Inc.,NYSE:ACVA,DISCLOSED,CORE_GMV,Marketplace GMV,"FY2025, year ended 2025-12-31",10400.0,USD,1.0,Reported in USD,10400.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Opendoor Technologies Inc.,NASDAQGS:OPEN,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed as platform GMV. Opendoor buys and resells homes as principal,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"CarMax, Inc.",NYSE:KMX,NOT_DISCLOSED,,,"FY2026, year ended 2026-02-28",,,,,,Not disclosed. Company reports owned retail unit sales,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"OPENLANE, Inc.",NYSE:OPLN,DISCLOSED,CORE_GMV,Gross Merchandise Value (GMV),"FY2025, year ended 2025-12-31",28800.0,USD,1.0,Reported in USD,28800.0,"Marketplace; US, Canada and Europe",,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"Zillow Group, Inc.",NASDAQGS:Z,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,No platform GMV disclosed,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Rightmove plc,LSE:RMV,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Annual report gives listing and agent metrics,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Scout24 SE,XTRA:G24,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed as platform GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
REA Group Limited,ASX:REA,NOT_DISCLOSED,,,"FY2026, year ended 2026-06-30",,,,,,Not disclosed in the latest annual report,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Hemnet Group AB (publ),OM:HEM,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Annual report reports listings and ARPL,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"CoStar Group, Inc.",NASDAQGS:CSGP,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Residential marketplaces do not report a transaction value,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Upwork Inc.,NASDAQGS:UPWK,DISCLOSED,CORE_GMV,Gross Services Volume (GSV),"FY2025, year ended 2025-12-31",4028.4,USD,1.0,Reported in USD,4028.4,All Upwork platforms and other services,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Fiverr International Ltd.,NYSE:FVRR,DISCLOSED,CORE_GMV,Marketplace Gross Merchandise Value,"FY2025, year ended 2025-12-31",1073.0,USD,1.0,Reported in USD,1073.0,MARKETPLACE ONLY. Excludes VAT,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Angi Inc.,NASDAQGS:ANGI,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Principal operating metrics are service requests and professionals,,,gmv-disclosures 30-Aug ecommerce sheet,,,
SEEK Limited,ASX:SEK,NOT_DISCLOSED,,,"FY2026, year ended 2026-06-30",,,,,,Not disclosed and not applicable as a reported metric,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Info Edge (India) Limited,NSEI:NAUKRI,NOT_DISCLOSED,,,"FY2026, year ended 2026-03-31",,,,,,Not disclosed. Company reports billings,,,gmv-disclosures 30-Aug ecommerce sheet,,,
MONY Group plc,LSE:MONY,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Company reports lead and conversion metrics,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"Match Group, Inc.",NASDAQGS:MTCH,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Company reports subscribers and RPP,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Bumble Inc.,NASDAQGS:BMBL,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Company reports paying users,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Grindr Inc.,NYSE:GRND,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Company reports paying users,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"Netflix, Inc.",NASDAQGS:NFLX,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Company reports streaming revenue and membership,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Spotify Technology S.A.,NYSE:SPOT,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Company reports Premium subscribers and MAUs,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"Duolingo, Inc.",NASDAQGS:DUOL,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Company reports subscribers and DAUs,,,gmv-disclosures 30-Aug ecommerce sheet,,,
The New York Times Company,NYSE:NYT,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,EXCLUDED: total bookings mixes subscription and other revenue and is not a GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Roblox Corporation,NYSE:RBLX,DISCLOSED,ADJACENT_GROSS_VOLUME,Bookings,"FY2025, year ended 2025-12-31",6788.4,USD,1.0,Reported in USD,6788.4,Consolidated analogous cash-value KPI. Roblox does NOT call this GMV; sales activity substantially all from virtual currency,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"Roku, Inc.",NASDAQGS:ROKU,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Key KPIs are streaming households and hours,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"Coursera, Inc.",NYSE:COUR,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Degree revenue is a service fee rather than a transaction value,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"Chegg, Inc.",NYSE:CHGG,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed in the latest annual filing,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"Chewy, Inc.",NYSE:CHWY,NOT_DISCLOSED,,,"FY2025, year ended 2026-02-01",,,,,,Not disclosed. Net sales are recorded as principal,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Wayfair Inc.,NYSE:W,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Net revenue is recorded gross of supplier cost as principal,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"Hims & Hers Health, Inc.",NYSE:HIMS,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed in the latest annual filing,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Warby Parker Inc.,NYSE:WRBY,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed in the latest annual filing,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"Revolve Group, Inc.",NYSE:RVLV,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. AOV uses total gross sales rather than a published GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"The RealReal, Inc.",NASDAQGS:REAL,DISCLOSED,CORE_GMV,Gross Merchandise Value (GMV),"FY2025, year ended 2025-12-31",2130.0,USD,1.0,Reported in USD,2130.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
On Holding AG,NYSE:ONON,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Direct-to-consumer and wholesale split reported instead,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"e.l.f. Beauty, Inc.",NYSE:ELF,NOT_DISCLOSED,,,"FY2026, year ended 2026-03-31",,,,,,Not disclosed. Net sales only,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"FIGS, Inc.",NYSE:FIGS,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Direct-to-consumer net revenue only,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"BARK, Inc.",NYSE:BARK,NOT_DISCLOSED,,,"FY2026, year ended 2026-03-31",,,,,,Not disclosed in the latest annual filing,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"YETI Holdings, Inc.",NYSE:YETI,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Wholesale and direct-to-consumer net sales only,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Similarweb Ltd.,NYSE:SMWB,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,"Not disclosed. Bookings refers to SaaS bookings, not transaction value",,,gmv-disclosures 30-Aug ecommerce sheet,,,
ZoomInfo Technologies Inc.,NASDAQGS:GTM,NOT_DISCLOSED,,,FY2025; latest annual filing,,,,,,Not disclosed. Subscription business with no transaction value,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"RB Global, Inc.",NYSE:RBA,DISCLOSED,CORE_GMV,Gross Transaction Value (GTV),FY ended 31-Dec-2025,16200.0,USD,1.0,Reported in USD,16200,"Consolidated, all disposition channels","Approximately $16.2bn; total proceeds from items sold through auctions, marketplaces, private brokerage and other disposition channels.",https://s24.q4cdn.com/560830410/files/doc_financials/2025/ar/RB-Global-2025-ARS-As-Filed-1.pdf,volume-metrics research sheet 30-Aug,YES,,
"Liquidity Services, Inc.",NASDAQGS:LQDT,DISCLOSED,CORE_GMV,Gross merchandise volume (GMV),FY ended 30-Sep-2025,1570.891,USD,1.0,Reported in USD,1570.891,Consolidated,Total sales value of all merchandise sold in compensated completed transactions.,https://www.sec.gov/Archives/edgar/data/1235468/000123546825000045/lqdt-20250930.htm,volume-metrics research sheet 30-Aug,YES,,
GigaCloud Technology Inc.,NASDAQGM:GCT,DISCLOSED,CORE_GMV,GigaCloud Marketplace GMV,FY ended 31-Dec-2025,1576.788,USD,1.0,Reported in USD,1576.788,"Marketplace total, 1P and 3P","Total Marketplace GMV before VAT/GST, buyer-paid shipping and refunds.",https://www.sec.gov/Archives/edgar/data/1857816/000185781626000010/gct-20251231.htm,volume-metrics research sheet 30-Aug,YES,,
Freightos Limited,NASDAQCM:CRGO,DISCLOSED,CORE_GMV,Gross Booking Value (GBV),FY ended 31-Dec-2025,1286.0,USD,1.0,Reported in USD,1286,Platform-wide,Annual GBV of $1.286bn; freight/platform transaction value translated at transaction-date FX.,https://www.sec.gov/Archives/edgar/data/1927719/000110465926034941/crgo-20251231x20f.htm,volume-metrics research sheet 30-Aug,YES,,
Auction Technology Group plc,LSE:ATG,DISCLOSED,CORE_GMV,Total Hammer Value (THV),FY ended 30-Sep-2025,12100.0,USD,1.0,Reported in USD,12100,Marketplace auctions,FY2025 Total Hammer Value of $12.1bn.,https://www.auctiontechnologygroup.com/investors/annual-report-2025/,volume-metrics research sheet 30-Aug,YES,,
Airtasker Limited,ASX:ART,DISCLOSED,CORE_GMV,Gross Marketplace Volume (GMV),FY ended 30-Jun-2025,208.7,AUD,0.6477,"Average FX for the fiscal year, 30-Jun-24 to 30-Jun-25",135.17,Marketplace,FY2025 Gross Marketplace Volume of A$208.7m.,https://announcements.asx.com.au/asxpdf/20250828/pdf/06nhm909bp30th.pdf,volume-metrics research sheet 30-Aug,YES,,OK
Freelancer Limited,ASX:FLN,DISCLOSED,CORE_GMV,Freelancer marketplace GMV,FY ended 31-Dec-2025,133.4,AUD,0.6447,"Average FX for the fiscal year, 31-Dec-24 to 31-Dec-25",86.0,Freelancer marketplace only,Marketplace GMV A$133.4m; issuer Group GMV A$881.5m also includes A$748.1m Escrow.com/payment volume.,https://announcements.asx.com.au/asxpdf/20250822/pdf/06n5s3y9lqpx9j.pdf,volume-metrics research sheet 30-Aug,YES,,OK
"PROG Holdings, Inc.",NYSE:PRG,DISCLOSED,ADJACENT_GROSS_VOLUME,Gross merchandise volume (GMV),FY ended 31-Dec-2025,2497.3,USD,1.0,Reported in USD,2497.3,Continuing operations,"Value of new leases and loans originated; Progressive Leasing $1,760.8m plus Four $736.5m.",https://www.sec.gov/Archives/edgar/data/1808834/000180883426000012/prg-20251231.htm,volume-metrics research sheet 30-Aug,YES,,
Sezzle Inc.,NASDAQ:SEZL,DISCLOSED,CORE_GMV,Gross Merchandise Volume,FY ended 31-Dec-2025,3940.422,USD,1.0,Reported in USD,3940.422,BNPL-facilitated,Issuer-reported annual Gross Merchandise Volume.,https://www.sec.gov/Archives/edgar/data/1662991/000166299312600012/sezl-20251231.htm,volume-metrics research sheet 30-Aug,YES,,
"Triumph Financial, Inc.",NASDAQ:TFIN,DISCLOSED,ADJACENT_GROSS_VOLUME,Total payment volume,FY ended 31-Dec-2025,40500.0,USD,1.0,Reported in USD,40500,Company total,"Approximately $40.5bn total payment volume; narrower TriumphPay network volume was $6,273m.",https://www.sec.gov/Archives/edgar/data/1539638/000153963826000021/tfin-20251231.htm,volume-metrics research sheet 30-Aug,YES,,
Avarda Bank AB (publ),OM:AVARDA,DISCLOSED,ADJACENT_GROSS_VOLUME,Ecommerce Solutions transaction volume,FY ended 31-Dec-2025,17017.0,SEK,0.1022,"Average FX for the fiscal year, 31-Dec-24 to 31-Dec-25",1739.14,Ecommerce Solutions,SEK17.017bn transaction volume.,https://group.avarda.com/wp-content/uploads/sites/2/2026/03/wkr0006-1.pdf,volume-metrics research sheet 30-Aug,NO,"BALANCE_SHEET_LENDER. Avarda is a bank. Its value sits in a loan book and it prices on price to book, so an enterprise value over a transaction volume is not a multiple of anything. The disclosure is real and stays as a fact; it may not price.",OK
"Credit Saison Co., Ltd.",TSE:8253,DISCLOSED,ADJACENT_GROSS_VOLUME,Card shopping transaction volume,FY ended 31-Mar-2026,6186000.0,JPY,0.0066,"Average FX for the fiscal year, 31-Mar-25 to 31-Mar-26",40827.6,Consolidated card shopping,6.186tn yen shopping transaction volume.,https://corporate.saisoncard.co.jp/vr_html/ir/data/jp/t0odga00000006dw.pdf,volume-metrics research sheet 30-Aug,NO,"BALANCE_SHEET_LENDER. Credit Saison is a card issuer and consumer lender earning interest and fees on its own book. Card shopping volume is a scale measure, not a denominator for enterprise value.",OK
Humm Group Limited,ASX:HUM,DISCLOSED,ADJACENT_GROSS_VOLUME,Transaction volume - total hummgroup,FY ended 30-Jun-2025,3911.9,AUD,0.6477,"Average FX for the fiscal year, 30-Jun-24 to 30-Jun-25",2533.74,Continuing products,"A$3,911.9m total transaction volume across Commercial and Consumer Finance.",https://investorpa.com/announcement/258823/,volume-metrics research sheet 30-Aug,NO,"BALANCE_SHEET_LENDER. Humm is consumer and commercial finance, priced on book. Same reason as Avarda.",OK
"U-NEXT HOLDINGS Co.,Ltd.",TSE:9418,DISCLOSED,ADJACENT_GROSS_VOLUME,Cashless service GMV,FY ended 31-Aug-2025,764800.0,JPY,0.0067,"Average FX for the fiscal year, 31-Aug-24 to 31-Aug-25",5145.09,Financial segment,Cashless-service GMV of 764.8bn yen.,https://www.unext-hd.co.jp/ir/archive/pdf/2025/202508_annual.pdf,volume-metrics research sheet 30-Aug,NO,"SEGMENT_VOLUME_AGAINST_GROUP_VALUE. U-NEXT is a streaming business. The cashless-service GMV belongs to a small financial segment while the enterprise value covers the whole group, so the ratio compares two different companies. That is why it computed at 341.6x.",CORRECTED_BY_DANIIL_31AUG
"Priority Technology Holdings, Inc.",NASDAQ:PRTH,DISCLOSED,ADJACENT_GROSS_VOLUME,Total card processing dollar value,FY ended 31-Dec-2025,72373.8,USD,1.0,Reported in USD,72373.8,Merchant Solutions,"Total card processing dollar value of $72,373.8m.",https://ir.prioritycommerce.com/static-files/77216894-eb7e-435b-a8a5-d328986e92a4,volume-metrics research sheet 30-Aug,NO,"SEGMENT_VOLUME_AGAINST_GROUP_VALUE. Merchant Solutions segment, not the group.",
"Usio, Inc.",NASDAQ:USIO,DISCLOSED,ADJACENT_GROSS_VOLUME,Total dollars processed for all payment types,FY ended 31-Dec-2025,8400.0,USD,1.0,Reported in USD,8400,Company-wide,"In 2025, we processed $8.4 billion for all payment types.",https://www.sec.gov/Archives/edgar/data/1088034/000143774926008833/usio20251231_10k.htm,volume-metrics research sheet 30-Aug,YES,,
