# Fairway PRIVATE FINANCING TRANSACTION DATABASE. 58 valuation-backed rounds, transcribed 30-Aug-2026
# from Daniil's workbook. His header: "Exact wording preserved | Green = usable multiple; yellow =
# metric unusable; red = NOT FOUND".
#
# THIS IS THE AUTHORITATIVE SOURCE AND IT OVERRIDES MY OWN WORK WHERE THEY DISAGREE. Six conflicts
# with what went into data/private-rounds.csv this morning are listed at the foot of this comment
# block. They must be resolved before either file is used.
#
# TRANSCRIBED FROM SCREENSHOTS. The analytical fields below are faithful to my reading. THE SOURCE
# URLs ARE NOT TRANSCRIBED: they are not legible enough at screenshot resolution to reproduce
# safely, and a URL that is wrong by one character is worse than no URL. Every row is therefore
# marked source_url=NEEDS_WORKBOOK. The workbook must land as a CSV before any of these rows can be
# published to a founder, because our own rule is that every figure carries a named source.
#
# THE SIX CONFLICTS WITH THIS MORNING'S INSERT
#  1. LOADSMART. I excluded it for having no stated period. THE WORKBOOK SHOWS A PERIOD: gross
#     revenue "north of $250 million in 2021", contemporaneous VentureBeat, and marks it USABLE at
#     <5.2x. I was wrong and Daniil's instinct to keep it was right. Insert it.
#  2. GORILLAS. I excluded it. Workbook marks it USABLE at <10.3x post-money, Tier 1 on both the
#     transaction and the metric, and calls it "strongest logistics pricing comp in this" set.
#  3. JOBANDTALENT. I excluded it. Workbook marks it USABLE at <2.08x on the revenue run-rate.
#  4. ZEPZ. I inserted 21.0x on $238m. Workbook uses the $338m round-announcement figure and gives
#     14.8x, FLAGGED. Both figures are Zepz's own. Daniil's call needed.
#  5. MARQETA. I inserted 30.0x on FY2019 net revenue from the S-1. Workbook uses the contemporaneous
#     Forbes "above $300 million" 2019 GROSS revenue and gives <14.3x, flagged, "retain only as
#     valuation/gross". The workbook is stricter on at-pricing evidence and is probably right.
#  6. PINE LABS and RAZORPAY. I inserted both as usable. The workbook marks BOTH "not usable /
#     timing or definition issue". Pine Labs because the ₹726 crore statutory figure conflicts with a
#     cited "$107 million" net revenue on a different definition; Razorpay because FY2022 was
#     unavailable at pricing and FY2021 is the wrong side of the definition question.
#     BETTER.COM is a seventh: the workbook covers the Apr-2021 secondary and marks it not usable.
#     My insert used the May-2021 SPAC instead, which the workbook does not cover.
#
# COLUMNS. implied_multiple_bound is carried EXACTLY as the workbook states it, including the
# inequality. A bound is information: "<5.2x" means the denominator was a floor so the multiple is a
# ceiling. Never strip it.
Payments infrastructure,Mollie,Netherlands,PSP / merchant acquiring,2021-06-22,PRIMARY,Series C US$800m / EUR665m,US$800m / EUR665m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$6.5 billion / EUR5.4 billion","159.8 million fee and commission income in FY2020 financial statements; FY2020 gross margin 134.5m",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Blackstone Growth; EQT Growth; General Atlantic; HMI; Alkeon; TCV,Tier 1,"Tier 1. Multiple calculated in EUR; fee and commission income, not TPV.",NEEDS_WORKBOOK
Payments infrastructure,Zepz (WorldRemit),UK,Cross-border remittance,2021-08-23,PRIMARY,Series E US$292m,US$292m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$5 billion post-money","Financing announcement stated the WorldRemit and Sendwave brands generated $338 million in 2020 revenue; CB Insights repeated the figure on 26-Aug-2021. Later company reporting cited a different 2020 figure and is unreconciled",,YES,FOUND - usable for multiple,"14.8x, flagged",Accel; LeapFrog; TCV; Farallon,Tier 1,Tier 1 syndicated announcement / Tier 2 valuation. $5000m denominator basis,NEEDS_WORKBOOK
Payments infrastructure,SumUp,UK / Germany,Merchant acquiring / POS,2022-06-23,PRIMARY + DEBT,"EUR590m, about half equity half debt","EUR590m",DISCLOSED / CONTEMPORANEOUSLY REPORTED,"enterprise value of EUR8 billion","Gross revenue publication timing is not adequately established",,NO / NOT ESTABLISHED,NOT FOUND,,Bain Capital Tech Opportunities; BlackRock; Centerbridge; Crestline; Fin Capital; Sentinel Dome,Tier 1,"Tier 1. Enterprise value, not necessarily equity value. No multiple.",NEEDS_WORKBOOK
Payments infrastructure,Marqeta,US,Card issuing / processing,2020-05-28,PRIMARY,Growth financing US$150m,US$150m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$4.3 billion post-money","Forbes contemporaneously described 2019 gross revenue as above $300 million. The later IPO filing reported $143.3m 2019 net revenue and $290.3m 2020 net revenue",,YES,FOUND - usable for multiple,"<14.3x gross revenue, flagged",Undisclosed large US asset manager,Tier 2,Tier 2 contemporaneous denominator. Retain only as valuation over gross,NEEDS_WORKBOOK
Payments infrastructure,Rapyd,Israel / UK,Fintech-as-a-service / payments,2021-08-03,PRIMARY,Series E US$300m,US$300m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$8.75B valuation","Revenue grown 3.5x since January round, but no absolute base; expected 2021 TPV exceed $20 billion versus $5bn in 2020",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Target Global; Fidelity; Altimeter; Whale Rock; BlackRock; Dragoneer; General Atlantic; Spark; Avid; Addition,Tier 2,Tier 2. Revenue NOT FOUND; no multiple. TPV excluded.,NEEDS_WORKBOOK
Payments infrastructure,GoCardless,UK,Account-to-account payments,2022-02-08,PRIMARY,Series G US$312m,US$312m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$2.1 billion valuation","No revenue in announcement. Accounts filed 9-May-2022 reported GBP67973479 revenue for the 18 months ended 30-Jun-2021; not a 12-month denominator",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Permira Growth Opportunities; BlackRock Private Equity Partners,Tier 1,GBP67973479 revenue covered 18 months ended 30-Jun-2021 and was filed 9-May-2022,NEEDS_WORKBOOK
Marketplaces,Jobandtalent,Spain,Temporary-labor marketplace,2021-12-01,PRIMARY + DEBT,Series E,$500m equity plus $75m debt,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$2.35 billion post-money valuation","At the time, annual revenue run rate exceeded EUR1 billion.",,YES,FOUND - usable for multiple,<2.08x valuation / revenue run-rate,Kinnevik-led; SoftBank Vision Fund 2 and existing investors,Tier 2,More than EUR1bn revenue run-rate converted at 1.1313 USD/EUR on 1-Dec-2021,NEEDS_WORKBOOK
Marketplaces,Loadsmart,US / Brazil founded,Digital freight brokerage marketplace,2022-02-01,PRIMARY,Series D,$200m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$1.3 billion valuation","Gross revenue north of $250 million in 2021 (contemporaneous VentureBeat).",,YES,FOUND - usable for multiple,<5.2x valuation / 2021 gross revenue,SoftBank Latin America Fund; BlackRock and Janus Henderson,Tier 1 transaction / Tier 2 metric,Tier 1 transaction; Tier 2 absolute metric. Exact date raise and valuation are supported,NEEDS_WORKBOOK
Marketplaces,Incredible Health,US,Healthcare hiring marketplace,2022-08-17,PRIMARY,Series B,$80m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$1.65 billion valuation","Revenue described only on a growth basis against an underlying base that would require direct page confirmation before use",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Base10 Partners-led; Andreessen Horowitz and Obvious Ventures among participants,Tier 1,Tier 1 transaction; Tier 2 metric lead. Valuation and raise supported,NEEDS_WORKBOOK
Marketplaces,Clipboard Health,US,Healthcare staffing marketplace,2022-04-18,PRIMARY,Series C / two rounds reported together,$80m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$1.3 billion post-money valuation","NOT FOUND. Company only described gross-revenue growth of roughly 25x over the prior 18 months, with no dollar base.",,NO / NOT ESTABLISHED,NOT FOUND,,Sequoia Capital; IVP; Caffeinated Capital and others,Tier 2,"Tier 2. Transaction, date and post-money valuation supported",NEEDS_WORKBOOK
Marketplaces,Flock Freight,US,Digital freight / shared-truckload marketplace,2021-10-20,PRIMARY,Series D,$215m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$1.3 billion valuation","Tier-4 founder-interview record says Flock generated $25 million in revenue in September 2021 and expected October revenue to be more than $25 million; the frequently repeated $25m monthly revenue is an approximation.",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,SoftBank Vision Fund 2-led; existing investors participated,Tier 4 - rejected,"Latka records Sep-2021 monthly revenue, but the publication date of that is unestablished",NEEDS_WORKBOOK
Marketplaces,Nomad Health,US,Healthcare staffing marketplace,2021-09-21,PRIMARY + DEBT,Financing comprising equity and debt,$63m,THIRD-PARTY REPORTED / ESTIMATED,"approximately $260 million reported valuation","NOT FOUND. Company said revenue-to-date was more than twice full-year 2020 revenue, but disclosed no absolute base. A $120m FY2021 database estimate is not company verified and is not used.",,NO / NOT ESTABLISHED,NOT FOUND,,Adams Street Partners-led; existing investors participated,Tier 3,Tier 3; unresolved source-quality gap. Exact date and equity/debt structure,NEEDS_WORKBOOK
Marketplaces,Malt,France,Freelance talent marketplace,2021-05-31,PRIMARY,Series C,EUR80m (reported as about $97-98m),THIRD-PARTY REPORTED / ESTIMATED,"EUR400 million / approximately $489 million valuation","NOT FOUND. Only expected 100% revenue growth was disclosed, without a base.","Approximately EUR300m cumulative business handled since 2013",NO / NOT ESTABLISHED,NOT FOUND,,Goldman Sachs Growth Equity and Eurazeo; Serena Capital and ISAI,Tier 2,Tier 2. Financing valuation usable; cumulative business is not revenue,NEEDS_WORKBOOK
Marketplaces,Xpansiv,US / Australia-origin,Carbon and environmental-commodity marketplace,2022-07-06,CONVERTIBLE DEBT / STRATEGIC,Strategic financing,$400m reported investment,THIRD-PARTY REPORTED / ESTIMATED,"US$1.4 billion post-money valuation","FY2022 audited gross revenue was A$586.1m, including A$485.3m pass-through commodity/reimbursable costs; Kroll used A$100.8m gross profit as a more comparable revenue measure. These FY2022 figures were disclosed after pricing",Marketplace commodity volume not yet located,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Blackstone Energy Partners,Tier 2,Blackstone investment announced 6-Jul-2022; reported post-money,NEEDS_WORKBOOK
Marketplaces,Instawork,US,Hourly-labor marketplace,2021-07-08,PRIMARY,Series C,$60m,THIRD-PARTY REPORTED / ESTIMATED,"Approximately $560m post-money","NOT FOUND at pricing. Forbes later estimated approximately $100m 2021 revenue in Aug-2022; too late for a Jul-2021 pricing denominator.",,NO / NOT ESTABLISHED,NOT FOUND,,Craft Ventures-led; Greylock; Corner Ventures and others,Tier 2,Tier 2. Valuation is approximate; revenue estimate rejected,NEEDS_WORKBOOK
Specialist lending,Wayflyer,Ireland,Revenue-based finance / e-commerce lending,2022-02-01,PRIMARY,Series B US$150m,US$150m,THIRD-PARTY REPORTED / ESTIMATED,"$1.6 billion post-money","NOT FOUND. Company disclosed cash advances and capital deployments grew more than 900% in 2021; approximately $500m advanced in 2021 and about $100m average monthly deployments are financing volume",,NO / NOT ESTABLISHED,NOT FOUND,,DST Global; QED; Prosus; Madrone; JPMorgan,Tier 1,Tier 1. Dealroom later implied $40m estimate is circular and rejected.,NEEDS_WORKBOOK
Specialist lending,Lendable,UK,Consumer lending,2022-03-10,PRIMARY,Growth equity GBP210m,GBP210m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"above GBP3.5 billion","NOT FOUND. A CB Insights profile figure was rejected because publication timing and currency perimeter were not established.",,NO / NOT ESTABLISHED,NOT FOUND,,Ontario Teachers Pension Plan,Tier 4 - rejected,No time-compliant Tier 1-3 denominator located; CB Insights figure rejected,NEEDS_WORKBOOK
Specialist lending,Zilch,UK,Consumer BNPL / credit,2021-11-10,PRIMARY,Series C US$110m,US$110m,THIRD-PARTY REPORTED / ESTIMATED,"approximately $2 billion","Latest statutory turnover before round: GBP733000 for year ended 31-Mar-2021. The GBP10.967m year ended 31-Mar-2022 includes post-round months",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Ventura Capital; Gauss Ventures; Goldman Sachs and others,Tier 1,GBP0.733m FY ended 31-Mar-2021 converted at GBP1=$1.3412: $0.983m,NEEDS_WORKBOOK
Specialist lending,Stenn,UK,International trade / invoice finance,2022-04-11,PRIMARY,Equity US$50m,US$50m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$900M valuation","NOT FOUND. Company cited more than $6bn cumulatively financed; financing volume is not revenue",,NO / NOT ESTABLISHED,NOT FOUND,,Centerbridge Partners,Tier 2,Tier 2. No multiple.,NEEDS_WORKBOOK
Specialist lending,Tala,US / Kenya / Mexico / Philippines,Emerging-market consumer lending,2021-10-14,PRIMARY,Series E US$145m,US$145m,THIRD-PARTY REPORTED / ESTIMATED,"approximately $800 million","NOT FOUND in announcement; no verified FY2021 absolute revenue located",,NO / NOT ESTABLISHED,NOT FOUND,,Upstart; Stellar Development Foundation; Kindred; J. Safra; existing investors,Tier 1,Tier 1. No multiple.,NEEDS_WORKBOOK
Specialist lending,Zopa,UK,Consumer lending / bank,2021-10-18,PRIMARY,Pre-IPO equity GBP220m (about US$300m),GBP220m,THIRD-PARTY REPORTED / ESTIMATED,"approximately GBP750 million / $1 billion post-money","approximately GBP85 million annualized run-rate around financing; later annual report reported GBP60.5m total operating income and GBP114m annualized revenue run-rate at year-end",,YES,FOUND - usable for multiple,8.8x on GBP750m / GBP85m,SoftBank Vision Fund 2; Chimera; existing investors,Tier 2,"Tier 2. Use pricing-date run-rate, not year-end hindsight",NEEDS_WORKBOOK
Specialist lending,Pipe,US,Recurring-revenue financing marketplace,2021-05-19,PRIMARY,Strategic equity US$250m,US$250m,THIRD-PARTY REPORTED / ESTIMATED,"$2B valuation","NOT FOUND. More than $1 billion in tradable annual recurring revenue is customers ARR listed on the platform, not Pipe revenue",,NO / NOT ESTABLISHED,NOT FOUND,,Greenspring; Counterpoint; CreditEase; Fin VC; 3L; SBI; Marc Benioff; Shopify; HubSpot,Tier 2,Tier 2. A later $15m 2021 estimate is not contemporaneous or company reported.,NEEDS_WORKBOOK
Specialist lending,Clearco,Canada,Revenue-based finance,2021-04-20,PRIMARY + DEBT,Series C US$100m equity plus US$250m credit facility,US$100m equity plus US$250m credit facility,THIRD-PARTY REPORTED / ESTIMATED,"nearly $2 billion valuation","Later reporting estimated nearly $100 million in revenue during 2021, but publication occurred well after the April pricing",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Oak HC/FT; Founders Circle; Highland; iNovia; Emergence; SoftBank later extension,Tier 2/3,Tier 2/3. No multiple; later estimate fails timing. July $215m extension,NEEDS_WORKBOOK
Specialist lending,Oxyzo,India,B2B / SMB lending,2022-03-23,PRIMARY,Series A US$200m,US$200m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"valuation of $1 billion","FY2021-22 Rs 313.24 crore total revenue; revenue from operations approximately Rs 312.97 crore",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Alpha Wave; Tiger Global; Norwest; Matrix India; Creation,Tier 2,FY2021-22 ended after the 23-Mar-2022 pricing date and therefore contains post-pricing months,NEEDS_WORKBOOK
Specialist lending,Creditas,Brazil,Secured consumer lending,2022-01-25,PRIMARY,Series F US$260m,US$260m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$4.8 billion post-money","approximately $200 million annualized revenue for 2021; Q3 2021 revenue $46.8m",,YES,FOUND - usable for multiple,24.0x,Fidelity; Actyus; Greentrail; Kaszek; QED; VEF; SoftBank,Tier 1,"Tier 1. Annualized revenue, not audited FY revenue.",NEEDS_WORKBOOK
Specialist lending,Fundbox,US,SMB working-capital lending,2021-11-30,PRIMARY,Series D US$100m,US$100m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$1.1B valuation","more than $100 million annual revenue run rate at the financing",,YES,FOUND - usable for multiple,<11.0x,HOOPP; Allianz X; Khosla; The Private Shares Fund; Arbor Waypoint Select,Tier 2,"Tier 2. Preserve more than; run-rate, not audited FY revenue.",NEEDS_WORKBOOK
Specialist lending,Better.com,US,Digital mortgage origination,2021-04-09,SECONDARY,"US$500m, primarily secondary","US$500m",DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$6 billion implied valuation","approximately $876 million in 2020 preliminary unaudited revenue appeared in the later SPAC investor presentation; contemporaneous press rounded to about $800m",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,SoftBank,Tier 2,Tier 2; secondary transaction. Revenue was disclosed shortly afterwards,NEEDS_WORKBOOK
Logistics and fulfilment operations,Veho,US,Last-mile parcel,2022-02-15,PRIMARY,Series B,US$170m,THIRD-PARTY REPORTED / ESTIMATED,"approximately US$1.5 billion / US$1.5+ billion post-money","NOT FOUND; only revenue grew 40% in January 2022 with no dollar base",40% monthly growth statement,NO / NOT ESTABLISHED,NOT FOUND,,Tiger Global; SoftBank Vision Fund 2,Tier 2,Tier 2; leave denominator blank.,NEEDS_WORKBOOK
Logistics and fulfilment operations,Shiprocket,India,E-commerce fulfilment / shipping,2022-08-17,PRIMARY,Extended Series E,Rs 257-259 crore (about US$32.6-33.5m),DISCLOSED / CONTEMPORANEOUSLY REPORTED,"filings indicated about Rs 9815 crore post-money; press also used US$1.2-1.3bn","Rs 611.13 crore FY2022 revenue; reported later; publication date not contemporaneous",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Lightrock India; Temasek; Bertelsmann; March Capital; Moore Strategic Ventures; PayPal Ventures; Huddle,Tier 2,"Tier 2. Revenue was published in Oct-2023, so exclude from strict at-pricing multiple",NEEDS_WORKBOOK
Logistics and fulfilment operations,Getir,Turkey,Quick commerce / grocery,2022-03-17,PRIMARY,Series E,US$768m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$11.8 billion post-money","approximately US$466 million reported 2021 revenue; underlying publication date and source needs verification",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Mubadala; Abu Dhabi Growth Fund; Alpha Wave; Sequoia; Tiger Global,Tier 2,Revenue blank: the $466m FY2021 figure comes from later-published Dutch filings,NEEDS_WORKBOOK
Logistics and fulfilment operations,Rappi,Colombia,Super-app / delivery,2021-07-19,PRIMARY,Series F,over US$500m (about US$496m sold in filing data),DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$5.25 billion post-money","NOT FOUND contemporaneously. Sacra later estimate: about US$482m for FY2021",,NO / NOT ESTABLISHED,NOT FOUND,,T. Rowe Price; Baillie Gifford; Third Point; Octahedron; GIC; SoftBank,Tier 2,Tier 2 / Tier 3. Revenue blank for strict round-pricing database.,NEEDS_WORKBOOK
Logistics and fulfilment operations,Gorillas,Germany,Quick commerce / grocery,2021-10-19,PRIMARY,Series C,approximately US$950m / nearly US$1bn,THIRD-PARTY REPORTED / ESTIMATED,"approximately US$2.1bn pre-money, US$3.1bn post-money","Company and investor wording: revenue run-rate of more than $300 million",Alternative investor-material report around US$18m,YES,FOUND - usable for multiple,<10.3x post-money / >US$300m run-rate,Delivery Hero (US$235m); Tencent; Coatue; DST; Dragoneer and others,Tier 1,Tier 1 primary transaction and metric. Strongest logistics pricing comp in this set,NEEDS_WORKBOOK
Logistics and fulfilment operations,Lalamove,Hong Kong / China,On-demand freight / last-mile,2021-01-20,PRIMARY,Series F,US$1.5 billion (some databases initially US$1.3bn),THIRD-PARTY REPORTED / ESTIMATED,"approximately US$10 billion post-money; about US$8.5 billion pre-money","US$529 million 2020 revenue, but reported later in IPO materials",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Hillhouse; Sequoia China; Boyu; Tiger Global; D1,Tier 2,Tier 2 transaction / Tier 3 later financial reporting,NEEDS_WORKBOOK
Logistics and fulfilment operations,Flink,Germany,Quick commerce / grocery,2023-05-24,PRIMARY,Financing,EUR150m,THIRD-PARTY REPORTED / ESTIMATED,"approximately EUR1 billion valuation","NOT FOUND contemporaneously. Do not infer 2023 revenue by dividing projected 2024 gross revenue by growth",Projected 2024 gross revenue US$600m and 20% growth,NO / NOT ESTABLISHED,NOT FOUND,,Existing investors including REWE and DoorDash,Tier 2,Tier 2. Explicitly reject the tempting US$500m interpolation.,NEEDS_WORKBOOK
Logistics and fulfilment operations,J&T Express,Indonesia / China,Cross-border and last-mile parcel,2021-11-24,PRIMARY,Late-stage financing,about US$2.5 billion,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$20 billion press-reported post-money","US$4.8518bn revenue for FY2021; this figure appears in later IPO and public-company materials, not a contemporaneous Nov-2021 release",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Temasek; Hillhouse; Boyu; Sequoia China,Tier 2,Tier 2 transaction / Tier 1 later revenue. Do not use 4.1x in strict pricing set,NEEDS_WORKBOOK
