# Fairway private software and fintech transactions.
# 66 transaction records across 60 companies. 32 rows feed medians; 34 are demoted because the row's
# OWN revenue_status calls the denominator an estimate, a proxy, a range midpoint or a construction.
#
# TRIAGE ONLY, NOT VERIFICATION. Every row here is marked STATUS-TRIAGE: the at-pricing rule has been
# applied to the file's own labels, NOT to primary sources. The consumer file has been through full
# primary-source verification; this one has not, and until it has, these multiples are weaker than the
# consumer ones no matter what in_medians says. 18 rows carry a '> threshold' metric and are now bound
# '<=' rather than printing as points. 10 rows are secondaries or tenders and are now labelled as such:
# a secondary is a mark, not a priced round, and must be shown that way even when it stays in medians.
transaction_id,company_key,company_name,date,date_iso,round_type,capital_raised_musd,post_money_musd,valuation_status,revenue_metric,revenue_musd,revenue_status,ev_revenue_x,subsector_as_supplied,screening_category_as_supplied,lead_key_investors,round_source_url,revenue_source_url,notes,transaction_type,denominator_basis,bound,in_medians,verification
elevenlabs-2025-01,elevenlabs,ElevenLabs,Jan-25,2025-01,Series C,180.0,3300.0,Disclosed,ARR,80.0,Reported estimate,41.3,Voice AI / synthetic media,Communications & Customer Engagement,a16z; ICONIQ; NEA; Sequoia; Salesforce Ventures,https://elevenlabs.io/blog/series-c,https://techcrunch.com/2025/01/24/elevenlabs-has-raised-a-new-round-at-3b-valuation-led-by-iconiq-growth-sources-say/,"ARR was press-reported, not in company announcement.",PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
perplexity-2024-12,perplexity,Perplexity,Dec-24,2024-12,Growth financing,500.0,9000.0,Reported,ARR,63.0,Third-party estimate,142.9,AI search / answer engine,"Data, AI & Developer Tools",IVP; SoftBank Vision Fund 2; NVIDIA; Bezos Expeditions; NEA,https://www.bloomberg.com/news/articles/2024-12-18/ai-startup-perplexity-closes-funding-round-at-9-billion-value,https://www.theinformation.com/articles/perplexity-nears-9-billion-valuation-in-investment-led-by-ivp,Uses year-end third-party ARR estimate; deal terms press-reported.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
writer-2024-11,writer,Writer,Nov-24,2024-11,Series C,200.0,1900.0,Disclosed,ARR,47.0,Third-party estimate,40.4,Enterprise generative AI platform,Enterprise Applications,Premji; Radical Ventures; ICONIQ; Adobe Ventures; B Capital; Citi Ventures,https://writer.com/blog/series-c-funding-writer-press-release/,https://writer.com/blog/series-c-funding-writer-press-release/,ARR estimate not in company financing announcement.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
abnormal-security-2024-08,abnormal-security,Abnormal Security,Aug-24,2024-08,Series D,250.0,5100.0,Disclosed,ARR (> threshold),200.0,Disclosed,25.5,Email security / behavioral AI,Cybersecurity,Wellington; Greylock; Menlo; Insight; CrowdStrike Falcon Fund,https://abnormal-website-rd-sandbox.vercel.app/newsroom/press-releases/series-d-5b-valuation,https://abnormal-website-rd-sandbox.vercel.app/newsroom/press-releases/series-d-5b-valuation,Uses $200mm threshold; multiple is a maximum.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
vanta-2024-07,vanta,Vanta,Jul-24,2024-07,Series C,150.0,2450.0,Disclosed,ARR (> threshold),100.0,Disclosed,24.5,Trust management / compliance automation,Cybersecurity,Sequoia; Goldman Sachs Alternatives; J.P. Morgan; Atlassian Ventures,https://www.vanta.com/resources/vanta-announces-series-c,https://www.vanta.com/resources/vanta-announces-series-c,Uses Jan-2024 ARR threshold; multiple is a maximum.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
clio-2024-07,clio,Clio,Jul-24,2024-07,Series F / primary + secondary,900.0,3000.0,Reported,ARR (> threshold),200.0,Disclosed,15.0,Legal practice management software,Vertical Software,NEA; Goldman Sachs AM; Sixth Street; CapitalG; Tidemark,https://techcrunch.com/2024/07/23/clio-raises-900m-at-a-3b-valuation-plans-to-double-down-on-ai-and-fintech/,https://techcrunch.com/2024/07/23/clio-raises-900m-at-a-3b-valuation-plans-to-double-down-on-ai-and-fintech/,Substantial secondary component; multiple is a maximum.,MIXED,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
huntress-2024-06,huntress,Huntress,Jun-24,2024-06,Series D,150.0,1550.0,Reported,ARR / run-rate,100.0,Reported / timing proxy,15.5,Managed detection and response for SMBs,Cybersecurity,Kleiner Perkins; Sapphire Ventures; Meritech; JMI Equity,https://www.huntress.com/press-release/150m-boost-for-huntress-powers-new-products,https://www.huntress.com/press-release/150m-boost-for-huntress-powers-new-products,Approaching $100mm at financing and reached it during 2024; timing proxy.,PRIMARY,CONSTRUCTED,,0,STATUS-TRIAGE
alphasense-2024-06,alphasense,AlphaSense,Jun-24,2024-06,Growth financing,650.0,4000.0,Reported,ARR (> threshold),200.0,Disclosed,20.0,Market intelligence / enterprise search,"Data, AI & Developer Tools",Viking; BDT & MSD; J.P. Morgan Growth Equity; SoftBank; Blue Owl,https://news.bloomberglaw.com/private-equity/market-data-firm-alphasense-valued-at-4-billion-in-fundraise,https://news.bloomberglaw.com/private-equity/market-data-firm-alphasense-valued-at-4-billion-in-fundraise,Supported Tegus acquisition; uses threshold; multiple is a maximum.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
canva-2024-05,canva,Canva,Apr-24,2024-04,Secondary share sale,400.0,26000.0,Reported,Annualized revenue,,Reported,,Visual design and collaboration,Communications & Customer Engagement,Secondary buyers / sellers not fully disclosed,https://www.forbes.com/sites/alexkonrad/2024/05/23/canva-new-tools-cozy-up-corporations/,https://www.forbes.com/sites/alexkonrad/2024/05/23/canva-new-tools-cozy-up-corporations/,"TWO DEFECTS, multiple withdrawn. The date is wrong: the $26bn secondary was reported as planned in January 2024 and COMPLETED in early April 2024, about US$1.6bn or A$2.43bn of stock, roughly 6% of the company, against US$2.4bn of demand. There is no May-2024 Canva share sale; May 2024 is when Canva made a revenue announcement, which is almost certainly what produced the wrong date. And the $2,300m denominator matches no published figure at all. Canva's own number is 'more than US$2.2 billion in annualised revenue', published 24-May-2024, six weeks AFTER the sale closed. The A$3.3bn in that same sentence is the AUD translation of US$2.2bn, which is where both the phantom 2,300 and 3,300 come from.",SECONDARY,NONE,,0,VERIFIED
scale-ai-2024-05,scale-ai,Scale AI,May-24,2024-05,Series F,1000.0,13800.0,Disclosed,"YE2024E ARR, company forecast",1400.0,Reported,9.9,AI data infrastructure / labeling,"Data, AI & Developer Tools",Accel; Meta; Amazon; NVIDIA; Intel Capital; AMD Ventures,https://techcrunch.com/2024/05/21/data-labeling-startup-scale-ai-raises-1b-as-valuation-doubles-to-13-8b/,https://techcrunch.com/2024/05/21/data-labeling-startup-scale-ai-raises-1b-as-valuation-doubles-to-13-8b/,"Kept. Series F of $1bn on 21-May-2024 at $13.8bn post, led by Accel with Amazon, Meta, Nvidia, Intel Capital, Cisco, AMD Ventures and ServiceNow Ventures. Scale's own post calls it 'a mix of primary and secondary' and the split was never disclosed, so MIXED rather than a clean primary. The $1.4bn is ARR expected by the END of 2024, disclosed at the round, so it passes at-pricing as a forecast. Forward ARR, not annualised GAAP revenue, and must not be medianed against trailing revenue.",MIXED,DISCLOSED_FORECAST,,1,VERIFIED
vercel-2024-05,vercel,Vercel,May-24,2024-05,Series E,250.0,3250.0,Reported,Annual revenue / ARR proxy,100.0,Reported estimate,32.5,Front-end cloud / developer platform,Cloud & Infrastructure Software,Accel; CRV; GV; Notable; Bedrock; Geodesic; Tiger Global; 8VC,TRUNCATED_IN_SHEET https://www.streetinsider.com/Reuters/Exclusive-Vercel+completes+$250+million+Series+E+round+at+$3...,TRUNCATED_IN_SHEET,Reported >$100mm annual revenue treated as ARR proxy; maximum multiple.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
figma-2024-05,figma,Figma,May-24,2024-05,Employee tender / secondary,,12500.0,Reported,ARR (> threshold),700.0,Reported,,Collaborative product design,Communications & Customer Engagement,Tender participants not disclosed,https://www.axios.com/2024/05/16/figma-tender-12-billion,https://www.axios.com/2024/05/16/figma-tender-12-billion,"Multiple withdrawn on timing. The tender is real and distinct: launched 16-May-2024 at $12.5bn, closed mid-July, $600m to $900m, buyers including Fidelity, Franklin, Atlassian, ICONIQ Growth and Coatue alongside Sequoia, a16z and Kleiner. Not to be confused with Adobe's terminated $20bn acquisition or the July 2025 IPO. But 'annual recurring revenue of more than $700 million' was first published 17-Jul-2024 at the close, two months after pricing, and is sourced to people with knowledge rather than to Figma, which declined to confirm. Separately the ARR overstates trailing revenue badly: the IPO filing shows Q1-2024 GAAP revenue of $156.2m, about $625m annualised.",SECONDARY,REPORTED_CONTEMPORANEOUS,<=,0,VERIFIED
wiz-2024-05,wiz,Wiz,May-24,2024-05,Series E,1000.0,12000.0,Disclosed,ARR,350.0,Reported,34.3,Cloud security / CNAPP,Cybersecurity,a16z; Lightspeed; Thrive; Greylock; Wellington; Cyberstarts; Greenoaks,https://www.wiz.io/blog/celebrating-our-1-billion-funding-round-and-12-billion-valuation,https://www.wiz.io/blog/celebrating-our-1-billion-funding-round-and-12-billion-valuation,ARR reported around financing; round company-confirmed.,PRIMARY,REPORTED_CONTEMPORANEOUS,,1,STATUS-TRIAGE
rippling-2024-04,rippling,Rippling,Apr-24,2024-04,Series F + tender,200.0,13500.0,Disclosed,ARR (> threshold),350.0,Reported,38.6,"HR, payroll and IT management",Enterprise Applications,Coatue; Founders Fund; Greenoaks; Dragoneer,https://techcrunch.com/2024/04/22/ripplings-parker-conrad-on-the-companys-brand-new-round-its-brand-new-sf-lease-and-also-its-brand-new-critic/,https://research.contrary.com/report/rippling,$200mm primary + up to $590mm secondary; uses YE-2023 ARR; maximum multiple.,SECONDARY,REPORTED_CONTEMPORANEOUS,<=,1,STATUS-TRIAGE
floqast-2024-04,floqast,FloQast,Apr-24,2024-04,Series E,100.0,1600.0,Disclosed,ARR (> threshold),100.0,Disclosed,16.0,Accounting close management,Enterprise Applications,ICONIQ Growth; BDT & MSD; Meritech; Sapphire; Coupa Ventures,https://www.floqast.com/press-releases/floqast-secures-100-million-in-series-e-funding-achieving-1-6-billion-valuation,https://www.floqast.com/press-releases/floqast-secures-100-million-in-series-e-funding-achieving-1-6-billion-valuation,Uses $100mm threshold; multiple is a maximum.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
guesty-2024-04,guesty,Guesty,Apr-24,2024-04,Series F,130.0,900.0,Reported,Revenue / ARR proxy,164.0,Third-party estimate,5.5,Property management software,Vertical Software,KKR; Inovia; Apax Digital; BDT & MSD; Sixth Street,https://techcrunch.com/2024/04/10/guesty-snaps-up-130m-at-900m-valuation-to-help-property-managers-list-on-airbnb-and-beyond/,https://techcrunch.com/2024/04/10/guesty-snaps-up-130m-at-900m-valuation-to-help-property-managers-list-on-airbnb-and-beyond/,Third-party 2024 revenue estimate; company did not disclose ARR.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
cyera-2024-04,cyera,Cyera,Apr-24,2024-04,Series C,300.0,1400.0,Disclosed,ARR midpoint proxy,50.0,Estimated / range midpoint,28.0,Data security posture management,Cybersecurity,Coatue; Spark Capital; Georgian; AT&T Ventures; Accel; Sequoia,https://www.cyera.com/press-releases/data-security-leader-cyera-raises-300-million-at-1-4-billion-valuation,https://www.cyera.com/press-releases/data-security-leader-cyera-raises-300-million-at-1-4-billion-valuation,ARR described only as tens of millions; $50mm midpoint proxy. Lower confidence.,PRIMARY,CONSTRUCTED,,0,STATUS-TRIAGE
alphasense-2023-09,alphasense,AlphaSense,Sep-23,2023-09,Series E,150.0,2500.0,Disclosed,ARR,200.0,Reported,12.5,Market intelligence / enterprise search,"Data, AI & Developer Tools",BOND; CapitalG; Viking; Goldman Sachs; J.P. Morgan Growth Equity,https://techcrunch.com/2023/09/28/alphasense-an-ai-based-market-intel-firm-snaps-up-150m-at-a-2-5b-valuation/,https://techcrunch.com/2023/09/28/alphasense-an-ai-based-market-intel-firm-snaps-up-150m-at-a-2-5b-valuation/,ARR reported around the financing.,PRIMARY,REPORTED_CONTEMPORANEOUS,,1,STATUS-TRIAGE
hibob-2023-09,hibob,HiBob,Sep-23,2023-09,Growth financing,150.0,2700.0,Reported,ARR (> threshold),100.0,Disclosed,27.0,HR management software,Enterprise Applications,Farallon Capital; Alpha Wave; existing investors,https://www.hibob.com/news/mid-market-hr-tech-leader-hibob-adds-150m-in-new-round-of-funding-to-support-continued-expansion/,https://www.hibob.com/news/mid-market-hr-tech-leader-hibob-adds-150m-in-new-round-of-funding-to-support-continued-expansion/,Uses $100mm threshold; multiple is a maximum.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
cato-networks-2023-09,cato-networks,Cato Networks,Sep-23,2023-09,Equity financing,238.0,3000.0,Disclosed (> threshold),ARR (> threshold),100.0,Disclosed,30.0,SASE / network security,Cybersecurity,LightSpeed; Adams Street; SoftBank Vision Fund 2; Sixty Degree Capital,https://www.catonetworks.com/news/cato-networks-raises-238m-in-equity-investment-at-over-3b-valuation/,https://www.catonetworks.com/news/cato-networks-raises-238m-in-equity-investment-at-over-3b-valuation/,Both valuation and ARR are thresholds; indicative multiple only.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
writer-2023-09,writer,Writer,Sep-23,2023-09,Series B,100.0,750.0,Reported,ARR,16.0,Third-party estimate,46.9,Enterprise generative AI platform,Enterprise Applications,ICONIQ Growth; WndrCo; Balderton; Insight; Aspect; Accenture,https://writer.com/blog/series-b-funding-writer/,https://writer.com/blog/series-b-funding-writer/,Valuation reported at upper end of $500-750mm range; ARR estimate.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
databricks-2023-09,databricks,Databricks,Sep-23,2023-09,Series I,500.0,43000.0,Reported,ARR / revenue run-rate,1600.0,Third-party estimate,26.9,Lakehouse / data and AI platform,"Data, AI & Developer Tools",T. Rowe Price; a16z; Baillie Gifford; ClearBridge; GIC; NVIDIA,https://www.axios.com/2023/09/14/databricks-43-billion-ai-nvidia,https://www.axios.com/2023/09/14/databricks-43-billion-ai-nvidia,Round was >$500mm; uses estimated 2023 revenue / ARR run-rate.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
onetrust-2023-07,onetrust,OneTrust,Jul-23,2023-07,Growth financing,150.0,4500.0,Reported,ARR,400.0,Reported,11.3,"Privacy, governance and risk software",Cybersecurity,Generation Investment Management; Sands Capital; SoftBank Vision Fund 2,https://techcrunch.com/2023/07/24/onetrust-raises-150m-at-a-4-5b-valuation/,https://techcrunch.com/2023/07/24/onetrust-raises-150m-at-a-4-5b-valuation/,ARR reported by management around 2023 financing.,PRIMARY,REPORTED_CONTEMPORANEOUS,,1,STATUS-TRIAGE
cohere-2023-06,cohere,Cohere,Jun-23,2023-06,Series C,270.0,2100.0,Reported,Annual revenue / ARR proxy,22.0,Third-party estimate,95.5,Enterprise foundation models,"Data, AI & Developer Tools",Inovia; NVIDIA; Oracle; Salesforce Ventures; DTCP; SentinelOne,https://techcrunch.com/2023/06/08/ai-startup-cohere-now-valued-at-over-2-1b-raises-270m/,https://techcrunch.com/2023/06/08/ai-startup-cohere-now-valued-at-over-2-1b-raises-270m/,Revenue estimate around subsequent fundraising period; timing proxy.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
anthropic-2023-05,anthropic,Anthropic,May-23,2023-05,Series C,450.0,4000.0,Reported (> threshold),Annualized revenue,100.0,Reported / later-2023 proxy,40.0,Foundation models / generative AI,"Data, AI & Developer Tools",Spark Capital; Google; Salesforce Ventures; Sound Ventures; Zoom Ventures,https://www.anthropic.com/news/anthropic-series-c,https://www.anthropic.com/news/anthropic-series-c,Uses Oct-2023 annualized revenue as a later-year proxy; lower comparability.,PRIMARY,CONSTRUCTED,,0,STATUS-TRIAGE
snyk-2022-12,snyk,Snyk,Dec-22,2022-12,Series G,197.0,7400.0,Reported,ARR,150.0,Third-party estimate,49.3,Developer security / application security,Cybersecurity,Qatar Investment Authority; Evolution Equity; Accel; boldstart; Sands Capital,https://snyk.io/news/snyk-raises-196-5-million-series-g/,https://snyk.io/news/snyk-raises-196-5-million-series-g/,ARR estimate around financing; down-round valuation.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
airwallex-2022-10,airwallex,Airwallex,Oct-22,2022-10,Series E2,100.0,5500.0,Disclosed,Annualized revenue,200.0,Reported estimate,27.5,Cross-border payments infrastructure,Vertical Software,Square Peg; Tencent; Sequoia China; Lone Pine; 1835i Ventures,https://www.airwallex.com/newsroom/airwallex-raises-us100-million-series-e2,https://www.airwallex.com/newsroom/airwallex-raises-us100-million-series-e2,Annualized revenue estimate near financing; mixed software and payments revenue.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
factorial-2022-10,factorial,Factorial,Oct-22,2022-10,Series C,120.0,1000.0,Reported,ARR,30.0,Third-party estimate,33.3,HR software for SMBs,Enterprise Applications,Atomico; GIC; Tiger Global; CRV; K-Fund,https://techcrunch.com/2022/10/11/factorial-raises-120m-at-a-1b-valuation-for-its-hr-software-for-smbs/,https://techcrunch.com/2022/10/11/factorial-raises-120m-at-a-1b-valuation-for-its-hr-software-for-smbs/,ARR estimate around financing; company did not disclose exact ARR.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
celonis-2022-08,celonis,Celonis,Aug-22,2022-08,Series D extension + credit,1000.0,13000.0,Reported,ARR / revenue run-rate,1000.0,Reported / timing proxy,13.0,Process mining / execution management,Enterprise Applications,Qatar Investment Authority; Arena Holdings; T. Rowe Price; Accel,https://www.celonis.com/press/celonis-secures-1-billion-in-additional-funds,https://www.celonis.com/press/celonis-secures-1-billion-in-additional-funds,Mix of equity and revolving credit; uses approximately $1bn run-rate proxy.,PRIMARY,CONSTRUCTED,,0,STATUS-TRIAGE
contentsquare-2022-07,contentsquare,Contentsquare,Jul-22,2022-07,Series F,600.0,5600.0,Reported,ARR / annual revenue,200.0,Third-party estimate,28.0,Digital experience analytics,Communications & Customer Engagement,Sixth Street Growth; Bpifrance; SoftBank Vision Fund 2; BlackRock,https://contentsquare.com/press/contentsquare-raises-600-million/,https://contentsquare.com/press/contentsquare-raises-600-million/,Revenue estimate around financing; company announcement did not provide ARR.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
personio-2022-06,personio,Personio,Jun-22,2022-06,Series E extension,200.0,8500.0,Disclosed,ARR,100.0,Third-party estimate,85.0,HR management software,Enterprise Applications,Greenoaks; Altimeter; Alkeon; Index; Accel; Lightspeed,https://www.personio.com/about-personio/press/personio-raises-200-million/,https://www.personio.com/about-personio/press/personio-raises-200-million/,ARR estimate around financing; not disclosed in round announcement.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
remote-2022-04,remote,Remote,Apr-22,2022-04,Series C,300.0,3000.0,Reported,ARR,100.0,Third-party estimate,30.0,Global payroll and employer of record,Enterprise Applications,SoftBank Vision Fund 2; Accel; Sequoia; Index; Two Sigma Ventures,https://remote.com/blog/series-c,https://remote.com/blog/series-c,ARR estimate around financing; not disclosed in company announcement.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
docker-2022-03,docker,Docker,Mar-22,2022-03,Series C,105.0,2100.0,Reported,ARR,50.0,Third-party estimate,42.0,Container development platform,Cloud & Infrastructure Software,Bain Capital Ventures; Atlassian Ventures; Citi Ventures; Vertex,https://www.docker.com/blog/docker-series-c/,https://www.docker.com/blog/docker-series-c/,ARR estimate around financing; company cited rapid ARR growth without exact figure.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
dbt-labs-2022-02,dbt-labs,dbt Labs,Feb-22,2022-02,Series D,222.0,4200.0,Disclosed,ARR,100.0,Reported estimate,42.0,Analytics engineering / data transformation,"Data, AI & Developer Tools",Altimeter; Amplify; a16z; Coatue; ICONIQ; Sequoia; Snowflake Ventures,https://www.getdbt.com/blog/series-d,https://www.getdbt.com/blog/series-d,ARR estimated at approximately $100mm near financing.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
gocardless-2022-02,gocardless,GoCardless,Feb-22,2022-02,Series G,312.0,2100.0,Reported,Annual revenue,100.0,Reported estimate,21.0,Account-to-account payments platform,Vertical Software,Permira; BlackRock; Sibos; Accel; Bain Capital Ventures,https://gocardless.com/blog/series-g/,https://gocardless.com/blog/series-g/,Revenue run-rate estimate; mixed transaction and software economics.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
1password-2022-01,1password,1Password,Jan-22,2022-01,Series C,620.0,6800.0,Reported,ARR (> threshold),120.0,Reported,56.7,Identity and password management,Cybersecurity,ICONIQ Growth; Tiger Global; Lightspeed; Accel; Slack Fund,https://1password.com/newsroom/1password-raises-620-million/,https://1password.com/newsroom/1password-raises-620-million/,Uses $120mm threshold / reported run-rate; multiple is a maximum.,PRIMARY,REPORTED_CONTEMPORANEOUS,<=,1,STATUS-TRIAGE
