# Fairway investor profiles, derived only from private-rounds.csv. One row per investor house.
#
# HOW TO READ THIS, AND THE ONE THING IT CANNOT TELL YOU. The source sheet has a single combined
# "Lead / Key Investors" column, so this file CANNOT SEPARATE A LEAD FROM A PARTICIPANT. Accel
# appearing in twelve rounds does not mean Accel led twelve rounds. Every count, range and
# preference below is "was named in", not "led". Splitting lead from participant needs a field
# the source does not carry, and inventing it would be worse than not having it.
#
# Everything except house_type is COMPUTED from the transactions. house_type is a classification
# of what kind of money this is, which is not in the data.
#
# cheque_* is the SIZE OF THE WHOLE ROUND, not this investor's cheque. Individual allocations are
# not disclosed in any of these sources. It says what size of round the house shows up in.
#
# multiple_* is the headline post-money / revenue multiple on the rounds the house appears in.
# rounds_with_ceiling_multiple counts how many of those rest on a "more than $X" revenue or
# valuation figure, where the true multiple is LOWER than printed. Where that count is most of the
# rounds, read the range as an upper bound.
#
# Vehicles of one house are merged and the raw strings kept in vehicles_seen (ICONIQ / ICONIQ
# Growth, NVIDIA / NVentures, Menlo / Menlo Anthology, SoftBank Group / Vision Fund 2). Separate
# franchises with separate mandates are NOT merged: GV, CapitalG and Google are three rows, and
# Sequoia China is its own row because it separated from Sequoia as HongShan in 2023.
#
# SINCE AUG-2026 the source file also carries two M&A rows and one strategic ~49% purchase, so
# Intuit, Adobe and Meta appear here as houses. They are ACQUIRERS, not funds: their "cheque"
# is an acquisition price and their multiple embeds a control premium.
#
# THIS FILE IS A COMPUTED VIEW. Every column except investor, house_type and vehicles_seen is
# recomputed from private-rounds.csv and private-companies-tags.csv. It is stored because it is
# what a person reads, not because it is a second source of truth. If the rounds change, this file
# is regenerated, never hand-edited. The only things that live HERE and nowhere else are the
# canonical name mapping (140 raw strings from the sheet collapse to 122 houses) and house_type.
#
# EXCLUDED FROM THIS FILE: "Sibos" in the GoCardless Feb-22 row. Sibos is SWIFT's annual banking
# conference, not an investor. Flagged to the operator for correction at source.
investor,house_type,rounds_in_set,companies_in_set,companies_backed,first_round,last_round,archetypes_backed,industries_backed,functions_backed,buyer_types_backed,revenue_models_backed,ai_stance_mix,stages_backed,cheque_min_musd,cheque_median_musd,cheque_max_musd,postmoney_min_musd,postmoney_median_musd,postmoney_max_musd,multiple_min_x,multiple_median_x,multiple_max_x,rounds_with_ceiling_multiple,vehicles_seen
Index Ventures,Venture,5,5,Decagon|Notion|Personio|Remote|Spendesk,Jan-22,Jan-26,Business Applications(3)|Communications & Collaboration(1)|Marketing & Customer Engagement(1),Horizontal(5),HR & Workforce(2)|Customer Service(1)|Finance & Payments(1)|Productivity(1),SMB(3)|LOB(2),SEATS(3)|CONSUMPTION(1)|PLATFORM(1),AI_EMBEDDED(3)|AI_NATIVE(1)|AI_NEUTRAL(1),C(2)|D(1)|E(1)|Secondary(1),114,225,300,1140,4500,11000,18.0,30.0,85.0,1,Index|Index Ventures
NVIDIA,Corporate / strategic,5,5,Cohere|Databricks|Lovable|Perplexity|Scale AI,Jun-23,Dec-25,"Data, AI & Developer Tools(4)|Consumer & Prosumer Software(1)",Horizontal(5),Data & Analytics(3)|Engineering & Design(1)|IT & Integration(1),ENT_IT(3)|CONSUMER(1)|PROSUMER(1),CONSUMPTION(2)|PLATFORM(1)|SEATS(1)|SERVICES_LED(1),AI_NATIVE(4)|AI_EMBEDDED(1),B(1)|C(1)|F(1)|Growth(1)|I(1),270,500,1000,2100,9000,43000,15.9,33.0,142.9,1,NVIDIA|NVentures
Thrive Capital,Crossover / public-market,5,5,Anysphere / Cursor|OpenAI|Ramp|Sierra|Wiz,May-24,Nov-25,"Commerce & Payments Software(1)|Consumer & Prosumer Software(1)|Cybersecurity(1)|Data, AI & Developer Tools(1)|Marketing & Customer Engagement(1)",Horizontal(5),Customer Service(1)|Data & Analytics(1)|Engineering & Design(1)|Finance & Payments(1)|Security(1),LOB(2)|CONSUMER(1)|DEV(1)|ENT_IT(1),SEATS(2)|CONSUMPTION(1)|PLATFORM(1)|TAKE_RATE(1),AI_NATIVE(3)|AI_EMBEDDED(2),Growth(2)|C(1)|E(1)|Secondary(1),300,900,40000,9900,12000,300000,19.8,34.3,100.0,2,Thrive
Altimeter Capital,Crossover / public-market,4,4,Glean|OpenAI|Personio|dbt Labs,Feb-22,Jun-25,"Data, AI & Developer Tools(2)|Business Applications(1)|Consumer & Prosumer Software(1)",Horizontal(4),Data & Analytics(3)|HR & Workforce(1),CONSUMER(1)|DEV(1)|ENT_IT(1)|SMB(1),SEATS(4),AI_NATIVE(2)|AI_EMBEDDED(1)|AI_NEUTRAL(1),D(1)|E(1)|F(1)|Growth(1),150,211,40000,4200,7850,300000,42.0,63.2,85.0,1,Altimeter
Bain Capital Ventures,Venture,4,4,Apollo.io|Decagon|Docker|GoCardless,Feb-22,Jan-26,"Marketing & Customer Engagement(2)|Commerce & Payments Software(1)|Data, AI & Developer Tools(1)",Horizontal(4),Customer Service(1)|Engineering & Design(1)|Finance & Payments(1)|Sales(1),SMB(2)|DEV(1)|LOB(1),SEATS(2)|CONSUMPTION(1)|TAKE_RATE(1),AI_NEUTRAL(2)|AI_EMBEDDED(1)|AI_NATIVE(1),D(2)|C(1)|G(1),100,178,312,1600,2100,4500,16.0,31.5,45.0,1,Bain Capital Ventures
CapitalG,Corporate / strategic,4,4,AlphaSense|Clio|LangChain|Lovable,Sep-23,Dec-25,"Data, AI & Developer Tools(3)|Vertical Software(1)",Horizontal(2)|Financial Services(1)|Legal & Professional Services(1),Engineering & Design(2)|Data & Analytics(1)|Operations(1),DEV(1)|LOB(1)|PROSUMER(1)|SMB(1),SEATS(3)|CONSUMPTION(1),AI_EMBEDDED(2)|AI_NATIVE(2),B(2)|E(1)|F(1),125,240,900,1250,2750,6600,12.5,24.0,78.1,2,CapitalG
GIC,Institutional / sovereign / PE,4,4,Databricks|Factorial|Miro|Notion,Jan-22,Jan-26,"Communications & Collaboration(2)|Business Applications(1)|Data, AI & Developer Tools(1)",Horizontal(4),Data & Analytics(1)|Engineering & Design(1)|HR & Workforce(1)|Productivity(1),SMB(2)|ENT_IT(1)|LOB(1),SEATS(3)|CONSUMPTION(1),AI_EMBEDDED(4),C(2)|I(1)|Secondary(1),120,400,500,1000,14250,43000,18.0,30.1,58.3,0,GIC
J.P. Morgan,Institutional / sovereign / PE,4,3,AlphaSense|Canva|Vanta,Sep-23,Aug-25,"Data, AI & Developer Tools(2)|Cybersecurity(1)|Design & Engineering(1)",Financial Services(2)|Horizontal(2),Data & Analytics(2)|Engineering & Design(1)|Legal & Compliance(1),LOB(2)|PROSUMER(1)|SMB(1),SEATS(3)|PLATFORM(1),AI_EMBEDDED(4),C(1)|E(1)|Growth(1)|Secondary(1),150,150,650,2450,3250,42000,12.5,16.4,24.5,2,J.P. Morgan|J.P. Morgan Growth Equity|J.P. Morgan Asset Management
Atlassian Ventures,Corporate / strategic,3,3,Docker|Miro|Vanta,Jan-22,Jul-24,"Communications & Collaboration(1)|Cybersecurity(1)|Data, AI & Developer Tools(1)",Horizontal(3),Engineering & Design(2)|Legal & Compliance(1),DEV(1)|LOB(1)|SMB(1),SEATS(2)|PLATFORM(1),AI_EMBEDDED(2)|AI_NEUTRAL(1),C(3),105,150,400,2100,2450,17500,24.5,42.0,58.3,1,Atlassian|Atlassian Ventures
BDT & MSD Partners,Institutional / sovereign / PE,3,3,AlphaSense|FloQast|Guesty,Apr-24,Jun-24,"Business Applications(1)|Data, AI & Developer Tools(1)|Vertical Software(1)",Financial Services(1)|Horizontal(1)|Hospitality(1),Data & Analytics(1)|Finance & Payments(1)|Operations(1),LOB(2)|SMB(1),SEATS(2)|PLATFORM(1),AI_EMBEDDED(3),E(1)|F(1)|Growth(1),100,130,650,900,1600,4000,5.5,16.0,20.0,2,BDT & MSD
Benchmark,Venture,3,2,LangChain|Sierra,Sep-25,May-26,"Marketing & Customer Engagement(2)|Data, AI & Developer Tools(1)",Horizontal(3),Customer Service(2)|Engineering & Design(1),LOB(2)|DEV(1),CONSUMPTION(2)|SEATS(1),AI_NATIVE(3),B(1)|E(1)|Growth(1),125,350,950,1250,10000,15800,78.1,100.0,105.3,1,Benchmark
DST Global,Venture,3,3,Anysphere / Cursor|Clay|Harvey,Jun-25,Jan-26,"Data, AI & Developer Tools(1)|Marketing & Customer Engagement(1)|Vertical Software(1)",Horizontal(2)|Legal & Professional Services(1),Engineering & Design(1)|Legal & Compliance(1)|Sales(1),LOB(2)|DEV(1),SEATS(2)|CONSUMPTION(1),AI_NATIVE(2)|AI_EMBEDDED(1),C(1)|E(1)|Secondary(1),300,600,900,5000,5000,9900,19.8,50.0,66.7,1,DST|DST Global
Goldman Sachs,Institutional / sovereign / PE,3,3,AlphaSense|Clio|Vanta,Sep-23,Jul-24,"Cybersecurity(1)|Data, AI & Developer Tools(1)|Vertical Software(1)",Financial Services(1)|Horizontal(1)|Legal & Professional Services(1),Data & Analytics(1)|Legal & Compliance(1)|Operations(1),SMB(2)|LOB(1),SEATS(2)|PLATFORM(1),AI_EMBEDDED(3),C(1)|E(1)|F(1),150,150,900,2450,2500,3000,12.5,15.0,24.5,2,Goldman Sachs|Goldman Sachs AM|Goldman Sachs Alternatives
GV,Corporate / strategic,3,3,Harvey|Sierra|Vercel,May-24,May-26,Cloud & Infrastructure(1)|Marketing & Customer Engagement(1)|Vertical Software(1),Horizontal(2)|Legal & Professional Services(1),Customer Service(1)|Engineering & Design(1)|Legal & Compliance(1),LOB(2)|DEV(1),CONSUMPTION(2)|SEATS(1),AI_NATIVE(2)|AI_EMBEDDED(1),E(3),250,300,950,3250,5000,15800,32.5,66.7,105.3,1,GV
Insight Partners,Venture,3,3,Abnormal Security|Qonto|Writer,Jan-22,Aug-24,"Commerce & Payments Software(1)|Cybersecurity(1)|Data, AI & Developer Tools(1)",Horizontal(3),Finance & Payments(1)|Marketing(1)|Security(1),ENT_IT(2)|SMB(1),SEATS(2)|PLATFORM(1),AI_NATIVE(2)|AI_NEUTRAL(1),D(2)|B(1),100,250,552,750,5000,5100,25.5,41.7,46.9,1,Insight
Menlo Ventures,Venture,3,3,Abnormal Security|Anthropic|Lovable,Aug-24,Dec-25,"Data, AI & Developer Tools(2)|Cybersecurity(1)",Horizontal(3),Engineering & Design(1)|IT & Integration(1)|Security(1),DEV(1)|ENT_IT(1)|PROSUMER(1),CONSUMPTION(2)|SEATS(1),AI_NATIVE(3),B(1)|D(1)|E(1),250,330,3500,5100,6600,61500,25.5,33.0,61.5,2,Menlo|Menlo Anthology
New Enterprise Associates,Venture,3,3,Clio|ElevenLabs|Perplexity,Jul-24,Jan-25,"Consumer & Prosumer Software(1)|Data, AI & Developer Tools(1)|Vertical Software(1)",Horizontal(2)|Legal & Professional Services(1),Data & Analytics(1)|IT & Integration(1)|Operations(1),CONSUMER(1)|DEV(1)|SMB(1),SEATS(2)|CONSUMPTION(1),AI_NATIVE(2)|AI_EMBEDDED(1),C(1)|F(1)|Growth(1),180,500,900,3000,3300,9000,15.0,41.3,142.9,1,NEA
Sapphire Ventures,Venture,3,3,FloQast|Huntress|LangChain,Apr-24,Oct-25,"Business Applications(1)|Cybersecurity(1)|Data, AI & Developer Tools(1)",Horizontal(3),Engineering & Design(1)|Finance & Payments(1)|Security(1),DEV(1)|LOB(1)|SMB(1),SEATS(3),AI_EMBEDDED(2)|AI_NATIVE(1),B(1)|D(1)|E(1),100,125,150,1250,1550,1600,15.5,16.0,78.1,1,Sapphire|Sapphire Ventures
Sixth Street,Institutional / sovereign / PE,3,3,Clio|Contentsquare|Guesty,Jul-22,Jul-24,Vertical Software(2)|Marketing & Customer Engagement(1),Horizontal(1)|Hospitality(1)|Legal & Professional Services(1),Operations(2)|Data & Analytics(1),SMB(2)|LOB(1),PLATFORM(2)|SEATS(1),AI_EMBEDDED(3),F(3),130,600,900,900,3000,5600,5.5,15.0,28.0,1,Sixth Street|Sixth Street Growth
Wellington Management,Crossover / public-market,3,3,Abnormal Security|Glean|Wiz,May-24,Jun-25,"Cybersecurity(2)|Data, AI & Developer Tools(1)",Horizontal(3),Security(2)|Data & Analytics(1),ENT_IT(3),SEATS(2)|PLATFORM(1),AI_NATIVE(2)|AI_EMBEDDED(1),D(1)|E(1)|F(1),150,250,1000,5100,7200,12000,25.5,34.3,72.0,2,Wellington
Alkeon Capital,Crossover / public-market,2,2,Personio|Qonto,Jan-22,Jun-22,Business Applications(1)|Commerce & Payments Software(1),Horizontal(2),Finance & Payments(1)|HR & Workforce(1),SMB(2),PLATFORM(1)|SEATS(1),AI_EMBEDDED(1)|AI_NEUTRAL(1),D(1)|E(1),200,376,552,5000,6750,8500,41.7,63.4,85.0,0,Alkeon
Alpha Wave Global,Crossover / public-market,2,2,HiBob|Ramp,Sep-23,Nov-25,Business Applications(1)|Commerce & Payments Software(1),Horizontal(2),Finance & Payments(1)|HR & Workforce(1),LOB(2),SEATS(1)|TAKE_RATE(1),AI_EMBEDDED(2),Growth(1)|Secondary(1),150,225,300,2700,17350,32000,27.0,29.5,32.0,2,Alpha Wave
Amplify Partners,Venture,2,2,LangChain|dbt Labs,Feb-22,Oct-25,"Data, AI & Developer Tools(2)",Horizontal(2),Data & Analytics(1)|Engineering & Design(1),DEV(2),SEATS(2),AI_NATIVE(1)|AI_NEUTRAL(1),B(1)|D(1),125,174,222,1250,2725,4200,42.0,60.0,78.1,0,Amplify
Bessemer Venture Partners,Venture,2,2,Anthropic|Ramp,Mar-25,Nov-25,"Commerce & Payments Software(1)|Data, AI & Developer Tools(1)",Horizontal(2),Finance & Payments(1)|IT & Integration(1),DEV(1)|LOB(1),CONSUMPTION(1)|TAKE_RATE(1),AI_EMBEDDED(1)|AI_NATIVE(1),E(1)|Secondary(1),300,1900,3500,32000,46750,61500,32.0,46.8,61.5,1,Bessemer
BlackRock,Crossover / public-market,2,2,Contentsquare|GoCardless,Feb-22,Jul-22,Commerce & Payments Software(1)|Marketing & Customer Engagement(1),Horizontal(2),Data & Analytics(1)|Finance & Payments(1),LOB(1)|SMB(1),PLATFORM(1)|TAKE_RATE(1),AI_EMBEDDED(1)|AI_NEUTRAL(1),F(1)|G(1),312,456,600,2100,3850,5600,21.0,24.5,28.0,0,BlackRock
Bpifrance,Institutional / sovereign / PE,2,2,Contentsquare|PayFit,Jan-22,Jul-22,Business Applications(1)|Marketing & Customer Engagement(1),Horizontal(2),Data & Analytics(1)|HR & Workforce(1),LOB(1)|SMB(1),PLATFORM(1)|SEATS(1),AI_EMBEDDED(1)|AI_NEUTRAL(1),E(1)|F(1),289,444,600,2100,3850,5600,21.0,24.5,28.0,0,Bpifrance
Citi Ventures,Corporate / strategic,2,2,Docker|Writer,Mar-22,Nov-24,"Data, AI & Developer Tools(2)",Horizontal(2),Engineering & Design(1)|Marketing(1),DEV(1)|ENT_IT(1),SEATS(2),AI_NATIVE(1)|AI_NEUTRAL(1),C(2),105,152,200,1900,2000,2100,40.4,41.2,42.0,0,Citi Ventures
CRV,Venture,2,2,Factorial|Vercel,Oct-22,May-24,Business Applications(1)|Cloud & Infrastructure(1),Horizontal(2),Engineering & Design(1)|HR & Workforce(1),DEV(1)|SMB(1),CONSUMPTION(1)|SEATS(1),AI_EMBEDDED(2),C(1)|E(1),120,185,250,1000,2125,3250,32.5,32.9,33.3,0,CRV
Dragoneer,Crossover / public-market,2,2,Miro|Rippling,Jan-22,Apr-24,Business Applications(1)|Communications & Collaboration(1),Horizontal(2),Engineering & Design(1)|HR & Workforce(1),LOB(1)|SMB(1),SEATS(2),AI_EMBEDDED(2),C(1)|F(1),200,300,400,13500,15500,17500,38.6,48.5,58.3,1,Dragoneer
Eurazeo,Institutional / sovereign / PE,2,2,PayFit|Qonto,Jan-22,Jan-22,Business Applications(1)|Commerce & Payments Software(1),Horizontal(2),Finance & Payments(1)|HR & Workforce(1),SMB(2),PLATFORM(1)|SEATS(1),AI_NEUTRAL(2),D(1)|E(1),289,420,552,2100,3550,5000,21.0,31.4,41.7,0,Eurazeo
Fidelity,Crossover / public-market,2,2,Anthropic|Canva,Mar-25,Aug-25,"Data, AI & Developer Tools(1)|Design & Engineering(1)",Horizontal(2),Engineering & Design(1)|IT & Integration(1),DEV(1)|PROSUMER(1),CONSUMPTION(1)|SEATS(1),AI_EMBEDDED(1)|AI_NATIVE(1),E(1)|Secondary(1),3500,3500,3500,42000,51750,61500,12.7,37.1,61.5,0,Fidelity|Fidelity Management & Research
Founders Fund,Venture,2,2,Ramp|Rippling,Apr-24,Nov-25,Business Applications(1)|Commerce & Payments Software(1),Horizontal(2),Finance & Payments(1)|HR & Workforce(1),LOB(1)|SMB(1),SEATS(1)|TAKE_RATE(1),AI_EMBEDDED(2),F(1)|Secondary(1),200,250,300,13500,22750,32000,32.0,35.3,38.6,2,Founders Fund
General Atlantic,Institutional / sovereign / PE,2,2,PayFit|Spendesk,Jan-22,Jan-22,Business Applications(2),Horizontal(2),Finance & Payments(1)|HR & Workforce(1),SMB(2),PLATFORM(1)|SEATS(1),AI_EMBEDDED(1)|AI_NEUTRAL(1),C(1)|E(1),114,202,289,1140,1620,2100,21.0,21.9,22.8,0,General Atlantic
General Catalyst,Venture,2,2,Anthropic|Deel,Mar-25,Oct-25,"Business Applications(1)|Data, AI & Developer Tools(1)",Horizontal(2),HR & Workforce(1)|IT & Integration(1),DEV(1)|LOB(1),CONSUMPTION(1)|SEATS(1),AI_EMBEDDED(1)|AI_NATIVE(1),E(2),300,1900,3500,17300,39400,61500,17.3,39.4,61.5,1,General Catalyst
Google,Corporate / strategic,2,2,Anthropic|Replit,May-23,Sep-25,"Data, AI & Developer Tools(2)",Horizontal(2),Engineering & Design(1)|IT & Integration(1),DEV(1)|LOB(1),CONSUMPTION(2),AI_NATIVE(2),C(2),250,350,450,3000,3500,4000,20.0,30.0,40.0,1,Google|Google AI Futures Fund
