LSE:OCDO,Ocado Group plc,Owned-Inventory Retail,Commerce Enablement & Fulfilment,Food & Grocery,Commerce Operations,CONSUMER,PAID_ACQUISITION,GMV_RETAIL,DESTINATION,AI_EMBEDDED,,1,Online Grocery|Automated Fulfilment Centres|Robotics Licensing|Owned Inventory|Ocado Solutions|Grocery Partnerships,"sells groceries directly to consumers via automated warehouses, and separately licenses its robotic fulfilment tech to other grocers"
LSE:CKN,Clarkson PLC,Market Infrastructure & Exchange,Financial Data & Index,Financial Services,Trading & Markets,LOB,ENT_SALES,TRANSACTION_FEE,AGGREGATOR,AI_EXPOSED,,1,Shipbroking|Vessel Chartering|Sale And Purchase|Maritime Research|Shipping Indices|Broking Commissions,"brokers ship chartering and sale-and-purchase deals between shipowners and charterers for commission, and sells maritime market data"
LSE:BBOX,Tritax Big Box REIT plc,Commerce Enablement & Fulfilment,,Real Estate,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_NEUTRAL,,1,Big Box Warehouse REIT|Logistics Real Estate|Long Lease Income|E-commerce Landlord|UK Distribution Centres|Passive Landlord Model,"owns and leases large ""big box"" logistics warehouses to e-commerce and retail tenants under long-term leases"
XTRA:DHL,Deutsche Post AG,Local Delivery & On-Demand,Commerce Enablement & Fulfilment,Horizontal,Operations,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,DHL Express|German Mail And Parcel|Global Forwarding|Contract Logistics|Cross-border Parcel|Own Air Fleet,"operates the DHL express-parcel network plus German domestic mail, freight forwarding, and contract warehousing"
XTRA:HFG,HelloFresh SE,Owned-Inventory Retail,,Food & Grocery,Commerce Operations,CONSUMER,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,DESTINATION,AI_EMBEDDED,,1,Meal Kit Subscription|Owned Inventory|Direct To Consumer|Recipe Boxes|Demand Forecasting|Multi-brand Portfolio,buys and packs ingredients into recipe-based meal kits shipped directly to subscribing consumers
ENXTPA:IDL,ID Logistics Group SA,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EMBEDDED,,1,Contract Logistics|Warehouse Operations|E-commerce Fulfilment|Retailer Outsourcing|European And Global Footprint|French Retail Clients,"runs outsourced warehouses under contract for retail and e-commerce clients across Europe, the Americas and Asia"
ENXTPA:STF,STEF SA,Commerce Enablement & Fulfilment,,Food & Grocery,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EXPOSED,,1,Temperature Controlled Logistics|Food Transport|Cold Chain Warehousing|French And European Network|Dedicated Fleet|Producer To Retailer,transports and warehouses chilled and frozen food on behalf of food producers and retailers across Europe
ENXTAM:PNL,PostNL N.V.,Local Delivery & On-Demand,,Horizontal,Operations,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EXPOSED,,1,Dutch Postal Operator|Parcel Delivery|E-commerce Last Mile|Mail Network|Cross-border Parcel|Postal Universal Service,delivers mail and e-commerce parcels across the Netherlands and cross-border Europe over its own postal network
ENXTAM:INPST,InPost S.A.,Local Delivery & On-Demand,,Horizontal,Operations,CONSUMER,PAID_ACQUISITION,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,Parcel Locker Network|Out-of-home Delivery|Click And Collect|Own Locker Infrastructure|European Expansion|Mondial Relay,"operates an automated parcel-locker network where consumers collect e-commerce deliveries, billed per parcel to merchants"
CPSE:DSV,DSV A/S,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Global Freight Forwarding|Asset-light Model|Air Sea And Road|Serial Acquirer|Contract Logistics|Danish Headquartered,"arranges global air, sea and road freight for shippers without owning transport assets, buying capacity and reselling it"
CPSE:NTG,NTG Nordic Transport Group,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Nordic Freight Forwarding|Asset-light Trucking|Road And Sea Freight|European Network|Agent Model|Nasdaq Copenhagen Listed,"brokers road, sea and air freight capacity for shippers across the Nordics and Europe"
WSE:PKP,Pkp Cargo S.A.,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,,1,Rail Freight Carrier|Own Rolling Stock|Intermodal Container Transport|Polish State-linked|Bulk And Intermodal Cargo|Coal And Bulk Cargo,hauls freight and intermodal containers on its own rail rolling stock across Poland and neighboring countries
TSE:9064,Yamato Holdings Co.,Local Delivery & On-Demand,,Horizontal,Operations,CONSUMER,CHANNEL,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,Takkyubin Parcel Network|Japan Home Delivery|Own Fleet And Depots|Convenience Store Pickup|E-commerce Last Mile|B2C Parcel Leader,"operates Japan's largest door-to-door parcel network (Takkyubin), delivering packages for consumers and e-commerce merchants"
TSE:9143,"SG Holdings Co., Ltd.",Local Delivery & On-Demand,Commerce Enablement & Fulfilment,Horizontal,Operations,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EXPOSED,,1,Sagawa Express|Parcel Delivery Network|Logistics Solutions|Own Trucking Fleet|Japan Domestic Network|Time Definite Delivery,operates the Sagawa Express parcel network plus contract logistics services across Japan
TSE:9147,Nippon Express Holdings,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Freight Forwarding|Global Logistics|Warehousing|Air And Ocean Cargo|Japan-headquartered Network|Project Cargo,"arranges international freight forwarding and runs contract warehousing for shippers, primarily out of Japan"
TSE:9301,Mitsubishi Logistics,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_NEUTRAL,,1,Warehousing|Harbor Transport|Real Estate Segment|Mitsubishi Group|Logistics And Property Hybrid|Trading House Affiliated,"operates warehousing and port logistics services, alongside a significant owned commercial real estate portfolio"
TSE:6178,Japan Post Holdings,Digital Bank & Deposits,Local Delivery & On-Demand,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,BRAND,AI_NEUTRAL,,1,Postal Bank Insurance Conglomerate|Japan Post Bank|Japan Post Insurance|Branch Network|Yu-Pack Parcel|State-owned Conglomerate,"runs Japan's postal service alongside its own bank and life insurer, with banking and insurance driving most of group value"
TSE:3182,Oisix Inc.,Owned-Inventory Retail,,Food & Grocery,Commerce Operations,CONSUMER,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,DESTINATION,AI_EMBEDDED,,1,Organic Meal Kit|Grocery Subscription|Owned Inventory|Direct To Consumer|Japan D2C Food|Producer Partnerships,"sells subscription meal kits and organic groceries directly to Japanese consumers, holding its own inventory"
SZSE:002352,"S.F. Holding Co., Ltd.",Local Delivery & On-Demand,Commerce Enablement & Fulfilment,Horizontal,Operations,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,SF Express|China Parcel Network|Premium Time-definite Delivery|Own Air Fleet|Cold Chain And Supply Chain Units|Shenzhen A-share Listed,"operates China's largest premium express-parcel network via its own ground and air fleet, billed per shipment"
NYSE:ZTO,ZTO Express (Cayman) Inc.,Local Delivery & On-Demand,,Horizontal,Operations,LOB,CHANNEL,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,China Parcel Network|Franchise Partner Model|E-commerce Last Mile|Sorting Hub Network|Low Cost Volume Carrier|Dual Listed HKEX,moves e-commerce parcels across China through a network of franchised delivery partners and company-owned sorting hubs
SEHK:1519,J&T Global Express Limited,Local Delivery & On-Demand,,Horizontal,Operations,LOB,CHANNEL,TRANSACTION_FEE,INFRA_LAYER,AI_EXPOSED,,1,Southeast Asia Parcel Network|China Express|Cross-border Expansion|Franchise Model|Emerging Market Delivery|Tencent Backed,"delivers e-commerce parcels across China, Southeast Asia and other emerging markets through a franchised courier network"
SEHK:636,KLN Logistics Group,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Integrated Logistics|Freight Forwarding|Contract Logistics|Asia Pacific Network|DHL Majority-owned|Hong Kong Headquartered,provides freight forwarding and contract logistics/warehousing services across Asia Pacific for enterprise shippers
SEHK:598,Sinotrans Limited,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Chinese State Freight Forwarder|Shipping Agency|Warehousing|Supply Chain Services|A/H Dual Listed|State-backed SOE,"provides freight forwarding, shipping agency and warehousing services as a state-backed Chinese logistics group"
NYSE:YMM,Full Truck Alliance Co. Ltd.,Third-Party Marketplace,Commerce Enablement & Fulfilment,Horizontal,Marketplace Operations,LOB,NETWORK_EFFECT,TRANSACTION_FEE,AGGREGATOR,AI_EMBEDDED,,1,Digital Truck Matching|China Trucking Marketplace|Two-sided Network|Freight App|Shipper-carrier Matching|Tencent Backed,"runs a two-sided app matching shippers with independent truckers across China, taking a fee per matched load"
NSEI:DELHIVERY,Delhivery Limited,Local Delivery & On-Demand,Commerce Enablement & Fulfilment,Horizontal,Operations,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,Tech-enabled Logistics|E-commerce Fulfilment|Express Parcel|Warehousing|Cross-border Freight|Full Stack Supply Chain,"offers a full-stack tech-enabled logistics platform -- express parcel delivery, freight, warehousing and fulfilment -- mainly for Indian e-commerce"
NSEI:BLUEDART,Blue Dart Express Limited,Local Delivery & On-Demand,,Horizontal,Operations,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EXPOSED,,1,Express Parcel India|DHL Affiliate|Own Air And Ground Network|B2B And B2C Delivery|Time-definite Service|Bombay Stock Exchange Also Listed,"operates India's premium express air-and-ground parcel network, majority-owned by DHL"
NSEI:CONCOR,Container Corporation of India,Commerce Enablement & Fulfilment,Local Delivery & On-Demand,Horizontal,Supply Chain,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,,1,Rail Container Logistics|Intermodal Terminals|Own Rail Rakes|First And Last Mile Trucking|Government-linked|Public Sector Enterprise,"moves containerized cargo on its own rail rakes between inland terminals, also handling first/last-mile trucking"
NSEI:SNOWMAN,Snowman Logistics Limited,Commerce Enablement & Fulfilment,,Food & Grocery,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EXPOSED,,1,Cold Chain Logistics|Temperature Controlled Warehousing|Reefer Transport|India Dairy And QSR Clients|Gateway Distribution Parks|Indian Cold Chain Pioneer,"operates temperature-controlled warehouses and refrigerated transport for Indian food, dairy and QSR customers"
ASX:LAU,Lindsay Australia Limited,Commerce Enablement & Fulfilment,,Food & Grocery,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EXPOSED,,1,Fresh Produce Logistics|Refrigerated Transport|Rail And Road Freight|Horticulture Growing Division|Regional Australia Network|Cold Chain Fleet,"transports fresh produce by road and rail for Australian growers and retailers, and also grows and markets fruit itself"
BOVESPA:JSLG3,JSL S.A.,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EXPOSED,,1,Brazilian Road Freight|Dedicated Fleet Outsourcing|Logistics Services|Fleet Management|Simpar Group|Used Truck Sales,"provides dedicated trucking, freight transport and outsourced fleet management for Brazilian corporate customers"
BOVESPA:TGMA3,Tegma Gestao Logistica S.A.,Commerce Enablement & Fulfilment,,Automotive,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EXPOSED,,1,Automotive Logistics|Vehicle Distribution|PDI Services|OEM Outsourcing|Used Car Marketplace Unit|Brazil OEM Contracts,distributes new vehicles from Brazilian automakers to dealers and provides pre-delivery-inspection logistics services
BMV:TRAXION A,"Grupo Traxion, S.A.B. de C.V.",Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EXPOSED,,1,Mexican Freight And Logistics|Passenger Mobility Division|Fleet Leasing|Cargo Transport|Diversified Transportation|Bolsa Mexicana Listed,"provides freight transport and logistics services in Mexico, alongside a separate passenger-mobility/bus division"
IBSE:RYSAS,Reysas Tasimacilik ve Lojistik,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_NEUTRAL,,1,Turkish Logistics|Warehousing|Trucking Fleet|Logistics Real Estate Arm|Regional Freight Network|Container Terminal,"provides trucking, warehousing and freight logistics services across Turkey, alongside a listed logistics-property subsidiary"
NYSE:AMN,"AMN Healthcare Services, Inc.",Freelance & Services Marketplace,,Healthcare & Life Sciences,HR & Workforce,LOB,ENT_SALES,SERVICES_LED,AGGREGATOR,AI_EXPOSED,,1,Healthcare Staffing|Travel Nurses|Locum Tenens|Vendor Management System|Workforce Solutions|Hospital Clients,"places travel nurses, physicians and allied health staff with hospitals on temporary contracts, billing a marked-up rate"
NYSE:RBA,"RB Global, Inc.",Third-Party Marketplace,,Automotive,Marketplace Operations,LOB,CHANNEL,TRANSACTION_FEE,AGGREGATOR,AI_EMBEDDED,,1,Equipment Auctions|Vehicle Salvage Auctions|IAA Integration|Buyer And Seller Fees|Online And On-site Bidding|Global Auction Sites,"auctions used heavy equipment and, via IAA, salvage vehicles, charging both buyers and sellers transaction fees"
NASDAQGS:CPRT,"Copart, Inc.",Third-Party Marketplace,,Automotive,Marketplace Operations,LOB,CHANNEL,TRANSACTION_FEE,AGGREGATOR,AI_EMBEDDED,,1,Salvage Vehicle Auctions|Insurance Company Clients|Online Bidding Platform|Vehicle Storage Yards|Global Expansion|Member-based Bidding,"auctions salvage and used vehicles online on behalf of insurers and dealers, charging fees to both sides"
NASDAQGS:LQDT,"Liquidity Services, Inc.",Third-Party Marketplace,,Horizontal,Marketplace Operations,LOB,CHANNEL,TRANSACTION_FEE,AGGREGATOR,AI_EXPOSED,,1,Surplus And Returns Auctions|B2B Liquidation Marketplace|Government Surplus|Retail Returns|Multi-industry Sellers|Machinio Marketplace,"runs online B2B auction marketplaces where retailers, manufacturers and government agencies liquidate surplus and returned goods"
NASDAQGS:XMTR,"Xometry, Inc.",Third-Party Marketplace,,Manufacturing,Marketplace Operations,LOB,PLG,TAKE_RATE,AGGREGATOR,AI_EMBEDDED,,1,On-demand Manufacturing|Custom Parts Marketplace|CNC And 3D Printing|Instant Quoting|Supplier Network|Marketplace Take Rate,"matches buyers of custom-manufactured parts with a network of machine shops, instantly quoting jobs via AI pricing"
NASDAQGM:GCT,GigaCloud Technology Inc,Third-Party Marketplace,Commerce Enablement & Fulfilment,Retail & E-commerce,Marketplace Operations,LOB,CHANNEL,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,B2B Marketplace|Large Parcel Goods|Cross-border Sourcing|Own Fulfilment Network|Furniture And Appliances|Nasdaq Listed,"runs a B2B marketplace connecting Asian manufacturers of large-parcel goods (furniture, appliances) with global resellers, plus its own fulfilment network"
NASDAQGM:CRGO,Freightos Limited,Third-Party Marketplace,,Horizontal,Marketplace Operations,LOB,PLG,TRANSACTION_FEE,AGGREGATOR,AI_EMBEDDED,,1,Digital Freight Booking|Ocean And Air Rate Marketplace|WebCargo Airline Platform|Freight Marketplace|Instant Booking|SaaS Rate Management,runs an online marketplace where shippers instantly compare and book ocean and air freight rates from forwarders and airlines
NASDAQGS:ZIP,"ZipRecruiter, Inc.",Classifieds & Listings,,Recruitment & Work,Listings & Discovery,SMB,PAID_ACQUISITION,LISTING_FEE,AGGREGATOR,AI_EMBEDDED,,1,Job Board|AI Matching|Employer Job Postings|Resume Database|Multi-site Distribution|Subscription Postings,"lets employers post job openings and uses AI matching to surface candidates, charging subscription/listing fees"
NYSE:DHX,"DHI Group, Inc.",Classifieds & Listings,,Recruitment & Work,Listings & Discovery,SMB,PAID_ACQUISITION,LISTING_FEE,DESTINATION,AI_EMBEDDED,,1,Tech Job Board|Dice.com|ClearanceJobs|Employer Subscriptions|Candidate Database|Niche Vertical Recruiting,"runs Dice.com and ClearanceJobs, niche job boards for tech and security-cleared talent, selling employer subscriptions"
NASDAQGS:BZ,Kanzhun Limited,Classifieds & Listings,,Recruitment & Work,Listings & Discovery,SMB,PAID_ACQUISITION,LISTING_FEE,AGGREGATOR,AI_EMBEDDED,,1,Boss Zhipin App|Direct Chat Recruiting|China Job Marketplace|Employer Subscriptions|AI Matching|Freemium Jobseeker App,"runs the Boss Zhipin app, letting Chinese employers and jobseekers chat directly, monetized via employer subscriptions"
NASDAQGS:LZ,"LegalZoom.com, Inc.",Vertical Software,Freelance & Services Marketplace,Legal & Professional Services,Legal & Compliance,CONSUMER,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,DESTINATION,AI_EXPOSED,,1,Online Legal Documents|Business Formation|Attorney Network|Subscription Legal Plans|Consumer And SMB|Registered Agent Services,"sells DIY legal document and business-formation subscriptions to consumers and small businesses, with an attorney referral network"
LSE:RWA,Robert Walters plc,Freelance & Services Marketplace,,Recruitment & Work,HR & Workforce,LOB,ENT_SALES,SERVICES_LED,AGGREGATOR,AI_EXPOSED,,1,Professional Recruitment|Permanent And Contract Placement|Specialist Consultants|Global Offices|White Collar Staffing|Executive Search,"places professional and specialist candidates with employers on permanent or contract terms, earning placement/markup fees"
LSE:ATG,Auction Technology Group plc,Third-Party Marketplace,,Horizontal,Marketplace Operations,LOB,CHANNEL,TAKE_RATE,AGGREGATOR,AI_EMBEDDED,,1,Online Auction Platforms|Third Party Auctioneer Software|LiveAuctioneers|Bidspotter|Industrial And Estate Sales|Marketplace-plus-software Model,"operates online bidding platforms (LiveAuctioneers, BidSpotter and others) that let independent auctioneers sell to global bidders, taking a buyer-side fee"
LSE:HAS,Hays plc,Freelance & Services Marketplace,,Recruitment & Work,HR & Workforce,LOB,ENT_SALES,SERVICES_LED,AGGREGATOR,AI_EXPOSED,,1,Global Staffing|Permanent And Temp Placement|Specialist Recruitment|Branch Network|White Collar And Technical|IT And Finance Specialisms,"places permanent and temporary professional staff with employers across many specialisms and countries, earning placement/markup fees"
ASX:HPG,hipages Group Holdings,Freelance & Services Marketplace,,Home & Field Services,Marketplace Operations,SMB,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,AGGREGATOR,AI_EMBEDDED,,1,Tradie Marketplace|Home Services Leads|Subscription For Tradespeople|Consumer Job Requests|Australia|Lead Generation Model,connects consumers needing home trade work with tradespeople who pay a subscription for job leads
ASX:ART,Airtasker Limited,Freelance & Services Marketplace,,Horizontal,Marketplace Operations,CONSUMER,NETWORK_EFFECT,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Task Marketplace|Gig Economy|Local Services|Consumer To Consumer|Bidding For Jobs|UK And US Expansion,"lets consumers post local tasks and errands that individual taskers bid on, taking a service fee from the transaction"
ASX:FLN,Freelancer Limited,Freelance & Services Marketplace,,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Global Freelance Marketplace|Project Bidding|Contest-based Work|Escrow Payments|Digital And Professional Skills|Escrow Payments Unit,"runs a global marketplace where businesses post projects that freelancers bid on, taking a fee on payments"
ASX:ELD,Elders Limited,Third-Party Marketplace,,Horizontal,Trading & Markets,LOB,CHANNEL,TRANSACTION_FEE,AGGREGATOR,AI_NEUTRAL,,1,Agribusiness Conglomerate|Livestock And Wool Broking|Rural Merchandise|Farm Real Estate|Branch And Agent Network|Agricultural Inputs Retail,brokers livestock and wool sales and sells farm inputs and services to Australian and NZ rural customers through a branch network
TSE:4194,"Visional, Inc.",Classifieds & Listings,Vertical Software,Recruitment & Work,Listings & Discovery,SMB,PLG,LISTING_FEE,AGGREGATOR,AI_EMBEDDED,,1,BizReach Job Platform|Direct Recruiting|Employer Subscriptions|HR SaaS Portfolio|Scout-based Matching|Tokyo Prime Listed,"runs the BizReach direct-recruiting platform where employers scout candidates directly, plus a portfolio of HR SaaS tools"
TSE:2175,"SMS Co., Ltd.",Classifieds & Listings,Vertical Software,Healthcare & Life Sciences,HR & Workforce,SMB,PAID_ACQUISITION,LISTING_FEE,AGGREGATOR,AI_EXPOSED,,1,Caregiver Job Matching|Elder Care Recruitment|Healthcare Information Media|Facility SaaS|Japan Aging Population|Nursing Facility Software,"matches caregivers and nurses with elder-care employers via job platforms, and sells software to care facilities"
TSE:4480,"Medley, Inc.",Classifieds & Listings,Vertical Software,Healthcare & Life Sciences,HR & Workforce,SMB,PAID_ACQUISITION,LISTING_FEE,AGGREGATOR,AI_EMBEDDED,,1,Job Medley Caregiver Listings|CLINICS Telemedicine|Healthcare Information Media|Recruitment And SaaS Hybrid|Telemedicine Platform|Job Listings Hybrid,runs the Job Medley caregiver/healthcare job-listings platform alongside a separate CLINICS telemedicine SaaS product
TSE:3064,"MonotaRO Co., Ltd.",Third-Party Marketplace,,Manufacturing,Marketplace Operations,SMB,PLG,PRODUCT_SALES,DESTINATION,AI_EMBEDDED,,1,MRO E-commerce|Industrial Supplies|Own Inventory Plus Marketplace|Small Business Buyers|Japan B2B Distribution|SMB Long Tail Customers,"sells maintenance-repair-operations supplies to Japanese businesses online, from both owned inventory and a growing third-party marketplace"
TSE:2492,Infomart Corporation,Third-Party Marketplace,Business Applications,Food & Grocery,Supply Chain,SMB,PLG,TRANSACTION_FEE,AGGREGATOR,AI_EXPOSED,,1,Foodservice B2B Platform|Restaurant Supplier Ordering|EDI Ordering|BtoB e-invoicing|Japan Food Supply Chain|Cloud Invoicing SaaS,"runs a B2B ordering platform connecting restaurants and food-service operators with their suppliers, plus a separate e-invoicing SaaS product"
