"# Fairway peer positioning tags for listed software. Keyed on exchange_ticker."
# These are Fairway's tags, not CapIQ's. They exist so the reveal can narrow the set to the four
# or five names a given founder should actually be compared against.
#
# SIZE IS NOT A SELECTION CRITERION. A comparable is chosen on profile, end market, end customer,
# business model, growth and profitability. How big the peer is does not make it more or less
# comparable. Relative size is shown NEXT TO each comparable, because a founder needs it to read
# the multiple, but it never includes or excludes a name. If the best comparable in a category is
# forty times the size of the subject, it is still the best comparable and it gets shown.
#
# Serial acquirers need no special rule either. Software Consolidator is an archetype, so a founder
# who is not an acquirer simply does not match one. The reason it matters: Constellation trades at
# 3.3x because it buys about a hundred businesses a year at around 1x revenue, not because its
# software earns 3.3x. That is a different business, and the archetype says so.
#
# acv_usd_disclosed is derived from what the company itself discloses: its published ACV or ARPU
# where it gives one, otherwise NTM revenue divided by a disclosed customer count. Blank where the
# company discloses no count. Counting bases differ (accounts, sites, seats, locations, users), so
# treat it as an order of magnitude, not a figure. Provenance is in the workbook.
# product_tags are the category names a founder or their website would actually use. They are for
# semantic matching, not exact string matching: most tags are deliberately narrow.
# in_stats=0 means the row stays in the set but comes out of medians and regressions.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,ai_stance,acv_usd_disclosed,in_stats,product_tags,what_it_does
NASDAQGS:BLKB,"Blackbaud, Inc.",Vertical Software,,Nonprofit,Customer Engagement,LOB,MIDMARKET,PLATFORM,SOR,AI_NEUTRAL,,1,Fundraising Software|Donor Management|Nonprofit CRM|Grant Management|Peer-to-Peer Fundraising,"fundraising, donor relationship and financial management software for nonprofits, schools and foundations"
TSX:BB,BlackBerry Limited,Cybersecurity,Vertical Software,Automotive,Security,ENT_IT,OEM,ROYALTY,INFRA_LAYER,AI_NEUTRAL,,1,Embedded OS|RTOS|Automotive Software|Secure Messaging|Unified Endpoint Management|Critical Event Management,QNX embedded operating system for vehicles plus secure communications software for government and enterprise
NASDAQGS:BL,"BlackLine, Inc.",Business Applications,,Horizontal,Finance & Payments,LOB,ENT_SALES,SEATS,SOR,AI_EMBEDDED,183000,1,Financial Close|Account Reconciliation|Accounting Automation|Record to Report,accounting close automation and account reconciliation for finance teams
NYSE:BLND,"Blend Labs, Inc.",Vertical Software,,Financial Services,Customer Engagement,ENT_IT,ENT_SALES,CONSUMPTION,SOE,AI_EMBEDDED,,1,Mortgage Software|Loan Origination|Digital Lending|Consumer Banking Onboarding,digital origination front end for mortgages and consumer banking products
NYSE:BOX,"Box, Inc.",Business Applications,Cloud & Infrastructure,Horizontal,IT & Integration,ENT_IT,ENT_SALES,SEATS,SOR,AI_EMBEDDED,13000,1,Content Management|File Sharing|Enterprise Content Management|ECM|Document Collaboration|Cloud Storage,enterprise content management and secure file collaboration
NASDAQGS:BRZE,"Braze, Inc.",Marketing & Customer Engagement,,Horizontal,Marketing,LOB,ENT_SALES,PLATFORM,SOE,AI_EMBEDDED,344000,1,Customer Engagement|Marketing Automation|Push Notifications|Mobile Marketing|Cross-Channel Messaging,"customer engagement platform orchestrating push, email and in-app messaging"
NYSE:AI,"C3.ai, Inc.","Data, AI & Developer Tools",,Horizontal,Data & Analytics,ENT_IT,CHANNEL,PLATFORM,PLATFORM_SUITE,AI_NATIVE,,1,Enterprise AI|AI Platform|Predictive Maintenance|Machine Learning Applications,"enterprise AI application platform sold to industrial, energy and government customers"
NASDAQGS:CDNS,"Cadence Design Systems, Inc.",Design & Engineering,,Semiconductors,Engineering & Design,DEV,ENT_SALES,LICENSE_MAINT,PLATFORM_SUITE,AI_EMBEDDED,,1,EDA|Electronic Design Automation|Chip Design|IC Verification|Semiconductor IP|Simulation,electronic design automation software used to design semiconductors
NASDAQGS:CCCS,CCC Intelligent Solutions Holdings Inc.,Vertical Software,,Insurance,Operations,LOB,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,35000,1,Claims Management|Insurance Software|Auto Claims|Estimating Software|Collision Repair Software,"network and claims software connecting auto insurers, repair shops and parts suppliers"
NASDAQGS:CRNC,Cerence Inc.,Vertical Software,"Data, AI & Developer Tools",Automotive,Engineering & Design,ENT_IT,OEM,ROYALTY,INFRA_LAYER,AI_NATIVE,3475000,1,Voice AI|Conversational AI|In-Car Assistant|Speech Recognition|Automotive Software,"voice assistant and conversational AI embedded in vehicles, paid per car built"
AIM:CER,Cerillion Plc,Vertical Software,,Telecom,Finance & Payments,ENT_IT,ENT_SALES,LICENSE_MAINT,SOR,AI_NEUTRAL,1085000,1,Telecom Billing|Charging|Telecom CRM|BSS|Convergent Billing,"billing, charging and CRM software for smaller telecom operators"
NYSE:NET,"Cloudflare, Inc.",Cloud & Infrastructure,Cybersecurity,Horizontal,IT & Integration,DEV,PLG,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,9800,1,CDN|Web Security|DDoS Protection|Zero Trust|SASE|Edge Computing|DNS|Serverless|AI Agent Infrastructure,"global network delivering web performance, DDoS protection, zero-trust access and edge compute"
NASDAQGS:CVLT,"Commvault Systems, Inc.",Cloud & Infrastructure,Cybersecurity,Horizontal,IT & Integration,ENT_IT,CHANNEL,PLATFORM,INFRA_LAYER,AI_EMBEDDED,,1,Backup & Recovery|Data Protection|Cyber Resilience|Ransomware Recovery|Disaster Recovery,"backup, recovery and cyber-resilience for enterprise data estates"
NASDAQGS:CCSI,"Consensus Cloud Solutions, Inc.",Vertical Software,Cloud & Infrastructure,Healthcare & Life Sciences,IT & Integration,ENT_IT,MIDMARKET,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,3660,1,Cloud Fax|Secure Document Exchange|Healthcare Interoperability|HIPAA Messaging,"cloud fax and secure clinical document exchange, used mainly in US healthcare"
TSX:CSU,Constellation Software Inc.,Software Consolidator,Vertical Software,Horizontal,Operations,LOB,ENT_SALES,LICENSE_MAINT,SOR,AI_NEUTRAL,,1,Vertical Market Software|Serial Acquirer|Mission-Critical Software,serial acquirer running hundreds of small vertical market software businesses
TSX:CVO,Coveo Solutions Inc.,"Data, AI & Developer Tools",Marketing & Customer Engagement,Horizontal,Customer Engagement,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_NATIVE,,1,Enterprise Search|AI Search|Site Search|Product Discovery|Relevance Platform|Semantic Search,"AI-powered enterprise search and relevance for commerce, service and workplace"
NASDAQGS:CRWD,"CrowdStrike Holdings, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,71000,1,EDR|Endpoint Security|XDR|Threat Intelligence|Cloud Security|Managed Detection & Response,"cloud-delivered endpoint detection and response, extended into a broad security platform"
NASDAQGS:DDOG,"Datadog, Inc.","Data, AI & Developer Tools",Cloud & Infrastructure,Horizontal,IT & Integration,DEV,PLG,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,151000,1,Observability|APM|Application Performance Monitoring|Log Management|Infrastructure Monitoring|Cloud Monitoring|LLM Observability|AI Agent Monitoring,"observability platform covering infrastructure, application and log monitoring for engineering teams"
NYSE:DOCN,"DigitalOcean Holdings, Inc.",Cloud & Infrastructure,,Horizontal,IT & Integration,DEV,PLG,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,,1,Cloud Hosting|IaaS|VPS|Managed Kubernetes|GPU Cloud|Developer Cloud,cloud compute and GPU hosting aimed at developers and small teams
TSX:DCBO,Docebo Inc.,Business Applications,,Education,HR & Workforce,LOB,MIDMARKET,PLATFORM,SOR,AI_EMBEDDED,66500,1,LMS|Learning Management System|Corporate Training|E-Learning|Customer Education,"learning management platform for employee, partner and customer training"
NASDAQGS:DOCU,"DocuSign, Inc.",Business Applications,,Horizontal,Legal & Compliance,LOB,ENT_SALES,SEATS,SOR,AI_EMBEDDED,2000,1,E-Signature|Electronic Signature|Contract Lifecycle Management|CLM|Agreement Management,electronic signature and agreement management
NASDAQGS:DBX,"Dropbox, Inc.",Consumer & Prosumer Software,Cloud & Infrastructure,Horizontal,IT & Integration,PROSUMER,PLG,SEATS,SOE,AI_EXPOSED,140,1,File Sync & Share|Cloud Storage|Document Collaboration|File Sharing,"file storage, sync and sharing for individuals and small teams"
NYSE:DT,"Dynatrace, Inc.","Data, AI & Developer Tools",Cloud & Infrastructure,Horizontal,IT & Integration,ENT_IT,ENT_SALES,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,585000,1,Observability|APM|Application Performance Monitoring|Infrastructure Monitoring|AIOps|Digital Experience Monitoring|AI Observability,application performance monitoring and observability with automated root-cause analysis
NYSE:ESTC,Elastic N.V.,"Data, AI & Developer Tools",Cloud & Infrastructure,Horizontal,Data & Analytics,DEV,ENT_SALES,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,83000,1,Search Engine|Vector Search|Log Analytics|Observability|SIEM|Elasticsearch,"search and analytics engine used for logging, observability, security and vector search"
TSX:ENGH,Enghouse Systems Limited,Software Consolidator,Marketing & Customer Engagement,Horizontal,Customer Service,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EXPOSED,,1,Contact Center|Video Conferencing|Telecom OSS|Transit Software|Serial Acquirer,"Canadian acquirer of contact centre, telecom and transit software assets"
NASDAQGS:EVCM,EverCommerce Inc.,Vertical Software,Software Consolidator,Home & Field Services,Operations,SMB,MIDMARKET,PLATFORM,SOR,AI_NEUTRAL,843,1,Field Service Management|Home Services Software|Practice Management|Embedded Payments|Serial Acquirer,"roll-up of software for home services, health and wellness businesses, with payments attached"
HLSE:FSECURE,F-Secure Oyj,Consumer & Prosumer Software,Cybersecurity,Horizontal,Security,CONSUMER,CHANNEL,ROYALTY,TOOL,AI_NEUTRAL,,1,Consumer Antivirus|Endpoint Protection|VPN|Identity Protection|Parental Controls,consumer security and online-safety software distributed mainly through telecom operators
NYSE:FICO,Fair Isaac Corporation,"Data, AI & Developer Tools",Vertical Software,Financial Services,Data & Analytics,ENT_IT,ENT_SALES,ROYALTY,INFRA_LAYER,AI_EMBEDDED,,1,Credit Scoring|Credit Risk|Decision Management|Fraud Detection|Originations|Analytics,"the FICO credit score, plus decisioning and fraud software for lenders"
NASDAQGS:FSLY,"Fastly, Inc.",Cloud & Infrastructure,,Horizontal,IT & Integration,DEV,ENT_SALES,CONSUMPTION,INFRA_LAYER,AI_NEUTRAL,,1,CDN|Edge Computing|Content Delivery|Edge Compute|Image Optimization,edge content delivery and programmable edge compute
NYSE:FIG,"Figma, Inc.",Design & Engineering,,Horizontal,Engineering & Design,LOB,PLG,SEATS,PLATFORM_SUITE,AI_EMBEDDED,,1,UI Design|Prototyping|Design Collaboration|Wireframing|Whiteboard|Design System|Web Design,collaborative interface design and prototyping in the browser
ASX:FCL,FINEOS Corporation Holdings plc,Vertical Software,,Insurance,Operations,ENT_IT,ENT_SALES,SERVICES_LED,SOR,AI_NEUTRAL,3620000,1,Insurance Core Systems|Claims Administration|Policy Administration|Absence Management|Group Benefits,"core administration software for life, accident and group insurance: policy, billing, claims, underwriting and absence"
NASDAQGM:FIVN,"Five9, Inc.",Marketing & Customer Engagement,,Horizontal,Customer Service,LOB,ENT_SALES,SEATS,SOE,AI_EXPOSED,443000,1,Contact Center|CCaaS|Cloud Contact Center|IVR|Workforce Engagement|Conversational AI,cloud contact centre software licensed per agent seat
NASDAQGS:FTNT,"Fortinet, Inc.",Cybersecurity,,Horizontal,Security,ENT_IT,CHANNEL,PLATFORM,INFRA_LAYER,AI_EMBEDDED,17000,1,Firewall|Network Security|SD-WAN|SASE|Endpoint Security|Secure Networking,"network firewalls and a broad security fabric, sold heavily through channel partners"
NASDAQGS:FRSH,Freshworks Inc.,Business Applications,Marketing & Customer Engagement,Horizontal,IT & Integration,SMB,PLG,SEATS,SOE,AI_EXPOSED,13700,1,ITSM|IT Service Management|Help Desk|Customer Support|Service Desk|CRM,IT service management and customer support software for mid-market companies
LSE:GBG,GB Group plc,"Data, AI & Developer Tools",Cybersecurity,Horizontal,Legal & Compliance,LOB,ENT_SALES,CONSUMPTION,INFRA_LAYER,AI_NEUTRAL,20000,1,Identity Verification|KYC|AML|Age Verification|Address Validation|Fraud Prevention|Location Intelligence,"identity verification, location data and fraud checks used for onboarding and KYC"
NASDAQGS:GEN,Gen Digital Inc.,Cybersecurity,Consumer & Prosumer Software,Horizontal,Security,CONSUMER,PLG,PLATFORM,TOOL,AI_EMBEDDED,70,1,Consumer Antivirus|Identity Theft Protection|VPN|Password Manager|Credit Monitoring|Personal Finance,"consumer cyber safety and identity protection (Norton, Avast, LifeLock) plus consumer finance after the MoneyLion acquisition"
NASDAQGS:GTLB,GitLab Inc.,"Data, AI & Developer Tools",,Horizontal,Engineering & Design,DEV,PLG,SEATS,PLATFORM_SUITE,AI_EMBEDDED,108000,1,DevOps|Source Control|Git|CI/CD|DevSecOps|Software Development Platform,"single application for source control, CI/CD and the software development lifecycle"
NYSE:GDDY,GoDaddy Inc.,Cloud & Infrastructure,Commerce & Payments Software,Horizontal,IT & Integration,SMB,PLG,PLATFORM,INFRA_LAYER,AI_EMBEDDED,242,1,Domain Registration|Web Hosting|Website Builder|Online Store|Email Hosting|SSL Certificates,"domains, hosting, website building and commerce tools for very small businesses"
NYSE:GWRE,"Guidewire Software, Inc.",Vertical Software,,Insurance,Operations,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,3270000,1,Insurance Core Systems|Policy Administration|Claims Management|Billing|P&C Insurance Software|Underwriting,"core policy, billing and claims system for property and casualty insurers"
NYSE:HUBS,"HubSpot, Inc.",Marketing & Customer Engagement,Business Applications,Horizontal,Marketing,SMB,PLG,SEATS,SOR,AI_EMBEDDED,11683,1,CRM|Marketing Automation|Sales Automation|Inbound Marketing|Email Marketing|Customer Service Software|CMS,CRM and marketing automation suite for small and mid-market companies
NASDAQGS:IIIV,"i3 Verticals, Inc.",Vertical Software,,Government,Operations,PUBLIC,ENT_SALES,PLATFORM,SOR,AI_NEUTRAL,,1,GovTech|Court Software|Permitting|Utility Billing|Public Administration|Education Software,"software for courts, permitting, utility billing and education, after the merchant payments business was sold"
XTRA:1INN,innoscripta SE,Business Applications,,Horizontal,Finance & Payments,SMB,MIDMARKET,TAKE_RATE,TOOL,AI_EMBEDDED,70000,1,R&D Tax Credit|Grant Management|Innovation Funding|Tax Incentive Software,platform that prepares and files German R&D tax allowance claims for companies
NASDAQGS:INTA,"Intapp, Inc.",Vertical Software,,Legal & Professional Services,Operations,LOB,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,471000,1,Legal Software|Professional Services Automation|Client Lifecycle Management|Conflicts & Risk|Deal Management|DealCloud,"client lifecycle, risk and engagement software for law firms, accountancies and advisers"
NASDAQGS:INTU,Intuit Inc.,Business Applications,Commerce & Payments Software,Horizontal,Finance & Payments,SMB,PLG,PLATFORM,SOR,AI_EMBEDDED,,1,Accounting Software|Bookkeeping|Tax Software|Payroll|Personal Finance|Email Marketing|SMB Finance,"QuickBooks accounting, TurboTax filing, Credit Karma and Mailchimp"
XTRA:IOS,IONOS Group SE,Cloud & Infrastructure,,Horizontal,IT & Integration,SMB,PLG,PLATFORM,INFRA_LAYER,AI_NEUTRAL,259,1,Web Hosting|Domain Registration|Website Builder|Cloud Infrastructure|VPS|Email Hosting,"European web hosting, domains and cloud infrastructure for small businesses"
NASDAQGS:FROG,JFrog Ltd.,"Data, AI & Developer Tools",,Horizontal,Engineering & Design,DEV,PLG,PLATFORM,INFRA_LAYER,AI_EMBEDDED,107000,1,Artifact Repository|Binary Management|DevOps|Software Supply Chain|Package Management|MLOps,binary artifact repository and software supply chain platform for release engineering
TSX:KXS,Kinaxis Inc.,Vertical Software,Business Applications,Manufacturing,Supply Chain,LOB,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,,1,Supply Chain Planning|Demand Planning|S&OP|Inventory Optimization|Supply Chain Orchestration,supply chain planning and scenario simulation for large manufacturers
NYSE:KVYO,"Klaviyo, Inc.",Marketing & Customer Engagement,,Retail & E-commerce,Marketing,SMB,PLG,CONSUMPTION,SOE,AI_EMBEDDED,8200,1,Email Marketing|SMS Marketing|Marketing Automation|CDP|E-commerce Marketing|Customer Data Platform,email and SMS marketing automation built on e-commerce store data
ENXTPA:LSS,Lectra SA,Design & Engineering,Vertical Software,Manufacturing,Engineering & Design,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_NEUTRAL,,1,CAD|Pattern Making|Nesting Software|Cutting Room|Fashion PLM|Textile Software,"CAD, cutting equipment and production software for fashion, automotive and furniture manufacturers"
ASX:360,"Life360, Inc.",Consumer & Prosumer Software,,Horizontal,Customer Engagement,CONSUMER,PLG,PLATFORM,SOE,AI_NEUTRAL,143,1,Family Locator|Location Sharing|Personal Safety|Driving Safety|Item Tracking,"consumer family location-sharing and safety app, monetised on subscriptions and advertising"
TSX:LSPD,Lightspeed Commerce Inc.,Commerce & Payments Software,Vertical Software,Retail & E-commerce,Operations,SMB,MIDMARKET,TAKE_RATE,SOR,AI_NEUTRAL,7224,1,Point of Sale|POS|Retail POS|Restaurant POS|Payment Processing|Inventory Management|E-commerce,point of sale and payments for retail and hospitality merchants
NYSE:RAMP,"LiveRamp Holdings, Inc.","Data, AI & Developer Tools",Marketing & Customer Engagement,Horizontal,Marketing,LOB,ENT_SALES,PLATFORM,INFRA_LAYER,AI_NEUTRAL,1080000,1,Identity Resolution|Data Clean Room|CDP|Data Collaboration|Audience Activation|Customer Data Platform,data collaboration and identity resolution connecting advertisers' first-party data to media
TSXV:LMN,Lumine Group Inc.,Software Consolidator,Vertical Software,Telecom,Operations,ENT_IT,ENT_SALES,LICENSE_MAINT,SOR,AI_NEUTRAL,,1,Communications Software|Media Software|Vertical Market Software|Serial Acquirer,Constellation spinoff acquiring communications and media software businesses
NASDAQGS:MANH,"Manhattan Associates, Inc.",Vertical Software,Business Applications,Retail & E-commerce,Supply Chain,ENT_IT,ENT_SALES,SERVICES_LED,SOR,AI_EMBEDDED,,1,WMS|Warehouse Management|TMS|Transportation Management|Order Management|OMS|Supply Chain Execution,"warehouse, transport and omnichannel order management for large retailers and distributors"
XTRA:MUM,Mensch und Maschine Software SE,Design & Engineering,,Horizontal,Engineering & Design,SMB,CHANNEL,LICENSE_MAINT,TOOL,AI_NEUTRAL,10000,1,CAD Reseller|CAM|CAD/CAM|PLM|Autodesk Partner|Manufacturing Software,German Autodesk channel partner with its own CAD and PLM products
NASDAQGS:MSFT,Microsoft Corporation,Cloud & Infrastructure,Business Applications,Horizontal,IT & Integration,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,,1,Operating System|Office Suite|Cloud Platform|IaaS|PaaS|ERP|CRM|Collaboration|Developer Tools,"Windows, Office, Azure and Dynamics"
NASDAQCM:MITK,"Mitek Systems, Inc.",Cybersecurity,Vertical Software,Financial Services,Legal & Compliance,ENT_IT,OEM,LICENSE_MAINT,INFRA_LAYER,AI_NATIVE,30000,1,Mobile Deposit|Check Imaging|Identity Verification|Biometric Authentication|Document Verification|Fraud Prevention,mobile cheque deposit and identity verification technology embedded in banking apps
NASDAQGM:MDB,"MongoDB, Inc.","Data, AI & Developer Tools",Cloud & Infrastructure,Horizontal,Data & Analytics,DEV,PLG,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,45000,1,Database|NoSQL|Document Database|DBaaS|Vector Database|Managed Database,document database offered as a managed cloud service
NYSE:NABL,"N-able, Inc.",Cloud & Infrastructure,Cybersecurity,Horizontal,IT & Integration,SMB,CHANNEL,PLATFORM,INFRA_LAYER,AI_NEUTRAL,,1,RMM|Remote Monitoring & Management|MSP Software|Backup|Endpoint Security|IT Management,"remote monitoring, backup and security tools sold to managed service providers"
NASDAQGS:NCNO,"nCino, Inc.",Vertical Software,,Financial Services,Operations,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,244000,1,Loan Origination|Digital Banking|Bank Operating System|Account Opening|Commercial Lending|Mortgage Software,cloud banking operating system for loan origination and account opening
