# Fairway tags for the 31 private consumer, commerce and commerce-software companies.
#
# THE SPLIT RULE, applied exactly as it was for fintech. A company that SELLS SOFTWARE TO MERCHANTS
# keeps the SOFTWARE archetypes with industry = Retail & E-commerce, so a founder building commerce
# software matches Klaviyo and also matches the listed software set. A company that IS a consumer or
# commerce business gets the consumer archetypes. Nine are software: Klaviyo, Yotpo, Rokt, Gorgias,
# CommerceIQ, Fabric, Mirakl, Loop Returns, Recharge. Twenty-two are not.
company_key,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,asset_intensity,purchase_frequency,ai_stance,product_tags,what_it_does
loop-returns,Loop Returns,Commerce & Payments Software,Business Applications,Retail & E-commerce,Operations,SMB,PLG,PLATFORM,SOE,NONE,SUBSCRIPTION,AI_NEUTRAL,Returns Management|Exchanges|Reverse Logistics|Shopify Ecosystem|Post-Purchase|Retention,"turns a returns request into an exchange wherever it can, so the merchant keeps the revenue; sold into the Shopify base"
meesho,Meesho,Third-Party Marketplace,,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_NEUTRAL,Online Marketplace|Value E-commerce|Social Commerce|Third-Party Sellers|Zero Commission|India|Tier-2 Cities,"Indian value marketplace serving smaller cities, monetised on advertising and logistics rather than a headline commission"
mirakl,Mirakl,Commerce & Payments Software,,Retail & E-commerce,Operations,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,NONE,SUBSCRIPTION,AI_EMBEDDED,Marketplace Software|Enterprise Marketplace|Seller Onboarding|Catalog Management|Retail Media|Dropship,"lets a large retailer or manufacturer run its own third-party marketplace, handling seller onboarding, catalogue and payouts"
olipop,OLIPOP,Consumer Brand,,Food & Grocery,Commerce Operations,CONSUMER,CHANNEL,PRODUCT_SALES,BRAND,OWN_PRODUCT,REPEAT_TRANSACTION,AI_NEUTRAL,Functional Beverages|Prebiotic Soda|Better-for-You|Grocery Distribution|Owned Brand|CPG|Convenience,"prebiotic soda brand sold mainly through grocery and convenience, so the reported sales figure is a wholesale number and retail scan data is a different, larger measure"
quince,Quince,Consumer Brand,Owned-Inventory Retail,Apparel & Beauty,Commerce Operations,CONSUMER,PAID_ACQUISITION,PRODUCT_SALES,BRAND,OWN_PRODUCT,REPEAT_TRANSACTION,AI_NEUTRAL,Value Apparel|Home Goods|Direct-to-Consumer|Manufacturer-to-Consumer|Owned Brand|Cashmere|Affordable Luxury,"sells its own-label apparel and home goods by cutting the wholesale layer out and going straight from the factory to the customer, so the margin is a brand margin on a value price point"
recharge,Recharge,Commerce & Payments Software,,Retail & E-commerce,Finance & Payments,SMB,PLG,TAKE_RATE,SOR,NONE,SUBSCRIPTION,AI_NEUTRAL,Subscription Commerce|Recurring Billing|Subscription Management|Shopify Ecosystem|Churn Management|Payments,"runs the recurring-order and billing layer for merchants selling subscriptions, earning a platform fee plus a cut of the transactions"
rent-the-runway,Rent the Runway,Consumer Brand,Commerce Enablement & Fulfilment,Apparel & Beauty,Commerce Operations,CONSUMER,ORGANIC_BRAND,SUBSCRIPTION_CONSUMER,DESTINATION,RESALE_INVENTORY,SUBSCRIPTION,AI_NEUTRAL,Fashion Rental|Clothing Subscription|Reverse Logistics|Dry Cleaning|Owned Inventory|Circular Fashion|Womenswear,"rents designer clothing on subscription and per-occasion, owning the garments and running the cleaning and reverse logistics itself, so it carries retail inventory risk on top of a subscription revenue line"
rokt,Rokt,Marketing & Customer Engagement,Commerce & Payments Software,Retail & E-commerce,Marketing,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,Checkout Advertising|Transaction Moment|Offers Network|E-commerce Advertising|Relevance Engine|Performance Marketing,"sells the moment after checkout as advertising inventory, matching an offer to the buyer; books GROSS network revenue and returns about seven of every eight dollars to partners, so its revenue multiple is not comparable to a software one"
savage-x-fenty,Savage X Fenty,Consumer Brand,,Apparel & Beauty,Commerce Operations,CONSUMER,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,BRAND,OWN_PRODUCT,SUBSCRIPTION,AI_NEUTRAL,Lingerie|Apparel|Direct-to-Consumer|Membership|Celebrity Brand|Inclusive Sizing|Owned Brand,lingerie brand sold on a membership model with a celebrity founder as the acquisition engine
shein,SHEIN,Owned-Inventory Retail,Third-Party Marketplace,Apparel & Beauty,Commerce Operations,CONSUMER,PAID_ACQUISITION,GMV_RETAIL,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_EMBEDDED,Online Fashion|Ultra-Fast Fashion|Apparel E-commerce|On-Demand Manufacturing|Cross-Border Commerce|Social Marketing|China,ultra-fast fashion retailer running small test batches through an on-demand supplier network and shipping cross-border direct to the consumer
skims,SKIMS,Consumer Brand,,Apparel & Beauty,Commerce Operations,CONSUMER,ORGANIC_BRAND,PRODUCT_SALES,BRAND,OWN_PRODUCT,REPEAT_TRANSACTION,AI_NEUTRAL,Shapewear|Loungewear|Apparel|Direct-to-Consumer|Owned Brand|Celebrity Brand|Wholesale|Owned Retail,"shapewear and loungewear brand built on founder attention rather than paid acquisition, now expanding into owned stores and wholesale"
stockx,StockX,Third-Party Marketplace,,Apparel & Beauty,Marketplace Operations,CONSUMER,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,Online Marketplace|Sneaker Resale|Collectibles|Authentication|Bid-Ask|Recommerce|Streetwear,"bid-and-ask marketplace for sneakers and collectibles that authenticates every item in transit, so it books GAAP revenue on the fee rather than the shoe"
thrasio,Thrasio,Consumer Brand,Owned-Inventory Retail,Retail & E-commerce,Commerce Operations,CONSUMER,PAID_ACQUISITION,PRODUCT_SALES,BRAND,RESALE_INVENTORY,REPEAT_TRANSACTION,AI_NEUTRAL,Amazon Aggregator|House of Brands|Roll-Up|Third-Party Seller|Private Label|Supply Chain|Acquisition-Led Growth,"buys and operates third-party brands that sell on Amazon, so growth is acquired rather than organic and the reported revenue is a roll-up of businesses owned for varying parts of the period"
trendyol,Trendyol,Third-Party Marketplace,Local Delivery & On-Demand,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_NEUTRAL,Online Marketplace|E-commerce|General Merchandise|Third-Party Sellers|Quick Commerce|Fashion|Turkey,"Turkish general marketplace with quick commerce and delivery arms attached; consolidated inside Alibaba, so no standalone revenue is published"
vestiaire,Vestiaire Collective,Third-Party Marketplace,,Apparel & Beauty,Marketplace Operations,CONSUMER,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,EPISODIC,AI_NEUTRAL,Online Marketplace|Luxury Resale|Consignment|Authentication|Circular Fashion|Recommerce|Europe,"luxury resale marketplace that physically authenticates items, so it carries an operating cost most marketplaces do not"
vinted,Vinted,Third-Party Marketplace,,Apparel & Beauty,Marketplace Operations,CONSUMER,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,Peer-to-Peer Marketplace|Fashion Resale|Recommerce|Circular Fashion|Second-Hand|Buyer Protection Fee|Europe,"peer-to-peer second-hand fashion marketplace where the seller lists free and the BUYER pays the protection fee, which is why the buyer rather than the supply side is the monetised side"
vuori,Vuori,Consumer Brand,,Apparel & Beauty,Commerce Operations,CONSUMER,ORGANIC_BRAND,PRODUCT_SALES,BRAND,OWN_PRODUCT,EPISODIC,AI_NEUTRAL,Performance Apparel|Athleisure|Activewear|Owned Retail|Direct-to-Consumer|Wholesale|Owned Brand,"performance apparel brand growing through its own stores and wholesale, profitable since 2017 and funded entirely by secondary rather than primary capital"
whatnot,Whatnot,Third-Party Marketplace,Streaming & Digital Media,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,Livestream Shopping|Live Commerce|Online Marketplace|Collectibles|Trading Cards|Creator Economy|Third-Party Sellers|Auctions,"livestream shopping marketplace where sellers broadcast and buyers bid live, taking a commission on the sale; publishes GMV and has never published net revenue"
yotpo,Yotpo,Marketing & Customer Engagement,,Retail & E-commerce,Marketing,SMB,PLG,PLATFORM,SOE,NONE,SUBSCRIPTION,AI_EMBEDDED,Reviews|User-Generated Content|Loyalty|Referrals|SMS Marketing|E-commerce Marketing|Subscriptions|Retention,"reviews, loyalty and SMS bundled into one retention suite for online merchants"
gorillas,Gorillas,Local Delivery & On-Demand,,Retail & E-commerce,Commerce & Fulfilment,CONSUMER,PAID_ACQUISITION,OWNED_INVENTORY,SOR,,,AI_NEUTRAL,Instant Grocery|Dark Stores|Quick Commerce|Rapid Delivery|Own Inventory|Urban Fulfilment,"sells groceries from its own dark stores and delivers them in minutes, holding the stock itself"
