# Investor houses appearing in the private consumer, commerce and commerce-software set.
# DERIVED from private-rounds-consumer.csv; regenerate rather than hand-edit.
#
# rounds_led is what the reveal should show. The supplied sheet listed investors without saying who
# led, and independent verification found several lists that were simply wrong: Attentive's Series E
# did not include Sequoia or Bain Capital Ventures, Glossier's Series E did not include Tiger Global,
# Vuori's 2021 round did not include Norwest, OLIPOP's Series C did not include Goldman Sachs AM, and
# Rokt's 2025 secondary was bought by Tiger Global, Square Peg, Barrenjoey and SecondQuarter, not by
# Wellington, which was the 2022 deal. Only houses named in a source that survived verification are
# here.
#
# rounds_on_secondaries matters: buying existing shares in a tender is not the same signal as leading
# a priced primary round, and a founder reading "who is investing in this space" should be able to
# tell the two apart.
investor_house,rounds,rounds_led,rounds_on_secondaries,companies,company_list,first_round,last_round
Basis Set,1,0,0,1,Quince,2025-07,2025-07
BlackRock funds,1,0,1,1,Vinted,2026-04,2026-04
Bpifrance,1,0,0,1,Vestiaire Collective,2021-09,2021-09
Burda,1,0,0,1,Vinted,2021-05,2021-05
CPP Investments,1,0,0,1,Flipkart,2021-07,2021-07
Claltech,1,0,0,1,Yotpo,2021-03,2021-03
Coatue,1,0,0,1,Ankorstore,2022-01,2022-01
Conde Nast,1,0,0,1,Vestiaire Collective,2021-09,2021-09
Counterpoint Global,1,0,0,1,Klaviyo,2021-05,2021-05
Elaia,1,0,0,1,Mirakl,2021-09,2021-09
Felix Capital,1,0,0,1,Mirakl,2021-09,2021-09
FirstMark,1,0,0,1,Loop Returns,2021-07,2021-07
Founders Fund,1,0,0,1,Faire,2021-11,2021-11
Franklin Templeton,1,0,0,1,GOAT Group,2021-06,2021-06
GIC,1,0,0,1,Flipkart,2021-07,2021-07
Glynn Capital,1,0,0,1,Fabric,2022-02,2022-02
Greenoaks,1,0,0,1,SKIMS,2023-07,2023-07
Greycroft,1,0,0,1,Whatnot,2026-08,2026-08
Hanaco,1,0,0,1,Yotpo,2021-03,2021-03
Hedosophia,1,0,1,1,Vinted,2024-10,2024-10
IVP,1,0,0,1,Glossier,2021-07,2021-07
Idris Elba,1,0,0,1,Huel,2022-11,2022-11
Imaginary Ventures,1,0,0,1,SKIMS,2023-07,2023-07
Index,1,0,0,1,Glossier,2021-07,2021-07
Invus,1,0,1,1,Vinted,2024-10,2024-10
Jonathan Ross,1,0,0,1,Huel,2022-11,2022-11
Live Nation,1,0,0,1,Liquid Death,2022-10,2022-10
Madrona,1,0,0,1,CommerceIQ,2022-03,2022-03
Marcy Venture Partners,1,0,0,1,Savage X Fenty,2021-02,2021-02
Meta,1,0,0,1,Meesho,2021-09,2021-09
Mubadala,1,0,0,1,SHEIN,2023-05,2023-05
Ontario Teachers' Venture Growth,1,0,1,1,Vinted,2026-04,2026-04
Owl Rock,1,0,0,1,Klaviyo,2021-05,2021-05
Permira,1,0,0,1,Mirakl,2021-09,2021-09
Princeville,1,0,0,1,Trendyol,2021-08,2021-08
Prosus,1,0,0,1,Meesho,2021-09,2021-09
Renegade,1,0,0,1,Loop Returns,2021-07,2021-07
Ridge Ventures,1,0,0,1,Loop Returns,2021-07,2021-07
Schroders Capital,1,0,1,1,Vinted,2026-04,2026-04
"Science (lead, via SPV)",1,0,0,1,Liquid Death,2022-10,2022-10
SecondQuarter,1,0,1,1,Rokt,2025-01,2025-01
Sprints Capital,1,0,0,1,Back Market,2022-01,2022-01
Stripes,1,0,1,1,Vuori,2024-11,2024-11
SuRo,1,0,0,1,Liquid Death,2022-10,2022-10
Summit,1,0,0,1,Klaviyo,2021-05,2021-05
Summit Partners,1,0,0,1,Recharge,2021-05,2021-05
Sunley House,1,0,0,1,Savage X Fenty,2021-02,2021-02
T. Rowe Price,1,0,0,1,GOAT Group,2021-06,2021-06
Thrive,1,0,0,1,Glossier,2021-07,2021-07
Trinity,1,0,0,1,CommerceIQ,2022-03,2022-03
Ulysses,1,0,0,1,GOAT Group,2021-06,2021-06
"Walmart, buying Tiger Global's stake",1,0,1,1,Flipkart,2023-07,2023-07
Whale Rock,1,0,1,1,StockX,2021-04,2021-04
existing backers offering shares,1,0,1,1,SHEIN,2024-01,2024-01
strategic partners including top distributors,1,0,0,1,Liquid Death,2024-03,2024-03
