# Fairway positioning tags for the listed fintech set. Keyed on exchange_ticker, 87 rows.
#
# TWO VOCABULARY FAMILIES, and which one a name gets is the most important call in this file.
# If the company SELLS SOFTWARE to financial institutions it keeps the SOFTWARE archetypes with
# industry = Financial Services, so a founder building core-banking software matches Temenos AND
# nCino AND the listed software set in one pass. If the company IS A FINANCIAL BUSINESS, earning
# on money it moves, lends, underwrites, custodies or matches, it gets one of ten new archetypes
# defined by ECONOMIC ENGINE rather than sector. Visa at 14.0x and Global Payments at 3.4x are
# both "payments"; a network taking a toll on volume it does not underwrite is not an acquirer
# carrying settlement risk, and a single tag covering both would carry no information.
#
# nCino, Q2 and BILL are INHERITED verbatim from peers-software-tags.csv rather than retyped,
# so the two files cannot drift.
#
# ADVERSARIALLY VERIFIED, Aug 2026. Four agents challenged every field against segment revenue in
# the latest annual reports. 83 field changes were accepted across 47 of the 87 names. The pattern
# was the same one the software audit found: the companies I got wrong were the ones whose name
# describes one business and whose segment disclosure describes another. Toast is 82% payments
# revenue and 72% payments gross profit. Corpay has no software subscription line at all. EVERTEC
# is 18% acquiring and 82% bank processing. Paytm has no bank: the licence was cancelled in 2026.
#
# industry means WHOSE INDUSTRY THE CUSTOMER IS IN. Financial Services is reserved for companies
# selling TO financial institutions. A payments company serving ordinary merchants is Horizontal,
# and an insurer selling cover to consumers is Horizontal, not Insurance.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,ai_stance,product_tags,what_it_does
NYSE:TOST,"Toast, Inc.",Merchant Acquiring & PSP,Vertical Software,Hospitality,Operations,SMB,MIDMARKET,TAKE_RATE,SOR,AI_EMBEDDED,Restaurant Software|Point of Sale|POS|Restaurant Payments|Online Ordering|Payroll|Loyalty|Kitchen Display,"operating system for a restaurant covering orders, kitchen, payroll and loyalty, monetised mainly through the payments attached to it"
NYSE:BILL,"BILL Holdings, Inc.",Commerce & Payments Software,Business Applications,Horizontal,Finance & Payments,SMB,CHANNEL,TAKE_RATE,SOR,AI_EMBEDDED,Accounts Payable|AP Automation|Accounts Receivable|Spend Management|Expense Management|B2B Payments,"accounts payable, receivable and spend management for small businesses, monetised largely on payment volume"
NASDAQ:DLO,DLocal Limited,Merchant Acquiring & PSP,Cross-Border & FX,Horizontal,Finance & Payments,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Emerging Market Payments|Cross-Border Payments|Local Payment Methods|Payin|Payout|Payment Orchestration,single connection that lets a global merchant collect and pay out in local methods across emerging markets
NASDAQ:FLYW,Flywire Corporation,Cross-Border & FX,Vertical Software,Horizontal,Finance & Payments,ENT_IT,ENT_SALES,TAKE_RATE,SOE,AI_EMBEDDED,Cross-Border Payments|Education Payments|Tuition Payments|Healthcare Payments|Invoicing|Payment Plans,"cross-border collections built around specific verticals, chiefly university tuition and hospital billing, with software wrapped around the payment"
NYSE:EVTC,"EVERTEC, Inc.",Vertical Software,Merchant Acquiring & PSP,Financial Services,Finance & Payments,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,AI_NEUTRAL,Merchant Acquiring|Payment Processing|ATM Network|Core Banking|Latin America Payments|Card Issuing,"payment processing, ATM switching and bank core software across Puerto Rico and Latin America"
NASDAQ:EEFT,"Euronet Worldwide, Inc.",Cross-Border & FX,Payment Network,Horizontal,Finance & Payments,CONSUMER,CHANNEL,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,ATM Network|Money Transfer|Remittance|Prepaid|Currency Exchange|Cash Access|Dynamic Currency Conversion,"owns and operates ATMs and money-transfer counters, earning on withdrawals, currency conversion and prepaid top-ups"
NYSE:CPAY,"Corpay, Inc.",Payment Network,Cross-Border & FX,Horizontal,Finance & Payments,LOB,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_EMBEDDED,Corporate Payments|Fuel Cards|Fleet Cards|AP Automation|Cross-Border Payments|Expense Management|Lodging Payments,"closed-loop corporate payment products where the spend category is controlled at the card, chiefly fuel, lodging and supplier payables"
NYSE:PSFE,Paysafe Limited,Merchant Acquiring & PSP,Cross-Border & FX,Media & Gaming,Finance & Payments,SMB,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,iGaming Payments|Digital Wallet|Merchant Acquiring|Prepaid|Skrill|Neteller|Paysafecard|High-Risk Payments,"payments and wallets for sectors mainstream acquirers avoid, chiefly online gambling, plus a cash-to-digital prepaid network"
NASDAQ:PAYO,Payoneer Global Inc.,Cross-Border & FX,Digital Bank & Deposits,Horizontal,Finance & Payments,SMB,PLG,TAKE_RATE,SOR,AI_EMBEDDED,Cross-Border Payments|Marketplace Payouts|Multi-Currency Account|Freelancer Payments|SMB Banking|Working Capital,"multi-currency account for small exporters and marketplace sellers, earning on the FX and the payout rather than on software"
NASDAQ:RELY,"Remitly Global, Inc.",Cross-Border & FX,,Horizontal,Finance & Payments,CONSUMER,PLG,TAKE_RATE,SOE,AI_EMBEDDED,Remittance|Money Transfer|Cross-Border Payments|Mobile Remittance|Immigrant Financial Services|Digital Payout,"mobile-first remittance for migrant workers, taking the transfer fee and the FX spread without owning a physical agent network"
NASDAQ:AFRM,"Affirm Holdings, Inc.",Lending & Credit,Commerce & Payments Software,Retail & E-commerce,Finance & Payments,CONSUMER,PLG,NET_INTEREST,SOE,AI_EMBEDDED,Buy Now Pay Later|BNPL|Point-of-Sale Lending|Consumer Credit|Installment Loans|Merchant Network|Virtual Card,"underwrites each purchase at checkout and holds or sells the loan, so it earns merchant fees AND interest, and carries the credit risk"
NASDAQ:SOFI,"SoFi Technologies, Inc.",Lending & Credit,Digital Bank & Deposits,Horizontal,Banking & Lending,CONSUMER,PLG,NET_INTEREST,SOR,AI_EMBEDDED,Digital Bank|Student Loan Refinancing|Personal Loans|Mortgage|Brokerage|Credit Card|Banking as a Service|Financial Services App,"chartered digital bank funding its own loan book with member deposits, plus a technology platform sold to other fintechs"
NASDAQ:UPST,"Upstart Holdings, Inc.",Lending & Credit,"Data, AI & Developer Tools",Financial Services,Banking & Lending,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NATIVE,AI Underwriting|Credit Risk Model|Personal Loans|Auto Lending|Loan Origination|Bank Partnerships|Alternative Credit Data,sells an AI underwriting model to banks and earns a referral and platform fee on the loans it originates for them
NASDAQ:MQ,"Marqeta, Inc.",Merchant Acquiring & PSP,Vertical Software,Financial Services,Finance & Payments,DEV,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Card Issuing|Issuer Processing|Embedded Finance|Virtual Cards|Program Management|Banking as a Service|Card API,"card-issuing infrastructure sold as an API, so another company can launch a card programme without becoming a processor"
NYSE:LC,LendingClub Corporation,Lending & Credit,Digital Bank & Deposits,Horizontal,Banking & Lending,CONSUMER,PLG,NET_INTEREST,SOR,AI_EMBEDDED,Personal Loans|Consumer Credit|Digital Bank|Marketplace Lending|Deposits|Loan Origination,consumer lender that bought a bank charter so it could fund its own originations with deposits rather than selling every loan on
NYSE:ENVA,"Enova International, Inc.",Lending & Credit,,Horizontal,Banking & Lending,CONSUMER,PLG,NET_INTEREST,SOR,AI_EMBEDDED,Consumer Lending|Subprime Credit|Installment Loans|Line of Credit|SMB Lending|Online Lending|Credit Analytics,"online lender to non-prime consumers and small businesses, underwriting and holding the credit itself"
NASDAQ:COIN,"Coinbase Global, Inc.",Crypto & Digital Assets,Wealth & Capital Markets Platform,Horizontal,Trading & Markets,CONSUMER,PLG,TAKE_RATE,SOR,AI_NEUTRAL,Crypto Exchange|Digital Asset Custody|Bitcoin|Stablecoin|Staking|Institutional Crypto|Crypto Brokerage|USDC,"crypto exchange and custodian earning a spread on retail trades, a fee on institutional flow, and a share of stablecoin interest"
NASDAQ:HOOD,"Robinhood Markets, Inc.",Wealth & Capital Markets Platform,Crypto & Digital Assets,Horizontal,Trading & Markets,CONSUMER,PLG,TRANSACTION_FEE,SOR,AI_EMBEDDED,Retail Brokerage|Commission-Free Trading|Options Trading|Crypto Trading|Cash Management|Retirement|Prediction Markets,"retail brokerage monetised through order flow, options, crypto spreads and interest on idle cash rather than commission"
NYSE:BLSH,Bullish,Crypto & Digital Assets,Market Infrastructure & Exchange,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,AI_NEUTRAL,Institutional Crypto Exchange|Digital Asset Trading|Liquidity|Custody|Stablecoin|Market Making|Crypto Indices,"institutional digital-asset exchange with its own liquidity pool, plus the CoinDesk data and index business"
NYSE:BKKT,"Bakkt, Inc.",Crypto & Digital Assets,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Crypto Custody|Crypto Trading|Loyalty Redemption|Digital Asset Infrastructure|Institutional Crypto,custody and trading infrastructure that lets banks and brands offer digital assets without holding them directly
NYSE:KLAR,Klarna Group plc,Lending & Credit,Digital Bank & Deposits,Retail & E-commerce,Finance & Payments,SMB,PLG,TAKE_RATE,SOE,AI_EMBEDDED,Buy Now Pay Later|BNPL|Point-of-Sale Lending|Consumer Credit|Shopping App|Merchant Network|Pay in 4,"instalment credit offered at a merchant's checkout, paid for mostly by the merchant rather than the shopper, wrapped in a shopping app"
NASDAQ:CHYM,"Chime Financial, Inc.",Digital Bank & Deposits,Lending & Credit,Horizontal,Banking & Lending,CONSUMER,PLG,TAKE_RATE,SOR,AI_EMBEDDED,Digital Bank|Neobank|Fee-Free Banking|Early Direct Deposit|Debit Interchange|Credit Builder|Overdraft,"consumer account with no monthly fee, earning almost entirely on debit interchange rather than on interest or fees"
NASDAQ:JKHY,"Jack Henry & Associates, Inc.",Vertical Software,,Financial Services,Banking & Lending,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Core Banking|Credit Union Software|Digital Banking|Payment Processing|Bank Core|Lending Software|Fraud Detection,"core processing system of record for community banks and credit unions, with digital banking and payments sold on top"
NYSE:QTWO,"Q2 Holdings, Inc.",Vertical Software,,Financial Services,Customer Engagement,LOB,ENT_SALES,PLATFORM,SOE,AI_EMBEDDED,Digital Banking|Online Banking|Lending Software|Account Opening|Banking as a Service,digital banking and lending platform for regional banks and credit unions
NASDAQ:NCNO,"nCino, Inc.",Vertical Software,,Financial Services,Operations,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Loan Origination|Digital Banking|Bank Operating System|Account Opening|Commercial Lending|Mortgage Software,cloud banking operating system for loan origination and account opening
NYSE:DFIN,"Donnelley Financial Solutions, Inc.",Vertical Software,,Horizontal,Legal & Compliance,ENT_IT,ENT_SALES,SERVICES_LED,SOR,AI_EMBEDDED,Regulatory Filing|SEC Filing|EDGAR|Financial Reporting Software|Virtual Data Room|Capital Markets Compliance|Disclosure Management,"software and services for producing and filing regulatory disclosure, plus the data room used in transactions"
NASDAQ:SSNC,"SS&C Technologies Holdings, Inc.",Vertical Software,Wealth & Capital Markets Platform,Financial Services,Operations,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Fund Administration|Investment Accounting|Hedge Fund Software|Wealth Management Software|Transfer Agency|Healthcare BPO|Intelligent Automation,"software and outsourced operations for fund administration and investment accounting, assembled through a long run of acquisitions"
NYSE:BR,"Broadridge Financial Solutions, Inc.",Vertical Software,,Financial Services,Operations,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Proxy Services|Shareholder Communications|Post-Trade Processing|Wealth Management Software|Investor Communications|Regulatory Reporting,"regulated plumbing for shareholder communications and post-trade processing, where the customer has no practical alternative provider"
NYSE:SPGI,S&P Global Inc.,Financial Data & Index,,Financial Services,Data & Analytics,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Credit Ratings|Market Data|Financial Indices|S&P 500|Benchmarks|Commodity Price Assessments|Company Fundamentals|Research,"credit ratings billed on debt issuance, market-intelligence subscriptions, and index licensing that scales with assets tracking the benchmark"
NYSE:MCO,Moody's Corporation,Financial Data & Index,,Financial Services,Data & Analytics,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Credit Ratings|Credit Risk Analytics|Debt Issuance|Risk Modelling|KYC & Compliance Data|Economic Forecasting|ESG Ratings,"ratings revenue billed per bond issued, which makes it levered to issuance volumes, plus a subscription analytics arm that is not"
NYSE:MSCI,MSCI Inc.,Financial Data & Index,,Financial Services,Data & Analytics,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Equity Indices|Benchmarks|ETF Licensing|Portfolio Analytics|Risk Models|ESG Ratings|Private Capital Data|Climate Analytics,"licenses benchmarks and charges basis points on the assets tracking them, so revenue compounds with market levels and ETF flows"
NYSE:FDS,FactSet Research Systems Inc.,Financial Data & Index,,Financial Services,Data & Analytics,LOB,ENT_SALES,SEATS,TOOL,AI_EMBEDDED,Financial Data Terminal|Market Data|Portfolio Analytics|Research Management|Company Fundamentals|Quant Data|Workstation,"analyst workstation sold per seat, so revenue scales with headcount on the buy and sell side rather than with market levels"
NASDAQ:MORN,"Morningstar, Inc.",Financial Data & Index,,Financial Services,Data & Analytics,LOB,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Fund Ratings|Investment Research|Credit Ratings|Index Licensing|Retirement Solutions|Private Market Data|Advisor Software,"fund ratings and research subscriptions for advisers and asset managers, plus private-market data and a retirement business"
NYSE:ICE,"Intercontinental Exchange, Inc.",Market Infrastructure & Exchange,Vertical Software,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,Futures Exchange|Derivatives|Clearing|Stock Exchange|Fixed Income Data|Mortgage Technology|Energy Futures|Listings,"derivatives exchanges and clearing houses, plus fixed-income data and an unusually large mortgage software business"
NASDAQ:CME,CME Group Inc.,Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Futures Exchange|Derivatives|Interest Rate Futures|Clearing|Equity Index Futures|Commodities|Market Data,"derivatives venue and clearing house billing per contract traded, so revenue tracks volatility and volume rather than price levels"
CBOE:CBOE,"Cboe Global Markets, Inc.",Market Infrastructure & Exchange,Financial Data & Index,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Options Exchange|Volatility Products|Equity Exchange|Derivatives|Market Data|Clearing|Listings,"options and volatility venue with proprietary products competitors cannot list, plus cash equities and market data"
NASDAQ:NDAQ,"Nasdaq, Inc.",Vertical Software,Market Infrastructure & Exchange,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,Equity Exchange|Listings|Market Data|Financial Crime Software|Risk Management|Index Licensing|Trade Surveillance|Capital Markets Software,"exchange and listings business now paired with a large software arm in financial crime, risk and regulatory technology"
NASDAQ:MKTX,MarketAxess Holdings Inc.,Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,Bond Trading|Electronic Trading|Fixed Income|Credit Trading|Request for Quote|Post-Trade|Market Data,"electronic marketplace for corporate bonds, billing per trade on a market that still clears much of its volume by phone"
NASDAQ:TW,Tradeweb Markets Inc.,Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,Electronic Trading|Fixed Income|Rates Trading|Credit Trading|Money Markets|ETF Trading|Institutional Marketplace,"electronic venue for rates, credit and money markets, billing institutional clients per trade executed"
ENXTAM:ADYEN,Adyen N.V.,Merchant Acquiring & PSP,,Horizontal,Finance & Payments,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_EMBEDDED,Merchant Acquiring|Payment Processing|Unified Commerce|Enterprise Payments|Payment Gateway|Risk Management|In-Person Payments,"single platform handling gateway, risk and acquiring for large merchants on one contract, sold direct rather than through resellers"
LSE:WISE,Wise plc,Cross-Border & FX,Digital Bank & Deposits,Horizontal,Finance & Payments,CONSUMER,PLG,TAKE_RATE,SOR,AI_EMBEDDED,Cross-Border Payments|Money Transfer|Multi-Currency Account|Foreign Exchange|Transparent Pricing|Business Payments|Payments Infrastructure,"moves money across borders at a published mid-market rate plus a stated fee, and licenses that infrastructure to banks"
BIT:NEXI,Nexi S.p.A.,Merchant Acquiring & PSP,Vertical Software,Horizontal,Finance & Payments,SMB,CHANNEL,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Merchant Acquiring|Payment Processing|Card Issuing|Digital Banking Solutions|Point of Sale|Clearing|Southern Europe Payments,"southern European acquirer and issuer processor, distributed largely through the bank partnerships it was carved out of"
AIM:BOKU,"Boku, Inc.",Payment Network,,Media & Gaming,Finance & Payments,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Carrier Billing|Direct Carrier Billing|Local Payment Methods|Digital Wallets|Mobile Payments|Subscription Payments,one connection that lets a global digital merchant charge a purchase to a mobile phone bill or a local wallet
LSE:CABP,CAB Payments Holdings plc,Cross-Border & FX,Digital Bank & Deposits,Financial Services,Finance & Payments,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Emerging Market FX|Cross-Border Payments|Correspondent Banking|Wholesale FX|Frontier Markets|Development Payments,"wholesale FX and payments into frontier currencies for banks, aid agencies and corporates that mainstream banks will not serve"
LSE:LSEG,London Stock Exchange Group plc,Financial Data & Index,Market Infrastructure & Exchange,Financial Services,Data & Analytics,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Market Data|Trading Terminal|Index Licensing|Benchmarks|Clearing|Post-Trade|Risk Intelligence|Foreign Exchange Venues,"predominantly a data and analytics subscription business since the Refinitiv acquisition, with the exchange and clearing house now the smaller part"
XTRA:DB1,Deutsche Boerse AG,Market Infrastructure & Exchange,Financial Data & Index,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,Derivatives Exchange|Clearing|Custody|Settlement|Index Licensing|Market Data|Fund Services|Post-Trade,"derivatives exchange and clearing house bundled with a large custody and settlement arm, plus index and analytics subscriptions"
ENXTPA:ENX,Euronext N.V.,Market Infrastructure & Exchange,Financial Data & Index,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Equity Exchange|Listings|Clearing|Custody|Post-Trade|Market Data|European Exchange|Derivatives,federated European equity exchange that has been buying its own clearing and settlement to keep more of the trade lifecycle
DFM:ALANSARI,Al Ansari Financial Services PJSC,Cross-Border & FX,,Horizontal,Finance & Payments,CONSUMER,PLG,TAKE_RATE,SOE,AI_NEUTRAL,Remittance|Money Exchange|Currency Exchange|Branch Network|Wage Payments|Money Transfer|Gulf Remittance,"branch-based remittance and currency exchange serving migrant workers in the Gulf, earning on the spread and the transfer fee"
NASDAQ:MELI,"MercadoLibre, Inc.",Merchant Acquiring & PSP,Lending & Credit,Retail & E-commerce,Finance & Payments,SMB,PLG,TAKE_RATE,SOR,AI_EMBEDDED,E-commerce Marketplace|Digital Wallet|Latin America|Merchant Payments|Consumer Credit|Logistics|Advertising|Online Marketplace,"Latin American marketplace whose payments, credit and logistics arms now rival the commerce business; it sits in a fintech screen because of the wallet, not because it is one"
NYSE:NU,Nu Holdings Ltd.,Digital Bank & Deposits,Lending & Credit,Horizontal,Banking & Lending,CONSUMER,PLG,NET_INTEREST,SOR,AI_EMBEDDED,Digital Bank|Neobank|Credit Card|Latin America|Consumer Lending|Deposits|Financial Inclusion|Mobile Banking,"branchless bank funding a fast-growing consumer credit book with low-cost deposits across Brazil, Mexico and Colombia"
NASDAQ:STNE,StoneCo Ltd.,Merchant Acquiring & PSP,Digital Bank & Deposits,Horizontal,Finance & Payments,SMB,CHANNEL,TAKE_RATE,SOR,AI_EMBEDDED,Merchant Acquiring|Point of Sale|SMB Banking|Working Capital|Payment Processing|Retail Software|Brazil Payments,"Brazilian acquirer for small merchants sold through a local sales force, with banking and credit attached to the acceptance relationship"
NYSE:PAGS,PagSeguro Digital Ltd.,Merchant Acquiring & PSP,Digital Bank & Deposits,Horizontal,Finance & Payments,SMB,CHANNEL,TAKE_RATE,SOR,AI_NEUTRAL,Merchant Acquiring|Point of Sale|SMB Banking|Payment Processing|Prepaid|Brazil Payments|Card Reader,card acceptance for Brazilian micro-merchants plus a consumer and business digital account built on the same base
NASDAQ:XP,XP Inc.,Wealth & Capital Markets Platform,,Financial Services,Trading & Markets,CONSUMER,CHANNEL,TAKE_RATE,SOR,AI_NEUTRAL,Brokerage|Investment Platform|Financial Advisors|Wealth Management|Retail Investing|Asset Management|Brazil Investments,"investment platform distributed through a tied network of independent advisers, earning on assets custodied and products placed"
NASDAQ:INTR,"Inter & Co, Inc.",Digital Bank & Deposits,Lending & Credit,Horizontal,Banking & Lending,CONSUMER,PLG,NET_INTEREST,SOR,AI_EMBEDDED,Digital Bank|Super App|Consumer Lending|Marketplace|Insurance|Investments|Deposits|Brazil Banking,"Brazilian digital bank that bolts a shopping marketplace, insurance and investments onto the account to lift revenue per customer"
BOVESPA:B3SA3,"B3 S.A. - Brasil, Bolsa, Balcao",Market Infrastructure & Exchange,Vertical Software,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,Equity Exchange|Derivatives|Clearing|Central Depository|Listings|Post-Trade|Brazil Exchange,"sole Brazilian exchange, clearing house and depository, so it bills the whole trade lifecycle with no domestic competitor"
BMV:BOLSA A,"Bolsa Mexicana de Valores, S.A.B. de C.V.",Market Infrastructure & Exchange,Financial Data & Index,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,AUM_LINKED,INFRA_LAYER,AI_NEUTRAL,Equity Exchange|Derivatives|Clearing|Central Depository|Listings|Market Data|Mexico Exchange,"Mexican exchange group covering trading, clearing, custody and market data"
BASE:BYMA,Bolsas y Mercados Argentinos S.A.,Market Infrastructure & Exchange,,Financial Services,Trading & Markets,ENT_IT,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_NEUTRAL,Equity Exchange|Clearing|Custody|Settlement|Listings|Market Data|Argentina Exchange,"Argentine exchange and settlement venue, earning per trade and on the custody of the securities behind it"
