# Fairway private consumer, commerce and commerce-software transactions.
# 50 verified transaction records across 34 companies. ONLY 16 ROWS ACROSS 13 COMPANIES CARRY A
# DEFENSIBLE REVENUE MULTIPLE (in_medians=1). A separate GMV lane carries 4 rows (in_gmv_medians=1);
# GMV multiples must NEVER be pooled with revenue multiples. Every other row is a real, verified
# transaction kept for its date, structure and investor record, with no denominator that survives
# the at-pricing rule.
#
# Second verification pass 24-Aug-2026 against a revised sheet. Rows marked CORRECTED-AGAIN had a
# defect in Fairway's OWN previous entry, not in the supplied sheet: vinted-2021-05, ag1-2022-01,
# shein-2023-05, liquid-death-2024-03, rokt-2025-01, trendyol-2021-08.
transaction_id,company_key,company_name,date,date_iso,round_type,transaction_type,capital_raised_musd,post_money_musd,currency,revenue_metric,revenue_musd,bound,ev_revenue_x,denominator_basis,verification,in_medians,lead_investor,lead_confidence,other_named_investors,round_source_url,category_as_supplied,subsector_as_supplied,notes,gmv_metric,gmv_period,gmv_musd,gmv_basis,gmv_bound,ev_gmv_x,in_gmv_medians,growth_band,growth_pct_at_round,growth_band_basis,target_was_listed,revenue_basis,funding_model,paying_users_k,revenue_period,ev_revenue_low_x,ev_revenue_high_x,display_gate,fx_ccy,fx_rate,fx_date,valuation_basis,book_value_musd,book_value_date,ev_book_x,tangible_book_musd,ev_tangible_book_x,originations_musd,originations_period
meesho-2024-05,meesho,Meesho,May-24,2024-05,Series F,PRIMARY,275.0,3900.0,USD,FY2024 revenue (year to 31-Mar-24),922.0,,4.2,FILED_ACCOUNTS,CORRECTED,1,Peak XV,named in source,Tiger Global; SoftBank; Fidelity,techcrunch.com/2024/05/10/meesho-an-indian-social-commerce-with-150m-transacting-users-secures-275m-in-new-funding,Consumer Marketplace,Value e-commerce marketplace,"CORRECTED. This was a PRIMARY round of $275m with a separate secondary on top, not a secondary. INR 7,615 crore at the IRS 2024 average of 82.572. GROWTH AT ROUND, DERIVED FROM OUR OWN TWO DATED POINTS: net revenue of 922 at 2024-05 against 107 at 2021-09, 32 months, 124% a year. Both figures were public at their own pricing dates and neither is a threshold, so the difference is a real rate rather than an artefact of two floors.",,,,,,,,GROWING,124,DERIVED,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
liquid-death-2024-03,liquid-death,Liquid Death,Mar-24,2024-03,Strategic financing,PRIMARY,67.0,1400.0,USD,none published,,,,NONE,CORRECTED-AGAIN,0,,not identified,strategic partners including top distributors,businesswire.com/news/home/20240310837019/en/Liquid-Death-closes-67-million-in-strategic-financing-including-top-distributors-at-1.4-billion-valuation,D2C / Consumer Brand,Beverages,"CORRECTED AGAIN. The 263 moves out of the revenue column entirely. It is SPINS measured register data relayed by the company, in its words 'hit $263 million in retail scanned sales through registers in 2023'. That is consumer spend at retailers, so distributor margin, retailer margin, trade spend and promotions all sit inside it; the company's own net revenue is materially lower and has never been disclosed in any period. No EV proxy is printed because 1,400 is an equity value, not an enterprise value. The round is a 'strategic financing' in the company's words, not a Series E, and the release is dated 10 March 2024.",FY2023 retail scanned sales through registers (SPINS),FY2023,263.0,THIRD_PARTY_ESTIMATE,,,0,,,,,NONE,,,,,,,,,,NONE,,,,,,,
shein-2024-01,shein,SHEIN,Jan-24,2024-01,Secondary indication,SECONDARY,,45000.0,USD,CY2023 revenue,32100.0,,1.4,DISCLOSED_ACTUAL,CORRECTED,0,,not identified,existing backers offering shares,technode.com/2024/01/26/sheins-valuation-drops-to-45-billion-amid-investigations-and-stalling-ipo-report/,Consumer Marketplace,Global fashion e-commerce,"The $45bn was an indicative ASK by existing holders at a reported 30% discount, not a completed print. CY2023 revenue of $32.1bn is audited but only became public with the Hong Kong prospectus.",,,,,,,,,,,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
flipkart-2023-07,flipkart,Flipkart,Jul-23,2023-07,Secondary stake purchase,SECONDARY,1400.0,35000.0,USD,"FY2023 revenue, Flipkart India Pvt Ltd",6780.0,,5.2,FILED_ACCOUNTS,CORRECTED,0,,not identified,"Walmart, buying Tiger Global's stake",techcrunch.com/2023/07/30/walmart-flipkart-tiger-global/,Consumer Marketplace,General e-commerce marketplace,"CORRECTED. Walmart bought out Tiger Global; no new capital reached Flipkart. There is no public GROUP revenue. The denominator is the B2B WHOLESALE entity at INR 56,013 crore. The marketplace entity, Flipkart Internet, was INR 14,845 crore, which would give 19.4x on the same valuation. Out of medians until the entity is settled. GROWTH AT ROUND, DERIVED FROM OUR OWN TWO DATED POINTS: net revenue of 6780 at 2023-07 against 5860 at 2021-07, 24 months, 8% a year. Both figures were public at their own pricing dates and neither is a threshold, so the difference is a real rate rather than an artefact of two floors.",,,,,,,,MATURE,8,DERIVED,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
skims-2023-07,skims,SKIMS,Jul-23,2023-07,Series C,PRIMARY,270.0,4000.0,USD,FY2023 forecast net sales,750.0,,5.3,DISCLOSED_FORECAST,VERIFIED,1,Wellington,named in source,Greenoaks; D1; Imaginary Ventures,news.bloomberglaw.com/private-equity/kim-kardashians-skims-raises-funds-at-4-billion-valuation,D2C / Consumer Brand,Apparel and shapewear,"Point forecast, not a threshold: two of three outlets phrase it as reaching rather than exceeding, CEO Jens Grede 'set to break $750 million in net sales this year' and WWD 'sales are headed toward $750 million this year, up from $500 million in 2022'. FY2023 came in at about USD 713m, so the outturn multiple was nearer 5.6x. THE PRINTED MULTIPLE STAYS AT 5.3x: what an investor paid against what was expected at pricing is the comparable, and a forecast that was later missed does not retrospectively change the price that was struck. The miss is recorded here as context for a reader, not as a reason to restate. Wellington led; the row previously carried no lead.",,,,,,,,,,,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
shein-2023-05,shein,SHEIN,May-23,2023-05,Growth financing,PRIMARY,2000.0,66000.0,USD,CY2022 revenue,22700.0,,2.9,PRESS_REPORTED,CORRECTED-AGAIN,1,General Atlantic,named in source,Mubadala; Sequoia China,businessoffashion.com/news/retail/shein-new-funding-2023/,Consumer Marketplace,Global fashion e-commerce,"REINSTATED 25-Aug-2026 under the same rule as hiBob. I had excluded this partly because SHEIN's spokesperson said the company does not discuss financial figures. That is a refusal to comment, not a denial, and it is what every private company says. The Wall Street Journal is a reputable outlet and the figure is sourced to people close to the company; we accept The Information for Rippling and TechCrunch for Calendly on the same basis. Marked PRESS_REPORTED so the difference from a company disclosure stays visible. The one hard correction stands: the figure is USD 22.7bn, not 23.0bn, which is a rounding that propagated through secondary outlets, and the row's own cited source says 22.7. It was published the same day as the round, so it never existed publicly BEFORE pricing, and its basis is undefined as between net revenue and marketplace GMV.",,,,,,,,,,,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
rokt-2022-12,rokt,Rokt,Dec-22,2022-12,Secondary transaction,SECONDARY,,2400.0,USD,not disclosed,,,,NONE,CORRECTED,0,Square Peg; Wellington,co-led,,prnewswire.com/news-releases/rokt-announces-secondary-transaction-increasing-valuation-to-us2-4-billion-301694650.html,E-commerce Enablement,Checkout advertising and offers,"CORRECTED. The $325m in the sheet is the December 2021 Series E, a different transaction. This secondary's size was never disclosed and no revenue figure was given.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
huel-2022-11,huel,Huel,Nov-22,2022-11,Series B,PRIMARY,24.0,560.0,USD,FY to 31-Jul-2022 revenue,170.0,,3.3,DISCLOSED_ACTUAL,CORRECTED,1,Highland Europe,named in source,Idris Elba; Jonathan Ross,highlandeurope.com/huel-closes-24-million-funding-round-led-by-highland-europe/,D2C / Consumer Brand,Nutrition and meal replacement,"Currency concern investigated and dismissed: the announcement was made in USD with GBP in brackets, USD 24m (GBP 19.8m), USD 560m (GBP 461.3m), USD 170m (GBP 140m), so both sides of the multiple come from the same release. Highland Europe's words: 'Revenue for the year to the end of July 2022 was $170m, a 40% year-on-year rise.' Cross-check against the filed accounts, which were not lodged until 12-Apr-2023 and so are not at-pricing: turnover of GBP 144.3m, against the announcement's GBP 140m bracket. GBP cross-multiple is 3.2x, USD as priced is 3.3x. Primary confirmed at Companies House by an SH01 allotment dated 1-Dec-2022.",,,,,,,,,,,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
liquid-death-2022-10,liquid-death,Liquid Death,Oct-22,2022-10,Series D,PRIMARY,70.0,700.0,USD,FY2022 company projection,130.0,,5.4,DISCLOSED_FORECAST,CORRECTED,1,,not identified,"Science (lead, via SPV); Live Nation; SuRo",bevnet.com/news/2022/liquid-death-closes-70m-raise-as-water-brand-explores-ipo/,D2C / Consumer Brand,Beverages,"CORRECTED provenance. Not a third-party estimate: the company projected '$130 million in revenue this year, up from $45 million in 2021'. Trailing FY2021 actual was $45m, which would be 15.6x. GROWTH AT ROUND: '$130 million in revenue this year, up from $45 million in 2021', the company's own projection at pricing.",,,,,,,,HYPER,189,DISCLOSED,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
gorgias-2022-08,gorgias,Gorgias,Aug-22,2022-08,Series C,PRIMARY,30.0,710.0,USD,not disclosed,,,,NONE,CORRECTED,0,Transpose Platform; Shopify,co-led,,techcrunch.com/2022/08/15/gorgias-valuation-710m-series-c-e-commerce-customer-support/,E-commerce Enablement,Customer support for e-commerce,CORRECTED. The $710m valuation belongs to the AUGUST 2022 $30m round. The May 2024 $29m Series C-2 disclosed no valuation. The sheet fused the two. No ARR was ever disclosed; the sheet's $50m matches a third-party figure for 2023.,,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
whatnot-2022-07,whatnot,Whatnot,Jul-22,2022-07,Series D,PRIMARY,260.0,3700.0,USD,none published,,,,NONE,CORRECTED,0,DST Global; CapitalG,co-led,,techcrunch.com/2022/07/21/whatnot-valuation-livestream-shopping/,Consumer Marketplace,Livestream commerce marketplace,"CORRECTED. There was no January 2024 secondary at $3.7bn. That figure is the July 2022 Series D, a primary. Whatnot's only confirmed secondaries are the Jan-2025 buyback and the Oct-2025 tender.",,,,,,,0,,,,,NONE,,,,,,,,,,NONE,,,,,,,
shein-2022-04,shein,SHEIN,Apr-22,2022-04,Private financing,PRIMARY,1000.0,100000.0,USD,CY2021 not verified,,,,NONE,CORRECTED,0,General Atlantic,named in source,Tiger Global; Sequoia China,techcrunch.com/2022/04/04/shein-said-to-be-raising-1-billion-at-100-billion-valuation/,Consumer Marketplace,Global fashion e-commerce,"The sheet's $22,700m is CY2022, a year that had not started. CY2021 revenue has no first-hand source. The nearest verified year is CY2020 at about $10bn, which would be 10.0x.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
commerceiq-2022-03,commerceiq,CommerceIQ,Mar-22,2022-03,Series D,PRIMARY,115.0,1000.0,USD,not disclosed,,>=,,NONE,CORRECTED,0,SoftBank Vision Fund 2,named in source,Insight; Trinity; Madrona,techcrunch.com/2022/03/21/commerceiq-e-commerce-infrastructure/,E-commerce Enablement,Retail e-commerce management software,"The valuation is a floor: 'over $1 billion'. No ARR was ever stated. The sheet's $100m ARR appears to be a corruption of '$1.1 billion is flowing through the software', which is spend under management, not revenue.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
fabric-2022-02,fabric,Fabric,Feb-22,2022-02,Series C,PRIMARY,140.0,1500.0,USD,not disclosed,,,,NONE,CORRECTED,0,SoftBank Vision Fund 2,named in source,Forerunner; Glynn Capital,fabric.inc/press/headless-commerce-leader-fabric-announces-140-million-series-c-funding-led-by-softbank,E-commerce Enablement,Headless commerce platform,"Only a growth rate was published, '4.5x YoY revenue growth', with no base. Sixty customers at a $1.5bn valuation is a hard check against any $40m ARR assumption. GROWTH AT ROUND: '4.5x YoY revenue growth', published with the round. A growth rate with no base, which is why the row prices nothing.",,,,,,,,HYPER,350,DISCLOSED,,NONE,,,,,,,,,,NONE,,,,,,,
ag1-2022-01,ag1,AG1,Jan-22,2022-01,Growth financing,PRIMARY,115.0,1200.0,USD,annual revenue approximately US$600m,600.000,,2.00,Estimate around financing,SOURCED_31AUG,0,Alpha Wave,named in source, SC.Holdings; Mark Vadon,https://www.athleticgreens.com/blog/funding,,,SUPPLEMENTAL. Revenue estimate / annualized sales.,,,,,,,,HYPER,190,DISCLOSED,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
ankorstore-2022-01,ankorstore,Ankorstore,Jan-22,2022-01,Series C,PRIMARY,283.0,2000.0,USD,never published,,,,NONE,CORRECTED,0,Bond; Tiger Global,co-led,Eurazeo; Coatue,techcrunch.com/2022/01/09/ankorstore-reaches-2-billion-valuation-two-years-after-launching-its-wholesale-marketplace/,B2B Marketplace,Wholesale marketplace,"Neither net revenue NOR GMV has been published. Only '950% growth in sales volume between 2020 and 2021', with no base.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
back-market-2022-01,back-market,Back Market,Jan-22,2022-01,Series E,PRIMARY,510.0,5700.0,USD,never published,,,,GMV_ONLY,CORRECTED,0,,not identified,Sprints Capital; Eurazeo; Aglae; General Atlantic; Generation IM,backmarket.reportablenews.com/pr/back-market-the-renewed-electronics-marketplace-raises-510-million-and-is-now-valued-at-5-7-billion,Consumer Marketplace,Refurbished electronics marketplace,Back Market has never published net revenue in any period. Its own 2025 release reports GMV only.,,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
faire-2021-11,faire,Faire,Nov-21,2021-11,Series G,PRIMARY,400.0,12400.0,USD,never published,,,,GMV_ONLY,CORRECTED-AGAIN,0,Durable Capital Partners,co-led,D1 Capital Partners; Dragoneer Investment Group,businesswire.com/news/home/20211116005386/en/Faire-Valuation-Grows-to-%2412.4-Billion-With-%24400-Million-Series-G-Funding-Round-Co-Led-by-Durable-Capital-Partners-LP,B2B Marketplace,Wholesale marketplace,"CORRECTED. Founders Fund and Sequoia are removed: neither is named in any November 2021 source. Sequoia and Y Combinator belong to the May 2022 USD 416m Series G EXTENSION at USD 12.59bn, which is a separate event and must not be merged into an 'USD 816m Series G'. The company's words are 'reaching more than $1 billion in annual volume', said alongside 'more than 3x year-on-year growth', so the denominator is a floor and a loose one, and 12.4x is a ceiling. Faire published no revenue or take rate at this date; its first ever revenue figure came four years later in November 2025.",annual volume at announcement (> threshold),At announcement,1000.0,GMV_ONLY,<=,12.4,1,,,,,NONE,,,,,,,,,,NONE,,,,,,,
vuori-2021-10,vuori,Vuori,Oct-21,2021-10,Growth investment,SECONDARY,400.0,4000.0,USD,not disclosed,,,,NONE,CORRECTED,0,,not identified,SoftBank Vision Fund 2,businesswire.com/news/home/20211013005305/en/Vuori-Receives-$400-Million-Investment-and-$4B-Valuation-from-SoftBank-Vision-Fund-2,D2C / Consumer Brand,Performance apparel,"Forbes reported at the time that 'of the $400 million being invested, zero is going into the company and all of it is going to shareholders' pockets'. No revenue in the release. Norwest was a 2019 investor, not a participant here.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
meesho-2021-09,meesho,Meesho,Sep-21,2021-09,Series F,PRIMARY,570.0,4900.0,USD,FY2021 revenue (year to 31-Mar-21),107.0,,45.8,FILED_ACCOUNTS,CORRECTED,1,Fidelity,named in source,B Capital; Prosus; SoftBank; Meta,techcrunch.com/2021/09/29/meesho-india-social-commerce-raises-570-million/,Consumer Marketplace,Value e-commerce marketplace,"CORRECTED. The sheet's $500m matches no Meesho fiscal year at pricing. Last completed year was FY2021 at INR 793 crore, about $107m. 9.8x becomes 45.8x, which is a 2021-vintage Indian growth round and is what was actually paid.",,,,,,,,,,,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
mirakl-2021-09,mirakl,Mirakl,Sep-21,2021-09,Series E,PRIMARY,555.0,3500.0,USD,not disclosed at pricing,,>=,,NONE,CORRECTED,0,Silver Lake,named in source,83North; Elaia; Felix Capital; Permira,mirakl.com/news/mirakl-announces-555-million-series-e-funding-2/,E-commerce Enablement,Enterprise marketplace software,"Valuation is a floor, 'more than $3.5 billion'. No ARR at pricing. Mirakl announced 'over $100 million in ARR' in February 2022, five months later, which is below the sheet's $135m. On that hindsight figure the multiple is about 33x, not 25.9x.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
vestiaire-2021-09,vestiaire,Vestiaire Collective,Sep-21,2021-09,Growth financing,PRIMARY,210.0,1700.0,USD,not disclosed,,,,NONE,CORRECTED,0,,not identified,SoftBank Vision Fund 2; Generation IM; Bpifrance; Conde Nast,generationim.com/our-thinking/news/vestiaire-collective-continues-accelerating-and-announces-a-new-178-million-us-210-million-fundraising-backed-by-softbank-vision-fund-2-and-generation-investment-management/,Consumer Marketplace,Luxury resale marketplace,"No revenue or GMV at pricing, only order growth. The sheet's $200m for 2021 is implausible against a later reported EUR 157m of revenue in 2023.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
