# COMPANY-REPORTED GMV AND TRANSACTION-VALUE METRICS. Supplied by Daniil 30-Aug-2026 as a separate
# sheet: "Latest Annual Company-Reported GMV / Transaction-Value Metrics. Reported values in
# local-currency millions; USD values are formula-driven using fiscal-period average FX."
#
# THIS IS THE FILE TO CITE TO A FOUNDER. Every value here is the company's own reported figure, with
# the metric name it used, the fiscal period, the currency, the FX basis and the scope. The forward
# GMV columns in data/peers-ecommerce.csv are DERIVED by applying revenue growth and must never be
# presented as company-reported. These are.
#
# THE METRIC NAME IS NOT DECORATION AND MUST TRAVEL WITH THE NUMBER. Nine different names appear
# below for what people loosely call GMV, and they do not measure the same thing: Gross Merchandise
# Volume, Gross Merchandise Sales, Marketplace GOV, Gross Bookings, Gross Booking Value, Gross
# Transaction Value, Gross Order Value, Gross Services Volume, and Bookings. Uber's Gross Bookings
# includes rides and delivery and freight; Airbnb's GBV is the value of stays booked, not stayed;
# Roblox's Bookings is a cash-value KPI the company does not call GMV at all.
#
# SCOPE IS THE SECOND TRAP. Sea reports GMV for the Shopee segment only, not the group. Tripadvisor
# reports it only for the Viator-powered Experiences segment. Allegro's is continuing operations and
# excludes what it discontinued. ASOS reports an issuer-defined alternative performance measure, not
# a standard GMV. Each of those is recorded in the scope column and none of them is a group figure.
#
# 25 OF 74 COMPANIES DISCLOSE ANYTHING AT ALL. The other 49 are recorded as not disclosed with the
# reason, which is itself useful: it means a marketplace founder asking why we cannot show a GMV
# multiple against Amazon has an answer, and it means nobody re-runs this search next month.
company_name,exchange_ticker,disclosure_status,reported_metric,fiscal_period,value_local_musd,currency,fx_local_per_usd,fx_basis,value_usd_musd,scope
Fiverr International Ltd.,NYSE:FVRR,DISCLOSED,Marketplace Gross Merchandise Value,"FY2025, year ended 2025-12-31",1073.0,USD,1.0,Reported in USD,1073.0,MARKETPLACE ONLY. Excludes VAT
Angi Inc.,NASDAQGS:ANGI,NOT_DISCLOSED,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Principal operating metrics are service requests and professionals
SEEK Limited,ASX:SEK,NOT_DISCLOSED,,"FY2026, year ended 2026-06-30",,,,,,Not disclosed and not applicable as a reported metric
Info Edge (India) Limited,NSEI:NAUKRI,NOT_DISCLOSED,,"FY2026, year ended 2026-03-31",,,,,,Not disclosed. Company reports billings
MONY Group plc,LSE:MONY,NOT_DISCLOSED,,"FY2025, year ended 2025-12-31",,,,,,Not disclosed. Company reports lead and conversion metrics
"Match Group, Inc.",NASDAQGS:MTCH,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Company reports subscribers and RPP
Bumble Inc.,NASDAQGS:BMBL,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Company reports paying users
Grindr Inc.,NYSE:GRND,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Company reports paying users
"Netflix, Inc.",NASDAQGS:NFLX,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Company reports streaming revenue and membership
Spotify Technology S.A.,NYSE:SPOT,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Company reports Premium subscribers and MAUs
"Duolingo, Inc.",NASDAQGS:DUOL,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Company reports subscribers and DAUs
The New York Times Company,NYSE:NYT,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,"EXCLUDED: total bookings mixes subscription and other revenue and is not a GMV"
Roblox Corporation,NYSE:RBLX,DISCLOSED_ANALOGOUS_NOT_GMV,Bookings,"FY2025, year ended 2025-12-31",6788.4,USD,1.0,Reported in USD,6788.4,"Consolidated analogous cash-value KPI. Roblox does NOT call this GMV; sales activity substantially all from virtual currency"
"Roku, Inc.",NASDAQGS:ROKU,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Key KPIs are streaming households and hours
"Coursera, Inc.",NYSE:COUR,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Degree revenue is a service fee rather than a transaction value
"Chegg, Inc.",NYSE:CHGG,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed in the latest annual filing
"Chewy, Inc.",NYSE:CHWY,NOT_DISCLOSED,,"FY2025, year ended 2026-02-01",,,,,,Not disclosed. Net sales are recorded as principal
Wayfair Inc.,NYSE:W,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Net revenue is recorded gross of supplier cost as principal
"Hims & Hers Health, Inc.",NYSE:HIMS,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed in the latest annual filing
Warby Parker Inc.,NYSE:WRBY,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed in the latest annual filing
"Revolve Group, Inc.",NYSE:RVLV,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. AOV uses total gross sales rather than a published GMV
"The RealReal, Inc.",NASDAQGS:REAL,DISCLOSED,Gross Merchandise Value (GMV),"FY2025, year ended 2025-12-31",2130.0,USD,1.0,Reported in USD,2130.0,Consolidated / company-defined scope
On Holding AG,NYSE:ONON,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Direct-to-consumer and wholesale split reported instead
"e.l.f. Beauty, Inc.",NYSE:ELF,NOT_DISCLOSED,,"FY2026, year ended 2026-03-31",,,,,,Not disclosed. Net sales only
"FIGS, Inc.",NYSE:FIGS,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Direct-to-consumer net revenue only
"BARK, Inc.",NYSE:BARK,NOT_DISCLOSED,,"FY2026, year ended 2026-03-31",,,,,,Not disclosed in the latest annual filing
"YETI Holdings, Inc.",NYSE:YETI,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Wholesale and direct-to-consumer net sales only
Similarweb Ltd.,NYSE:SMWB,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,"Not disclosed. Bookings refers to SaaS bookings, not transaction value"
ZoomInfo Technologies Inc.,NASDAQGS:GTM,NOT_DISCLOSED,,"FY2025; latest annual filing",,,,,,Not disclosed. Subscription business with no transaction value
