# Fairway listed fintech and financial-technology screen. 87 names.
# as_of=2026-08-30  refreshed from 2026-08-30_capiq-listed-fintech.csv. Market columns replaced, analysis columns kept.
# CORRECTION 24-Aug-2026: MercadoLibre revenue_ntm_musd read 46939 and the source screen says
# 46874. Found because the same name appears in the listed consumer and commerce pull, where
# every other MercadoLibre field is byte-identical. Both figures round to the same 2.2x, so no
# ratio check could have caught it; only the cross-set duplicate did. Verified against the
# original screenshot at 5x before the change was made.
#
# THE AS-OF DATE IS INFERRED, NOT SUPPLIED. BILL, Q2 and nCino appear in both this pull and the
# listed software pull with byte-identical enterprise value and NTM revenue, which can only be
# RULING 4-Sep-2026 (Daniil): NASDAQ:XP equity_to_av_bridge_musd overridden to 0 and enterprise_value_musd set to market_cap_musd. The supplied bridge was -25402 (net debt -24684, associates 718), giving EV -15902 and a -3.8x revenue multiple: a broker's client balances net against its market cap. The three component columns are left as supplied and no longer sum to the bridge for this row alone. See docs/rulings-applied-4sep.md.
# true if both were pulled on the same date. Confirm before this is used in anger.
# RULING 4-Sep-2026 (Daniil): LSE:CABP equity_to_av_bridge_musd overridden to 0 and enterprise_value_musd set to market_cap_musd, because a cross-border payments company holding client and settlement balances. The bridge components are left as supplied and no longer sum to the bridge for this row. Every EV-based multiple in the row is rebuilt from the new enterprise value. See docs/rulings-applied-4sep.md.
#
# COLUMN NAMES follow the software file so the two join. The source sheet calls
# enterprise_value_musd "Total Aggregate Value" and the multiples "AV / NTM Rev" and "AV / NTM GP".
# equity_to_av_bridge_musd is the sheet's "Eq.V - AV Bridge" column: net debt plus minorities less
# associates. It is kept because market_cap + bridge = enterprise_value is an INDEPENDENT check on
# transcription, and it caught a six-billion-dollar error on Nu Holdings.
#
# 23 rows do not foot to the dollar on that bridge. All 23 are off by exactly one, which is what
# independent per-column rounding produces, not a transcription error.
#
# net_debt is BLANK for Nu Holdings because net debt is not a meaningful measure for a bank.
#
# TICKER FORMAT DIFFERS FROM THE SOFTWARE PULL. This file uses NASDAQ:, the software file uses
# NASDAQGS: / NASDAQGM: / NASDAQCM:. They do not join without normalising the tier suffix, and
# without that normalisation nCino enters the database twice as two different companies.
# Duplicates across the two pulls: NYSE:BILL, NYSE:QTWO, NASDAQ:NCNO. Count each once.
row,company_name,exchange_ticker,country,market_cap_musd,net_debt_musd,minority_interest_musd,associates_musd,equity_to_av_bridge_musd,enterprise_value_musd,revenue_ntm_musd,gross_margin_pct,gross_profit_musd,ev_ntm_revenue_x,ev_ntm_gp_x,revenue_growth_ntm_pct,paying_users_k,paying_users_basis,revenue_local_cy0,revenue_local_cy2,revenue_growth_cagr_cy0_cy2_pct,recurring_revenue_pct,as_of,gmv_cy0_musd,gmv_ntm_musd,ev_ntm_gmv_x
43,"nCino, Inc.",NASDAQ:NCNO,United States,2358,224,14,0,271,2629,678,69.0,468,3.9,5.6,9,,,,,,,2026-09-01,,,
44,"Donnelley Financial Solutions, Inc.",NYSE:DFIN,United States,1184,186,0,0,186,1370,800,63.1,505,1.7,2.7,4,,,750,809,4,,2026-09-01,,,
45,"SS&C Technologies Holdings, Inc.",NASDAQ:SSNC,United States,19221,7329,70,296,7103,26324,6988,58.7,4101,3.8,6.4,8,,,6246,7096,7,,2026-09-01,,,
46,"Broadridge Financial Solutions, Inc.",NYSE:BR,United States,20568,3117,0,0,3117,23685,7922,32.2,2554,3.0,9.3,6,,,7071,8045,7,,2026-09-01,,,
47,S&P Global Inc.,NYSE:SPGI,United States,129763,11614,5139,613,16140,145903,15303,72.7,11128,9.5,13.1,-5,,,15327,15642,1,,2026-09-01,,,
48,Moody's Corporation,NYSE:MCO,United States,85674,6124,141,483,5782,91456,8690,76.4,6642,10.5,13.8,8,,,7694,8889,7,,2026-09-01,,,
49,MSCI Inc.,NYSE:MSCI,United States,40937,6192,0,0,6192,47128,3720,82.9,3084,12.7,15.3,12,,,3136,3822,10,,2026-09-01,,,
50,FactSet Research Systems Inc.,NYSE:FDS,United States,10863,1266,0,0,1266,12130,2618,51.6,1352,4.6,9.0,7,,,2354,2654,6,,2026-09-01,,,
51,"Morningstar, Inc.",NASDAQ:MORN,United States,7873,1381,0,0,1381,9254,2750,61.1,1679,3.4,5.5,9,,,2430,2801,7,,2026-09-01,,,
52,"Intercontinental Exchange, Inc.",NYSE:ICE,United States,89599,19460,101,499,19062,108661,11408,100.0,11408,9.5,9.5,11,,,9907,11602,8,,2026-09-01,,,
53,CME Group Inc.,NASDAQ:CME,United States,103001,1593,0,0,1593,104594,7256,100.0,7256,14.4,14.4,8,,,6525,7364,6,,2026-09-01,,,
54,"Cboe Global Markets, Inc.",CBOE:CBOE,United States,32125,-774,0,2,-776,31349,2940,51.5,1515,10.7,20.7,19,,,2411,2975,11,,2026-09-01,,,
55,"Nasdaq, Inc.",NASDAQ:NDAQ,United States,54523,8762,5,559,8208,62731,6236,100.0,6236,10.1,10.1,13,,,5226,6398,11,,2026-09-01,,,
56,MarketAxess Holdings Inc.,NASDAQ:MKTX,United States,5724,-167,14,0,-153,5571,935,62.0,580,6.0,9.6,5,,,848,955,6,,2026-09-01,,,
57,Tradeweb Markets Inc.,NASDAQ:TW,United States,22513,-1908,704,27,-1231,21281,2527,93.7,2369,8.4,9.0,14,,,2055,2616,13,,2026-09-01,,,
58,Adyen N.V.,ENXTAM:ADYEN,Netherlands,36844,-13703,0,0,-13703,23141,3801,68.1,2588,6.1,8.9,20,,,2383,3478,21,,2026-09-01,1576070.0,2161075.0,0.01197
59,Wise plc,LSE:WISE,United Kingdom,13300,-4902,0,0,-4902,8398,3209,80.6,2586,2.6,3.2,22,,,1655,2367,20,,2026-09-01,243500.0,316858.0,0.02624
60,Nexi S.p.A.,BIT:NEXI,Italy,5815,4590,11,13,4589,10404,4290,0.0,0,2.4,,1,,,3594,3727,2,,2026-09-01,982741.0,,
61,"Boku, Inc.",AIM:BOKU,United Kingdom,444,-241,0,0,-241,203,151,98.7,149,1.3,1.4,6,,,128,158,11,,2026-09-01,,,
62,CAB Payments Holdings plc,LSE:CABP,United Kingdom,286,-685,0,0,0,286,177,-8.5,-15,1.6,-19.1,14,,,111,134,10,,2026-09-01,55251.0,60737.0,0.00471
63,London Stock Exchange Group plc,LSE:LSEG,United Kingdom,57815,12346,3144,17,15473,73288,13944,89.9,12533,5.3,5.8,7,,,9349,10523,6,,2026-09-01,,,
64,Deutsche Boerse AG,XTRA:DB1,Germany,59316,5041,431,142,5330,64645,7792,81.2,6326,8.3,10.2,8,,,6034,6812,6,,2026-09-01,,,
65,Euronext N.V.,ENXTPA:ENX,Netherlands,18956,1883,216,19,2080,21036,2488,100.0,2488,8.5,8.5,14,,,1816,2181,10,,2026-09-01,,,
66,Al Ansari Financial Services PJSC,DFM:ALANSARI,United Arab Emirates,1940,-139,0,0,-139,1801,,0,,,,-100,,,,,,,2026-08-21,,,
67,"MercadoLibre, Inc.",NASDAQ:MELI,Uruguay,99543,7462,0,0,7462,107005,49470,42.7,21130,2.2,5.1,46,,,28621,53210,36,,2026-09-01,,,
68,Nu Holdings Ltd.,NYSE:NU,Brazil,69852,,2,93,0,69852,26081,43.7,11386,2.7,6.1,46,,,15652,27420,32,,2026-09-01,,,
69,StoneCo Ltd.,NASDAQ:STNE,Cayman Islands,2228,1692,8,14,1686,3914,3012,55.8,1681,1.3,2.3,11,,,14353,15822,5,,2026-09-01,100436.0,116331.0,0.03305
70,PagSeguro Digital Ltd.,NYSE:PAGS,Brazil,2519,75,0,0,75,2594,4285,42.8,1833,0.6,1.4,11,,,20348,22485,5,,2026-09-01,94992.0,105919.0,0.02314
71,XP Inc.,NASDAQ:XP,Cayman Islands,9500,-24684,0,718,0,9500,4194,68.1,2858,2.3,3.3,17,,,18298,22415,11,,2026-09-01,,,
72,"Inter & Co, Inc.",NASDAQ:INTR,Brazil,2468,2708,21,2,0,2468,2372,9.3,220,1.0,11.2,36,,,8386,12896,24,,2026-09-01,,,
73,"B3 S.A. - Brasil, Bolsa, Balcao",BOVESPA:B3SA3,Brazil,16140,-38,5,12,-45,16095,2303,95.5,2200,7.0,7.3,20,,,9985,12285,11,,2026-09-01,,,
74,"Bolsa Mexicana de Valores, S.A.B. de C.V.",BMV:BOLSA A,Mexico,1239,-174,16,1,-159,1080,296,51.0,151,3.7,7.2,14,,,4470,5118,7,,2026-09-01,,,
75,Bolsas y Mercados Argentinos S.A.,BASE:BYMA,Argentina,1327,-1086,0,13,-1099,228,346,75.1,260,0.7,0.9,45,,,191,380,41,,2026-09-01,,,
76,One97 Communications Limited,NSEI:PAYTM,India,11021,-1525,0,0,-1525,9497,1236,64.3,795,7.7,11.9,23,,,80785,125523,25,,2026-09-01,269565.0,388739.0,0.02417
77,One MobiKwik Systems Limited,NSEI:MOBIKWIK,India,156,-65,0,0,-65,91,156,42.9,67,0.6,1.4,13,,,11548,15819,17,,2026-09-01,20625.0,27589.0,0.00352
78,Indian Energy Exchange Limited,NSEI:IEX,India,1117,-190,0,0,-190,927,73,100.0,73,12.7,12.7,11,,,5789,6884,9,,2026-09-01,,,
79,Multi Commodity Exchange of India Limited,NSEI:MCX,India,8874,-414,0,0,-414,8461,333,91.0,303,25.4,27.9,35,,,16946,33390,40,,2026-09-01,,,
80,BSE Limited,NSEI:BSE,India,13933,-582,13,0,-569,13364,719,99.4,715,18.6,18.7,30,,,41937,72661,32,,2026-09-01,,,
81,CRISIL Limited,NSEI:CRISIL,India,3721,-62,0,0,-62,3660,509,46.8,238,7.2,15.4,17,,,35856,49993,18,,2026-09-01,,,
82,Hong Kong Exchanges and Clearing Limited,SEHK:388,Hong Kong,65386,-21258,38,113,-21333,44053,4172,96.4,4023,10.6,11.0,13,,,28541,32935,7,,2026-09-01,,,
83,"ZhongAn Online P&C Insurance Co., Ltd.",SEHK:6060,China,2452,788,0,697,0,2452,5688,12.1,687,0.4,3.6,8,,,35575,40032,6,,2026-09-01,,,
84,"Japan Exchange Group, Inc.",TSE:8697,Japan,14126,-85,81,135,-138,13988,1498,100.0,1498,9.3,9.3,20,,,181370,255091,19,,2026-09-01,,,
85,"GMO Payment Gateway, Inc.",TSE:3769,Japan,4393,-936,22,37,-950,3443,687,66.2,455,5.0,7.6,6,,,84312,115468,17,,2026-09-01,146256.0,188340.0,0.01834
86,ASX Limited,ASX:ASX,Australia,7767,-3035,0,0,-3035,4732,959,92.5,887,4.9,5.3,11,,,1165,1349,8,,2026-09-01,,,
87,Iress Limited,ASX:IRE,Australia,737,87,0,0,87,824,368,65.8,242,2.2,3.4,-1,,,546,519,-3,,2026-09-01,,,
88,HUB24 Limited,ASX:HUB,Australia,4303,0,0,0,0,4303,422,99.3,419,10.2,10.3,19,,,450,621,17,,2026-09-01,,,
89,Netwealth Group Limited,ASX:NWL,Australia,3638,-114,0,0,-72,3567,332,9.0,30,10.7,,23,,,357,493,17,,2026-09-01,,,
90,Tyro Payments Limited,ASX:TYR,Australia,274,-53,0,1,-69,205,362,47.8,173,0.6,1.2,7,,,438,519,2,,2026-09-01,30027.0,31821.0,0.00858
91,Zip Co Limited,ASX:ZIP,Australia,2336,1763,0,0,1763,4098,1193,55.1,657,3.4,6.2,24,,,1235,1754,19,,2026-09-01,,,
92,OFX Group Limited,ASX:OFX,Australia,136,-51,0,4,-55,81,155,,,0.5,,3,,,220,227,2,,2026-08-30,,,
93,EML Payments Limited,ASX:EML,Australia,72,36,0,0,36,108,156,67.3,105,0.7,1.0,9,,,220,227,2,,2026-09-01,,,
94,JSE Limited,JSE:JSE,South Africa,785,-106,0,24,-130,654,236,100.0,236,2.8,2.8,14,,,3274,3900,9,,2026-09-01,,,
95,HPS S.A.,CBSE:HPS,Morocco,515,21,0,7,13,529,200,43.5,87,2.6,6.1,10,,,1518,1958,14,,2026-09-01,,,
