# Fairway peer set: LISTED LOGISTICS AND DELIVERY, SERVICES MARKETPLACES, CONSUMER SUBSCRIPTION,
# TICKERS RECOVERED 30-Aug-2026, not supplied: the pull had its ticker column hidden.
# and PAYMENTS. Transcribed 30-Aug-2026 from Daniil's S&P Capital IQ Pro screen, currency USD.
#
# WHY THIS FILE EXISTS AND WHAT IT FIXES. Before today the repo held 319 listed names covering
# software, fintech and consumer commerce, and NOTHING in logistics, delivery, services marketplaces
# or consumer subscription. HIVED was being priced off Wolt, 99minutos and byrd had almost nothing,
# and the new media fork had no listed side. Every one of those holes is a name in this file.
#
# TRANSCRIBED FROM A SCREENSHOT, SO READ THIS. The figures were read off Daniil's screen by eye. They
# are faithful to the best of my reading and they are NOT machine-exported. Spot-check before any of
# these numbers reaches a founder. The underlying workbook should replace this file when it lands.
#
# WHAT IS DELIBERATELY NOT HERE. Rows 53 to 95 of the same screen are the lending and specialty
# finance names. They are in data/peers-lending.csv on P/E and P/BV, which is the only basis a lender
# may be priced on. That screen also gives them an EV/revenue multiple and IT MUST NOT BE USED:
# revenue for a lender contains interest earned on borrowed money and enterprise value adds back the
# debt that is the product. The screen itself proves the point, returning a NEGATIVE enterprise value
# for Japan Post Holdings and a 168x EV/gross profit for OSB.
#
# EIGHT LENDERS ON THAT SCREEN ARE NOT YET IN peers-lending.csv AND HAVE NO BOOK VALUE:
# Orchard Funding Group, Resurs Bank, Muninova, Credit Saison, Tokyo Century, Banco Pan,
# Garanti Faktoring, Is Finansal Kiralama. They need a P/BV pull before they can be used.
#
# COLUMNS. As supplied. total_aggregate_value_musd is the enterprise value the screen computed from
# market cap plus net debt plus NCI less investments in associates. A DASH on the screen means the
# field returned nothing and is left blank here. n.a. and #DIV/0! are left blank, never zero.
# GMV BLOCK ADDED 30-Aug-2026 from the same pull, which arrived a second time with the
# ticker column and the GMV columns visible. ev_ntm_gmv_x is DERIVED here as aggregate
# value over NTM volume, because Capital IQ's own column rounds to 0.0x for every
# payments name and is blank for two of them. See data/raw for the transcription.
company_name,exchange_ticker,country,market_cap_musd,net_debt_musd,nci_musd,invest_assoc_musd,eqv_ev_bridge_musd,enterprise_value_musd,revenue_fy0_musd,revenue_fy1_musd,revenue_fy2_musd,revenue_ntm_musd,gross_margin_pct,gross_profit_musd,ev_ntm_revenue_x,ev_ntm_gp_x,revenue_growth_pct,sector_block,gmv_cy0_musd,gmv_ntm_musd,ev_ntm_gmv_x
Costco Wholesale Corporation,NASDAQGS:COST,United States,416852,-11764,0,0,-11764,405088,274998,301566,326073,326003,11.2,36523,1.2,11.1,8,consumer_subscription,,,
BJ's Wholesale Club Holdings,NYSE:BJ,United States,11555,2743,0,0,2743,14299,21440,23762,25252,24696,18.0,4455,0.6,3.2,6,consumer_subscription,,,
"PriceSmart, Inc.",NASDAQGS:PSMT,United States,5179,12,0,0,12,5190,5275,5822,6498,6515,13.3,864,0.8,6.0,12,consumer_subscription,,,
"Planet Fitness, Inc.",NYSE:PLNT,United States,3796,2543,-2,0,2541,6337,1316,1423,1523,1491,83.0,1238,4.3,5.1,7,consumer_subscription,,,
Life Time Group Holdings,NYSE:LTH,United States,9347,4047,0,0,4047,13395,2992,3370,3765,3635,42.8,1557,3.7,8.6,12,consumer_subscription,,,
"Trupanion, Inc.",NASDAQGM:TRUP,United States,1223,-42,0,0,-42,1181,1439,1592,1727,1682,0.0,0,0.7,,9,consumer_subscription,,,
"Frontdoor, Inc.",NASDAQGS:FTDR,United States,5478,557,0,0,557,6035,2082,2199,2334,2290,55.2,1263,2.6,4.8,6,consumer_subscription,,,
ADT Inc.,NYSE:ADT,United States,5384,7749,0,0,7749,13133,5144,5222,5361,5315,77.6,4123,2.5,3.2,3,consumer_subscription,,,
"Arlo Technologies, Inc.",NYSE:ARLO,United States,1353,-135,0,0,-135,1217,524,592,624,614,53.9,331,2.0,3.7,6,consumer_subscription,,,
FuboTV Inc.,NYSE:FUBO,United States,318,172,1826,0,1998,2316,,6182,6497,6458,8.6,556,0.4,4.2,5,consumer_subscription,,,
CuriosityStream Inc.,NASDAQCM:CURI,United States,166,-3,0,4,-7,159,71,79,89,86,58.1,50,1.9,3.2,12,consumer_subscription,,,
"WW International, Inc.",NASDAQGM:WW,United States,163,325,0,0,325,487,700,632,644,640,70.9,454,0.8,1.1,2,consumer_subscription,,,
"Rent the Runway, Inc.",NASDAQGM:RENT,United States,128,161,0,0,161,289,307,,,,39,,,,,consumer_subscription,,,
"LifeMD, Inc.",NASDAQGM:LFMD,United States,149,-19,0,0,-19,130,229,208,245,233,88.0,205,0.6,0.6,18,consumer_subscription,,,
"Rollins, Inc.",NYSE:ROL,United States,17413,1006,0,0,1006,18419,3775,4090,4445,4327,52.4,2269,4.3,8.1,9,consumer_subscription,,,
"Peloton Interactive, Inc.",NASDAQGS:PTON,United States,2234,504,0,0,504,2737,2434,2372,2362,2381,53.4,1271,1.1,2.2,0,consumer_subscription,,,
Nerdy Inc.,NYSE:NRDY,United States,83,-17,9,0,-8,75,176,171,177,175,66.3,116,0.4,0.6,3,consumer_subscription,,,
Basic-Fit N.V.,ENXTAM:BFIT,Netherlands,2508,3343,-1,0,3342,5849,1663,1946,2170,2081,97.8,2035,2.8,2.9,11,consumer_subscription,,,
The Gym Group plc,LSE:GYM,United Kingdom,488,547,0,0,547,1036,330,367,407,390,99.0,386,2.7,2.7,11,consumer_subscription,,,
Naked Wines plc,LSE:WINE,United Kingdom,61,-38,0,0,-38,23,264,224,211,220,36.4,80,0.1,0.3,-6,consumer_subscription,,,
Pets at Home Group Plc,LSE:PETS,United Kingdom,1260,476,0,0,477,1736,1944,2055,2095,2055,45.6,937,0.8,1.9,2,consumer_subscription,,,
Deezer S.A.,ENXTPA:DEEZR,France,180,-87,0,0,-87,93,656,631,682,661,25.7,170,0.1,0.5,8,consumer_subscription,,,
Viaplay Group AB (publ),OM:VPLAY B,Sweden,620,563,0,0,563,1184,2015,2282,2268,2244,13.7,307,0.5,3.9,-1,consumer_subscription,,,
Verisure plc,OM:VSURE,United Kingdom,10742,5919,0,0,5919,16661,4397,4830,5249,5075,48.4,2456,3.3,6.8,9,consumer_subscription,,,
U-NEXT HOLDINGS,TSE:9418,Japan,1940,120,95,0,215,2155,2610,2888,3210,3163,30.2,955,0.7,2.3,11,consumer_subscription,5145,6459,0.3415
Cookpad Inc.,TSE:2193,Japan,61,-35,0,0,-35,25,,,,,0,,,,,consumer_subscription,,,
CURVES HOLDINGS,TSE:7085,Japan,545,-35,0,0,-35,510,256,269,291,291,43.0,125,1.8,4.1,8,consumer_subscription,,,
JustSystems Corporation,TSE:4686,Japan,1630,-739,0,0,-739,891,,,,,0,,,,,consumer_subscription,,,
Viva Leisure Limited,ASX:VVA,Australia,108,266,0,6,260,368,167,187,204,190,10.0,19,1.9,19.1,9,consumer_subscription,,,
Aussie Broadband Limited,ASX:ABB,Australia,966,98,0,0,98,1064,908,1166,1326,1159,32.7,379,0.9,2.8,14,consumer_subscription,,,
Matrimony.com Limited,NSEI:MATRIMONY,India,113,-21,0,0,-21,92,49,53,58,56,66.1,37,1.6,2.5,9,consumer_subscription,,,
Repay Holdings Corporation,NASDAQCM:RPAY,United States,291,689,-3,0,686,977,308,492,627,582,66.5,387,1.7,2.5,27,payments,,,
Priority Technology Holdings,NASDAQCM:PRTH,United States,433,928,8,0,936,1368,970,1037,1113,1088,39.4,429,1.3,3.2,7,payments,72374,82459,0.017
"Usio, Inc.",NASDAQGM:USIO,United States,80,-2,0,0,-2,78,86,98,108,105,22.9,24,0.7,3.2,10,payments,8400,10267,0.008
"Pathward Financial, Inc.",NASDAQGS:CASH,United States,1669,74,0,0,0,1669,837,818,865,862,5.5,47,1.9,35.3,6,payments,,,
Paymentus Holdings,NYSE:PAY,United States,4424,-367,0,0,-367,4057,1178,1450,1704,1620,24.7,400,2.5,10.1,18,payments,,,
Waystar Holding Corp.,NASDAQGS:WAY,United States,4939,1288,0,0,1288,6228,1090,1286,1423,1378,69.1,952,4.5,6.5,11,payments,,,
"Phreesia, Inc.",NYSE:PHR,United States,732,18,0,0,18,750,480,515,538,528,67.6,357,1.4,2.1,5,payments,4873,5372,0.143
NCR Atleos Corporation,NYSE:NATL,United States,3420,2514,0,0,2514,5934,4351,4472,4654,4594,27.5,1265,1.3,4.7,4,payments,,,
"Diebold Nixdorf, Incorporated",NYSE:DBD,United States,2263,842,7,0,849,3111,3815,3906,4025,3985,26.7,1064,0.8,2.9,3,payments,,,
WEX Inc.,NYSE:WEX,United States,6431,-744,0,0,-744,5687,2650,2885,2930,2915,61.3,1786,2.0,3.2,2,payments,147786,196608,0.031
Cass Information Systems,NASDAQGS:CASS,United States,707,-144,0,0,0,707,191,205,218,214,4.2,9,3.3,81.7,7,payments,36447,68570,0.008
Nayax Ltd.,NASDAQ:NYAX,Israel,2010,54,0,0,54,2065,401,515,630,593,49.1,291,3.5,7.1,22,payments,6449,9480,0.189
Worldline SA,ENXTPA:WLN,France,876,1321,893,38,2176,3052,5304,4380,4335,4320,66.0,2852,0.7,1.1,-1,payments,,,
PayPoint plc,LSE:PAY,United Kingdom,526,36,2,0,38,564,250,266,279,286,42.7,122,2.0,4.6,5,payments,8630,9020,0.0614
PAX Global Technology,SEHK:0327,Hong Kong,534,-523,5,2,-520,14,,,,,0,,,,,payments,,,
"Digital Garage, Inc.",TSE:4819,Japan,650,-201,16,230,-416,235,271,274,305,287,62.4,179,0.8,1.3,11,payments,60878,78309,0.0032
"BASE, Inc.",TSE:4477,Japan,263,-135,1,0,-133,129,131,174,195,187,51.9,97,0.7,1.3,12,payments,2880,4136,0.0225
AvenuesAI Limited,NSEI:CCAVENUE,India,552,-81,25,0,-56,496,787,1197,1358,1237,8,103,0.4,4.8,13,payments,57062,99960,0.0050
Zaggle Prepaid Ocean Services,NSEI:ZAGGLE,India,261,-52,0,0,-52,210,198,255,338,294,43.2,127,0.7,1.6,32,payments,,,
Fawry for Banking Technology,CASE:FWRY,Egypt,1270,-129,6,1,-124,1147,174,234,309,285,70.9,202,4.0,5.7,32,payments,19168,31818,0.0366
